NMHC(GT);CO(GT);NO2(GT);NOx(GT);PT08.S3(NOx);C6H6(GT);T;RH;AH;PT08.S4(NO2);PT08.S1(CO);PT08.S2(NMHC);PT08.S5(O3)
-200.0;1.4;119.0;180.0;1114.0;7.5;24.9;28.3;0.8775;1261.0;999.0;879.0;960.0
-200.0;1.6;89.0;209.0;889.0;9.0;22.8;41.8;1.1417;1441.0;962.0;940.0;855.0
-200.0;1.0;55.0;185.0;770.0;6.5;19.8;69.2;1.5808;1435.0;982.0;834.0;911.0
-200.0;0.9;47.0;147.0;817.0;5.5;18.2;70.1;1.4552;1390.0;981.0;790.0;898.0
-200.0;2.1;143.0;280.0;908.0;12.2;33.6;19.6;1.0029;1406.0;1077.0;1056.0;935.0
-200.0;0.4;3.0;25.0;1434.0;1.3;15.5;53.3;0.9308;1097.0;744.0;525.0;430.0
214.0;2.6;125.0;169.0;928.0;9.4;10.3;66.3;0.8336;1571.0;1179.0;955.0;899.0
-200.0;1.5;107.0;177.0;907.0;6.8;23.4;39.4;1.1172;1496.0;942.0;849.0;894.0
-200.0;1.5;84.0;214.0;786.0;6.5;16.9;81.4;1.551;1400.0;1015.0;833.0;868.0
-200.0;1.4;100.0;190.0;822.0;5.1;12.4;73.8;1.0574;1196.0;1086.0;769.0;857.0
-200.0;1.6;106.0;144.0;842.0;8.3;24.8;33.1;1.0222;1551.0;942.0;912.0;814.0
-200.0;2.0;94.0;214.0;845.0;9.4;21.2;55.2;1.3699;1528.0;997.0;955.0;926.0
-200.0;1.6;82.0;216.0;872.0;9.4;23.6;43.2;1.2433;1476.0;990.0;956.0;826.0
-200.0;1.7;102.0;279.0;834.0;9.8;22.9;47.9;1.3208;1514.0;1005.0;972.0;952.0
-200.0;1.1;53.0;164.0;757.0;7.2;18.6;74.9;1.5918;1486.0;1041.0;865.0;902.0
-200.0;1.1;51.0;150.0;765.0;6.3;22.2;65.2;1.7256;1521.0;1049.0;826.0;917.0
-200.0;1.3;72.0;203.0;706.0;8.8;21.5;67.5;1.708;1565.0;1088.0;932.0;1034.0
-200.0;1.7;95.0;248.0;798.0;10.0;21.1;58.3;1.4444;1580.0;1021.0;979.0;958.0
-200.0;1.2;59.0;163.0;753.0;6.3;21.3;69.1;1.7275;1526.0;1082.0;825.0;930.0
-200.0;-200.0;-200.0;-200.0;785.0;7.2;27.2;46.0;1.6376;1644.0;999.0;867.0;864.0
-200.0;1.4;89.0;108.0;840.0;8.8;23.6;33.8;0.9685;1522.0;927.0;930.0;1026.0
-200.0;1.4;82.0;237.0;762.0;7.8;16.8;79.0;1.4978;1453.0;989.0;891.0;901.0
-200.0;-200.0;-200.0;-200.0;501.0;24.1;17.3;70.9;1.3876;1941.0;1420.0;1405.0;1573.0
-200.0;1.4;81.0;239.0;979.0;6.7;20.2;53.1;1.2442;1398.0;926.0;845.0;851.0
-200.0;1.5;64.0;174.0;747.0;6.5;23.1;70.8;1.98;1562.0;1082.0;834.0;991.0
-200.0;1.3;79.0;217.0;888.0;6.8;18.7;73.1;1.5608;1505.0;982.0;850.0;873.0
-200.0;0.9;50.0;180.0;844.0;6.6;19.4;75.4;1.6802;1562.0;976.0;840.0;964.0
-200.0;2.3;124.0;144.0;748.0;12.3;26.9;30.5;1.0671;1629.0;1041.0;1060.0;1185.0
-200.0;1.4;101.0;96.0;849.0;9.0;25.3;30.0;0.9508;1488.0;951.0;939.0;868.0
-200.0;0.7;90.0;164.0;866.0;4.6;21.0;56.9;1.3999;1394.0;865.0;745.0;901.0
-200.0;1.5;56.0;309.0;747.0;8.7;16.1;76.3;1.3902;1497.0;1014.0;927.0;951.0
-200.0;1.6;65.0;195.0;699.0;8.8;18.5;69.5;1.4657;1481.0;1061.0;931.0;1015.0
-200.0;-200.0;-200.0;-200.0;714.0;15.4;15.1;51.8;0.8816;1802.0;1215.0;1161.0;1237.0
-200.0;1.8;62.0;213.0;698.0;9.2;18.4;68.5;1.439;1467.0;1091.0;945.0;1014.0
-200.0;1.7;97.0;99.0;779.0;10.2;24.3;36.3;1.0852;1572.0;981.0;985.0;1020.0
-200.0;1.5;59.0;216.0;719.0;7.6;16.8;73.3;1.3915;1430.0;1010.0;884.0;938.0
-200.0;2.1;142.0;206.0;749.0;12.0;32.8;25.2;1.2325;1701.0;1108.0;1049.0;1137.0
-200.0;1.2;83.0;222.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0
-200.0;2.1;120.0;120.0;769.0;11.9;36.5;16.7;1.0045;1578.0;1003.0;1047.0;782.0
102.0;1.7;75.0;101.0;951.0;6.4;11.4;69.8;0.939;1507.0;1074.0;832.0;980.0
-200.0;1.6;113.0;198.0;780.0;6.7;6.7;74.4;0.7344;1127.0;1094.0;845.0;1064.0
-200.0;0.9;156.0;285.0;622.0;8.3;15.6;40.0;0.7018;1208.0;1153.0;910.0;827.0
-200.0;1.5;141.0;470.0;563.0;13.8;4.3;58.6;0.4915;1279.0;1272.0;1111.0;1416.0
-200.0;1.7;117.0;152.0;867.0;8.9;27.1;38.3;1.3548;1696.0;1027.0;936.0;931.0
-200.0;1.5;96.0;167.0;726.0;7.5;24.4;45.6;1.3779;1484.0;962.0;880.0;1050.0
-200.0;4.5;174.0;766.0;465.0;22.6;7.2;62.2;0.6351;1558.0;1501.0;1367.0;1856.0
-200.0;1.2;77.0;71.0;816.0;8.3;22.2;43.0;1.1363;1552.0;949.0;910.0;1015.0
-200.0;4.8;184.0;479.0;522.0;17.9;17.8;53.5;1.0833;1659.0;1352.0;1236.0;1368.0
-200.0;-200.0;-200.0;-200.0;672.0;9.7;27.4;41.4;1.4877;1540.0;1044.0;967.0;1133.0
-200.0;0.2;117.0;233.0;833.0;4.5;3.8;59.7;0.4839;957.0;987.0;738.0;1010.0
-200.0;2.9;175.0;393.0;878.0;16.2;38.4;13.8;0.9221;1500.0;1166.0;1186.0;1180.0
-200.0;3.4;144.0;164.0;593.0;18.6;33.3;29.9;1.5079;1914.0;1301.0;1256.0;1382.0
-200.0;2.3;112.0;100.0;746.0;11.6;27.9;27.6;1.0252;1611.0;1142.0;1035.0;1062.0
-200.0;1.4;79.0;231.0;804.0;8.1;18.3;65.5;1.3686;1499.0;1013.0;905.0;974.0
-200.0;1.4;87.0;115.0;992.0;6.3;22.4;43.6;1.1637;1561.0;929.0;825.0;692.0
-200.0;1.6;121.0;126.0;800.0;8.3;32.9;21.8;1.0714;1441.0;973.0;911.0;891.0
501.0;4.4;133.0;254.0;625.0;19.5;19.1;61.1;1.3345;2100.0;1449.0;1282.0;1569.0
-200.0;1.2;67.0;75.0;916.0;6.5;16.9;66.5;1.2688;1632.0;1012.0;833.0;862.0
-200.0;1.6;94.0;149.0;725.0;10.0;20.6;45.5;1.0925;1515.0;965.0;977.0;1014.0
-200.0;-200.0;104.0;116.0;765.0;9.1;26.2;38.5;1.2932;1608.0;991.0;944.0;868.0
