PT08.S3(NOx);RH;C6H6(GT);T;AH;PT08.S1(CO);PT08.S2(NMHC);PT08.S4(NO2);PT08.S5(O3);NMHC(GT);CO(GT);NOx(GT);NO2(GT)
1051.0;28.4;7.6;17.8;0.5737;1046.0;883.0;1357.0;765.0;150.0;1.9;113.0;101.0
789.0;49.6;11.1;18.2;1.0268;1105.0;1016.0;1736.0;930.0;-200.0;2.4;142.0;98.0
911.0;39.4;7.1;20.9;0.9596;898.0;863.0;1493.0;777.0;-200.0;1.6;118.0;101.0
890.0;36.8;7.5;22.5;0.988;904.0;877.0;1488.0;781.0;-200.0;1.5;117.0;95.0
786.0;34.5;10.9;23.3;0.9768;980.0;1009.0;1625.0;986.0;-200.0;2.8;175.0;112.0
779.0;27.3;12.1;28.5;1.0479;1024.0;1052.0;1690.0;952.0;-200.0;2.1;183.0;104.0
891.0;33.0;7.4;25.7;1.0763;957.0;875.0;1525.0;871.0;-200.0;1.6;172.0;102.0
758.0;57.4;9.4;18.5;1.2076;1004.0;955.0;1671.0;1043.0;-200.0;1.4;146.0;84.0
757.0;35.9;11.0;24.2;1.0684;1035.0;1015.0;1651.0;940.0;-200.0;1.8;143.0;124.0
818.0;30.9;9.7;25.3;0.9815;1011.0;967.0;1565.0;748.0;-200.0;1.6;111.0;116.0
880.0;47.5;6.4;21.6;1.2118;925.0;831.0;1513.0;789.0;-200.0;1.0;71.0;74.0
751.0;45.3;11.6;22.7;1.2299;1088.0;1035.0;1713.0;1018.0;-200.0;2.3;176.0;116.0
781.0;44.2;10.4;23.1;1.2317;1075.0;993.0;1682.0;946.0;-200.0;1.9;139.0;110.0
846.0;43.2;8.0;23.4;1.229;1022.0;899.0;1588.0;820.0;-200.0;1.4;100.0;97.0
866.0;38.8;7.2;24.7;1.1929;990.0;866.0;1551.0;728.0;-200.0;1.3;89.0;94.0
799.0;36.4;8.8;26.7;1.2596;997.0;933.0;1612.0;763.0;-200.0;1.4;89.0;93.0
776.0;36.8;10.2;24.8;1.1357;1036.0;986.0;1614.0;868.0;-200.0;1.7;113.0;112.0
