PT08.S3(NOx);RH;C6H6(GT);T;AH;PT08.S1(CO);PT08.S2(NMHC);PT08.S4(NO2);PT08.S5(O3);CO(GT);NO2(GT);NOx(GT);NMHC(GT)
1056.0;48.9;11.9;13.6;0.7578;1360.0;1046.0;1692.0;1268.0;2.6;113.0;166.0;150.0
1174.0;47.7;9.4;13.3;0.7255;1292.0;955.0;1559.0;972.0;2.0;92.0;103.0;112.0
1140.0;?;?;11.9;0.7502;1402.0;939.0;1555.0;?;2.2;114.0;131.0;88.0
1092.0;60.0;9.2;11.0;0.7867;1376.0;948.0;1584.0;?;2.2;122.0;172.0;80.0
1205.0;59.6;6.5;11.2;0.7888;1272.0;836.0;1490.0;1110.0;1.6;116.0;?;51.0
1337.0;59.2;4.7;11.2;0.7848;1197.0;750.0;1393.0;949.0;1.2;96.0;89.0;38.0
1462.0;56.8;3.6;?;0.7603;1185.0;690.0;1333.0;733.0;1.2;77.0;62.0;31.0
1453.0;60.0;3.3;10.7;0.7702;1136.0;672.0;1333.0;730.0;1.0;76.0;62.0;31.0
1579.0;59.7;2.3;10.7;0.7648;1094.0;609.0;?;620.0;0.9;60.0;45.0;24.0
1705.0;?;1.7;10.3;0.7517;1010.0;561.0;1235.0;501.0;0.6;-200.0;-200.0;?
1818.0;?;1.3;10.1;0.7465;1011.0;527.0;1197.0;445.0;-200.0;34.0;21.0;14.0
1918.0;56.2;1.1;11.0;0.7366;1066.0;512.0;1182.0;422.0;0.7;28.0;16.0;8.0
1738.0;58.1;1.6;10.5;?;1052.0;553.0;1221.0;472.0;0.7;48.0;34.0;16.0
1490.0;59.6;3.2;10.2;0.7417;1144.0;?;1339.0;730.0;1.1;82.0;98.0;29.0
1136.0;57.4;8.0;10.8;0.7408;1333.0;900.0;1517.0;1102.0;2.0;112.0;174.0;64.0
1079.0;60.6;9.5;10.5;0.7691;1351.0;960.0;1583.0;1028.0;2.2;101.0;129.0;87.0
1218.0;58.4;6.3;?;0.7552;1233.0;?;1446.0;860.0;1.7;98.0;112.0;77.0
1328.0;57.9;5.0;10.5;0.7352;1179.0;762.0;1362.0;671.0;1.5;92.0;95.0;43.0
1301.0;66.8;5.2;9.5;0.7951;1236.0;774.0;1401.0;664.0;1.6;95.0;104.0;61.0
1162.0;76.4;7.3;8.3;0.8393;1286.0;869.0;1537.0;799.0;1.9;112.0;146.0;63.0
983.0;81.1;11.5;8.0;0.8736;1371.0;1034.0;?;1037.0;2.9;128.0;207.0;164.0
1082.0;79.8;8.8;8.3;0.8778;1310.0;933.0;1647.0;946.0;2.2;126.0;184.0;79.0
1103.0;71.2;8.3;9.7;0.8569;1292.0;912.0;1591.0;957.0;2.2;131.0;193.0;95.0
1008.0;67.6;11.2;9.8;0.8185;1383.0;1020.0;1719.0;1104.0;2.9;135.0;243.0;150.0
799.0;64.2;20.8;10.3;0.8065;1581.0;1319.0;2083.0;1409.0;4.8;151.0;?;307.0
702.0;69.3;27.4;9.7;0.8319;1776.0;1488.0;2333.0;1704.0;6.9;172.0;383.0;461.0
743.0;67.8;24.0;9.6;0.8133;1640.0;1404.0;2191.0;1654.0;6.1;165.0;351.0;401.0
957.0;?;12.8;9.1;0.7419;1313.0;1076.0;1707.0;1285.0;3.9;?;240.0;197.0
1325.0;63.4;4.7;8.2;0.6905;965.0;749.0;1333.0;821.0;1.5;85.0;94.0;61.0
1565.0;60.8;2.6;8.2;0.6657;913.0;629.0;1252.0;552.0;1.0;53.0;47.0;26.0
1254.0;58.5;5.9;8.3;0.6438;1080.0;805.0;1375.0;816.0;1.7;97.0;122.0;55.0
?;59.7;6.4;7.7;0.6308;1044.0;829.0;1378.0;?;1.9;110.0;133.0;53.0
1396.0;61.8;4.1;7.1;0.6276;988.0;718.0;1304.0;692.0;1.4;91.0;82.0;40.0
1680.0;62.3;1.9;7.0;0.6261;889.0;574.0;1187.0;512.0;0.8;-200.0;-200.0;21.0
1893.0;65.9;1.1;6.1;0.6248;831.0;506.0;1134.0;384.0;-200.0;32.0;21.0;10.0
1895.0;65.0;1.0;6.3;0.6233;847.0;501.0;1155.0;394.0;0.6;44.0;30.0;7.0
1685.0;62.9;1.8;6.8;?;927.0;571.0;1223.0;487.0;0.8;71.0;56.0;17.0
1387.0;65.1;4.4;6.4;0.6316;1091.0;730.0;1361.0;748.0;1.4;104.0;109.0;33.0
897.0;63.1;17.9;7.3;0.6499;1587.0;1236.0;1900.0;1400.0;4.4;141.0;307.0;202.0
767.0;56.2;22.1;9.2;0.6561;1545.0;1353.0;2058.0;1588.0;-200.0;-200.0;-200.0;-200.0
912.0;?;14.0;13.2;0.632;1350.0;1118.0;1712.0;1237.0;3.1;122.0;187.0;208.0
969.0;38.4;?;14.3;0.6243;1263.0;1037.0;1598.0;1167.0;2.7;143.0;216.0;166.0
1035.0;36.5;10.2;15.0;0.6195;1206.0;986.0;1537.0;959.0;2.1;113.0;143.0;114.0
1008.0;34.5;11.0;16.1;0.6262;1252.0;1016.0;1593.0;983.0;?;116.0;160.0;140.0
949.0;35.7;12.8;16.3;0.656;1287.0;1078.0;1660.0;1061.0;2.7;123.0;163.0;169.0
922.0;37.0;14.2;15.8;0.661;1353.0;1122.0;1740.0;1139.0;2.9;126.0;190.0;?
954.0;37.2;12.7;15.9;0.6657;1309.0;1073.0;1657.0;1112.0;2.8;?;178.0;165.0
1006.0;34.3;11.7;16.9;0.6549;1274.0;1041.0;1610.0;994.0;2.4;119.0;150.0;?
812.0;39.6;19.3;15.1;0.6766;1510.0;1277.0;1910.0;1410.0;3.9;149.0;206.0;233.0
821.0;43.4;18.2;14.4;0.7084;1525.0;1246.0;1847.0;1448.0;3.7;145.0;202.0;242.0
624.0;50.5;32.6;12.9;0.7478;1843.0;1610.0;2390.0;1887.0;6.6;170.0;340.0;488.0
752.0;?;20.1;12.1;0.7536;1598.0;1299.0;1941.0;1627.0;4.4;149.0;274.0;333.0
839.0;59.1;14.3;11.0;0.774;1484.0;1127.0;1723.0;1491.0;3.5;139.0;253.0;215.0
741.0;64.6;21.8;9.7;?;1677.0;1346.0;2062.0;1657.0;5.4;134.0;300.0;367.0
?;64.1;9.6;9.5;0.7597;1280.0;964.0;1544.0;?;2.7;113.0;193.0;122.0
1071.0;63.9;7.4;9.1;?;1196.0;873.0;1463.0;1144.0;?;97.0;139.0;67.0
1176.0;63.9;5.4;8.8;0.7256;1184.0;782.0;1365.0;1043.0;?;82.0;83.0;43.0
1179.0;67.5;?;7.8;0.7173;1172.0;783.0;1380.0;996.0;1.7;-200.0;-200.0;46.0
1132.0;71.1;6.2;7.0;0.7158;1147.0;821.0;1412.0;992.0;-200.0;83.0;109.0;56.0
1420.0;63.6;2.6;8.3;0.6982;978.0;625.0;?;819.0;1.0;65.0;62.0;30.0
