PT08.S3(NOx);RH;C6H6(GT);T;AH;PT08.S1(CO);PT08.S2(NMHC);PT08.S4(NO2);PT08.S5(O3);CO(GT);NO2(GT);NOx(GT);NMHC(GT)
826.0;38.5;6.1;25.7;1.2548;922.0;818.0;1454.0;848.0;-200.0;-200.0;-200.0;-200.0
904.0;36.9;6.5;23.8;1.0748;886.0;834.0;1440.0;767.0;1.0;67.0;48.0;-200.0
752.0;51.5;9.1;17.2;1.0015;1075.0;943.0;1305.0;894.0;2.3;142.0;296.0;-200.0
767.0;51.5;8.0;17.7;1.0357;1030.0;899.0;1275.0;836.0;1.9;118.0;234.0;-200.0
758.0;51.6;7.5;18.3;1.0732;1056.0;878.0;1308.0;856.0;1.9;116.0;244.0;-200.0
1218.0;58.4;6.3;10.8;0.7552;1233.0;827.0;1446.0;860.0;1.7;98.0;112.0;77.0
1162.0;76.4;7.3;8.3;0.8393;1286.0;869.0;1537.0;799.0;1.9;112.0;146.0;63.0
1008.0;67.6;11.2;9.8;0.8185;1383.0;1020.0;1719.0;1104.0;2.9;135.0;243.0;150.0
664.0;45.5;10.6;20.8;1.1054;1149.0;998.0;1434.0;1101.0;2.3;133.0;368.0;-200.0
904.0;61.8;3.8;15.2;1.0602;938.0;702.0;1185.0;753.0;1.0;75.0;147.0;-200.0
848.0;61.7;5.0;15.6;1.0847;1006.0;765.0;1239.0;807.0;1.3;88.0;174.0;-200.0
828.0;59.6;6.1;15.9;1.0673;971.0;818.0;1252.0;857.0;1.5;107.0;205.0;-200.0
969.0;38.4;11.6;14.3;0.6243;1263.0;1037.0;1598.0;1167.0;2.7;143.0;216.0;166.0
1008.0;34.5;11.0;16.1;0.6262;1252.0;1016.0;1593.0;983.0;2.5;116.0;160.0;140.0
730.0;55.8;8.7;17.4;1.098;1061.0;928.0;1366.0;909.0;2.0;118.0;267.0;-200.0
791.0;56.5;6.7;16.9;1.0801;1014.0;843.0;1297.0;866.0;1.7;116.0;279.0;-200.0
731.0;70.3;9.9;10.5;0.893;1048.0;973.0;1298.0;1074.0;2.2;148.0;346.0;-200.0
1071.0;63.9;7.4;9.1;0.7423;1196.0;873.0;1463.0;1144.0;1.9;97.0;139.0;67.0
1132.0;71.1;6.2;7.0;0.7158;1147.0;821.0;1412.0;992.0;-200.0;83.0;109.0;56.0
1049.0;33.6;9.2;18.4;0.7042;1240.0;947.0;1532.0;947.0;2.0;116.0;119.0;108.0
1004.0;35.1;10.2;17.6;0.7012;1306.0;987.0;1554.0;1078.0;2.5;124.0;138.0;111.0
976.0;37.8;10.6;16.7;0.7117;1326.0;1000.0;1602.0;1084.0;2.3;125.0;148.0;97.0
721.0;58.6;11.3;11.1;0.7737;1039.0;1024.0;1325.0;1043.0;2.4;105.0;543.0;-200.0
752.0;59.1;9.8;11.4;0.7963;1023.0;971.0;1283.0;993.0;2.1;98.0;448.0;-200.0
911.0;85.7;5.3;7.3;0.8818;962.0;778.0;1162.0;752.0;1.5;-200.0;-200.0;-200.0
1225.0;62.7;4.2;11.6;0.853;1155.0;722.0;1414.0;959.0;1.4;84.0;101.0;36.0
796.0;59.4;6.9;17.5;1.1768;992.0;853.0;1305.0;930.0;1.4;79.0;177.0;-200.0
933.0;55.9;8.8;14.7;0.9314;1349.0;933.0;1617.0;1349.0;2.2;119.0;152.0;79.0
998.0;61.3;7.0;13.4;0.9361;1224.0;855.0;1566.0;1149.0;1.8;88.0;108.0;66.0
1030.0;70.5;6.4;11.4;0.9475;1157.0;830.0;1584.0;1083.0;1.4;80.0;138.0;51.0
897.0;70.2;9.7;11.3;0.9401;1314.0;966.0;1710.0;1235.0;2.2;89.0;228.0;107.0
737.0;60.7;8.4;17.5;1.2009;1075.0;917.0;1354.0;1037.0;2.0;87.0;231.0;-200.0
586.0;58.4;14.6;20.0;1.3473;1273.0;1137.0;1563.0;1231.0;2.8;91.0;356.0;-200.0
650.0;61.3;10.9;18.4;1.2854;1121.0;1012.0;1436.0;1060.0;1.7;80.0;254.0;-200.0
950.0;29.4;11.5;24.4;0.8848;1318.0;1033.0;1675.0;1068.0;2.3;99.0;143.0;141.0
913.0;72.3;3.7;14.9;1.2186;889.0;694.0;1198.0;743.0;0.6;45.0;114.0;-200.0
1012.0;64.5;2.8;17.0;1.2374;852.0;641.0;1172.0;710.0;0.5;44.0;83.0;-200.0
769.0;72.8;7.0;15.4;1.2633;1011.0;856.0;1341.0;889.0;1.5;-200.0;-200.0;-200.0
1246.0;68.5;3.5;11.2;0.9081;1017.0;681.0;1418.0;870.0;0.9;64.0;82.0;27.0
973.0;69.3;3.4;16.1;1.2591;862.0;677.0;1192.0;725.0;0.5;43.0;96.0;-200.0
1056.0;67.9;2.2;16.9;1.295;826.0;601.0;1180.0;702.0;0.4;38.0;67.0;-200.0
719.0;73.3;7.6;16.8;1.3915;1010.0;884.0;1430.0;938.0;1.5;59.0;216.0;-200.0
600.0;70.6;13.3;18.8;1.5209;1181.0;1094.0;1599.0;1180.0;2.4;74.0;345.0;-200.0
874.0;73.5;4.7;15.8;1.3151;897.0;750.0;1270.0;799.0;0.7;46.0;156.0;-200.0
990.0;68.1;2.9;17.8;1.3722;832.0;644.0;1239.0;747.0;0.6;40.0;94.0;-200.0
922.0;52.9;8.6;15.5;0.9271;1205.0;925.0;1547.0;1314.0;1.7;107.0;132.0;85.0
1066.0;51.9;5.4;15.5;0.9059;1072.0;784.0;1442.0;1114.0;1.2;90.0;95.0;47.0
802.0;65.5;6.3;19.3;1.45;948.0;826.0;1382.0;897.0;1.1;57.0;137.0;-200.0
575.0;46.2;15.1;25.6;1.4903;1240.0;1152.0;1699.0;1278.0;2.7;94.0;352.0;-200.0
750.0;70.1;8.0;17.0;1.3512;1019.0;901.0;1438.0;960.0;1.3;64.0;231.0;-200.0
909.0;71.7;4.1;17.2;1.394;866.0;717.0;1328.0;827.0;0.9;-200.0;-200.0;-200.0
