MotorData.IsAcceleration;NVL_Recv_Storage.GL_LightBarrier;NVL_Send_Storage.ActivateStorage;MotorData.Motor_Pos2reached;MotorData.ActSpeed;MotorData.IsForce;MotorData.ActCurrent;NVL_Recv_Storage.GL_I_Slider_OUT;NVL_Recv_Storage.GL_I_Slider_IN;NVL_Recv_Storage.GL_I_ProcessStarted;PLC_PRG.Gripper;MotorData.Motor_Pos3reached
0;1;0;0;0;6;21;0;1;0;0;1
0;1;0;0;0;1;-6;0;0;0;0;1
0;1;0;0;0;0;7;1;0;1;0;1
0;1;0;0;0;-1;3;0;1;0;0;0
0;1;0;0;0;1;6;0;1;0;0;1
0;1;0;0;0;0;7;0;1;0;0;0
0;1;0;0;0;0;0;0;1;0;0;0
0;1;0;0;-82505;-122;-243;0;1;0;0;0
0;1;0;0;0;6;17;0;1;0;0;1
0;1;0;0;0;2;12;0;1;0;0;0
0;1;0;0;0;1;-5;0;1;0;0;0
0;1;0;0;0;-1;-5;0;1;0;0;0
0;1;0;0;0;6;13;1;0;1;0;1
0;1;0;0;0;6;13;1;0;1;0;1
0;1;0;0;0;5;21;0;0;0;0;1
0;1;0;0;0;0;-5;0;1;0;0;0
0;1;0;0;0;-107;30;0;1;0;0;1
0;1;0;0;0;0;-5;0;1;0;0;0
0;1;0;0;0;5;16;0;0;0;0;1
0;1;0;0;0;4;17;1;0;1;0;1
0;1;0;0;0;2;0;0;1;0;0;0
0;1;0;0;0;7;19;1;0;1;0;1
0;1;0;0;0;4;4;0;1;0;0;1
0;1;1;0;0;2;8;0;0;1;0;1
0;1;0;0;0;2;17;1;0;1;0;1
0;1;0;0;0;2;13;1;0;1;0;1
0;1;0;0;0;1;15;1;0;0;0;1
0;1;0;0;0;-2;-6;0;1;0;0;1
0;1;0;0;0;1;15;1;0;0;0;1
0;1;0;0;0;3;9;0;1;0;0;1
0;1;0;0;0;1;14;0;1;0;0;1
0;1;0;0;0;3;18;0;1;0;0;1
0;1;0;0;0;3;13;0;1;0;0;1
0;1;0;0;0;6;12;0;1;0;0;1
0;1;0;0;0;7;19;0;1;0;0;1
0;1;0;0;0;2;15;0;1;0;0;1
0;1;0;0;0;5;17;0;1;0;0;1
0;1;0;0;0;6;21;0;1;0;0;1
0;1;0;0;0;4;21;1;0;1;0;1
0;1;0;0;0;3;14;0;1;0;0;1
0;1;0;0;0;5;21;1;0;1;0;1
0;1;1;0;0;2;-4;0;1;1;0;1
0;1;1;0;0;2;9;0;1;1;0;1
0;1;1;0;0;2;9;0;1;1;0;1
0;0;1;0;0;5;8;0;0;1;0;1
0;1;0;0;0;5;17;0;1;0;0;1
0;1;0;0;0;6;6;1;0;0;0;1
0;1;0;0;0;3;15;1;0;0;0;1
0;1;0;0;0;5;19;0;1;0;0;1
0;1;0;0;0;4;17;0;1;0;0;1
0;1;0;0;0;5;11;0;1;0;0;1
0;1;0;0;0;5;19;0;1;0;0;1
0;1;0;0;0;5;21;0;1;0;0;1
0;1;0;0;86768;41;313;0;1;0;1;0
0;1;0;0;0;6;12;0;1;0;0;1
0;1;0;0;0;4;17;1;0;1;0;1
0;1;0;0;0;-1;0;0;1;0;0;0
0;1;0;0;0;5;19;1;0;0;0;1
0;1;0;0;0;5;19;1;0;0;0;1
0;1;0;0;0;6;19;0;1;0;0;1
0;1;0;0;0;4;21;1;0;1;0;1
0;1;0;0;0;4;21;1;0;1;0;1
0;1;0;0;0;5;19;1;0;1;0;1
0;1;0;0;0;8;16;1;0;1;0;1
0;1;0;0;0;8;16;1;0;1;0;1
0;1;0;0;0;6;21;1;0;1;0;1
0;1;0;0;0;5;19;1;0;1;0;1
0;1;0;0;0;4;14;1;0;1;0;1
0;1;0;0;0;5;17;0;1;0;0;1
0;1;1;0;0;7;17;0;1;1;0;1
0;1;0;0;0;4;21;1;0;1;0;1
0;1;0;0;0;1;13;1;0;0;0;1
0;1;0;0;-74182;-191;-399;0;1;0;1;0
0;1;0;0;0;-1;-5;0;1;0;0;0
0;1;0;0;0;-1;21;0;1;0;0;1
0;1;0;0;0;7;19;1;0;1;0;1
0;1;0;0;0;7;19;1;0;1;0;1
0;1;0;0;0;5;21;1;0;1;0;1
0;1;0;0;0;6;21;1;0;1;0;1
0;1;0;0;0;6;21;1;0;1;0;1
0;1;0;0;0;6;21;1;0;1;0;1
0;1;0;0;0;5;21;1;0;1;0;1
0;1;0;0;0;3;22;1;0;0;0;1
0;1;0;0;0;7;27;1;0;0;0;1
0;1;0;0;0;6;33;1;0;1;0;1
0;1;0;0;0;7;42;0;1;0;0;1
0;1;0;0;0;4;-5;0;1;0;0;0
0;1;0;0;0;4;-5;0;1;0;0;0
0;1;0;0;0;3;22;1;0;1;0;1
0;1;0;0;0;3;22;1;0;0;0;1
0;1;0;0;0;5;26;1;0;1;0;1
0;1;0;0;0;7;22;1;0;1;0;1
0;1;0;0;0;7;22;1;0;1;0;1
0;1;0;0;70151;125;389;0;1;0;1;0
0;1;0;1;0;-36;-167;1;0;1;0;0
0;1;0;0;0;-3;-20;0;1;0;0;1
0;1;0;0;0;77;348;0;1;0;1;0
0;1;0;0;-66903;-197;-239;0;1;0;0;0
0;1;0;0;0;-1;-10;0;1;0;0;1
0;1;0;0;-93670;-81;-689;0;1;0;1;0
