MotorData.IsAcceleration;NVL_Recv_Storage.GL_LightBarrier;MotorData.IsForce;MotorData.ActSpeed;MotorData.Motor_Pos2reached;PLC_PRG.Gripper;NVL_Send_Storage.ActivateStorage;NVL_Recv_Storage.GL_I_Slider_OUT;NVL_Recv_Storage.GL_I_Slider_IN;NVL_Recv_Storage.GL_I_ProcessStarted
0;1;2;0;0;0;0;0;1;0
0;1;0;0;0;0;0;1;0;1
0;1;0;0;0;0;0;0;1;0
0;1;-1;0;0;0;0;0;1;0
0;1;0;0;0;0;0;0;1;1
0;1;2;0;0;0;0;0;1;0
0;1;-1;0;0;0;0;0;1;0
0;1;0;0;0;0;0;0;1;0
0;1;-1;0;0;0;0;0;1;0
0;1;-1;0;0;0;0;0;1;0
0;1;2;0;0;0;0;0;1;0
0;1;1;0;0;0;0;0;1;0
0;1;2;0;0;0;0;0;1;0
0;1;0;0;0;0;0;0;1;0
0;1;0;0;0;0;0;0;1;0
0;1;1;0;0;0;0;0;1;0
0;1;2;0;0;0;0;0;1;0
0;1;2;0;0;0;0;0;1;0
0;1;-1;0;0;0;0;0;1;0
0;1;0;0;0;0;0;0;1;0
0;1;0;0;0;0;0;0;1;0
0;1;0;0;0;0;0;0;1;0
0;1;1;0;0;0;0;0;1;0
0;1;-1;0;0;0;0;0;1;0
0;1;1;0;0;0;0;0;1;0
0;1;-1;0;0;0;0;0;1;0
0;1;0;0;0;0;0;1;0;0
0;1;1;0;0;0;0;1;0;1
0;1;2;0;0;0;0;0;1;0
0;1;2;0;0;0;0;0;1;0
0;1;1;0;0;0;0;1;0;0
0;1;-1;0;0;0;0;0;1;0
0;1;2;0;0;0;0;0;1;0
0;1;1;0;0;0;0;0;0;0
0;1;1;0;0;0;0;1;0;1
0;1;0;0;0;0;0;1;0;1
0;1;1;0;0;0;0;1;0;1
0;1;1;0;0;0;0;1;0;1
0;1;-1;0;0;0;0;0;1;0
0;1;1;0;0;0;0;1;0;1
0;1;0;0;0;0;0;0;1;0
0;1;1;0;0;0;0;0;1;0
0;1;0;0;0;0;0;0;1;0
0;1;1;0;0;0;0;1;0;0
0;1;1;0;0;0;0;1;0;1
0;1;0;0;0;0;0;0;1;0
0;1;0;0;0;0;0;0;1;0
0;1;-1;0;0;0;0;0;1;0
0;1;2;0;0;0;0;0;1;0
0;1;2;0;0;0;0;0;1;0
0;1;2;0;0;0;0;0;1;0
0;1;2;0;0;0;0;0;1;0
0;1;1;0;0;0;0;1;0;1
0;1;103;82244;0;1;0;0;1;0
0;1;5;0;0;0;0;0;1;0
0;1;2;0;0;0;1;0;0;1
0;1;2;0;0;0;1;0;1;1
0;1;1;0;0;0;1;0;1;1
0;1;-61;-71311;0;0;0;0;1;0
0;1;-2;0;0;0;0;0;1;0
0;1;-43;-86623;0;0;0;0;1;0
0;1;-38;0;1;0;0;0;1;0
0;1;-3;0;0;0;0;0;1;0
0;1;-2;0;0;0;0;0;1;0
0;1;8;0;0;0;0;0;1;0
0;1;-3;0;0;0;0;0;1;0
0;1;3;0;0;0;0;0;1;0
0;1;-3;0;0;0;0;0;1;0
0;1;-1;0;0;0;0;1;0;1
0;1;3;0;0;0;0;0;1;0
0;1;3;0;0;0;0;0;1;0
0;1;-1;0;0;0;0;1;0;1
0;1;3;0;0;0;0;0;1;1
0;1;-2;0;0;0;0;0;1;0
0;1;3;0;0;0;0;0;1;1
0;1;3;0;0;0;0;0;1;0
0;1;3;0;0;0;0;0;1;0
0;1;3;0;0;0;1;0;0;1
0;1;3;0;0;0;0;0;1;0
0;1;0;0;0;0;1;0;1;1
0;1;3;0;0;0;0;1;0;1
0;1;2;0;0;0;0;1;0;1
0;1;3;0;0;0;0;0;1;0
0;1;3;0;0;0;0;0;1;0
0;1;3;0;0;0;0;0;1;0
0;1;3;0;0;0;0;0;1;0
0;1;2;0;0;0;0;0;0;0
0;1;3;0;0;0;0;0;1;1
0;1;-2;0;0;0;0;0;1;0
0;1;1;0;0;0;0;1;0;1
0;1;-32;0;1;0;0;0;1;0
0;1;2;0;0;0;0;0;0;0
0;1;3;0;0;0;0;0;1;0
0;1;79;0;0;1;0;0;1;0
0;0;-1;0;0;0;1;0;0;1
0;1;0;0;0;0;1;0;1;1
0;1;-3;0;0;0;0;0;1;0
0;1;-3;0;0;0;0;0;1;0
0;1;-3;0;0;0;0;0;1;0
0;1;-3;0;0;0;0;0;1;0
