MotorData.ActPosition;MotorData.Motor_Pos1reached;MotorData.ActSpeed;MotorData.IsForce;MotorData.ActCurrent;NVL_Recv_Ind.GL_NonMetall;NVL_Recv_Ind.GL_Metall;PLC_PRG.MaterialIsMetal;MotorData.Motor_Pos4reached;MotorData.IsAcceleration
260014;0;0;6;34;1;0;0;0;0
268975;0;0;-1;0;1;0;0;0;0
268975;0;0;0;7;1;0;0;0;0
268975;0;0;0;0;1;0;0;0;0
268975;0;0;3;7;1;0;0;0;0
268975;0;0;-3;0;1;0;0;0;0
268975;0;0;0;-14;1;0;0;0;0
268975;0;0;0;3;1;0;0;0;0
268975;0;0;-1;-5;1;0;0;0;0
268975;0;0;0;7;1;0;0;0;0
268975;0;0;0;-9;1;0;0;0;0
268975;0;0;0;7;1;0;0;0;0
268975;0;0;1;-5;1;0;0;0;0
268975;0;0;-1;0;1;0;0;0;0
268975;0;0;0;12;1;0;0;0;0
268975;0;0;-3;0;1;0;0;0;0
268975;0;0;0;12;1;0;0;0;0
268975;0;0;0;0;1;0;0;0;0
260014;0;0;-3;-8;1;0;0;0;0
182323;0;-84361;-24;-248;1;0;0;0;0
140012;0;-2958;-86;-127;1;0;0;0;0
140012;0;0;-32;-142;1;0;0;0;0
140012;0;0;-33;-136;1;0;0;0;0
140012;0;0;-32;-145;1;0;0;0;0
140012;0;0;-31;-150;1;0;0;0;0
140012;0;0;-31;-150;1;0;0;0;0
140012;0;0;-30;-138;1;0;0;0;0
140012;0;0;-31;-146;1;0;0;0;0
140012;0;0;-31;-150;1;0;0;0;0
140012;0;0;-31;-130;1;0;0;0;0
140012;0;0;-31;-130;1;0;0;0;0
140012;0;0;-31;-142;1;0;0;0;0
260014;0;0;-3;-15;1;0;0;0;0
260014;0;0;-4;-21;1;0;0;0;0
260014;0;0;-3;-20;1;0;0;0;0
260014;0;0;-1;-18;1;0;0;0;0
260014;0;0;-3;-21;1;0;0;0;0
260014;0;0;-1;-10;1;0;0;0;0
260014;0;0;-6;-24;1;0;0;0;0
260014;0;0;-2;-4;1;0;0;0;0
260014;0;0;0;-27;1;0;0;0;0
260014;0;0;-3;-13;1;0;0;0;0
260014;0;0;-4;-6;1;0;0;0;0
260014;0;0;-1;-21;1;0;0;0;0
260014;0;0;-3;-11;1;0;0;0;0
260014;0;0;-3;-15;1;0;0;0;0
260014;0;0;-3;-22;1;0;0;0;0
260014;0;0;-3;-17;1;0;0;0;0
260014;0;0;0;-10;1;0;0;0;0
260014;0;0;-2;-7;1;0;0;0;0
260014;0;0;-3;-35;1;0;0;0;0
260014;0;0;-2;-20;1;0;0;0;0
260014;0;0;-3;-8;1;0;0;0;0
260014;0;9947;-26;13;1;0;1;0;0
260014;0;0;2;12;1;0;0;0;0
260014;0;0;2;15;1;0;0;0;0
260014;0;0;0;25;1;0;0;0;0
260014;0;0;1;33;1;0;0;0;0
260014;0;0;0;22;1;0;0;0;0
260014;0;0;3;29;1;0;0;0;0
260014;0;0;1;30;1;0;0;0;0
260014;0;0;3;26;1;0;0;0;0
260014;0;0;2;20;1;0;0;0;0
260014;0;0;0;12;1;0;0;0;0
260014;0;0;4;15;1;0;0;0;0
260014;0;0;0;4;1;0;0;0;0
260014;0;0;1;14;1;0;0;0;0
260014;0;0;3;1;1;0;0;0;0
260014;0;0;4;18;1;0;0;0;0
260014;0;0;4;17;1;0;0;0;0
260014;0;0;5;13;1;0;0;0;0
260014;0;0;0;17;1;0;0;0;0
260014;0;0;1;28;1;0;0;0;0
260014;0;0;1;16;1;0;0;0;0
260014;0;0;4;3;1;0;0;0;0
260014;0;0;5;37;1;0;0;0;0
260014;0;0;5;8;1;0;0;0;0
254417;0;-68904;9;-104;1;0;0;0;1015
184991;0;70905;56;249;1;0;0;0;-1015
179133;0;-58261;-18;-643;1;0;0;0;0
171622;0;75023;-69;328;1;0;0;0;0
171622;0;75023;-69;328;1;0;0;0;0
140012;0;0;-33;-152;1;0;0;0;0
140012;0;0;-34;-148;1;0;0;0;0
140012;0;0;-34;-136;1;0;0;0;0
140012;0;0;-30;-146;1;0;0;0;0
140012;0;0;-34;-142;1;0;0;0;0
140012;0;0;-33;-144;1;0;0;0;0
140012;0;0;-31;-159;1;0;0;0;0
140012;0;0;-34;-144;1;0;0;0;0
140012;0;0;-28;-127;1;0;0;0;0
140012;0;0;-35;-152;1;0;0;0;0
140012;0;0;-33;-138;1;0;0;0;0
140012;0;0;-31;-144;1;0;0;0;0
140012;0;0;-34;-145;1;0;0;0;0
140012;0;0;-32;-148;1;0;0;0;0
208829;0;84216;-9;140;1;0;0;0;1015
237220;0;71804;99;344;1;0;0;0;-1015
140012;0;0;-33;-146;1;0;0;0;0
140012;0;0;-34;-138;1;0;0;0;0
180844;0;-75284;-164;-219;1;0;0;0;1015
202768;0;-71920;24;-66;1;0;0;0;-1015
232551;0;-70992;-38;-47;1;0;0;0;0
238554;0;-63220;-35;-727;1;0;0;0;0
209873;0;68701;8;227;1;0;0;0;0
196968;0;68382;158;1086;1;0;0;0;0
219704;0;-72036;-178;125;1;0;0;0;0
260014;0;0;-84;30;1;0;0;0;-2001
260014;0;0;7;32;1;0;0;0;0
260014;0;0;6;50;1;0;0;0;0
238699;0;-62147;29;-943;1;0;0;0;-1015
190472;0;-72732;-61;-349;1;0;0;0;0
190472;0;-72732;-61;-349;1;0;0;0;0
177335;0;-65772;-54;-742;1;0;0;0;0
260014;0;0;6;31;1;0;0;0;0
260014;0;0;6;30;1;0;0;0;0
260014;0;0;6;17;1;0;0;0;0
140012;0;-145;-153;342;1;0;0;0;0
