InertialMeasurementUnit RUA magneticY;InertialMeasurementUnit LUA accY;InertialMeasurementUnit BACK magneticZ;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit LUA magneticX;Accelerometer LUA^ accZ;InertialMeasurementUnit LUA magneticY;Accelerometer LUA_ accZ
-579.0;1.0;586.0;-7.0;199.0;467.0;-135.0;383.0;335.0
-584.0;183.0;524.0;-240.0;249.0;587.0;-114.0;237.0;422.0
-593.0;287.0;406.0;-332.0;332.0;611.0;-100.0;275.0;385.0
-560.0;157.0;394.0;-261.0;330.0;592.0;-173.0;253.0;406.0
-561.0;152.0;401.0;-253.0;324.0;589.0;-111.0;259.0;398.0
-564.0;80.0;569.0;-78.0;192.0;446.0;-147.0;380.0;323.0
-560.0;156.0;407.0;-243.0;318.0;588.0;-126.0;269.0;400.0
-556.0;177.0;413.0;-234.0;310.0;586.0;-141.0;278.0;409.0
-556.0;185.0;418.0;-219.0;305.0;581.0;-145.0;286.0;408.0
-565.0;86.0;562.0;-79.0;194.0;449.0;-172.0;372.0;312.0
-565.0;89.0;564.0;-72.0;202.0;453.0;-173.0;376.0;328.0
-551.0;202.0;434.0;-189.0;299.0;574.0;-134.0;301.0;431.0
-550.0;204.0;440.0;-176.0;301.0;570.0;-119.0;307.0;468.0
-545.0;250.0;450.0;-152.0;297.0;566.0;-133.0;309.0;429.0
-546.0;269.0;455.0;-148.0;297.0;564.0;-139.0;312.0;382.0
-568.0;89.0;561.0;-79.0;198.0;450.0;-165.0;372.0;332.0
-537.0;231.0;466.0;-133.0;288.0;557.0;-219.0;314.0;312.0
-552.0;64.0;514.0;-18.0;209.0;445.0;-144.0;332.0;371.0
-568.0;75.0;562.0;-79.0;196.0;446.0;-156.0;379.0;327.0
-276.0;213.0;24.0;-99.0;178.0;407.0;150.0;-95.0;230.0
-586.0;185.0;535.0;-249.0;270.0;576.0;-93.0;239.0;450.0
-567.0;74.0;560.0;-79.0;198.0;445.0;-164.0;368.0;321.0
-567.0;61.0;560.0;-80.0;196.0;446.0;-167.0;361.0;320.0
-526.0;268.0;466.0;-121.0;284.0;550.0;-266.0;316.0;322.0
-517.0;246.0;502.0;-17.0;275.0;538.0;-303.0;343.0;296.0
-566.0;66.0;553.0;-82.0;196.0;445.0;-179.0;357.0;307.0
-566.0;63.0;553.0;-80.0;200.0;448.0;-170.0;356.0;335.0
-567.0;69.0;555.0;-76.0;204.0;451.0;-150.0;359.0;333.0
-566.0;81.0;560.0;-84.0;191.0;445.0;-165.0;377.0;315.0
-568.0;75.0;562.0;-81.0;192.0;445.0;-143.0;377.0;321.0
-567.0;73.0;561.0;-82.0;194.0;445.0;-151.0;377.0;319.0
-565.0;82.0;571.0;-76.0;192.0;446.0;-154.0;385.0;327.0
-567.0;81.0;569.0;-84.0;185.0;442.0;-145.0;383.0;309.0
-567.0;84.0;563.0;-82.0;194.0;446.0;-157.0;377.0;312.0
-278.0;194.0;29.0;-101.0;174.0;402.0;61.0;-91.0;333.0
-284.0;148.0;33.0;-100.0;168.0;395.0;15.0;-86.0;350.0
-289.0;167.0;38.0;-106.0;159.0;387.0;105.0;-79.0;424.0
-451.0;553.0;-251.0;-53.0;154.0;57.0;-3.0;149.0;665.0
-274.0;117.0;10.0;-48.0;103.0;429.0;-488.0;-183.0;60.0
-317.0;89.0;46.0;-133.0;103.0;355.0;-233.0;-34.0;311.0
-351.0;477.0;-239.0;-49.0;179.0;57.0;-159.0;132.0;377.0
-317.0;196.0;53.0;-133.0;72.0;348.0;-181.0;14.0;284.0
