InertialMeasurementUnit R-SHOE EuY;Accelerometer RUA^ accY;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit RUA accX;InertialMeasurementUnit LLA gyroZ
-25;1001.0;-6.0;-66.0;304.0;-115;-163.0;357;-957.0;249.0
-21;1016.0;-4.0;-30.0;264.0;-144;16.0;348;-956.0;58.0
-21;1031.0;14.0;-22.0;255.0;-144;-7.0;352;-964.0;51.0
-21;1001.0;-8.0;-4.0;265.0;-144;20.0;350;-956.0;-43.0
-21;999.0;-13.0;-19.0;273.0;-145;27.0;348;-959.0;-34.0
-21;1010.0;19.0;7.0;276.0;-145;6.0;342;-953.0;-27.0
-21;1012.0;5.0;5.0;268.0;-145;-10.0;355;-970.0;11.0
-21;1000.0;11.0;-15.0;267.0;-145;-18.0;347;-965.0;51.0
-21;995.0;36.0;-29.0;263.0;-145;3.0;354;-953.0;-2.0
-21;998.0;28.0;21.0;266.0;-144;27.0;347;-957.0;52.0
-21;999.0;30.0;-1.0;263.0;-144;37.0;347;-954.0;16.0
-21;1006.0;-42.0;-13.0;266.0;-144;20.0;352;-962.0;27.0
-31;726.0;-79.0;100.0;191.0;-71;114.0;439;-913.0;-53.0
-30;953.0;40.0;9.0;271.0;-73;53.0;499;-907.0;-16.0
-30;942.0;74.0;36.0;270.0;-72;120.0;493;-896.0;-22.0
-37;1027.0;81.0;17.0;257.0;-77;280.0;549;-891.0;-65.0
-21;1017.0;17.0;-19.0;278.0;-145;-3.0;347;-954.0;66.0
-21;1013.0;-9.0;11.0;280.0;-145;-5.0;342;-942.0;100.0
-21;1009.0;-4.0;4.0;272.0;-145;54.0;347;-950.0;42.0
-21;1011.0;-4.0;56.0;273.0;-145;59.0;347;-955.0;0.0
-21;983.0;-37.0;28.0;273.0;-145;47.0;349;-967.0;-14.0
-28;1005.0;52.0;53.0;263.0;-71;33.0;445;-919.0;25.0
-27;979.0;2.0;19.0;276.0;-71;23.0;439;-933.0;-2.0
-27;967.0;0.0;41.0;237.0;-71;44.0;442;-950.0;3.0
-27;968.0;-42.0;6.0;223.0;-71;40.0;440;-935.0;35.0
-27;986.0;4.0;21.0;219.0;-71;60.0;433;-931.0;46.0
-27;960.0;-15.0;24.0;218.0;-71;48.0;433;-928.0;69.0
-27;970.0;-25.0;-10.0;218.0;-71;11.0;428;-943.0;8.0
-27;959.0;6.0;2.0;213.0;-71;3.0;420;-932.0;31.0
-27;989.0;-33.0;-11.0;214.0;-71;-5.0;428;-934.0;59.0
-27;970.0;-10.0;-11.0;216.0;-71;17.0;437;-939.0;34.0
-27;982.0;-7.0;-22.0;221.0;-71;-1.0;432;-939.0;42.0
-27;998.0;-16.0;-58.0;231.0;-71;-19.0;428;-935.0;93.0
-27;1010.0;-52.0;-54.0;198.0;-71;-66.0;427;-897.0;85.0
-28;1039.0;-86.0;-169.0;140.0;-71;-95.0;442;-825.0;45.0
-27;1026.0;-69.0;-57.0;206.0;-71;-34.0;434;-892.0;65.0
-27;1038.0;-60.0;-17.0;225.0;-71;17.0;434;-885.0;66.0
-22;869.0;-55.0;-27.0;296.0;-147;-45.0;336;-851.0;35.0
-28;1040.0;-150.0;-116.0;487.0;-71;98.0;424;-1059.0;76.0
-22;889.0;-30.0;-14.0;302.0;-147;-21.0;324;-842.0;9.0
-29;1045.0;118.0;-216.0;291.0;-71;-183.0;437;-714.0;95.0
-33;1027.0;-11.0;2.0;234.0;-116;46.0;342;-959.0;-18.0
-22;844.0;-22.0;-6.0;300.0;-147;-17.0;329;-845.0;-31.0
-22;830.0;21.0;-23.0;296.0;-147;-8.0;332;-855.0;-21.0
-27;903.0;-18.0;11.0;347.0;-71;52.0;416;-727.0;-57.0
-27;870.0;-14.0;4.0;351.0;-71;-56.0;412;-760.0;42.0
-27;840.0;12.0;-10.0;375.0;-71;-27.0;412;-753.0;29.0
-27;849.0;11.0;1.0;369.0;-71;-50.0;410;-753.0;138.0
-22;850.0;3.0;-21.0;304.0;-147;-1.0;325;-847.0;-1.0
-22;860.0;3.0;-29.0;299.0;-147;-1.0;338;-832.0;28.0
-22;849.0;24.0;-18.0;284.0;-147;14.0;342;-841.0;32.0
-28;669.0;-12.0;2.0;349.0;-71;-4.0;422;-718.0;83.0
-27;809.0;4.0;-11.0;363.0;-71;58.0;414;-746.0;25.0
-27;804.0;-8.0;-17.0;353.0;-71;6.0;414;-743.0;8.0
-25;900.0;-7.0;13.0;460.0;-75;-27.0;380;-726.0;160.0
-31;688.0;-51.0;23.0;403.0;-78;53.0;462;-640.0;-24.0
-27;786.0;-36.0;-8.0;411.0;-71;-18.0;417;-707.0;158.0
-37;757.0;-35.0;-2.0;393.0;-78;22.0;558;-544.0;41.0
-22;851.0;58.0;-15.0;286.0;-147;-25.0;329;-837.0;40.0
-22;860.0;11.0;-25.0;308.0;-147;-23.0;327;-813.0;19.0
-21;992.0;-37.0;-2.0;281.0;-145;37.0;337;-968.0;1.0
-22;844.0;-64.0;-10.0;262.0;-147;-101.0;351;-809.0;31.0
-21;1012.0;-52.0;-23.0;277.0;-145;53.0;339;-963.0;-7.0
-21;1008.0;-46.0;-4.0;275.0;-145;10.0;338;-953.0;41.0
-20;858.0;-243.0;93.0;268.0;-142;66.0;325;-736.0;194.0
-20;879.0;-39.0;31.0;262.0;-135;41.0;333;-797.0;3.0
-63;868.0;39.0;95.0;117.0;-32;33.0;-177;-792.0;-244.0
-20;1000.0;-46.0;29.0;239.0;-156;20.0;342;-963.0;50.0
-20;989.0;-45.0;29.0;242.0;-156;14.0;343;-958.0;65.0
-20;1007.0;-35.0;35.0;240.0;-156;18.0;343;-965.0;70.0
-20;1022.0;-41.0;40.0;259.0;-156;-3.0;339;-952.0;58.0
-20;985.0;-3.0;14.0;249.0;-156;-20.0;339;-950.0;60.0
-20;996.0;-57.0;-11.0;237.0;-156;17.0;335;-950.0;99.0
-20;1013.0;2.0;13.0;251.0;-154;14.0;346;-971.0;32.0
-20;1030.0;8.0;-12.0;243.0;-154;12.0;345;-958.0;21.0
-20;1014.0;17.0;10.0;239.0;-154;29.0;342;-951.0;51.0
-20;1026.0;28.0;-1.0;240.0;-154;-9.0;339;-953.0;46.0
-20;1030.0;44.0;11.0;242.0;-154;-1.0;346;-944.0;38.0
-20;1046.0;138.0;72.0;221.0;-156;30.0;342;-934.0;75.0
-20;1006.0;12.0;-3.0;236.0;-154;-11.0;343;-967.0;4.0
-20;1004.0;15.0;-5.0;245.0;-154;-1.0;341;-975.0;32.0
-20;1011.0;-15.0;12.0;249.0;-154;-19.0;347;-976.0;45.0
-20;1027.0;-17.0;-5.0;243.0;-154;-10.0;343;-961.0;61.0
-20;1022.0;-23.0;-3.0;239.0;-154;-11.0;343;-962.0;28.0
-20;1008.0;3.0;-26.0;239.0;-154;0.0;343;-969.0;44.0
-20;998.0;1.0;3.0;241.0;-154;26.0;344;-974.0;56.0
-20;1003.0;-8.0;-5.0;242.0;-154;2.0;345;-968.0;24.0
-20;1009.0;-25.0;34.0;244.0;-154;8.0;347;-968.0;54.0
-20;1001.0;-4.0;-10.0;240.0;-154;27.0;343;-970.0;34.0
-20;1005.0;-24.0;-16.0;242.0;-154;-7.0;345;-964.0;34.0
-20;1013.0;-21.0;12.0;241.0;-154;20.0;345;-966.0;30.0
-20;1012.0;-13.0;16.0;245.0;-154;-5.0;347;-968.0;37.0
-20;1020.0;-26.0;-12.0;242.0;-154;6.0;342;-967.0;34.0
-20;1011.0;-15.0;-14.0;250.0;-154;18.0;343;-971.0;41.0
-20;1008.0;4.0;-3.0;245.0;-154;-21.0;342;-965.0;64.0
-20;998.0;-7.0;6.0;250.0;-154;-8.0;341;-965.0;56.0
-20;1020.0;17.0;19.0;252.0;-154;21.0;347;-965.0;50.0
-20;1011.0;-11.0;-3.0;251.0;-154;-23.0;346;-965.0;36.0
-20;1022.0;-11.0;14.0;251.0;-154;-13.0;345;-966.0;50.0
-20;1016.0;-28.0;3.0;251.0;-154;0.0;343;-963.0;31.0
-20;1023.0;-30.0;-4.0;250.0;-154;-12.0;341;-961.0;48.0
-20;1004.0;-24.0;-28.0;246.0;-154;-13.0;343;-961.0;60.0
-20;1005.0;-42.0;-5.0;249.0;-154;0.0;339;-963.0;30.0
-20;1010.0;-15.0;3.0;247.0;-154;-21.0;339;-974.0;30.0
-20;1000.0;-17.0;18.0;249.0;-154;-5.0;345;-958.0;26.0
-20;1012.0;-15.0;3.0;245.0;-154;6.0;342;-958.0;42.0
-20;1018.0;1.0;10.0;251.0;-154;-2.0;343;-961.0;74.0
-20;1004.0;5.0;-18.0;254.0;-154;6.0;343;-966.0;56.0
-20;1001.0;-16.0;-1.0;253.0;-154;22.0;343;-971.0;20.0
-20;1014.0;-27.0;2.0;256.0;-154;-9.0;344;-961.0;62.0
-20;999.0;6.0;10.0;258.0;-154;8.0;341;-960.0;62.0
