Accelerometer LUA^ accX;Accelerometer LUA_ accY;Accelerometer LH accY;Accelerometer RKN^ accY;InertialMeasurementUnit LLA accY;InertialMeasurementUnit L-SHOE EuZ;Accelerometer LUA_ accX;Accelerometer LH accX;Accelerometer LWR accY;Accelerometer LWR accZ;InertialMeasurementUnit LLA accX
-3.0;851.0;986.0;1023.0;-430.0;6;-243.0;345.0;895.0;339.0;-752.0
-59.0;800.0;931.0;1013.0;-483.0;5;-281.0;309.0;838.0;358.0;-759.0
-118.0;770.0;871.0;1046.0;-594.0;4;-336.0;?;770.0;405.0;-807.0
-208.0;812.0;875.0;1045.0;-649.0;4;-427.0;282.0;826.0;421.0;-858.0
-198.0;865.0;915.0;1072.0;-615.0;3;-474.0;389.0;884.0;491.0;-928.0
-143.0;944.0;972.0;980.0;-592.0;3;-444.0;491.0;?;514.0;-962.0
-45.0;1010.0;1053.0;981.0;-527.0;3;-351.0;553.0;1089.0;491.0;?
-33.0;986.0;1082.0;1002.0;?;3;-284.0;594.0;1032.0;541.0;?
-1.0;968.0;1093.0;1030.0;-454.0;4;-232.0;600.0;1026.0;478.0;-961.0
6.0;966.0;1088.0;995.0;-514.0;4;-217.0;?;1043.0;468.0;-993.0
-3.0;1017.0;1104.0;1026.0;-475.0;4;-231.0;521.0;1067.0;444.0;-1003.0
75.0;1021.0;1121.0;1058.0;-424.0;4;-202.0;599.0;1099.0;430.0;-1059.0
34.0;1034.0;1105.0;1044.0;-387.0;4;-188.0;561.0;1110.0;?;-1041.0
34.0;1063.0;1115.0;?;-345.0;4;-155.0;405.0;1119.0;376.0;-993.0
46.0;1032.0;1115.0;1000.0;-316.0;4;-151.0;357.0;1071.0;365.0;-1037.0
-17.0;988.0;1088.0;1012.0;?;5;-187.0;306.0;988.0;179.0;-1071.0
-26.0;1058.0;1142.0;1014.0;-309.0;5;-194.0;218.0;1046.0;240.0;?
8.0;1030.0;1091.0;1026.0;-318.0;5;-194.0;133.0;960.0;200.0;-879.0
?;905.0;990.0;989.0;-317.0;6;-214.0;120.0;871.0;197.0;?
-85.0;886.0;966.0;994.0;-314.0;5;-285.0;183.0;836.0;128.0;?
-64.0;?;942.0;972.0;-361.0;5;-300.0;119.0;776.0;202.0;-792.0
-45.0;847.0;905.0;999.0;-345.0;4;-311.0;69.0;785.0;312.0;-782.0
-109.0;818.0;892.0;1021.0;-395.0;4;-364.0;49.0;723.0;288.0;-842.0
-137.0;837.0;915.0;985.0;-495.0;4;-367.0;75.0;782.0;276.0;-858.0
-172.0;892.0;1019.0;908.0;-536.0;4;-341.0;247.0;885.0;455.0;-840.0
10.0;858.0;1064.0;1004.0;-662.0;5;-356.0;423.0;?;427.0;?
126.0;?;962.0;1034.0;-656.0;5;-206.0;521.0;956.0;595.0;-968.0
-12.0;1000.0;993.0;1042.0;-588.0;5;-283.0;569.0;1016.0;659.0;-912.0
-149.0;1002.0;1114.0;968.0;-555.0;5;-378.0;631.0;980.0;475.0;-874.0
