Accelerometer LUA^ accX;Accelerometer LUA_ accY;Accelerometer LH accY;Accelerometer RKN^ accY;InertialMeasurementUnit LLA accY;InertialMeasurementUnit L-SHOE EuZ;Accelerometer LUA_ accX;Accelerometer LH accX;Accelerometer LWR accY;Accelerometer LWR accZ;InertialMeasurementUnit LLA accX
183.0;824.0;933.0;934.0;-361.0;-4;-320.0;189.0;810.0;282.0;-668.0
120.0;856.0;1053.0;1008.0;-493.0;7;-292.0;282.0;951.0;456.0;-893.0
146.0;849.0;853.0;990.0;-456.0;0;-328.0;183.0;852.0;406.0;-884.0
20.0;785.0;883.0;808.0;-494.0;0;-401.0;292.0;793.0;394.0;-881.0
214.0;754.0;850.0;996.0;-432.0;11;-255.0;261.0;851.0;295.0;-784.0
214.0;750.0;899.0;1012.0;-432.0;10;-266.0;238.0;809.0;307.0;-788.0
16.0;782.0;707.0;834.0;-556.0;1;-341.0;4.0;864.0;457.0;-820.0
165.0;995.0;1094.0;1130.0;-374.0;4;-253.0;280.0;1025.0;359.0;-816.0
20.0;907.0;986.0;1009.0;-377.0;9;-199.0;274.0;923.0;363.0;-848.0
129.0;864.0;1001.0;885.0;-579.0;13;-437.0;445.0;830.0;453.0;-811.0
32.0;904.0;969.0;946.0;-472.0;13;-481.0;303.0;806.0;437.0;-728.0
197.0;824.0;974.0;1040.0;-545.0;11;-195.0;382.0;885.0;364.0;-791.0
104.0;930.0;1016.0;808.0;-354.0;2;-191.0;224.0;969.0;275.0;-933.0
172.0;783.0;901.0;973.0;-335.0;4;-225.0;252.0;878.0;248.0;-861.0
126.0;766.0;843.0;930.0;-404.0;19;-214.0;291.0;797.0;301.0;-808.0
146.0;826.0;865.0;1013.0;-376.0;19;-257.0;310.0;833.0;350.0;-732.0
208.0;650.0;628.0;1038.0;-608.0;13;-542.0;443.0;729.0;674.0;-640.0
284.0;858.0;958.0;909.0;-554.0;14;-277.0;487.0;911.0;531.0;-745.0
168.0;813.0;886.0;915.0;-553.0;14;-351.0;441.0;834.0;398.0;-722.0
143.0;774.0;864.0;931.0;-563.0;12;-374.0;447.0;791.0;482.0;-710.0
219.0;840.0;913.0;1071.0;-601.0;22;-349.0;510.0;848.0;496.0;-829.0
171.0;708.0;853.0;912.0;-385.0;13;-373.0;578.0;818.0;605.0;-787.0
160.0;642.0;527.0;219.0;-433.0;-19;-584.0;478.0;491.0;614.0;-557.0
232.0;710.0;820.0;1010.0;-352.0;-6;-320.0;250.0;745.0;308.0;-697.0
219.0;921.0;947.0;987.0;-515.0;7;-296.0;505.0;937.0;462.0;-798.0
166.0;850.0;900.0;877.0;-430.0;-7;-329.0;346.0;871.0;396.0;-763.0
335.0;952.0;777.0;829.0;-197.0;5;-328.0;17.0;784.0;149.0;-739.0
209.0;735.0;720.0;1027.0;-523.0;6;-357.0;744.0;605.0;597.0;-748.0
63.0;882.0;681.0;1025.0;-686.0;4;-359.0;477.0;757.0;562.0;-711.0
27.0;891.0;732.0;919.0;-471.0;4;-412.0;315.0;758.0;470.0;-882.0
-29.0;814.0;593.0;866.0;-527.0;4;-512.0;248.0;662.0;441.0;-693.0
179.0;691.0;756.0;964.0;-393.0;10;-201.0;265.0;746.0;345.0;-655.0
201.0;688.0;729.0;976.0;-424.0;11;-230.0;281.0;725.0;302.0;-632.0
41.0;666.0;752.0;1044.0;-542.0;11;-349.0;323.0;666.0;309.0;-606.0
209.0;792.0;907.0;927.0;-341.0;4;-174.0;191.0;831.0;219.0;-781.0
221.0;811.0;925.0;949.0;-476.0;9;-218.0;252.0;879.0;334.0;-745.0
66.0;729.0;828.0;1024.0;-521.0;6;-350.0;370.0;750.0;346.0;-624.0
-8.0;666.0;822.0;1341.0;-483.0;-17;-401.0;278.0;642.0;390.0;-628.0
249.0;870.0;978.0;925.0;-370.0;10;-163.0;170.0;855.0;315.0;-834.0
87.0;795.0;715.0;197.0;-454.0;-10;-719.0;448.0;589.0;582.0;-758.0
-27.0;756.0;812.0;708.0;-685.0;11;-459.0;377.0;637.0;339.0;-730.0
-14.0;743.0;749.0;912.0;-687.0;13;-469.0;340.0;617.0;440.0;-685.0
65.0;847.0;830.0;774.0;-562.0;23;-410.0;285.0;757.0;384.0;-767.0
9.0;849.0;982.0;787.0;-581.0;29;-451.0;426.0;780.0;437.0;-770.0
65.0;937.0;1014.0;683.0;-763.0;18;-526.0;619.0;811.0;489.0;-904.0
154.0;921.0;1040.0;710.0;-523.0;22;-358.0;217.0;898.0;386.0;-861.0
273.0;771.0;888.0;1002.0;-370.0;5;-200.0;283.0;788.0;371.0;-794.0
-6.0;968.0;1013.0;1012.0;-376.0;9;-216.0;270.0;974.0;309.0;-922.0
101.0;733.0;738.0;741.0;-399.0;14;-563.0;566.0;683.0;588.0;-872.0
19.0;945.0;995.0;1003.0;-389.0;9;-203.0;275.0;941.0;274.0;-914.0
190.0;856.0;975.0;879.0;-400.0;6;-290.0;254.0;871.0;329.0;-768.0
167.0;890.0;883.0;1273.0;-485.0;5;-370.0;381.0;871.0;354.0;-856.0
206.0;868.0;960.0;912.0;-482.0;2;-254.0;279.0;891.0;379.0;-817.0
113.0;855.0;910.0;802.0;-434.0;4;-355.0;351.0;807.0;437.0;-829.0
257.0;916.0;977.0;286.0;-312.0;4;-372.0;412.0;884.0;465.0;-887.0
288.0;965.0;1115.0;503.0;-400.0;-117;-296.0;197.0;974.0;439.0;-650.0
64.0;696.0;817.0;1094.0;-362.0;-1;-345.0;370.0;737.0;432.0;-780.0
15.0;854.0;895.0;1148.0;-487.0;-2;-386.0;352.0;807.0;386.0;-1007.0
209.0;860.0;937.0;914.0;-437.0;-2;-344.0;404.0;849.0;483.0;-806.0
197.0;759.0;865.0;949.0;-540.0;-1;-322.0;453.0;764.0;420.0;-827.0
149.0;663.0;746.0;951.0;-530.0;-6;-344.0;306.0;632.0;409.0;-775.0
109.0;662.0;672.0;991.0;-470.0;-5;-396.0;373.0;627.0;413.0;-555.0
159.0;695.0;772.0;1009.0;-535.0;-4;-346.0;439.0;694.0;432.0;-634.0
180.0;618.0;731.0;903.0;-397.0;-6;-310.0;486.0;697.0;425.0;-1201.0
53.0;526.0;529.0;1237.0;-920.0;9;-442.0;187.0;576.0;482.0;-831.0
122.0;682.0;824.0;1096.0;-511.0;-7;-434.0;625.0;750.0;636.0;-785.0
59.0;689.0;748.0;1104.0;-574.0;-7;-361.0;360.0;712.0;367.0;-602.0
20.0;576.0;734.0;1117.0;-275.0;3;-324.0;410.0;621.0;357.0;-978.0
154.0;771.0;873.0;935.0;-371.0;4;-194.0;212.0;845.0;388.0;-809.0
72.0;796.0;793.0;885.0;-498.0;8;-452.0;588.0;762.0;344.0;-837.0
223.0;878.0;896.0;1013.0;-413.0;5;-260.0;511.0;931.0;478.0;-787.0
156.0;863.0;893.0;977.0;-433.0;7;-296.0;477.0;888.0;429.0;-806.0
243.0;735.0;835.0;1038.0;-154.0;-8;-147.0;19.0;728.0;215.0;-687.0
126.0;786.0;883.0;949.0;-359.0;7;-234.0;230.0;818.0;361.0;-750.0
38.0;678.0;781.0;1116.0;-421.0;-4;-308.0;127.0;672.0;299.0;-738.0
116.0;822.0;884.0;983.0;-433.0;7;-328.0;465.0;819.0;454.0;-806.0
92.0;819.0;876.0;990.0;-503.0;8;-375.0;451.0;792.0;442.0;-781.0
242.0;916.0;962.0;1024.0;-469.0;6;-293.0;584.0;950.0;498.0;-884.0
156.0;800.0;860.0;957.0;-378.0;7;-240.0;158.0;813.0;298.0;-734.0
249.0;958.0;1025.0;1046.0;-703.0;6;-252.0;517.0;969.0;419.0;-766.0
212.0;882.0;896.0;1023.0;-557.0;7;-296.0;473.0;887.0;478.0;-772.0
219.0;866.0;888.0;1007.0;-578.0;7;-320.0;496.0;896.0;472.0;-828.0
228.0;859.0;919.0;1017.0;-580.0;6;-272.0;497.0;866.0;413.0;-905.0
188.0;930.0;1030.0;1118.0;-461.0;3;-281.0;424.0;1025.0;413.0;-728.0
125.0;800.0;874.0;953.0;-357.0;18;-252.0;136.0;795.0;261.0;-838.0
110.0;790.0;911.0;927.0;-394.0;7;-250.0;266.0;816.0;352.0;-766.0
137.0;842.0;911.0;965.0;-369.0;6;-238.0;207.0;877.0;364.0;-761.0
110.0;814.0;943.0;900.0;-384.0;5;-227.0;254.0;866.0;357.0;-788.0
164.0;813.0;953.0;911.0;-398.0;5;-237.0;312.0;862.0;370.0;-806.0
-107.0;942.0;1187.0;988.0;-511.0;5;-388.0;575.0;951.0;446.0;-907.0
676.0;475.0;167.0;342.0;-958.0;-3;-184.0;652.0;634.0;552.0;-86.0
91.0;789.0;835.0;1049.0;-480.0;5;-232.0;221.0;812.0;295.0;-779.0
87.0;701.0;582.0;938.0;-659.0;3;-745.0;360.0;386.0;275.0;-607.0
