InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RKN^ accZ;Accelerometer RKN_ accZ;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelNavFrameZ;InertialMeasurementUnit R-SHOE Body_Ax;Accelerometer RKN_ accY;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;Accelerometer RKN_ accX
-756;499.0;-75.0;-5;26;-22;-257;938.0;15;83;-22;282.0
-835;573.0;-175.0;-3;16;22;-230;918.0;4;63;22;250.0
-822;578.0;16.0;1;30;38;-257;911.0;-165;80;38;226.0
-772;949.0;-201.0;-2;21;0;-273;910.0;-1;83;0;330.0
-821;340.0;40.0;5;12;54;-248;911.0;-251;118;54;273.0
-818;532.0;11.0;3;14;-24;-270;941.0;-27;68;-24;263.0
-803;487.0;86.0;20;17;-71;-324;968.0;-19;61;-71;212.0
-833;673.0;18.0;14;15;71;-261;887.0;-4;63;71;343.0
-847;591.0;-77.0;17;19;-5;-202;909.0;101;74;-5;358.0
-850;577.0;-134.0;14;14;20;-211;905.0;20;59;20;458.0
-917;357.0;71.0;3;22;1206;-717;951.0;-301;-283;1206;257.0
-813;497.0;-21.0;4;14;-2;-274;965.0;-5;71;-2;246.0
-818;480.0;-1.0;4;14;9;-270;960.0;0;68;9;255.0
-823;530.0;-22.0;9;23;25;-294;950.0;1;59;25;213.0
-811;541.0;21.0;9;23;-24;-301;970.0;-4;66;-24;162.0
-811;537.0;-4.0;4;14;-11;-276;968.0;-6;72;-11;227.0
-814;421.0;121.0;48;20;-61;-263;904.0;-4;72;-61;340.0
-762;421.0;-37.0;35;32;14;-286;963.0;140;111;14;236.0
-874;363.0;-72.0;153;25;-91;-337;916.0;209;130;-91;291.0
-817;505.0;-16.0;19;21;3;-274;929.0;47;73;3;260.0
-813;628.0;54.0;8;12;17;-258;969.0;10;67;17;154.0
-820;627.0;-79.0;8;19;41;-257;952.0;12;69;41;206.0
-819;348.0;100.0;-13;8;17;-280;897.0;-181;82;17;319.0
-822;319.0;-13.0;73;16;-26;-256;918.0;-3;66;-26;318.0
-806;611.0;-11.0;19;16;-26;-286;949.0;-41;69;-26;196.0
-817;634.0;38.0;18;20;-11;-255;957.0;62;72;-11;238.0
-806;634.0;155.0;-48;-1;13;-292;925.0;194;110;13;268.0
-664;800.0;138.0;2;31;-181;-199;904.0;204;182;-181;273.0
-821;530.0;-21.0;24;17;-21;-258;917.0;-2;70;-21;403.0
-837;294.0;-28.0;61;23;287;-304;894.0;-70;29;287;404.0
-825;461.0;-42.0;8;19;5;-273;924.0;-19;64;5;267.0
-829;505.0;17.0;4;14;28;-247;997.0;23;67;28;61.0
-819;515.0;-9.0;9;23;20;-289;978.0;1;62;20;195.0
-836;463.0;-247.0;135;21;-167;-294;1827.0;-38;276;-167;139.0
-825;564.0;-182.0;2;18;1319;-246;946.0;11;95;1319;215.0
-830;646.0;-74.0;5;25;-33;-270;960.0;44;67;-33;238.0
