Accelerometer HIP accZ;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit BACK accX;InertialMeasurementUnit LUA accX;InertialMeasurementUnit RUA accX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE Nav_Az
36.0;999;-924.0;-924.0;-942.0;-999;51
-5.0;-8;-965.0;-973.0;-890.0;8;-16
-151.0;66;-781.0;-816.0;-816.0;-66;-19
-58.0;8;-838.0;-990.0;-835.0;-8;-27
38.0;28;-872.0;-914.0;-903.0;-28;-17
-62.0;27;-930.0;-918.0;-889.0;-27;-15
-5.0;36;-953.0;-943.0;-855.0;-36;-22
-20.0;-10;-953.0;-902.0;-858.0;10;-21
-21.0;-26;-926.0;-979.0;-948.0;26;-20
-89.0;-3;-964.0;-929.0;-874.0;3;-22
109.0;2107;-935.0;-964.0;-942.0;-2107;-29
99.0;80;-956.0;-962.0;-768.0;-80;-20
-414.0;8;-201.0;-478.0;-943.0;-8;-17
31.0;3;-959.0;-975.0;-944.0;-3;-23
40.0;0;-918.0;-555.0;-819.0;0;-16
67.0;116;-1135.0;-1189.0;-1029.0;-116;-24
-12.0;-15;-969.0;-993.0;-977.0;15;-18
70.0;21;-966.0;-997.0;-992.0;-21;-14
9.0;22;-981.0;-1016.0;-993.0;-22;-17
-35.0;13;-959.0;-669.0;-944.0;-13;-18
-29.0;23;-957.0;-898.0;-914.0;-23;-19
95.0;-32;-966.0;-820.0;-515.0;32;-15
91.0;2;-980.0;-960.0;-375.0;-2;-21
224.0;-4;-946.0;-977.0;-938.0;4;-19
217.0;-28;-963.0;-982.0;-968.0;28;-18
262.0;5;-968.0;-992.0;-967.0;-5;-17
-109.0;-8;-836.0;-874.0;-999.0;8;-14
-59.0;-17;-982.0;-955.0;-702.0;17;-12
-83.0;-3328;-912.0;-998.0;-853.0;3328;389
60.0;-22;-950.0;-960.0;-864.0;22;-17
91.0;3;-957.0;-952.0;-948.0;-3;-24
81.0;-9;-946.0;-949.0;-879.0;9;-15
170.0;21;-959.0;-984.0;-927.0;-21;-8
-37.0;16;-970.0;-990.0;-987.0;-16;-18
100.0;-24;-974.0;-1021.0;-743.0;24;-22
32.0;-13;-933.0;-1134.0;-878.0;13;-20
195.0;-9;-1030.0;-1074.0;-903.0;9;-7
48.0;27;-961.0;-977.0;-865.0;-27;-20
129.0;0;-950.0;-960.0;-854.0;0;-17
110.0;-119;-976.0;-963.0;-769.0;119;-24
70.0;10;-953.0;-966.0;-865.0;-10;-17
40.0;-3;-949.0;-790.0;-654.0;3;-21
33.0;-1;-948.0;-978.0;-651.0;1;-18
242.0;9;-949.0;-961.0;-810.0;-9;-24
53.0;450;-952.0;-945.0;-915.0;-450;-14
63.0;84;-1317.0;-1312.0;-1324.0;-84;2
163.0;20;-979.0;-956.0;-796.0;-20;-17
9.0;21;-940.0;-921.0;-789.0;-21;-25
78.0;-14;-951.0;-945.0;-926.0;14;-16
-119.0;38;-956.0;-978.0;-937.0;-38;-19
0.0;-20;-950.0;-887.0;-780.0;20;-21
431.0;88;-557.0;-517.0;-551.0;-88;82
-213.0;-15;-606.0;-850.0;-959.0;15;-16
81.0;28;-956.0;-954.0;-932.0;-28;-16
123.0;-36;-946.0;-986.0;-960.0;36;-13
-413.0;-34;-667.0;-778.0;-1007.0;34;-17
-167.0;212;-837.0;-868.0;-864.0;-212;-22
183.0;18;-965.0;-978.0;-972.0;-18;-20
134.0;4;-944.0;-986.0;-954.0;-4;-21
225.0;-31;-949.0;-898.0;-831.0;31;5
136.0;-17;-978.0;-964.0;-656.0;17;-21
229.0;137;-952.0;-887.0;-827.0;-137;-43
63.0;-3;-957.0;-913.0;-799.0;3;-20
-135.0;22;-953.0;-933.0;-798.0;-22;-20
53.0;-13;-941.0;-953.0;-910.0;13;-18
82.0;7;-962.0;-881.0;-843.0;-7;-16
-99.0;-14;-946.0;-941.0;-932.0;14;-17
-57.0;-26;-975.0;-1003.0;-995.0;26;-10
-66.0;25;-1014.0;-1015.0;-903.0;-25;-22
80.0;6744;-870.0;-870.0;-852.0;-6744;-623
-15.0;5;-958.0;-957.0;-527.0;-5;-23
133.0;-15;-983.0;-974.0;-542.0;15;-17
-9.0;6;-970.0;-991.0;-765.0;-6;-19
-154.0;-10;-945.0;-854.0;-780.0;10;-18
-41.0;-371;-928.0;-903.0;-888.0;371;27
173.0;3798;-880.0;-874.0;-938.0;-3798;-162
-192.0;3;-903.0;-912.0;-985.0;-3;-24
