Accelerometer LUA^ accX;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit RLA magneticY;Accelerometer RKN_ accX;InertialMeasurementUnit RUA magneticX;Accelerometer BACK accX
137.0;-74.0;10.0;-43.0;293.0;475.0;67.0
45.0;102.0;3.0;128.0;206.0;206.0;-142.0
17.0;8.0;154.0;45.0;827.0;246.0;-403.0
237.0;52.0;-152.0;-337.0;372.0;474.0;205.0
11.0;85.0;-60.0;28.0;394.0;322.0;-10.0
301.0;101.0;-59.0;-221.0;283.0;326.0;79.0
275.0;-6.0;-51.0;-230.0;287.0;331.0;75.0
-289.0;6.0;-156.0;150.0;334.0;25.0;-15.0
231.0;-34.0;-40.0;-244.0;265.0;335.0;96.0
218.0;-47.0;-45.0;-252.0;268.0;339.0;97.0
220.0;-18.0;-36.0;-260.0;226.0;343.0;121.0
262.0;-32.0;40.0;-284.0;273.0;348.0;139.0
412.0;-11.0;72.0;-356.0;232.0;289.0;273.0
269.0;-106.0;-19.0;-407.0;274.0;336.0;245.0
221.0;-62.0;-59.0;-300.0;284.0;347.0;131.0
270.0;-62.0;-54.0;-298.0;320.0;350.0;116.0
264.0;-56.0;-39.0;-293.0;302.0;349.0;94.0
290.0;-60.0;-54.0;-288.0;313.0;346.0;68.0
292.0;-222.0;62.0;-251.0;317.0;460.0;30.0
11.0;-8.0;96.0;-336.0;237.0;263.0;240.0
52.0;-75.0;-19.0;-376.0;322.0;133.0;344.0
78.0;-50.0;-62.0;-203.0;238.0;258.0;249.0
17.0;-35.0;120.0;-198.0;272.0;257.0;241.0
-50.0;-163.0;341.0;-82.0;337.0;180.0;265.0
134.0;-97.0;333.0;-462.0;256.0;366.0;262.0
221.0;-75.0;48.0;-298.0;298.0;347.0;79.0
-89.0;-22.0;51.0;27.0;304.0;403.0;100.0
-102.0;-40.0;169.0;30.0;302.0;395.0;125.0
-152.0;81.0;134.0;40.0;278.0;366.0;99.0
-282.0;-15.0;-26.0;-325.0;91.0;356.0;60.0
