InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit BACK accY;InertialMeasurementUnit RLA magneticZ;Accelerometer RKN^ accZ;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA magneticX;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit RLA gyroX
-128.0;-284.0;-767.0;455.0;574.0;-174;574.0;-111.0;583.0;-108.0;-139.0;217.0;-8.0
1257.0;-581.0;467.0;534.0;-432.0;-7;14.0;191.0;-72.0;-71.0;120.0;848.0;167.0
273.0;-195.0;-11.0;934.0;-213.0;-154;565.0;-232.0;273.0;-253.0;-115.0;299.0;272.0
231.0;-333.0;-139.0;947.0;-189.0;-155;553.0;40.0;304.0;-70.0;-19.0;335.0;127.0
-245.0;-364.0;-188.0;1523.0;235.0;17;913.0;251.0;769.0;89.0;-110.0;107.0;560.0
197.0;-318.0;-194.0;914.0;-147.0;-155;565.0;-30.0;344.0;-35.0;-15.0;378.0;-75.0
537.0;-483.0;1401.0;582.0;-455.0;-4;-95.0;-257.0;-53.0;-121.0;-318.0;729.0;-119.0
220.0;-349.0;-5.0;951.0;-47.0;-155;505.0;-13.0;175.0;217.0;5.0;339.0;116.0
-243.0;-113.0;122.0;1830.0;-191.0;-149;428.0;-207.0;337.0;263.0;309.0;6.0;-473.0
407.0;-266.0;-9.0;951.0;-219.0;-155;538.0;-3.0;218.0;-95.0;-47.0;326.0;-46.0
211.0;-301.0;-134.0;930.0;-203.0;-155;547.0;63.0;288.0;7.0;23.0;298.0;-5.0
325.0;-293.0;440.0;716.0;-183.0;-44;139.0;631.0;239.0;269.0;520.0;513.0;-2.0
153.0;-227.0;-102.0;907.0;-174.0;-154;617.0;25.0;317.0;-50.0;-41.0;320.0;-102.0
173.0;-237.0;-65.0;919.0;-185.0;-154;618.0;-314.0;303.0;-144.0;-171.0;315.0;-124.0
224.0;-204.0;177.0;1012.0;300.0;-64;353.0;-125.0;402.0;56.0;-148.0;104.0;-317.0
-65.0;-97.0;316.0;1222.0;-219.0;134;573.0;381.0;559.0;192.0;456.0;12.0;415.0
283.0;-270.0;-140.0;924.0;-230.0;-155;532.0;-68.0;221.0;-209.0;-61.0;313.0;-411.0
173.0;-195.0;-94.0;997.0;-368.0;-102;668.0;163.0;-13.0;-20.0;-79.0;13.0;-1149.0
52.0;-274.0;-214.0;956.0;422.0;-144;518.0;-30.0;-109.0;-42.0;-91.0;44.0;-119.0
-69.0;859.0;-547.0;363.0;183.0;-154;-610.0;124.0;-587.0;-74.0;-22.0;-281.0;221.0
-325.0;-3.0;-403.0;201.0;1038.0;-84;757.0;-54.0;684.0;193.0;-612.0;192.0;-45.0
-360.0;-91.0;-368.0;501.0;524.0;166;652.0;-47.0;385.0;-112.0;-56.0;53.0;-61.0
-404.0;-83.0;-791.0;495.0;373.0;165;667.0;-342.0;417.0;-837.0;-20.0;38.0;-101.0
-376.0;-99.0;-603.0;509.0;514.0;165;654.0;-11.0;384.0;-140.0;-55.0;76.0;15.0
-326.0;-71.0;-454.0;487.0;560.0;165;659.0;-37.0;401.0;7.0;-16.0;55.0;-32.0
-384.0;-295.0;-773.0;342.0;212.0;-19;1012.0;327.0;917.0;810.0;518.0;182.0;-633.0
-344.0;-445.0;-462.0;474.0;574.0;-93;669.0;82.0;614.0;-185.0;95.0;259.0;-976.0
-374.0;-69.0;-800.0;505.0;433.0;165;661.0;-13.0;408.0;-95.0;-16.0;29.0;47.0
-779.0;-286.0;-461.0;768.0;927.0;170;931.0;305.0;961.0;-19.0;197.0;7.0;315.0
-337.0;-103.0;-368.0;496.0;539.0;165;656.0;-50.0;420.0;-50.0;-37.0;73.0;-22.0
-172.0;-210.0;-773.0;163.0;643.0;137;1012.0;-21.0;1044.0;-201.0;-173.0;133.0;-63.0
-2.0;-238.0;-793.0;620.0;647.0;-97;534.0;7.0;495.0;-46.0;-25.0;67.0;2.0
