InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;Accelerometer RKN_ accY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;Accelerometer HIP accY;InertialMeasurementUnit L-SHOE EuY;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelNavFrameZ
593;6;4;1;10;915.0;-10;-8;995.0;-35;-828;10;-8
569;-8;1;2;10;883.0;-19;1;1001.0;-33;-849;10;1
595;3;1;-1;-9;907.0;-16;10;974.0;-35;-825;-9;10
593;-2;1;-2;21;894.0;-17;-8;958.0;-35;-830;21;-8
481;18;2;10;130;941.0;-122;47;968.0;-22;-879;130;47
577;4;1;-1;32;916.0;-17;30;997.0;-33;-845;32;30
592;9;1;4;0;903.0;-9;7;975.0;-35;-830;0;7
593;4;1;1;-5;914.0;-3;-13;973.0;-35;-835;-5;-13
594;-3;1;-7;5;919.0;-11;8;996.0;-35;-828;5;8
582;-10;1;3;-6;916.0;-8;4;997.0;-35;-837;-6;4
580;7;1;-5;-5;906.0;-7;-7;996.0;-33;-841;-5;-7
583;-8;1;-3;2;927.0;5;12;979.0;-35;-835;2;12
580;-1;1;-13;3;912.0;6;-5;957.0;-34;-838;3;-5
595;0;1;0;14;915.0;-18;3;965.0;-35;-825;14;3
578;-5;1;0;10;915.0;-6;-1;983.0;-34;-840;10;-1
577;-7;1;1;16;919.0;-9;2;977.0;-34;-843;16;2
596;-1;1;-3;4;904.0;-13;17;964.0;-35;-828;4;17
597;3;1;-2;14;898.0;-13;9;986.0;-35;-822;14;9
583;2;1;-4;-15;870.0;-3;-10;983.0;-33;-845;-15;-10
599;-2;3;2;16;904.0;1;8;986.0;-35;-834;16;8
596;-1;3;11;14;921.0;-8;11;986.0;-35;-825;14;11
589;-9;1;18;8;921.0;-36;7;975.0;-35;-828;8;7
597;0;1;0;-9;893.0;-17;-5;967.0;-35;-831;-9;-5
595;-2;3;5;6;921.0;-2;9;989.0;-35;-828;6;9
576;-9;2;12;18;888.0;-33;-23;1006.0;-34;-839;18;-23
570;-5;1;4;29;883.0;-30;9;993.0;-33;-846;29;9
574;2;1;-5;22;906.0;-16;14;1008.0;-33;-846;22;14
