InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit BACK Quaternion1
-466.0;62.0;-412.0;54.0;49.0
-23.0;-396.0;288.0;75.0;-622.0
-772.0;-651.0;308.0;114.0;-755.0
-533.0;-636.0;245.0;435.0;-725.0
-470.0;-543.0;467.0;376.0;-816.0
-529.0;137.0;-210.0;104.0;108.0
-528.0;137.0;-211.0;96.0;112.0
-528.0;137.0;-211.0;90.0;116.0
-232.0;424.0;541.0;217.0;355.0
-472.0;235.0;-223.0;160.0;157.0
-384.0;323.0;-550.0;300.0;188.0
-421.0;235.0;-232.0;150.0;181.0
-540.0;230.0;-367.0;217.0;145.0
-477.0;261.0;-412.0;97.0;274.0
-381.0;204.0;-261.0;84.0;241.0
-410.0;226.0;-478.0;14.0;217.0
-362.0;201.0;-264.0;53.0;269.0
-339.0;205.0;-265.0;10.0;306.0
539.0;647.0;386.0;-378.0;756.0
652.0;701.0;-259.0;-38.0;699.0
613.0;680.0;-399.0;-187.0;716.0
-396.0;165.0;-577.0;201.0;152.0
-456.0;59.0;-418.0;48.0;59.0
0.0;-388.0;294.0;28.0;-623.0
-717.0;17.0;-505.0;541.0;-134.0
-186.0;211.0;-603.0;261.0;83.0
158.0;-486.0;620.0;-91.0;-588.0
-418.0;-670.0;-391.0;335.0;-731.0
101.0;-636.0;-688.0;-71.0;-563.0
241.0;-263.0;481.0;119.0;-574.0
-169.0;232.0;-635.0;363.0;162.0
715.0;-560.0;124.0;-565.0;-682.0
16.0;-386.0;299.0;29.0;-622.0
20.0;-395.0;306.0;53.0;-621.0
33.0;-578.0;521.0;146.0;-639.0
-268.0;-477.0;476.0;466.0;-852.0
108.0;-459.0;535.0;46.0;-707.0
-305.0;-657.0;536.0;165.0;-742.0
-206.0;258.0;-582.0;245.0;123.0
-356.0;259.0;-568.0;467.0;109.0
-721.0;-535.0;-69.0;484.0;-683.0
117.0;-309.0;618.0;37.0;-605.0
126.0;-431.0;550.0;62.0;-490.0
157.0;-407.0;348.0;36.0;-532.0
188.0;-363.0;450.0;-51.0;-457.0
345.0;-295.0;480.0;-166.0;-303.0
485.0;-281.0;370.0;-215.0;-157.0
377.0;-335.0;581.0;-292.0;-193.0
-38.0;-592.0;641.0;3.0;-631.0
-733.0;38.0;51.0;538.0;-479.0
-765.0;-208.0;314.0;638.0;-421.0
-553.0;151.0;-219.0;122.0;86.0
-546.0;141.0;-216.0;116.0;94.0
-544.0;137.0;-213.0;115.0;97.0
-538.0;143.0;-210.0;105.0;125.0
-533.0;177.0;-210.0;148.0;138.0
-659.0;164.0;248.0;407.0;-119.0
-739.0;55.0;445.0;568.0;-191.0
-629.0;180.0;574.0;475.0;30.0
-479.0;325.0;629.0;321.0;215.0
-614.0;175.0;-413.0;440.0;-81.0
-613.0;181.0;-288.0;328.0;-30.0
58.0;-416.0;264.0;-30.0;-638.0
-498.0;-653.0;282.0;173.0;-739.0
29.0;-423.0;269.0;-14.0;-629.0
740.0;456.0;-82.0;-599.0;648.0
611.0;399.0;-349.0;-601.0;916.0
-308.0;288.0;-331.0;22.0;566.0
-226.0;108.0;-582.0;-207.0;574.0
-350.0;191.0;-289.0;-59.0;370.0
-378.0;184.0;-273.0;-61.0;369.0
-390.0;180.0;-274.0;-60.0;362.0
-532.0;105.0;-622.0;110.0;221.0
-518.0;25.0;-478.0;-41.0;194.0
-293.0;233.0;-703.0;-47.0;395.0
428.0;-409.0;-664.0;-300.0;-274.0
-445.0;35.0;-447.0;6.0;111.0
-448.0;40.0;-434.0;27.0;88.0
-448.0;44.0;-430.0;35.0;83.0
-478.0;65.0;-405.0;60.0;39.0
-488.0;67.0;-396.0;63.0;30.0
-499.0;68.0;-389.0;64.0;22.0
-512.0;70.0;-383.0;72.0;13.0
-205.0;207.0;-564.0;265.0;61.0
575.0;-233.0;463.0;-316.0;-61.0
-413.0;171.0;-281.0;-42.0;350.0
321.0;-297.0;297.0;-19.0;-521.0
-445.0;159.0;-332.0;-24.0;311.0
597.0;-227.0;-535.0;-470.0;-103.0
147.0;-588.0;610.0;-195.0;-717.0
32.0;275.0;-616.0;413.0;310.0
-215.0;237.0;-553.0;278.0;76.0
120.0;619.0;-593.0;-126.0;608.0
761.0;139.0;344.0;-531.0;303.0
-115.0;271.0;-620.0;420.0;325.0
-488.0;189.0;-752.0;190.0;310.0
-501.0;104.0;-392.0;-24.0;262.0
-366.0;438.0;-629.0;219.0;334.0
-551.0;291.0;-631.0;395.0;142.0
702.0;-16.0;-354.0;-523.0;193.0
