InertialMeasurementUnit LLA accZ;Accelerometer LWR accX;Accelerometer HIP accX;InertialMeasurementUnit BACK accZ;Accelerometer BACK accY;Accelerometer LUA_ accZ;Accelerometer LH accZ;Accelerometer BACK accZ;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit L-SHOE Compass;Accelerometer RUA_ accX
-165.0;-503.0;-594.0;699.0;407.0;237.0;525.0;-915.0;-5;-125;412.0
187.0;-35.0;-345.0;182.0;818.0;214.0;-46.0;-441.0;12;-14;189.0
91.0;-70.0;-431.0;317.0;916.0;475.0;-29.0;-407.0;-4;-78;106.0
212.0;11.0;-386.0;299.0;940.0;685.0;29.0;-396.0;-4;-78;258.0
92.0;-106.0;-421.0;314.0;932.0;485.0;-19.0;-439.0;-4;-78;0.0
132.0;-49.0;-385.0;262.0;960.0;500.0;-17.0;-359.0;-4;-78;76.0
192.0;15.0;-385.0;299.0;939.0;685.0;35.0;-387.0;-4;-78;77.0
133.0;-64.0;-363.0;251.0;942.0;520.0;-50.0;-360.0;-4;-78;151.0
334.0;126.0;-252.0;130.0;954.0;487.0;-536.0;-271.0;-4;-74;575.0
208.0;-49.0;-432.0;288.0;921.0;447.0;-142.0;-401.0;-4;-78;76.0
198.0;41.0;-371.0;271.0;953.0;651.0;16.0;-347.0;-4;-77;436.0
212.0;-32.0;-241.0;170.0;895.0;533.0;-67.0;-395.0;-3;-116;338.0
133.0;-62.0;-382.0;249.0;939.0;497.0;-41.0;-369.0;-4;-78;235.0
131.0;-60.0;-370.0;257.0;947.0;495.0;-50.0;-360.0;-4;-78;312.0
123.0;-34.0;-386.0;251.0;942.0;497.0;-8.0;-379.0;-4;-78;300.0
124.0;-71.0;-340.0;239.0;984.0;474.0;-81.0;-338.0;-4;-78;390.0
213.0;8.0;-393.0;273.0;961.0;659.0;4.0;-361.0;-4;-78;515.0
97.0;-167.0;-312.0;91.0;917.0;486.0;-107.0;-420.0;-2;-75;559.0
276.0;-21.0;-377.0;171.0;925.0;458.0;-96.0;-486.0;140;31;343.0
136.0;-77.0;-118.0;55.0;877.0;242.0;-2.0;-286.0;26;-55;263.0
120.0;-191.0;-365.0;75.0;847.0;224.0;78.0;-421.0;20;-33;272.0
199.0;-14.0;-182.0;118.0;839.0;294.0;156.0;-360.0;5;-5;288.0
183.0;-34.0;-115.0;143.0;880.0;370.0;83.0;-438.0;-9;-3;166.0
53.0;-156.0;-158.0;124.0;885.0;230.0;90.0;-488.0;94;174;39.0
112.0;-155.0;-243.0;32.0;928.0;322.0;31.0;-421.0;0;-154;206.0
140.0;-29.0;-432.0;534.0;564.0;218.0;82.0;-804.0;10;-135;-20.0
172.0;-57.0;-222.0;-5.0;1176.0;368.0;30.0;-471.0;100;15;416.0
687.0;628.0;-151.0;-200.0;1006.0;808.0;-448.0;-3.0;145;174;-145.0
233.0;22.0;-116.0;71.0;920.0;358.0;-62.0;-367.0;84;25;219.0
260.0;13.0;-106.0;102.0;948.0;361.0;-23.0;-357.0;89;25;215.0
271.0;-45.0;-353.0;145.0;910.0;318.0;-32.0;-452.0;-4;-50;224.0
155.0;-87.0;-329.0;296.0;763.0;327.0;81.0;-608.0;-1;-138;825.0
506.0;226.0;-197.0;-14.0;938.0;590.0;-261.0;-366.0;-1;-75;475.0
418.0;-50.0;-166.0;-165.0;952.0;543.0;351.0;-402.0;-2;-75;349.0
232.0;-5.0;-221.0;4.0;913.0;466.0;75.0;-141.0;3;-139;210.0
237.0;-31.0;-287.0;41.0;908.0;513.0;69.0;-264.0;0;-51;253.0
66.0;-38.0;-305.0;278.0;800.0;488.0;-196.0;-522.0;-28;-100;426.0
134.0;-224.0;-494.0;26.0;842.0;483.0;223.0;-602.0;-3;-50;193.0
15.0;-174.0;-427.0;289.0;808.0;174.0;186.0;-623.0;26;-34;-146.0
118.0;-114.0;-212.0;196.0;899.0;267.0;-20.0;-482.0;8;-24;187.0
122.0;-108.0;-216.0;180.0;877.0;346.0;-8.0;-474.0;7;-24;91.0
86.0;-141.0;-335.0;154.0;1238.0;426.0;133.0;-642.0;-3;-68;257.0
189.0;-125.0;-247.0;203.0;979.0;347.0;97.0;-477.0;8;-22;59.0
42.0;-155.0;-161.0;304.0;818.0;345.0;-364.0;-546.0;173;148;180.0
30.0;-254.0;-687.0;730.0;396.0;375.0;38.0;-930.0;-6;-124;377.0
111.0;-156.0;-543.0;537.0;355.0;524.0;62.0;-872.0;-11;-162;551.0
197.0;11.0;-356.0;175.0;1007.0;382.0;-108.0;-486.0;6;-28;104.0
191.0;-69.0;-139.0;113.0;894.0;412.0;-68.0;-436.0;5;-29;102.0
179.0;-104.0;-283.0;2.0;938.0;391.0;-78.0;-369.0;3;-31;174.0
314.0;105.0;-206.0;-377.0;590.0;503.0;-163.0;-140.0;-72;-59;-431.0
53.0;-69.0;-324.0;132.0;949.0;370.0;-91.0;-272.0;-4;-78;155.0
356.0;88.0;-305.0;210.0;857.0;478.0;-190.0;-505.0;5;-93;327.0
527.0;17.0;-141.0;214.0;948.0;531.0;-228.0;-308.0;134;25;460.0
182.0;-56.0;-195.0;228.0;856.0;393.0;-13.0;-381.0;13;-10;281.0
239.0;-20.0;-237.0;153.0;868.0;477.0;6.0;-481.0;-3;-116;458.0
228.0;-16.0;-332.0;246.0;801.0;504.0;-49.0;-570.0;-3;-116;546.0
205.0;-75.0;-174.0;166.0;866.0;447.0;6.0;-295.0;14;-14;215.0
560.0;230.0;-170.0;117.0;978.0;732.0;-339.0;-281.0;-2;-71;332.0
197.0;-104.0;-86.0;82.0;764.0;287.0;53.0;-177.0;15;-99;122.0
233.0;94.0;-224.0;120.0;977.0;295.0;-141.0;-353.0;12;-21;232.0
191.0;-29.0;-192.0;88.0;942.0;387.0;-116.0;-307.0;72;-113;316.0
156.0;-79.0;-161.0;168.0;913.0;329.0;-82.0;-340.0;78;-12;132.0
257.0;-25.0;-275.0;171.0;836.0;486.0;-3.0;-526.0;-3;-116;804.0
240.0;-25.0;-229.0;145.0;885.0;465.0;61.0;-474.0;-3;-116;344.0
131.0;-12.0;-324.0;110.0;909.0;581.0;62.0;-467.0;-2;-74;533.0
220.0;-44.0;-232.0;123.0;885.0;498.0;50.0;-494.0;-3;-116;436.0
231.0;-38.0;-235.0;120.0;900.0;496.0;35.0;-443.0;-3;-116;354.0
167.0;-72.0;-186.0;173.0;915.0;366.0;-103.0;-331.0;79;-12;248.0
109.0;-126.0;-185.0;268.0;902.0;341.0;-27.0;-379.0;87;-11;425.0
171.0;-87.0;-339.0;285.0;927.0;341.0;-23.0;-420.0;90;-11;362.0
205.0;30.0;-179.0;124.0;875.0;423.0;-100.0;-394.0;2;-72;300.0
272.0;121.0;-206.0;87.0;964.0;514.0;-475.0;-291.0;-5;-75;325.0
248.0;-58.0;-245.0;107.0;900.0;483.0;39.0;-458.0;-3;-116;310.0
117.0;-98.0;-276.0;55.0;930.0;330.0;130.0;-374.0;9;-154;108.0
259.0;-77.0;-263.0;-66.0;884.0;524.0;-42.0;-642.0;32;17;261.0
191.0;-47.0;-289.0;37.0;922.0;376.0;81.0;-358.0;9;-157;137.0
132.0;-115.0;-228.0;-57.0;967.0;354.0;130.0;-344.0;9;-157;173.0
171.0;-66.0;-292.0;37.0;913.0;402.0;87.0;-339.0;9;-157;175.0
158.0;-51.0;-270.0;44.0;907.0;388.0;98.0;-366.0;9;-157;140.0
194.0;-108.0;-266.0;262.0;938.0;475.0;69.0;-437.0;-4;-141;97.0
198.0;-63.0;-174.0;125.0;936.0;429.0;72.0;-371.0;-3;-115;276.0
135.0;-62.0;-285.0;25.0;943.0;345.0;32.0;-368.0;9;-157;101.0
206.0;-72.0;-194.0;97.0;967.0;398.0;41.0;-397.0;-3;-115;223.0
207.0;-76.0;-202.0;81.0;972.0;424.0;-75.0;-362.0;-3;-115;169.0
62.0;-19.0;-248.0;72.0;969.0;292.0;-81.0;-335.0;3;-113;13.0
120.0;-49.0;-140.0;155.0;980.0;399.0;46.0;-290.0;10;-150;237.0
336.0;158.0;-150.0;61.0;987.0;574.0;-470.0;-207.0;-5;-75;-27.0
195.0;-33.0;-177.0;-6.0;982.0;573.0;-204.0;-255.0;-2;-74;-150.0
168.0;-67.0;-269.0;19.0;978.0;330.0;103.0;-337.0;7;-144;201.0
260.0;-135.0;-270.0;14.0;946.0;328.0;113.0;-324.0;11;-153;214.0
200.0;-282.0;-306.0;46.0;972.0;450.0;187.0;-227.0;21;14;248.0
165.0;-76.0;-282.0;59.0;955.0;358.0;90.0;-351.0;7;-145;159.0
176.0;-51.0;-295.0;45.0;945.0;359.0;89.0;-302.0;7;-145;188.0
141.0;-83.0;-214.0;82.0;926.0;369.0;86.0;-301.0;7;-145;167.0
68.0;-72.0;-190.0;45.0;969.0;355.0;40.0;-307.0;5;-129;174.0
32.0;-181.0;0.0;38.0;995.0;308.0;93.0;-350.0;-27;-107;109.0
209.0;-153.0;-205.0;-41.0;943.0;428.0;11.0;-321.0;-2;-75;-157.0
273.0;-118.0;-164.0;55.0;945.0;419.0;-28.0;-395.0;-3;-115;68.0
126.0;-77.0;-154.0;65.0;959.0;359.0;59.0;-356.0;1;-129;173.0
202.0;-8.0;-115.0;24.0;980.0;619.0;-137.0;-249.0;-5;-78;93.0
150.0;-63.0;-129.0;67.0;968.0;354.0;111.0;-341.0;0;-130;164.0
155.0;-116.0;-137.0;54.0;967.0;348.0;106.0;-309.0;0;-130;174.0
280.0;70.0;-112.0;395.0;675.0;478.0;-115.0;-212.0;15;6;17.0
196.0;-23.0;-227.0;160.0;955.0;329.0;-33.0;-369.0;8;-44;143.0
189.0;59.0;-63.0;-122.0;1052.0;456.0;14.0;-317.0;-23;-108;151.0
229.0;3.0;-235.0;48.0;913.0;513.0;-221.0;-358.0;-3;-114;184.0
410.0;234.0;-166.0;64.0;955.0;567.0;-727.0;-331.0;-2;-71;92.0
10.0;-130.0;-311.0;115.0;1027.0;237.0;104.0;-526.0;34;29;73.0
125.0;-14.0;-371.0;222.0;961.0;641.0;59.0;-342.0;-3;-78;357.0
301.0;57.0;-210.0;54.0;939.0;476.0;-92.0;-315.0;-3;-115;111.0
386.0;56.0;-133.0;35.0;890.0;485.0;-139.0;-299.0;54;-111;195.0
323.0;-144.0;-130.0;-90.0;1052.0;485.0;-84.0;-429.0;-22;-47;254.0
247.0;-57.0;-157.0;65.0;945.0;428.0;-22.0;-368.0;-3;-115;131.0
193.0;-100.0;-208.0;84.0;928.0;453.0;37.0;-447.0;-3;-115;192.0
139.0;-78.0;-125.0;53.0;950.0;339.0;81.0;-330.0;0;-130;162.0
215.0;-35.0;-227.0;6.0;727.0;358.0;38.0;-224.0;25;-23;67.0
80.0;-101.0;-88.0;-20.0;1015.0;427.0;-10.0;-290.0;8;-19;270.0
393.0;204.0;-148.0;137.0;966.0;618.0;-553.0;-319.0;-5;-73;397.0
206.0;-66.0;-196.0;93.0;952.0;443.0;-54.0;-384.0;-3;-115;214.0
174.0;-61.0;-208.0;95.0;936.0;436.0;-21.0;-374.0;-3;-115;234.0
166.0;-66.0;-190.0;87.0;947.0;464.0;-30.0;-380.0;-3;-115;244.0
235.0;32.0;-205.0;89.0;935.0;517.0;-56.0;-369.0;-3;-115;249.0
275.0;-8.0;-237.0;86.0;932.0;451.0;-34.0;-381.0;-3;-115;242.0
256.0;-68.0;-215.0;81.0;943.0;445.0;62.0;-382.0;-3;-115;211.0
195.0;-39.0;-224.0;81.0;942.0;465.0;-11.0;-351.0;-3;-115;249.0
181.0;-17.0;-212.0;87.0;942.0;486.0;-30.0;-376.0;-3;-115;243.0
193.0;-17.0;-200.0;84.0;932.0;522.0;-53.0;-360.0;-3;-115;254.0
319.0;99.0;-165.0;107.0;955.0;563.0;-119.0;-305.0;-2;-71;338.0
269.0;5.0;-215.0;91.0;931.0;475.0;-48.0;-368.0;-3;-115;242.0
193.0;-14.0;-213.0;59.0;1024.0;260.0;-94.0;-258.0;-5;-41;212.0
223.0;-10.0;-345.0;198.0;889.0;335.0;-20.0;-455.0;4;-11;227.0
254.0;34.0;-197.0;94.0;942.0;475.0;-182.0;-381.0;-3;-115;236.0
228.0;-44.0;-221.0;90.0;942.0;479.0;10.0;-399.0;-3;-115;285.0
228.0;-25.0;-217.0;92.0;943.0;483.0;0.0;-366.0;-3;-115;301.0
226.0;-57.0;-232.0;92.0;987.0;494.0;-3.0;-327.0;-3;-115;333.0
230.0;-7.0;-196.0;94.0;921.0;462.0;-59.0;-398.0;-3;-115;388.0
189.0;75.0;-205.0;139.0;937.0;629.0;-239.0;-384.0;-1;-75;717.0
236.0;-7.0;-200.0;89.0;935.0;432.0;-35.0;-406.0;-3;-115;452.0
267.0;9.0;-324.0;116.0;911.0;476.0;-132.0;-455.0;-4;-76;-166.0
216.0;22.0;-186.0;113.0;922.0;445.0;-11.0;-428.0;-3;-115;350.0
223.0;40.0;-189.0;128.0;909.0;444.0;-71.0;-427.0;-3;-116;317.0
234.0;-39.0;-236.0;126.0;908.0;468.0;-55.0;-453.0;-3;-116;378.0
321.0;12.0;-247.0;142.0;839.0;462.0;-113.0;-471.0;-145;-164;136.0
266.0;91.0;-590.0;386.0;941.0;470.0;-215.0;-419.0;57;33;220.0
144.0;-75.0;-155.0;141.0;905.0;414.0;3.0;-480.0;3;-11;205.0
217.0;-41.0;-249.0;137.0;895.0;478.0;-9.0;-460.0;-3;-116;330.0
228.0;-45.0;-235.0;150.0;880.0;506.0;6.0;-449.0;-3;-115;401.0
-526.0;-621.0;-123.0;77.0;959.0;267.0;712.0;-312.0;-3;-75;361.0
230.0;-48.0;-236.0;151.0;905.0;471.0;-3.0;-467.0;-3;-115;344.0
231.0;-15.0;-245.0;156.0;884.0;451.0;-29.0;-466.0;-3;-116;329.0
182.0;-5.0;-292.0;198.0;846.0;480.0;-112.0;-464.0;-12;-136;359.0
285.0;-240.0;-166.0;15.0;889.0;411.0;318.0;-251.0;-6;-40;162.0
311.0;39.0;-247.0;224.0;871.0;491.0;-93.0;-458.0;5;-84;364.0
238.0;-38.0;-254.0;151.0;882.0;471.0;-36.0;-483.0;-3;-116;406.0
151.0;-48.0;-237.0;-3.0;943.0;401.0;-68.0;-341.0;9;-19;261.0
158.0;-63.0;-320.0;32.0;932.0;390.0;-50.0;-381.0;9;-19;183.0
242.0;-13.0;-264.0;147.0;875.0;467.0;-31.0;-475.0;-3;-116;416.0
294.0;18.0;-339.0;130.0;939.0;477.0;-112.0;-487.0;3;-83;550.0
236.0;-59.0;-243.0;160.0;895.0;476.0;6.0;-433.0;-3;-116;370.0
239.0;-1.0;-247.0;155.0;914.0;457.0;-10.0;-433.0;-3;-116;395.0
207.0;-58.0;-168.0;70.0;972.0;406.0;124.0;-376.0;4;127;161.0
18.0;-419.0;-206.0;62.0;911.0;362.0;301.0;-385.0;142;-21;264.0
243.0;-55.0;-257.0;141.0;914.0;473.0;11.0;-428.0;-4;-115;340.0
214.0;-237.0;-265.0;125.0;901.0;468.0;273.0;-385.0;-4;-115;343.0
121.0;-133.0;-88.0;55.0;941.0;294.0;63.0;-380.0;93;174;128.0
189.0;97.0;-53.0;72.0;951.0;404.0;-159.0;-380.0;27;-5;93.0
516.0;335.0;-128.0;-200.0;923.0;656.0;-680.0;-422.0;-1;-75;-48.0
210.0;-510.0;-483.0;296.0;956.0;289.0;747.0;-466.0;90;29;478.0
90.0;-41.0;-369.0;168.0;959.0;348.0;43.0;-442.0;-6;-23;67.0
118.0;-112.0;-279.0;119.0;950.0;362.0;15.0;-379.0;9;-19;476.0
108.0;-189.0;-319.0;127.0;923.0;339.0;139.0;-431.0;-5;-47;-170.0
84.0;-256.0;-260.0;293.0;800.0;317.0;292.0;-449.0;41;12;-33.0
107.0;-103.0;-126.0;178.0;855.0;465.0;14.0;-562.0;19;12;324.0
-615.0;-792.0;-230.0;253.0;867.0;227.0;780.0;-477.0;20;2;842.0
227.0;-65.0;-434.0;-72.0;1032.0;488.0;-116.0;-626.0;-8;-106;421.0
229.0;-22.0;-429.0;35.0;883.0;380.0;-39.0;-360.0;54;23;247.0
174.0;-77.0;-477.0;377.0;728.0;433.0;-266.0;-680.0;-175;-16;587.0
-351.0;-607.0;-368.0;394.0;725.0;314.0;555.0;-660.0;7;-16;706.0
136.0;-25.0;-93.0;-46.0;931.0;331.0;-81.0;-280.0;144;174;457.0
294.0;29.0;-393.0;325.0;751.0;438.0;-275.0;-646.0;50;-15;194.0
-92.0;-270.0;-243.0;126.0;922.0;491.0;168.0;-411.0;-1;-75;782.0
15.0;-26.0;-269.0;136.0;887.0;485.0;37.0;-345.0;18;5;365.0
221.0;3.0;-370.0;26.0;1126.0;437.0;-36.0;-560.0;-11;-49;223.0
