InertialMeasurementUnit RUA magneticZ;Accelerometer RUA^ accY;InertialMeasurementUnit L-SHOE EuX;Accelerometer RWR accZ;InertialMeasurementUnit LLA magneticZ;Accelerometer LH accX;InertialMeasurementUnit RUA accX
-153.0;1059.0;-89;-317.0;-99.0;255.0;-975.0
-565.0;819.0;141;101.0;-49.0;-46.0;-827.0
-421.0;897.0;-47;-652.0;39.0;334.0;-808.0
-55.0;824.0;-166;-108.0;-381.0;577.0;-837.0
-374.0;911.0;53;-251.0;-123.0;389.0;-1027.0
-396.0;819.0;115;14.0;-109.0;367.0;-1154.0
-65.0;971.0;-81;90.0;-279.0;795.0;-953.0
90.0;997.0;-57;695.0;182.0;377.0;-970.0
-458.0;990.0;-57;584.0;177.0;364.0;-966.0
-199.0;865.0;20;-77.0;-214.0;573.0;-1005.0
-478.0;1031.0;128;449.0;535.0;654.0;-880.0
-585.0;1019.0;86;-39.0;391.0;601.0;-995.0
-421.0;909.0;107;182.0;-133.0;204.0;-983.0
-77.0;1070.0;-127;-231.0;-408.0;314.0;-954.0
69.0;1029.0;-81;-71.0;-319.0;746.0;-904.0
-281.0;901.0;56;-75.0;-138.0;427.0;-955.0
-54.0;941.0;-46;-241.0;-466.0;635.0;-973.0
21.0;849.0;-157;-513.0;-590.0;845.0;-799.0
-131.0;991.0;141;-102.0;290.0;417.0;-960.0
-108.0;1044.0;-166;-260.0;-160.0;496.0;-1054.0
-352.0;968.0;144;-659.0;89.0;696.0;-883.0
-460.0;763.0;-23;-474.0;-227.0;308.0;-1081.0
148.0;919.0;48;98.0;-607.0;319.0;-1284.0
371.0;1165.0;-65;296.0;-629.0;141.0;-1067.0
308.0;547.0;-160;-393.0;-266.0;934.0;-378.0
-118.0;1039.0;160;463.0;127.0;288.0;-786.0
-132.0;1003.0;12;20.0;-262.0;631.0;-819.0
-68.0;1007.0;114;41.0;391.0;235.0;-959.0
-119.0;981.0;-98;88.0;-11.0;558.0;-955.0
-106.0;1010.0;70;-44.0;263.0;799.0;-853.0
6.0;1032.0;83;97.0;177.0;246.0;-977.0
83.0;1206.0;84;14.0;-177.0;240.0;-927.0
46.0;1130.0;53;-69.0;-227.0;215.0;-1014.0
114.0;915.0;133;39.0;-159.0;207.0;-890.0
57.0;908.0;-3;-53.0;-497.0;132.0;-952.0
222.0;884.0;153;-172.0;-174.0;695.0;-774.0
251.0;1068.0;175;208.0;-291.0;805.0;-1024.0
-369.0;1048.0;103;184.0;-175.0;686.0;-1090.0
