InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit LUA magneticX;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit RUA magneticX
-275.0;396.0;212.0;480.0;414.0;125.0;-46.0;624.0
666.0;95.0;245.0;720.0;891.0;-416.0;314.0;541.0
105.0;593.0;59.0;327.0;603.0;-521.0;227.0;420.0
424.0;219.0;390.0;469.0;191.0;-130.0;709.0;210.0
114.0;170.0;443.0;393.0;113.0;-27.0;543.0;437.0
82.0;183.0;444.0;398.0;148.0;-14.0;544.0;416.0
-315.0;642.0;240.0;-139.0;589.0;-291.0;159.0;577.0
-102.0;607.0;191.0;205.0;410.0;-68.0;-4.0;405.0
-159.0;595.0;170.0;195.0;376.0;-56.0;-63.0;378.0
-385.0;413.0;207.0;234.0;574.0;-253.0;-84.0;820.0
-782.0;420.0;273.0;-130.0;319.0;-160.0;-301.0;687.0
280.0;575.0;-594.0;455.0;797.0;-615.0;-690.0;736.0
630.0;481.0;-615.0;599.0;723.0;-940.0;-774.0;889.0
96.0;594.0;-622.0;195.0;773.0;-383.0;-736.0;449.0
133.0;419.0;98.0;466.0;536.0;-431.0;-137.0;600.0
159.0;401.0;132.0;454.0;547.0;-436.0;-105.0;699.0
449.0;202.0;411.0;557.0;-36.0;246.0;655.0;92.0
289.0;175.0;393.0;578.0;-40.0;41.0;560.0;274.0
466.0;-4.0;342.0;447.0;100.0;-373.0;718.0;286.0
310.0;90.0;424.0;537.0;95.0;-134.0;604.0;364.0
-219.0;-165.0;199.0;732.0;-143.0;235.0;344.0;261.0
-180.0;-181.0;192.0;751.0;-159.0;234.0;335.0;260.0
-97.0;-264.0;128.0;810.0;-202.0;172.0;260.0;196.0
-79.0;-290.0;95.0;781.0;-217.0;128.0;256.0;206.0
-62.0;-321.0;34.0;704.0;-238.0;93.0;243.0;217.0
-122.0;-390.0;-50.0;553.0;-291.0;44.0;202.0;223.0
-324.0;-466.0;-98.0;470.0;-338.0;37.0;164.0;197.0
195.0;-381.0;-9.0;898.0;-497.0;-435.0;46.0;383.0
304.0;-211.0;125.0;646.0;-268.0;-349.0;321.0;372.0
66.0;-222.0;232.0;709.0;-270.0;-522.0;470.0;398.0
-456.0;220.0;-76.0;336.0;198.0;-113.0;-301.0;388.0
-34.0;200.0;-11.0;420.0;248.0;-5.0;-202.0;422.0
2.0;235.0;27.0;429.0;297.0;-4.0;-171.0;443.0
-485.0;639.0;771.0;2.0;406.0;617.0;628.0;-293.0
-5.0;-177.0;213.0;513.0;-210.0;-20.0;393.0;387.0
3.0;-183.0;197.0;497.0;-226.0;-61.0;362.0;374.0
-83.0;-234.0;86.0;398.0;-227.0;20.0;268.0;280.0
-57.0;-239.0;77.0;402.0;-225.0;13.0;267.0;281.0
-15.0;-252.0;62.0;422.0;-225.0;-9.0;286.0;300.0
179.0;199.0;467.0;452.0;190.0;51.0;586.0;385.0
205.0;200.0;469.0;452.0;192.0;46.0;587.0;386.0
194.0;203.0;471.0;456.0;198.0;46.0;591.0;386.0
235.0;186.0;465.0;465.0;211.0;43.0;613.0;378.0
292.0;254.0;434.0;591.0;172.0;74.0;632.0;329.0
