InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE Nav_Az;Accelerometer RKN^ accX;InertialMeasurementUnit L-SHOE AngVelNavFrameZ
34;?;?;?;?;25;?;?
?;141;36;-1079;141;-207;30.0;36
-217;30;715;-828;?;?;-2.0;715
?;-382;959;-938;-382;1;48.0;?
-154;-591;1329;-1076;-591;-291;?;1329
-215;-637;?;-887;-637;?;42.0;?
-189;-106;?;-855;-106;93;-187.0;453
-143;25;-310;-844;25;116;-115.0;-310
-107;-70;?;?;?;73;-75.0;?
-19;?;-119;-896;?;-22;-101.0;-119
18;-92;-62;-905;-92;-33;-104.0;-62
56;-115;?;?;?;-25;-4.0;-49
?;?;20;?;65;-47;41.0;20
-8;74;38;-894;?;-16;-81.0;38
-42;-51;?;?;-51;0;-46.0;?
17;?;-115;?;-182;-6;65.0;-115
29;-131;?;?;-131;-20;77.0;-63
?;-92;?;-900;-92;-28;230.0;-32
60;?;-48;-879;1;-6;39.0;-48
115;99;?;?;99;-121;?;102
60;322;90;-929;322;-69;-105.0;90
-47;357;-122;-768;357;?;-106.0;-122
-48;-4;-33;-822;?;?;19.0;-33
21;-84;41;-884;-84;-11;-149.0;41
21;-98;-38;-888;-98;-20;-173.0;?
22;?;-39;-917;-158;?;?;-39
44;-33;-13;-905;-33;?;?;-13
42;37;2;-892;37;-24;?;2
42;37;2;-892;37;-24;?;?
28;-17;-15;?;-17;-18;-96.0;-15
20;-51;-18;-889;-51;-13;-107.0;-18
?;-14;-1;-892;-14;-19;-127.0;-1
8;21;-2;?;21;-24;-161.0;?
?;24;-9;-892;24;-23;?;?
7;15;0;-894;?;-23;-299.0;0
6;4;-4;-894;4;-22;?;-4
14;-25;-19;-887;-25;?;114.0;-19
13;?;-16;-888;?;-18;-36.0;-16
?;31;-7;-894;31;-25;-60.0;-7
8;23;12;-890;23;-20;26.0;?
12;13;15;-888;13;-17;-165.0;15
17;?;-18;?;25;-18;?;-18
5;11;-5;-884;11;-16;-60.0;-5
-1;-17;-7;-881;-17;?;-16.0;-7
10;?;-1;-885;-25;-15;-79.0;-1
15;-6;30;-890;?;-22;-117.0;30
?;-11;-29;?;-11;-19;-150.0;?
1;-34;-43;-886;-34;-16;-146.0;?
1;3;-19;-885;3;?;-85.0;?
14;4;-15;-883;4;?;11.0;-15
3;-12;17;-887;?;-20;3.0;?
-19;?;31;-890;34;?;-138.0;31
4;?;?;-886;8;-13;-117.0;?
?;-28;-1;-892;?;-15;-57.0;-1
-8;6;?;-892;6;?;-121.0;?
5;-7;-9;-890;-7;-15;-62.0;-9
1;-11;21;-889;-11;-20;-90.0;?
-1;1;-6;-883;?;-17;-75.0;-6
2;?;-34;-881;?;-14;-90.0;-34
11;?;-20;-886;-6;?;-122.0;-20
7;21;6;-884;21;-17;?;?
5;35;20;-878;35;-9;-70.0;?
1;11;5;-885;?;-16;-85.0;5
?;-25;?;-885;-25;-18;-140.0;-11
-1;-7;-6;-884;-7;-16;?;-6
-2;?;-17;-884;17;?;?;-17
-1;-12;-16;?;-12;-12;?;-16
-11;15;?;-884;15;-13;-86.0;11
-1;60;4;?;60;-18;-84.0;?
4;5;1;-882;5;-16;-90.0;1
-1;20;24;?;20;-22;?;24
-1;56;11;?;56;-24;-101.0;?
-3;7;?;?;7;?;-96.0;3
4;14;30;-888;14;-20;-105.0;30
7;?;?;?;?;-20;-78.0;34
-7;-2;?;-891;?;?;-102.0;13
-5;21;-15;-894;21;-20;-42.0;-15
5;?;-13;-890;?;-15;-100.0;?
-1;-18;?;-885;?;-13;-68.0;25
0;?;22;?;-16;-13;-97.0;22
3;-32;-15;-892;-32;-21;-105.0;-15
?;-29;?;-894;?;-23;-90.0;-26
11;-7;?;-888;-7;-16;-87.0;?
9;-24;-8;-886;-24;-12;?;-8
1;-23;-4;-891;-23;?;-30.0;-4
?;?;-30;?;?;?;-77.0;?
?;25;11;-886;25;?;?;11
2;?;13;?;?;-17;-162.0;13
-6;20;0;-898;20;-25;-132.0;?
-9;-6;?;-893;-6;-18;-138.0;8
-6;-28;-34;-890;-28;-13;-151.0;?
?;-27;-34;-890;-27;-13;-92.0;-34
-7;?;-19;-883;18;?;-16.0;-19
-9;-3;14;-893;-3;-20;-72.0;14
?;5;?;-890;5;?;-119.0;19
6;31;-16;?;?;-16;?;?
0;21;-26;-886;21;-15;-65.0;?
9;14;0;-886;14;?;-78.0;0
-10;3;?;?;?;?;-117.0;-24
-4;-26;-23;-887;-26;-16;-83.0;?
4;17;?;-886;?;-15;-63.0;0
-8;22;0;-887;22;-16;?;0
1;?;0;-886;-14;-14;?;?
7;?;-9;?;?;-20;-88.0;-9
7;67;-10;-890;67;?;?;?
0;24;-15;-888;24;-16;?;-15
-9;13;-22;?;13;-13;-112.0;?
-4;14;?;?;?;-14;-98.0;-20
?;1;-19;-890;?;-13;-97.0;-19
-1;-7;7;-888;-7;-16;-84.0;7
1;27;20;-895;27;?;-53.0;20
?;34;-22;-900;?;?;-66.0;-22
-11;13;-14;-895;13;-21;-52.0;-14
?;?;?;-891;-14;-19;-92.0;27
1;-2;8;-890;-2;-16;-100.0;8
1;26;-1;-888;26;-16;-109.0;-1
7;-14;11;-886;-14;-16;-75.0;11
5;14;0;-886;14;-14;?;0
1;25;-14;-889;25;-17;?;-14
1;-8;-6;-892;-8;-22;?;-6
1;15;0;-892;15;-17;-102.0;0
2;?;8;-892;14;-14;-82.0;8
2;32;?;-894;32;-19;-74.0;12
?;14;-31;-894;?;?;?;-31
-2;-4;-22;-897;-4;?;?;-22
-6;29;41;-894;29;?;-102.0;41
?;3;30;?;3;-10;-82.0;30
3;?;9;?;-10;-15;?;9
-3;-7;3;?;-7;-20;-80.0;3
0;?;-10;-883;-6;?;?;-10
2;1;-9;?;1;-17;-47.0;-9
?;0;-10;-889;0;-19;?;?
-4;-5;-10;-889;-5;-19;-115.0;-10
-2;4;3;-896;4;-25;-96.0;?
4;-4;20;?;-4;-18;-107.0;20
0;-13;6;?;?;-16;-100.0;6
?;-24;-6;-891;-24;-20;-97.0;-6
4;-22;-16;-885;-22;-15;-112.0;-16
-2;-15;?;-887;-15;?;-80.0;-17
-5;6;?;-892;6;-21;?;?
?;26;-16;-889;26;-20;-92.0;-16
-1;?;-20;-887;-4;-16;-98.0;?
-8;?;10;?;13;?;-101.0;?
-7;12;-1;-887;12;-13;-100.0;-1
6;-32;-21;?;-32;-17;-100.0;-21
5;-4;-9;-892;-4;?;?;?
?;-1;0;-891;?;-17;-97.0;?
-1;-29;13;-890;-29;-16;-93.0;13
2;-6;24;-894;-6;?;-96.0;24
-2;-2;?;?;-2;-13;-77.0;-5
?;-31;?;-890;-31;?;-83.0;-17
?;?;11;-897;-26;-24;-102.0;11
5;0;21;-889;?;-12;-102.0;?
-4;10;15;-892;10;-19;?;?
-6;-14;0;?;?;?;-73.0;0
3;-28;-10;-888;-28;-17;-69.0;?
?;?;4;-892;-26;?;-84.0;4
?;-7;?;-888;-7;-18;-118.0;21
-3;48;31;-891;?;-20;-111.0;?
0;46;15;?;46;-20;-110.0;15
4;25;-18;-886;25;?;-89.0;-18
?;2;-12;?;?;-12;-105.0;-12
-5;-28;?;-887;-28;-13;-126.0;12
5;-17;11;-889;-17;-16;-83.0;?
1;?;10;-884;7;?;-83.0;10
9;0;-32;?;0;-20;-58.0;-32
1;12;-10;-884;12;-15;-38.0;-10
2;-9;19;-883;-9;?;-95.0;19
?;-9;3;-887;-9;-21;-141.0;3
-6;24;?;-888;24;-17;-98.0;-20
4;9;-11;-882;9;-13;-94.0;?
?;-5;-7;-891;-5;?;-124.0;?
?;-10;21;-895;-10;?;?;21
18;?;25;-885;6;-17;?;25
3;?;10;?;23;-18;?;10
?;?;?;-892;?;-19;-76.0;0
14;12;?;-889;12;?;-82.0;?
?;10;7;?;10;-20;-104.0;7
?;1;-11;-891;1;-16;?;-11
-4;?;-21;-885;3;-14;-89.0;-21
7;-7;23;-893;-7;-19;-68.0;23
?;?;-8;-895;-6;-16;?;-8
-6;-6;-16;?;-6;?;?;-16
?;-1;2;-894;-1;-16;?;2
-7;6;-3;-889;6;-13;?;-3
3;-16;5;-888;-16;-17;-99.0;5
5;-23;?;-890;-23;-18;-91.0;?
?;12;1;-888;12;?;-98.0;1
3;27;-8;-887;27;-15;-93.0;-8
?;15;?;-884;15;-15;?;-11
-3;18;-6;-889;18;-18;-102.0;?
?;9;6;-888;9;-14;-108.0;?
?;5;21;-887;5;-13;-56.0;21
7;5;?;-894;?;-23;-95.0;-5
?;-11;-44;-885;?;?;-98.0;-44
4;23;-10;-886;23;?;-146.0;-10
-1;22;?;?;22;-18;-128.0;-12
?;-9;-26;-883;-9;-12;-143.0;-26
14;16;12;-897;16;?;-154.0;12
14;16;12;-897;16;?;?;12
?;?;6;?;10;-20;-80.0;6
-1;30;-14;-888;30;-18;-62.0;-14
-3;9;?;-887;9;?;-114.0;27
?;-3;3;-881;-3;-14;-54.0;?
?;13;?;-887;13;?;-89.0;-15
-3;-15;11;-888;-15;-17;?;11
1;-4;-19;-885;-4;-15;?;?
-1;11;16;?;11;-18;-77.0;16
?;-5;13;-886;-5;-18;?;13
3;-4;-19;-890;-4;-20;-100.0;-19
-10;?;22;-896;5;-25;-96.0;22
4;14;-25;-891;14;-22;-52.0;-25
2;6;-45;-888;6;-15;-81.0;-45
-7;?;?;?;3;-14;-89.0;7
2;?;-4;?;5;?;-120.0;-4
0;20;-19;?;20;-17;-81.0;?
?;?;-10;-888;22;?;-98.0;-10
?;4;-19;?;4;-19;-100.0;-19
?;20;-12;?;20;-23;-91.0;-12
0;28;-15;?;?;-19;-68.0;-15
?;45;-18;-889;45;?;-95.0;?
-7;36;-7;-891;36;?;-132.0;-7
0;15;2;-886;15;-14;-105.0;2
4;34;20;?;34;-18;?;20
-2;9;7;-888;9;-19;-100.0;7
-3;12;?;-888;12;-16;-110.0;-3
?;-2;4;-889;?;-17;-106.0;4
-2;?;?;-885;?;-14;-72.0;14
1;15;20;-888;15;-16;-105.0;20
4;-10;3;-887;-10;-18;-109.0;3
-1;-17;3;-883;?;-11;?;3
-7;2;18;-893;2;-20;-80.0;18
-1;?;0;-894;-12;?;-90.0;0
6;-2;-7;-887;-2;-16;-105.0;-7
4;4;0;-893;?;?;-114.0;0
?;-7;-17;-893;?;-16;-93.0;-17
?;18;-9;-892;18;-19;-104.0;-9
-3;48;8;-895;48;?;-97.0;?
-1;14;-6;-892;14;-20;?;-6
-1;-18;?;?;-18;-20;-121.0;?
?;-16;-10;-890;-16;-20;-91.0;-10
-2;-18;-13;-889;?;-19;-101.0;-13
1;1;13;?;1;-24;-109.0;13
0;-8;13;-894;-8;-21;-102.0;13
2;-26;-21;-888;-26;-15;?;-21
?;11;-16;?;11;-18;?;-16
-2;25;0;-890;25;-18;?;0
?;5;-7;-889;5;-17;?;-7
?;11;-16;-885;?;-14;-110.0;-16
?;9;-21;-887;9;-15;-120.0;-21
2;-15;0;-886;-15;?;?;0
-10;-28;-5;-884;?;-13;-98.0;?
-10;-46;-39;-888;-46;-15;-87.0;-39
?;-66;-16;?;-66;-19;?;-16
-9;-67;-9;-891;-67;-21;-117.0;-9
2;?;?;-885;-59;-18;-123.0;?
18;?;21;-881;-6;-18;?;?
12;?;?;-884;-3;-21;-131.0;-1
7;?;9;-884;-55;?;-97.0;9
?;27;?;-886;27;-23;-93.0;35
0;110;48;?;110;-17;-99.0;48
?;69;25;?;69;-9;-101.0;25
1;78;?;-883;78;-10;?;15
3;104;53;?;?;?;-98.0;53
-14;69;?;-891;69;-19;-112.0;?
-12;?;11;-889;56;-16;?;11
1;44;51;-880;44;-15;-118.0;51
1;?;?;?;31;-21;-114.0;?
-5;18;-10;-895;18;-24;-103.0;?
3;-6;21;-892;?;-22;-92.0;21
1;2;?;-886;2;-16;-96.0;-10
-20;?;-54;-887;-10;-16;-111.0;-54
6;-16;-27;-890;?;-24;-90.0;-27
19;-2;-5;?;-2;?;-110.0;-5
?;-26;-13;-876;-26;-6;-109.0;-13
-16;-69;-30;-897;-69;-21;-101.0;-30
-10;-80;-32;-897;-80;-22;?;-32
9;-48;?;?;-48;-16;?;-13
11;-36;-19;-885;-36;-22;?;-19
?;-73;-52;-885;-73;-13;-322.0;-52
1;?;-44;-879;?;-7;-83.0;-44
8;-16;-20;-878;-16;-13;-42.0;-20
12;26;-6;-879;26;?;-75.0;-6
36;133;?;-890;133;-27;-56.0;33
-2;116;39;-881;116;-16;-149.0;39
5;87;47;-898;?;?;-214.0;47
?;77;35;?;77;-9;-148.0;35
-9;74;40;-893;74;-19;-136.0;40
?;144;?;-928;?;?;-161.0;?
-102;-100;46;-804;-100;?;-171.0;?
188;-253;?;-873;-253;-2;-198.0;-103
239;23;-8;?;23;-113;?;-8
-104;17;29;-873;17;-7;-107.0;29
72;-145;-67;-869;-145;-33;-163.0;?
71;?;-9;-891;26;-33;-146.0;-9
-68;?;55;-881;93;-1;-187.0;55
?;56;18;-880;56;-10;-86.0;18
?;66;-27;?;66;-15;-41.0;-27
?;?;-4;-885;44;-19;-132.0;-4
9;28;21;-886;28;-21;-187.0;?
?;41;22;-884;41;-16;-191.0;22
-17;?;16;-887;25;-13;-181.0;?
-10;-17;-10;-890;-17;-18;-143.0;-10
-6;-3;14;-882;-3;?;-118.0;14
-13;16;?;-886;16;-12;-162.0;24
-1;-27;-14;-885;?;?;-151.0;-14
-3;-21;-12;-882;-21;?;-143.0;-12
?;47;15;?;47;?;-163.0;?
15;75;?;-890;75;-19;?;41
-2;?;?;-891;?;-19;?;?
20;48;36;-891;48;?;-192.0;36
-3;73;14;-884;73;-12;?;14
-36;60;24;-891;60;-8;?;24
7;23;20;-890;?;?;?;20
3;44;21;-886;?;-17;-105.0;21
-23;40;30;-899;40;-18;-136.0;30
1;?;24;?;6;-24;-132.0;24
-11;?;-8;?;?;-16;-177.0;-8
-1;-14;-21;-899;-14;-18;-236.0;-21
-5;-48;-33;-896;-48;-18;-216.0;-33
-1;-43;-31;-890;-43;?;-184.0;-31
38;0;-5;-898;?;-26;?;-5
-81;-196;-36;-883;?;?;-148.0;-36
-70;41;?;-924;41;-11;-163.0;15
-57;?;49;-931;143;-35;-152.0;?
-103;-250;-70;-858;-250;-16;?;-70
153;-77;-59;-876;-77;-30;-244.0;-59
189;143;43;-909;143;-50;-141.0;43
-40;99;27;-888;99;?;-141.0;27
-40;34;-10;-886;34;?;-158.0;-10
28;-33;?;-889;-33;-21;-135.0;8
?;18;9;-886;?;-15;-158.0;9
-1;26;8;?;26;-14;-161.0;8
-11;18;?;-887;18;-14;?;?
-7;-8;-23;?;-8;-15;-140.0;?
9;-1;-9;-886;-1;-13;?;-9
10;58;35;-883;58;-12;-354.0;35
0;75;9;-889;75;-19;-273.0;9
-12;?;?;-892;?;-19;-906.0;9
24;8;7;-886;?;-20;?;7
16;?;?;-890;?;-20;801.0;-3
-23;?;3;-897;?;-13;-472.0;3
11;21;-1;?;21;-25;-167.0;-1
1;54;-10;-892;54;-25;-120.0;-10
?;?;-20;-884;?;?;-176.0;-20
24;-40;-7;?;-40;-11;-92.0;-7
40;59;17;?;?;-25;-150.0;17
4;?;63;?;155;?;-236.0;63
8;160;91;-885;160;-13;-171.0;91
3;95;61;-890;95;-18;-91.0;61
?;68;?;-887;68;-15;-66.0;80
17;97;113;-884;97;-13;-190.0;?
15;?;?;?;6;?;-187.0;27
9;?;-46;-884;?;-10;-175.0;-46
-14;-16;-65;-882;-16;-1;-141.0;-65
-6;-97;-71;-892;-97;-15;-133.0;-71
21;-70;-24;?;-70;-30;-203.0;-24
8;?;-49;?;-65;-31;-172.0;-49
-7;-98;-78;?;-98;?;-101.0;-78
18;-40;-65;-886;-40;-15;-175.0;-65
47;?;-3;-884;?;-21;?;?
?;132;80;-886;132;?;?;80
-35;167;45;-891;167;-13;-334.0;45
23;172;79;-890;172;-22;-158.0;79
29;215;95;-896;215;-25;?;95
-40;229;?;-899;229;-15;-191.0;71
?;123;80;?;123;-26;23.0;80
27;146;88;-904;?;-34;-62.0;88
-2;259;146;-910;259;-29;?;?
48;157;121;-919;157;-54;-212.0;121
-55;252;?;?;252;9;-140.0;222
-194;5;?;-831;5;128;-181.0;94
39;-445;-239;-846;-445;48;-150.0;-239
196;-81;-45;-921;?;-96;-75.0;-45
8;150;117;?;150;?;?;117
-27;0;?;-887;0;?;-171.0;?
25;-18;-24;-888;-18;-19;?;-24
?;-79;-18;-887;-79;-17;-145.0;-18
-5;-97;-73;-879;-97;-2;-229.0;?
?;-41;-28;-886;?;-17;?;-28
-14;?;-38;-885;-54;?;-90.0;-38
?;8;-17;-886;8;-15;-66.0;-17
-4;-25;-10;-890;-25;?;-144.0;-10
?;-35;-7;?;-35;-16;-234.0;-7
0;-15;?;-888;-15;?;-232.0;-27
-9;-52;?;?;-52;-19;-164.0;-14
-8;-62;15;-892;-62;-25;-112.0;15
3;-21;-2;-894;-21;?;-100.0;-2
1;-15;0;-890;-15;-18;-150.0;0
-5;-38;10;?;-38;-19;-165.0;10
-1;-24;16;-887;-24;-18;-141.0;16
-3;-44;19;-883;-44;-16;?;19
-11;-50;-9;-890;-50;-19;?;?
-11;-4;-6;-889;-4;-19;-116.0;?
-1;-21;12;-886;-21;?;-154.0;?
-4;-79;-37;?;-79;-20;-100.0;-37
-13;-82;-45;-885;-82;-15;-174.0;-45
30;-22;1;-888;-22;-24;-194.0;1
-31;18;-3;-884;?;-12;-185.0;-3
2;19;?;?;?;-23;-206.0;39
79;146;117;-915;146;-60;-151.0;117
?;238;140;-931;238;-34;-94.0;?
?;26;171;-944;26;-39;?;171
-111;-121;43;-872;-121;18;?;?
-174;-132;?;-824;-132;?;?;-123
88;-184;?;-898;?;-52;-129.0;-75
105;3;?;-911;3;-49;-179.0;?
-22;206;28;-898;206;-24;-153.0;28
-20;109;?;?;109;-28;-152.0;35
-34;52;-26;-877;?;5;-180.0;-26
?;22;?;-880;22;?;?;-36
?;-99;-20;-903;-99;-30;?;?
-11;-79;-21;-898;-79;-21;-147.0;?
-8;-44;1;-895;-44;-21;-178.0;?
0;-46;16;-900;-46;-28;?;16
?;-58;6;-894;-58;-21;-148.0;6
?;-90;0;-892;-90;?;?;0
-6;?;1;-892;?;?;-225.0;1
-7;?;?;-891;?;?;-415.0;?
-5;-46;-7;?;-46;-19;-730.0;-7
-3;-13;-3;-894;-13;?;636.0;-3
7;19;17;-889;19;-17;399.0;17
0;1;6;-893;1;-18;-85.0;?
?;-56;?;-894;-56;?;-280.0;-9
-4;2;-9;-894;2;-22;-248.0;-9
-5;?;-9;-891;-4;?;-165.0;-9
-17;?;22;-889;-29;-14;?;?
-14;-3;21;?;-3;-15;-44.0;21
-11;-43;-24;-892;-43;-21;-149.0;-24
-11;-39;-21;-892;-39;-21;-281.0;-21
?;-5;-3;-890;-5;-16;-195.0;-3
-1;?;?;-892;-17;-18;-122.0;14
-1;-7;20;-894;-7;-22;-109.0;20
?;?;6;-894;-15;-20;-151.0;6
-13;-36;1;-897;-36;-19;-179.0;1
-5;-18;?;-897;-18;-22;-137.0;10
5;-35;-4;-889;?;-19;-91.0;-4
-2;-60;-58;?;?;-13;-115.0;-58
-10;?;-38;-889;-57;-16;-140.0;-38
-8;-88;-27;-888;-88;?;-151.0;-27
-1;-71;-59;-881;-71;-11;-151.0;?
-2;-27;-24;?;-27;-19;-159.0;-24
-18;-54;?;-891;-54;-22;-116.0;-30
-6;-28;?;-887;-28;-20;-114.0;-34
21;23;?;-882;23;-20;?;?
-1;39;6;-884;39;-19;-150.0;6
-32;43;13;-886;43;-16;-137.0;13
-10;0;24;?;0;?;?;24
1;9;-3;-888;?;-16;?;-3
-14;80;32;-888;?;?;-141.0;32
-6;77;51;-883;77;-9;-145.0;51
-29;74;55;?;74;-20;-120.0;55
-18;?;39;-890;-11;?;-163.0;39
41;41;60;-905;?;?;-123.0;?
0;318;207;-942;318;?;?;207
?;?;86;-833;66;59;-121.0;86
-89;?;?;?;-160;151;-201.0;-15
-92;-201;-21;-828;?;18;-94.0;-21
41;-409;-161;?;-409;-31;9.0;?
48;-121;-52;-882;?;-14;-67.0;-52
8;55;13;?;55;-20;?;13
1;-32;-30;-878;?;?;-173.0;-30
?;4;-42;-889;4;-15;-132.0;-42
-19;-76;-80;?;-76;-15;-166.0;?
19;?;-20;-890;-77;-25;-228.0;-20
7;17;12;?;17;-25;-213.0;12
-9;?;13;-894;2;-20;-218.0;13
?;-22;26;?;-22;-18;-211.0;26
-10;-15;?;?;?;-20;-256.0;?
-8;-14;23;-892;-14;-19;?;23
-9;-15;22;-892;-15;-19;-293.0;22
-10;-46;-5;-891;-46;-20;-596.0;-5
-11;?;-7;-885;?;?;-749.0;-7
-9;-15;6;-890;-15;-12;1033.0;6
-9;-19;-6;-896;-19;-19;?;-6
?;-12;-20;?;-12;-15;?;-20
-19;-74;-10;?;-74;-15;?;-10
-18;?;?;-893;?;-16;-49.0;0
-13;-28;1;-890;?;-14;-63.0;1
-21;-35;-3;?;-35;?;-102.0;-3
-14;-10;-30;-890;-10;?;-158.0;-30
-2;-30;-37;-891;?;?;?;-37
-13;-47;6;-894;-47;-18;?;6
-13;-38;?;-891;-38;-18;-104.0;?
-9;-36;15;-889;-36;?;-131.0;15
-11;-36;?;-890;-36;-17;-198.0;?
-12;-35;12;-890;-35;-17;-210.0;12
-19;-25;3;-892;-25;-16;-163.0;3
-21;-24;30;-892;?;-14;-90.0;30
?;-62;?;-895;-62;-20;-139.0;10
-4;-89;-3;-896;-89;-23;-194.0;-3
5;-56;-1;-891;-56;?;-171.0;-1
?;-19;?;-890;?;-18;?;-10
-9;-5;1;-894;-5;-21;-137.0;1
-9;-4;1;?;-4;-22;-106.0;?
-9;-22;1;-892;-22;-17;-139.0;?
-8;-22;?;-891;?;-16;-153.0;-5
-5;-17;-8;?;-17;?;-145.0;-8
-4;-27;3;?;-27;-15;?;?
-5;-16;11;?;-16;-14;-151.0;11
-5;-13;6;-891;-13;-22;-151.0;6
-7;-26;-31;-892;?;?;-142.0;-31
?;-16;?;-891;-16;-19;?;?
?;?;-43;-888;-3;-13;?;-43
-6;-7;-33;?;-7;?;-143.0;-33
-2;-6;?;-897;-6;-26;-147.0;1
-7;-19;-7;?;?;-13;-137.0;-7
-15;-52;?;-892;-52;-16;-157.0;-4
-4;-47;2;-886;-47;-14;-128.0;2
?;-36;1;-884;-36;-13;-127.0;1
-14;-47;?;-894;-47;-22;?;?
-1;-37;-30;-887;-37;-13;?;-30
-1;-40;8;-885;?;-15;?;?
-8;-61;-14;-885;-61;?;?;-14
-4;-41;-25;?;-41;-15;-160.0;?
?;?;12;-894;-45;-23;-121.0;12
-6;-65;22;?;?;-23;-125.0;?
?;-19;22;-884;-19;-22;?;22
-11;9;?;-884;9;?;-155.0;-5
-5;-14;5;-881;-14;-12;-152.0;5
2;-8;?;?;?;-18;-123.0;24
-10;-11;-16;-884;-11;-16;-147.0;?
-4;?;-38;-880;-25;-10;-124.0;?
-3;-7;-3;?;?;-17;-135.0;-3
-4;-25;12;?;-25;-21;-96.0;12
-3;-47;-34;-887;-47;?;-134.0;-34
-4;-18;-23;-889;-18;-20;?;-23
2;-9;2;?;-9;-16;?;2
5;-38;-9;-884;-38;?;-124.0;-9
0;-30;0;-886;-30;-14;-114.0;0
0;-3;-9;-890;-3;?;-95.0;-9
-2;-19;0;-886;-19;-19;-50.0;0
-3;?;?;?;3;-16;-90.0;-17
3;?;-53;-884;22;-19;-79.0;?
3;-18;-17;?;?;?;-21.0;-17
-1;-27;2;-888;-27;-19;-60.0;?
-3;-19;-17;-887;-19;-21;?;-17
-4;-7;?;-883;-7;-19;-59.0;-13
