InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE Nav_Az;Accelerometer RKN^ accX;InertialMeasurementUnit L-SHOE AngVelNavFrameZ
2;5;-7;-815;5;-22;-99.0;-7
7;41;17;-819;41;-24;-161.0;17
3;-15;3;-812;-15;-25;-29.0;3
-15;-1;-13;-904;-1;-19;-121.0;-13
209;-160;-51;-858;-160;-18;-46.0;-51
12;13;15;-888;13;-17;-165.0;15
5;11;-5;-884;11;-16;-60.0;-5
5;-7;-9;-890;-7;-15;-62.0;-9
4;5;1;-882;5;-16;-90.0;1
4;14;30;-888;14;-20;-105.0;30
-5;21;-15;-894;21;-20;-42.0;-15
3;-32;-15;-892;-32;-21;-105.0;-15
-9;-3;14;-893;-3;-20;-72.0;14
-1;-7;7;-888;-7;-16;-84.0;7
-11;13;-14;-895;13;-21;-52.0;-14
1;-2;8;-890;-2;-16;-100.0;8
1;26;-1;-888;26;-16;-109.0;-1
7;-14;11;-886;-14;-16;-75.0;11
1;15;0;-892;15;-17;-102.0;0
-4;-5;-10;-889;-5;-19;-115.0;-10
4;-22;-16;-885;-22;-15;-112.0;-16
-7;12;-1;-887;12;-13;-100.0;-1
-1;-29;13;-890;-29;-16;-93.0;13
1;12;-10;-884;12;-15;-38.0;-10
7;-7;23;-893;-7;-19;-68.0;23
3;-16;5;-888;-16;-17;-99.0;5
3;27;-8;-887;27;-15;-93.0;-8
-1;30;-14;-888;30;-18;-62.0;-14
3;-4;-19;-890;-4;-20;-100.0;-19
4;14;-25;-891;14;-22;-52.0;-25
2;6;-45;-888;6;-15;-81.0;-45
0;15;2;-886;15;-14;-105.0;2
-2;9;7;-888;9;-19;-100.0;7
1;15;20;-888;15;-16;-105.0;20
4;-10;3;-887;-10;-18;-109.0;3
-7;2;18;-893;2;-20;-80.0;18
6;-2;-7;-887;-2;-16;-105.0;-7
0;-8;13;-894;-8;-21;-102.0;13
7;-8;6;-897;-8;-20;-180.0;6
2;24;3;-898;24;-20;-186.0;3
15;82;205;-887;82;-15;-53.0;205
3;3;11;-901;3;-21;-144.0;11
8;-16;-20;-878;-16;-13;-42.0;-20
25;-38;-8;-897;-38;-15;-51.0;-8
5;25;-14;-901;25;-18;-75.0;-14
-2;-22;9;-898;-22;-19;-151.0;9
-10;-17;-10;-890;-17;-18;-143.0;-10
-23;40;30;-899;40;-18;-136.0;30
6;-25;14;-899;-25;-20;-38.0;14
14;49;9;-911;49;-31;-81.0;9
20;-51;-18;-889;-51;-13;-107.0;-18
-4;-17;1;-895;-17;-16;-50.0;1
10;20;19;-906;20;-31;-32.0;19
3;-19;-12;-893;-19;-18;-75.0;-12
1;54;-10;-892;54;-25;-120.0;-10
11;-10;12;-885;-10;-9;-124.0;12
-5;-46;-14;-888;-46;-13;-110.0;-14
-2;17;-5;-892;17;-21;-112.0;-5
-7;-7;-18;-892;-7;-22;-119.0;-18
-5;20;12;-888;20;-17;-110.0;12
0;-9;-4;-816;-9;-22;-32.0;-4
3;25;14;-888;25;-17;-148.0;14
1;25;7;-819;25;-26;-21.0;7
2;17;-3;-820;17;-27;-31.0;-3
-1;-8;11;-892;-8;-22;-151.0;11
1;-15;0;-890;-15;-18;-150.0;0
-1;-24;16;-887;-24;-18;-141.0;16
1;-26;-25;-894;-26;-23;-157.0;-25
0;15;18;-889;15;-18;-108.0;18
2;15;25;-886;15;-15;-114.0;25
7;25;-2;-808;25;-17;-19.0;-2
5;-8;30;-818;-8;-29;-23.0;30
2;29;21;-895;29;-20;-130.0;21
-3;-18;-3;-885;-18;-14;-132.0;-3
0;-7;12;-888;-7;-20;-134.0;12
-1;-7;20;-894;-7;-22;-109.0;20
3;-20;18;-890;-20;-19;-182.0;18
-1;39;6;-884;39;-19;-150.0;6
-32;43;13;-886;43;-16;-137.0;13
-13;0;-7;-899;0;-22;14.0;-7
-4;40;11;-891;40;-22;-132.0;11
4;3;7;-815;3;-23;-31.0;7
7;-25;16;-892;-25;-23;-78.0;16
-5;-29;-50;-898;-29;-17;-156.0;-50
-19;-25;3;-892;-25;-16;-163.0;3
-4;-4;-7;-888;-4;-18;-142.0;-7
-9;-5;1;-894;-5;-21;-137.0;1
-5;-13;6;-891;-13;-22;-151.0;6
-4;-47;2;-886;-47;-14;-128.0;2
-5;-14;5;-881;-14;-12;-152.0;5
0;-30;0;-886;-30;-14;-114.0;0
-2;-19;0;-886;-19;-19;-50.0;0
2;-9;-37;-884;-9;-12;-38.0;-37
4;-8;9;-893;-8;-19;-131.0;9
9;23;12;-890;23;-18;-113.0;12
-7;-43;-11;-893;-43;-18;-157.0;-11
-3;-1;-6;-881;-1;-14;-87.0;-6
10;0;-1;-895;0;-20;-122.0;-1
9;29;28;-889;29;-15;-100.0;28
7;27;-4;-895;27;-19;-103.0;-4
3;5;28;-897;5;-20;-128.0;28
-3;1;4;-877;1;-18;-15.0;4
2;-5;11;-886;-5;-22;-13.0;11
3;-9;15;-898;-9;-22;-162.0;15
5;-42;-17;-892;-42;-17;-125.0;-17
-1;6;26;-878;6;-18;-30.0;26
-2;19;2;-881;19;-17;-17.0;2
17;-6;-11;-919;-6;-28;-44.0;-11
0;9;4;-892;9;-18;-49.0;4
-5;24;1;-892;24;-14;-25.0;1
0;-11;29;-889;-11;-21;-119.0;29
4;-4;-6;-884;-4;-14;-55.0;-6
-1;16;32;-896;16;-21;-178.0;32
0;3;-4;-876;3;-22;-10.0;-4
-1;8;22;-895;8;-17;-218.0;22
-3;-5;-26;-881;-5;-18;-16.0;-26
-4;5;8;-884;5;-18;-29.0;8
3;27;-13;-895;27;-20;-148.0;-13
-6;10;4;-904;10;-26;-194.0;4
-37;2;-15;-890;2;-17;-188.0;-15
-8;-62;15;-892;-62;-25;-112.0;15
32;0;32;-879;0;-24;-30.0;32
5;-15;-9;-884;-15;-18;-21.0;-9
3;46;5;-879;46;-16;-29.0;5
134;-26;-12;-857;-26;-5;-165.0;-12
17;-35;-31;-901;-35;-29;-96.0;-31
10;6;-17;-888;6;-16;-175.0;-17
1;3;30;-896;3;-19;-156.0;30
29;-6;-12;-911;-6;-25;-35.0;-12
4;-2;13;-885;-2;-19;-14.0;13
-3;30;19;-899;30;-23;-189.0;19
5;26;8;-880;26;-13;-7.0;8
0;35;30;-892;35;-20;-183.0;30
-20;33;1;-898;33;-24;-43.0;1
5;27;-1;-891;27;-23;-15.0;-1
5;25;1;-884;25;-16;-16.0;1
4;13;8;-883;13;-18;-4.0;8
3;78;50;-899;78;-27;-58.0;50
-2;45;21;-881;45;-20;-100.0;21
0;-17;-4;-885;-17;-11;-21.0;-4
-15;-14;1;-876;-14;-15;-190.0;1
6;25;-9;-884;25;-20;-27.0;-9
-15;-12;12;-887;-12;-20;-124.0;12
-9;74;40;-893;74;-19;-136.0;40
-12;5;33;-892;5;-4;-29.0;33
-104;17;29;-873;17;-7;-107.0;29
