Accelerometer RWR accX;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit BACK accX;InertialMeasurementUnit LUA accX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit RLA accZ;Accelerometer LUA^ accY;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit RUA gyroZ;Accelerometer RUA^ accX;Accelerometer RUA_ accZ
-387.0;186.0;-859.0;?;156.0;6;162;?;966.0;-248.0;221.0;-412.0;199.0
-386.0;169.0;-888.0;-943.0;?;5;38;187.0;932.0;-273.0;?;-432.0;134.0
-373.0;137.0;-910.0;-967.0;?;?;146;173.0;938.0;-296.0;214.0;?;97.0
?;113.0;-955.0;?;222.0;4;114;202.0;986.0;-320.0;137.0;-395.0;?
-270.0;99.0;-993.0;-1041.0;?;3;-154;225.0;?;-345.0;?;-375.0;160.0
-369.0;93.0;-984.0;-1056.0;313.0;3;?;280.0;1070.0;-372.0;9.0;-343.0;204.0
?;209.0;-970.0;-1013.0;?;?;93;297.0;1106.0;-395.0;-34.0;?;274.0
-588.0;?;-947.0;-977.0;406.0;3;106;?;1068.0;-422.0;28.0;-372.0;359.0
-671.0;235.0;-1009.0;-988.0;440.0;?;-55;?;1038.0;-440.0;249.0;?;465.0
?;270.0;-997.0;?;475.0;4;-9;509.0;1010.0;?;497.0;-247.0;561.0
-1064.0;?;-988.0;-989.0;503.0;4;-6;475.0;?;?;516.0;-256.0;?
-922.0;186.0;-972.0;?;526.0;4;-7;437.0;1031.0;-472.0;558.0;-306.0;598.0
-786.0;?;?;-990.0;544.0;4;-9;376.0;1064.0;-476.0;499.0;-202.0;?
-788.0;?;-949.0;-970.0;560.0;4;3;309.0;1023.0;-483.0;431.0;-75.0;520.0
-758.0;-34.0;-950.0;-1054.0;573.0;4;?;242.0;986.0;-487.0;355.0;-51.0;?
?;?;-995.0;?;583.0;5;?;256.0;1028.0;-486.0;261.0;?;430.0
?;?;-978.0;-1009.0;587.0;5;9;244.0;1088.0;?;-46.0;-210.0;385.0
?;202.0;-971.0;-1000.0;595.0;5;-5;217.0;984.0;-484.0;?;-278.0;354.0
-560.0;320.0;-977.0;-1016.0;?;6;-1;?;955.0;-486.0;-537.0;?;369.0
-539.0;?;?;-1036.0;613.0;5;-16;244.0;?;?;-540.0;-359.0;?
-541.0;?;-958.0;?;620.0;5;?;289.0;1014.0;-487.0;-516.0;?;471.0
-515.0;152.0;-955.0;?;627.0;4;35;279.0;?;-486.0;-380.0;-307.0;460.0
-486.0;168.0;-941.0;-980.0;?;4;9;383.0;980.0;-486.0;?;-165.0;477.0
-570.0;186.0;-930.0;-926.0;641.0;?;?;450.0;985.0;-484.0;-203.0;-198.0;510.0
?;188.0;-927.0;-957.0;647.0;4;-18;449.0;956.0;?;?;?;500.0
-608.0;214.0;-969.0;-1010.0;646.0;5;?;?;946.0;-483.0;-238.0;-309.0;?
-699.0;206.0;?;-1033.0;643.0;5;-13;814.0;1020.0;-485.0;-247.0;-362.0;510.0
?;235.0;-964.0;-1011.0;?;5;-2;508.0;1080.0;-488.0;?;-452.0;606.0
?;111.0;-970.0;-984.0;635.0;5;-2;293.0;1059.0;-485.0;-86.0;?;513.0
-726.0;37.0;-973.0;?;629.0;5;4;205.0;?;?;-63.0;-218.0;?
-637.0;81.0;-953.0;-987.0;?;5;9;?;?;-487.0;?;-174.0;?
?;?;-971.0;?;620.0;?;2;?;1009.0;-487.0;-169.0;-230.0;262.0
-401.0;111.0;?;-1038.0;614.0;5;-2;369.0;?;-484.0;-88.0;-246.0;?
-599.0;238.0;-983.0;-1039.0;607.0;5;-3;420.0;1057.0;-490.0;-7.0;-261.0;412.0
-852.0;358.0;-977.0;?;593.0;5;-2;621.0;1056.0;-488.0;?;-332.0;470.0
-839.0;468.0;-979.0;-1146.0;575.0;5;3;740.0;1090.0;-488.0;393.0;-519.0;530.0
-992.0;561.0;-948.0;-1105.0;549.0;5;2;912.0;1207.0;-491.0;639.0;-563.0;653.0
?;608.0;-956.0;-1054.0;518.0;5;0;957.0;?;-489.0;788.0;-702.0;720.0
-1167.0;757.0;-950.0;-1123.0;480.0;?;2;?;1180.0;-488.0;1223.0;-711.0;823.0
-1352.0;?;-963.0;?;432.0;?;?;1170.0;?;-487.0;1365.0;-790.0;?
-1440.0;900.0;-960.0;?;375.0;5;1;1103.0;1191.0;?;1751.0;?;995.0
?;735.0;-1024.0;-1182.0;299.0;5;3;1111.0;1256.0;?;1307.0;-878.0;1032.0
