Accelerometer HIP accZ;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit BACK magneticX;Accelerometer RUA_ accX;InertialMeasurementUnit BACK accZ;Accelerometer BACK accY;InertialMeasurementUnit RLA accY;InertialMeasurementUnit LUA accZ;Accelerometer LH accZ;Accelerometer BACK accZ;Accelerometer BACK accX
38.0;197.0;703.0;269.0;70.0;924.0;247.0;331.0;-160.0;-301.0;96.0
-29.0;41.0;613.0;467.0;184.0;863.0;463.0;367.0;82.0;-292.0;122.0
264.0;131.0;508.0;116.0;55.0;947.0;286.0;60.0;123.0;-374.0;127.0
253.0;132.0;503.0;105.0;46.0;935.0;309.0;54.0;133.0;-383.0;113.0
254.0;129.0;516.0;110.0;48.0;953.0;291.0;33.0;122.0;-350.0;133.0
262.0;120.0;519.0;125.0;45.0;943.0;274.0;52.0;110.0;-380.0;117.0
239.0;118.0;516.0;111.0;61.0;920.0;267.0;43.0;125.0;-377.0;117.0
255.0;108.0;517.0;162.0;26.0;937.0;340.0;31.0;120.0;-350.0;130.0
209.0;154.0;547.0;129.0;25.0;933.0;302.0;95.0;104.0;-365.0;128.0
193.0;135.0;525.0;101.0;25.0;943.0;396.0;74.0;32.0;-368.0;181.0
217.0;155.0;520.0;128.0;55.0;940.0;341.0;64.0;130.0;-395.0;187.0
221.0;166.0;515.0;97.0;6.0;980.0;272.0;72.0;114.0;-337.0;131.0
226.0;120.0;488.0;136.0;38.0;943.0;443.0;58.0;165.0;-341.0;174.0
109.0;124.0;514.0;297.0;106.0;946.0;276.0;112.0;57.0;-265.0;184.0
93.0;113.0;587.0;158.0;288.0;1019.0;246.0;156.0;160.0;-429.0;158.0
112.0;333.0;646.0;-30.0;60.0;970.0;42.0;80.0;-468.0;-250.0;29.0
241.0;118.0;507.0;104.0;55.0;932.0;270.0;57.0;114.0;-391.0;105.0
10.0;530.0;585.0;278.0;104.0;998.0;557.0;190.0;-280.0;-240.0;106.0
240.0;119.0;505.0;87.0;54.0;926.0;275.0;57.0;122.0;-409.0;106.0
4.0;227.0;604.0;291.0;104.0;975.0;487.0;150.0;-128.0;-280.0;109.0
60.0;180.0;500.0;218.0;69.0;845.0;304.0;97.0;66.0;-500.0;195.0
159.0;166.0;505.0;182.0;24.0;954.0;300.0;78.0;81.0;-320.0;165.0
152.0;154.0;518.0;85.0;19.0;923.0;359.0;31.0;112.0;-319.0;153.0
-151.0;-361.0;498.0;245.0;-15.0;926.0;363.0;45.0;628.0;-323.0;215.0
101.0;166.0;629.0;133.0;39.0;979.0;275.0;87.0;-32.0;-324.0;161.0
60.0;68.0;502.0;174.0;45.0;969.0;371.0;-1.0;40.0;-307.0;27.0
-11.0;171.0;516.0;204.0;8.0;1019.0;360.0;49.0;107.0;-275.0;131.0
-52.0;164.0;512.0;208.0;-3.0;963.0;375.0;46.0;91.0;-270.0;114.0
76.0;-6.0;666.0;134.0;177.0;869.0;237.0;198.0;-68.0;-473.0;202.0
205.0;34.0;635.0;20.0;154.0;875.0;152.0;71.0;103.0;-480.0;107.0
-44.0;164.0;529.0;146.0;74.0;970.0;319.0;61.0;116.0;-323.0;65.0
-44.0;147.0;526.0;183.0;61.0;940.0;374.0;61.0;120.0;-334.0;83.0
-12.0;87.0;657.0;-84.0;138.0;826.0;148.0;206.0;126.0;-504.0;118.0
241.0;0.0;902.0;-139.0;289.0;812.0;19.0;47.0;197.0;-631.0;-69.0
-51.0;162.0;527.0;145.0;45.0;954.0;345.0;65.0;141.0;-304.0;75.0
110.0;105.0;664.0;115.0;0.0;939.0;292.0;104.0;69.0;-354.0;171.0
-50.0;145.0;526.0;159.0;68.0;954.0;343.0;59.0;93.0;-339.0;81.0
103.0;16.0;674.0;146.0;150.0;827.0;189.0;9.0;-42.0;-446.0;118.0
52.0;62.0;748.0;-183.0;105.0;946.0;80.0;53.0;-188.0;-353.0;-132.0
63.0;63.0;651.0;40.0;102.0;917.0;211.0;97.0;88.0;-471.0;143.0
87.0;128.0;669.0;164.0;16.0;925.0;307.0;90.0;86.0;-373.0;175.0
56.0;143.0;665.0;193.0;-1.0;952.0;339.0;77.0;9.0;-381.0;155.0
61.0;133.0;668.0;151.0;-27.0;953.0;333.0;62.0;27.0;-333.0;151.0
56.0;150.0;660.0;189.0;-1.0;970.0;354.0;105.0;-1.0;-261.0;154.0
70.0;153.0;660.0;181.0;-52.0;967.0;345.0;61.0;-19.0;-336.0;164.0
-15.0;152.0;658.0;234.0;-66.0;960.0;390.0;77.0;82.0;-262.0;144.0
13.0;182.0;653.0;240.0;-122.0;951.0;381.0;23.0;48.0;-258.0;103.0
-41.0;191.0;526.0;164.0;64.0;952.0;346.0;89.0;142.0;-350.0;66.0
-27.0;140.0;670.0;270.0;-110.0;976.0;421.0;27.0;109.0;-210.0;136.0
-63.0;210.0;524.0;172.0;57.0;951.0;347.0;89.0;121.0;-359.0;77.0
26.0;163.0;670.0;285.0;-133.0;1017.0;446.0;61.0;50.0;-170.0;132.0
-9.0;151.0;674.0;214.0;-121.0;985.0;387.0;29.0;89.0;-241.0;125.0
18.0;153.0;667.0;222.0;-132.0;999.0;406.0;-18.0;49.0;-211.0;88.0
14.0;152.0;661.0;241.0;-146.0;1001.0;398.0;32.0;89.0;-217.0;95.0
46.0;140.0;673.0;242.0;-103.0;989.0;385.0;-15.0;42.0;-200.0;135.0
-21.0;171.0;535.0;166.0;69.0;949.0;322.0;71.0;80.0;-335.0;85.0
41.0;163.0;697.0;221.0;-106.0;989.0;415.0;5.0;18.0;-193.0;115.0
17.0;158.0;687.0;235.0;-90.0;997.0;426.0;67.0;105.0;-196.0;118.0
21.0;161.0;668.0;233.0;-101.0;983.0;386.0;34.0;41.0;-206.0;124.0
45.0;158.0;652.0;214.0;-112.0;983.0;377.0;5.0;57.0;-202.0;84.0
-41.0;152.0;535.0;174.0;70.0;970.0;319.0;67.0;131.0;-350.0;86.0
47.0;182.0;659.0;191.0;-70.0;978.0;352.0;32.0;20.0;-194.0;160.0
74.0;167.0;663.0;190.0;-32.0;945.0;325.0;-6.0;-30.0;-262.0;50.0
53.0;166.0;663.0;173.0;-92.0;971.0;297.0;-11.0;-22.0;-280.0;69.0
37.0;168.0;671.0;177.0;-100.0;988.0;328.0;22.0;55.0;-246.0;124.0
28.0;165.0;665.0;213.0;-106.0;971.0;385.0;20.0;44.0;-236.0;115.0
33.0;152.0;667.0;205.0;-138.0;987.0;379.0;1.0;51.0;-220.0;105.0
30.0;163.0;668.0;219.0;-128.0;992.0;391.0;7.0;59.0;-221.0;108.0
25.0;168.0;670.0;215.0;-138.0;988.0;385.0;7.0;32.0;-250.0;112.0
36.0;132.0;670.0;182.0;-69.0;970.0;348.0;2.0;76.0;-241.0;103.0
37.0;136.0;670.0;229.0;-78.0;951.0;380.0;30.0;102.0;-260.0;97.0
-31.0;152.0;537.0;180.0;75.0;960.0;320.0;64.0;95.0;-337.0;94.0
-44.0;155.0;537.0;185.0;73.0;960.0;319.0;65.0;84.0;-323.0;79.0
59.0;140.0;657.0;216.0;-50.0;977.0;373.0;-39.0;98.0;-250.0;41.0
-59.0;151.0;535.0;184.0;68.0;953.0;324.0;59.0;90.0;-316.0;80.0
-71.0;157.0;530.0;165.0;58.0;956.0;323.0;64.0;87.0;-314.0;85.0
-30.0;148.0;525.0;173.0;42.0;953.0;327.0;45.0;96.0;-317.0;79.0
62.0;149.0;659.0;185.0;-55.0;987.0;351.0;-38.0;81.0;-202.0;95.0
76.0;87.0;664.0;194.0;-30.0;992.0;359.0;-44.0;139.0;-210.0;69.0
55.0;127.0;657.0;186.0;-44.0;964.0;357.0;-20.0;96.0;-230.0;91.0
71.0;154.0;668.0;193.0;-9.0;965.0;341.0;25.0;33.0;-299.0;95.0
78.0;149.0;669.0;145.0;-13.0;961.0;315.0;43.0;43.0;-311.0;135.0
