InertialMeasurementUnit RUA magneticY;InertialMeasurementUnit BACK magneticZ;Accelerometer RUA_ accY;InertialMeasurementUnit RUA accY;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit LLA magneticX;Accelerometer RWR accY;InertialMeasurementUnit RLA accX;InertialMeasurementUnit LUA magneticY;Accelerometer RUA^ accZ
?;-418.0;1022.0;?;480.0;657.0;1001.0;-1005.0;?;-112.0
?;-402.0;1049.0;-374.0;474.0;648.0;1041.0;-1019.0;-567.0;-173.0
146.0;-381.0;1097.0;?;466.0;637.0;1111.0;-1048.0;-568.0;-207.0
?;?;1087.0;-316.0;455.0;620.0;1092.0;?;-565.0;-206.0
76.0;-325.0;1091.0;-255.0;437.0;604.0;1080.0;?;-555.0;-141.0
30.0;-291.0;1091.0;-173.0;414.0;586.0;1048.0;-1060.0;?;?
-25.0;-249.0;1096.0;-56.0;385.0;567.0;?;-939.0;-514.0;-7.0
-79.0;-205.0;972.0;125.0;?;555.0;891.0;-861.0;-487.0;131.0
-124.0;-168.0;?;276.0;337.0;?;?;-813.0;-454.0;293.0
-165.0;-127.0;877.0;330.0;320.0;548.0;746.0;-800.0;-420.0;382.0
-191.0;-95.0;?;?;301.0;544.0;567.0;-753.0;-378.0;403.0
-209.0;-70.0;847.0;277.0;290.0;534.0;446.0;-645.0;-334.0;406.0
-222.0;-51.0;?;284.0;280.0;521.0;?;-495.0;-294.0;427.0
-232.0;-40.0;579.0;238.0;267.0;515.0;170.0;-425.0;?;342.0
-246.0;?;491.0;?;?;?;291.0;-522.0;-223.0;304.0
-263.0;?;585.0;?;?;468.0;426.0;-633.0;?;268.0
-281.0;-9.0;?;17.0;?;441.0;?;-689.0;-194.0;199.0
?;-4.0;751.0;72.0;?;?;648.0;-716.0;?;167.0
-327.0;4.0;789.0;208.0;189.0;403.0;622.0;-698.0;-180.0;?
-336.0;9.0;750.0;259.0;185.0;?;611.0;-685.0;-170.0;376.0
-340.0;14.0;?;225.0;191.0;383.0;564.0;-681.0;-168.0;394.0
?;?;742.0;265.0;202.0;391.0;?;-670.0;-167.0;358.0
-325.0;27.0;723.0;291.0;222.0;404.0;701.0;-755.0;-169.0;?
-307.0;34.0;810.0;?;248.0;409.0;774.0;-823.0;-172.0;?
-295.0;39.0;871.0;112.0;268.0;425.0;920.0;?;-173.0;261.0
-284.0;42.0;?;85.0;289.0;440.0;?;?;?;?
-270.0;42.0;1037.0;0.0;299.0;460.0;1104.0;-1012.0;-191.0;199.0
?;?;1110.0;155.0;296.0;470.0;?;-924.0;?;292.0
-285.0;47.0;1014.0;?;291.0;480.0;1257.0;-878.0;-212.0;331.0
-291.0;46.0;977.0;69.0;288.0;489.0;1000.0;-884.0;-224.0;?
-295.0;?;954.0;?;288.0;?;947.0;-830.0;?;177.0
-296.0;45.0;899.0;35.0;287.0;509.0;841.0;-860.0;-245.0;157.0
?;44.0;918.0;91.0;279.0;?;?;-921.0;-258.0;150.0
-299.0;?;956.0;?;276.0;519.0;?;-914.0;?;252.0
-299.0;42.0;985.0;90.0;272.0;?;1056.0;-975.0;-281.0;308.0
-299.0;?;1071.0;157.0;265.0;533.0;1104.0;?;?;227.0
-301.0;?;1116.0;?;253.0;537.0;1064.0;-1012.0;-300.0;397.0
-301.0;?;1099.0;160.0;?;555.0;?;-1068.0;-302.0;?
-305.0;34.0;1147.0;337.0;?;579.0;1119.0;-1153.0;-310.0;493.0
-301.0;32.0;1252.0;?;191.0;588.0;838.0;?;?;526.0
