InertialMeasurementUnit RUA magneticY;InertialMeasurementUnit BACK magneticZ;Accelerometer RUA_ accY;InertialMeasurementUnit RUA accY;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit LLA magneticX;Accelerometer RWR accY;InertialMeasurementUnit RLA accX;InertialMeasurementUnit LUA magneticY;Accelerometer RUA^ accZ
-162.0;268.0;539.0;-275.0;167.0;293.0;492.0;-1064.0;248.0;238.0
-219.0;82.0;493.0;-286.0;114.0;-325.0;451.0;-753.0;237.0;-144.0
-264.0;125.0;811.0;116.0;-52.0;-179.0;695.0;-131.0;341.0;-18.0
-296.0;45.0;899.0;35.0;287.0;509.0;841.0;-860.0;-245.0;157.0
-150.0;66.0;623.0;-320.0;102.0;-217.0;553.0;-444.0;109.0;-251.0
-129.0;56.0;698.0;-181.0;174.0;-17.0;770.0;-568.0;257.0;-46.0
18.0;-21.0;437.0;-34.0;320.0;103.0;966.0;-285.0;174.0;145.0
-34.0;15.0;404.0;-346.0;235.0;-35.0;453.0;-480.0;-60.0;-210.0
-596.0;215.0;654.0;-244.0;-140.0;-125.0;750.0;-766.0;334.0;265.0
-462.0;197.0;642.0;-146.0;-149.0;-414.0;313.0;-416.0;567.0;-211.0
-366.0;453.0;363.0;48.0;-371.0;-426.0;458.0;-131.0;446.0;-2.0
-465.0;199.0;622.0;-219.0;-159.0;-419.0;326.0;-468.0;565.0;-148.0
-782.0;731.0;156.0;670.0;-622.0;-452.0;-99.0;72.0;932.0;785.0
-258.0;94.0;640.0;-120.0;47.0;-367.0;775.0;-491.0;292.0;-132.0
-656.0;545.0;621.0;100.0;-635.0;-261.0;473.0;-427.0;319.0;256.0
-651.0;542.0;595.0;3.0;-643.0;-257.0;438.0;-426.0;326.0;202.0
-854.0;658.0;-72.0;361.0;-575.0;-315.0;493.0;264.0;656.0;467.0
-573.0;495.0;572.0;340.0;-594.0;-241.0;384.0;-160.0;415.0;152.0
-472.0;463.0;365.0;70.0;-498.0;-175.0;181.0;-292.0;558.0;396.0
-418.0;488.0;586.0;-126.0;-486.0;-102.0;365.0;-345.0;607.0;-38.0
-276.0;24.0;537.0;-92.0;-99.0;178.0;464.0;-595.0;-95.0;95.0
-556.0;457.0;518.0;-163.0;-409.0;-2.0;299.0;-359.0;456.0;-55.0
-560.0;450.0;510.0;-242.0;-395.0;58.0;373.0;-400.0;419.0;-51.0
-573.0;428.0;492.0;-173.0;-347.0;227.0;297.0;-439.0;321.0;-113.0
-319.0;97.0;599.0;-129.0;-105.0;-35.0;236.0;-560.0;39.0;236.0
-21.0;-62.0;763.0;70.0;176.0;15.0;817.0;-492.0;-182.0;229.0
433.0;-453.0;722.0;5.0;625.0;706.0;895.0;-249.0;-568.0;32.0
-214.0;480.0;764.0;-45.0;238.0;290.0;755.0;-938.0;490.0;117.0
-527.0;505.0;729.0;99.0;194.0;218.0;677.0;-677.0;479.0;62.0
-380.0;252.0;251.0;-46.0;-199.0;-331.0;80.0;-40.0;168.0;260.0
-368.0;266.0;330.0;-30.0;-209.0;-354.0;168.0;-57.0;193.0;253.0
