InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit R-SHOE EuY
116;-683.0;-558.0;-7;533.0;-24
116;-672.0;-562.0;-7;524.0;-24
116;-675.0;-561.0;-7;519.0;-24
116;-672.0;-563.0;-7;517.0;-24
116;-670.0;-565.0;-7;517.0;-24
116;-668.0;-566.0;-7;515.0;-24
?;-665.0;-569.0;-7;513.0;-24
?;-665.0;-570.0;-7;511.0;-24
116;-668.0;-570.0;-7;510.0;-24
116;-658.0;-594.0;-7;503.0;-24
116;-657.0;-594.0;-7;504.0;-24
116;-657.0;-593.0;-7;506.0;-24
116;-657.0;-592.0;-7;505.0;-24
116;-657.0;-592.0;-7;504.0;-24
116;-656.0;-591.0;-7;505.0;-24
116;-656.0;-593.0;-7;506.0;-24
116;-657.0;-593.0;-7;506.0;-24
116;-657.0;-593.0;-7;508.0;-24
116;-656.0;-591.0;-7;510.0;-24
116;-657.0;-588.0;-7;511.0;-24
116;-658.0;-586.0;-7;516.0;-24
116;-656.0;-583.0;-7;515.0;-24
116;-656.0;-581.0;-7;518.0;-24
116;-657.0;-575.0;-7;518.0;-24
116;-658.0;-571.0;-7;522.0;-24
116;-661.0;-567.0;-7;522.0;-24
116;-662.0;-565.0;-7;524.0;-24
116;-664.0;-565.0;-7;523.0;-24
116;-666.0;-563.0;-7;521.0;-24
116;-672.0;-562.0;-7;523.0;-24
116;-674.0;-568.0;-7;518.0;-24
116;-675.0;-572.0;-7;514.0;-24
116;-674.0;-572.0;-7;512.0;-24
116;-672.0;-572.0;-7;512.0;-24
116;-671.0;-572.0;-7;509.0;-24
116;-670.0;-573.0;-7;506.0;-24
116;-669.0;-573.0;-7;507.0;-24
116;-671.0;-573.0;-7;506.0;-24
116;-675.0;-571.0;-7;507.0;-24
116;-679.0;-571.0;-7;511.0;-24
116;-682.0;-570.0;-7;?;-24
116;-665.0;-601.0;-7;?;-24
116;-664.0;-601.0;-7;?;-24
116;-664.0;-600.0;-7;?;-24
116;-664.0;-599.0;-7;?;-24
116;-664.0;-599.0;-7;?;-24
116;-664.0;-599.0;-7;?;-24
116;-663.0;-600.0;-7;?;-24
116;-661.0;-602.0;-7;?;-24
116;-659.0;-605.0;-7;?;-24
116;-658.0;-607.0;-7;?;-24
116;-658.0;-609.0;-7;?;-24
116;-658.0;-609.0;-7;?;-24
116;-660.0;-606.0;-7;?;-24
116;-662.0;-602.0;-7;?;-24
116;-663.0;-595.0;-7;514.0;-24
116;-664.0;-588.0;-7;517.0;-24
116;-667.0;-581.0;-7;521.0;-24
116;-671.0;-573.0;-7;528.0;-24
116;-676.0;-567.0;-7;531.0;-24
116;-680.0;-563.0;-7;534.0;-24
116;-684.0;-562.0;-7;534.0;-24
116;-686.0;-565.0;-7;533.0;-24
116;-686.0;-569.0;-7;529.0;-24
116;-686.0;-569.0;-7;526.0;-24
116;-683.0;-569.0;-7;523.0;-24
116;-682.0;-569.0;-7;523.0;-24
116;-680.0;-569.0;-7;520.0;-24
116;-679.0;-570.0;-7;518.0;-24
116;-677.0;-570.0;-7;517.0;-24
116;-678.0;-570.0;-7;516.0;-24
116;-679.0;-570.0;-7;515.0;-24
116;-671.0;-577.0;-7;?;-24
116;-671.0;-579.0;-7;?;-24
116;-670.0;-581.0;-7;502.0;-24
116;-667.0;-585.0;-7;500.0;-24
116;-665.0;-588.0;-7;498.0;-24
116;-664.0;-589.0;-7;499.0;-24
116;-666.0;-586.0;-7;499.0;-24
116;-667.0;-584.0;-7;502.0;-24
116;-668.0;-582.0;-7;501.0;-24
116;-668.0;-579.0;-7;501.0;-24
116;-670.0;-578.0;?;499.0;-24
116;-671.0;-577.0;?;501.0;-24
116;-672.0;-573.0;?;502.0;-24
116;-674.0;-569.0;?;503.0;-24
116;-677.0;-564.0;?;506.0;-24
116;-680.0;-560.0;?;505.0;-24
116;-683.0;-555.0;?;508.0;-24
116;-686.0;-550.0;?;509.0;-24
116;-689.0;-545.0;?;511.0;-24
117;-691.0;-539.0;?;511.0;-24
118;-693.0;-534.0;?;516.0;-24
118;-695.0;-530.0;?;517.0;-24
116;-697.0;-530.0;?;517.0;-24
115;-698.0;-531.0;?;516.0;-24
114;-699.0;-533.0;-8;515.0;-24
113;-699.0;-536.0;-8;513.0;-24
113;-700.0;-539.0;-8;510.0;-24
111;-700.0;-543.0;-8;507.0;-24
110;-701.0;-547.0;-8;507.0;-24
108;-701.0;-551.0;-8;503.0;-24
108;-701.0;-555.0;-8;503.0;-24
108;-701.0;-557.0;-8;500.0;-24
107;-700.0;-560.0;-8;500.0;-24
107;-699.0;-560.0;?;495.0;-24
107;-699.0;-560.0;?;497.0;-24
107;-699.0;-559.0;?;498.0;-24
106;-699.0;-557.0;?;500.0;-24
106;-701.0;-554.0;?;502.0;-24
105;-703.0;-551.0;-8;504.0;-24
105;-706.0;-548.0;-8;505.0;-24
106;-708.0;-547.0;-8;508.0;-24
106;-709.0;-546.0;-8;510.0;-24
106;-710.0;-544.0;-8;511.0;-24
