Accelerometer RKN_ accY;Accelerometer LUA_ accX;InertialMeasurementUnit LLA accZ;Accelerometer RKN_ accZ;InertialMeasurementUnit L-SHOE Nav_Az;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE EuY;InertialMeasurementUnit L-SHOE Nav_Ax
975.0;-48.0;-400.0;143.0;22;25.0;658;-6;724;-40;-2
989.0;67.0;58.0;-8.0;5;13.0;665;-5;741;-42;0
980.0;-169.0;-103.0;81.0;49;-112.0;481;-312;861;-45;-207
1126.0;-226.0;-166.0;93.0;23;-303.0;670;-148;722;-34;21
995.0;58.0;52.0;-27.0;16;18.0;654;-2;735;-42;-6
979.0;69.0;54.0;-20.0;18;0.0;659;-3;729;-42;3
989.0;67.0;49.0;-31.0;18;9.0;656;-5;731;-42;-1
989.0;57.0;48.0;-10.0;20;18.0;652;-3;732;-42;-4
989.0;67.0;44.0;0.0;12;18.0;661;-3;733;-42;2
989.0;70.0;58.0;-8.0;18;9.0;656;-4;732;-42;-5
985.0;64.0;56.0;-8.0;21;39.0;658;0;725;-40;1
998.0;88.0;47.0;-20.0;17;19.0;659;-5;730;-42;2
979.0;68.0;192.0;46.0;9;2.0;659;22;740;-41;20
1005.0;63.0;38.0;-10.0;17;29.0;656;-5;732;-42;-4
997.0;47.0;44.0;-11.0;17;8.0;658;-6;730;-42;1
988.0;58.0;63.0;-19.0;12;11.0;659;-7;736;-42;-2
987.0;3.0;-26.0;66.0;14;-68.0;648;-17;744;-41;7
981.0;-342.0;-61.0;27.0;16;-58.0;669;42;726;-38;70
1001.0;38.0;-18.0;5.0;16;-79.0;647;-2;741;-41;0
1002.0;-139.0;-197.0;8.0;18;-149.0;646;-2;740;-42;-3
982.0;-62.0;-268.0;75.0;39;-28.0;598;42;750;-39;-1
989.0;130.0;-11.0;18.0;15;-89.0;649;5;740;-41;-6
989.0;-30.0;13.0;42.0;25;-85.0;648;-19;729;-41;20
845.0;119.0;198.0;-54.0;-9;-282.0;653;41;772;-38;93
976.0;115.0;-8.0;-15.0;22;-120.0;641;2;740;-42;2
983.0;2.0;11.0;5.0;40;-116.0;591;28;757;-42;-54
930.0;38.0;112.0;-32.0;16;-223.0;656;12;733;-41;5
978.0;57.0;80.0;-21.0;19;20.0;657;1;729;-40;-2
994.0;68.0;66.0;-21.0;16;0.0;660;-3;730;-42;0
1006.0;37.0;75.0;-18.0;17;-105.0;685;16;705;-45;11
974.0;13.0;61.0;4.0;24;-74.0;695;-20;680;-45;-8
990.0;-64.0;40.0;4.0;18;-16.0;708;-15;676;-46;2
970.0;-7.0;-9.0;-1.0;284;-211.0;911;-618;151;-43;-222
1008.0;-330.0;-303.0;-33.0;1308;-117.0;1487;-1409;-886;-22;-1101
990.0;73.0;66.0;-59.0;18;-9.0;655;-5;732;-42;-5
986.0;83.0;67.0;2.0;20;23.0;656;0;729;-42;-2
1005.0;48.0;49.0;-1.0;16;56.0;658;-1;731;-43;-2
989.0;-54.0;-105.0;22.0;299;-45.0;1299;154;217;-27;1193
1111.0;56.0;37.0;-95.0;54;-138.0;656;-200;714;-35;48
927.0;68.0;47.0;-40.0;55;-23.0;707;-201;674;-36;110
991.0;62.0;63.0;-11.0;18;27.0;653;-6;733;-42;-2
985.0;115.0;69.0;57.0;27;44.0;690;-78;683;-38;85
874.0;-17.0;-27.0;189.0;15;-145.0;644;0;745;-40;2
962.0;53.0;-31.0;42.0;23;-184.0;641;1;737;-40;2
993.0;8.0;-128.0;-15.0;19;-118.0;645;0;740;-42;3
972.0;83.0;-43.0;10.0;17;-166.0;647;1;740;-40;7
978.0;175.0;-46.0;-57.0;12;-290.0;629;13;746;-41;-37
991.0;96.0;172.0;45.0;16;41.0;662;6;729;-43;-1
1059.0;54.0;127.0;23.0;24;-86.0;685;23;695;-43;-5
1004.0;52.0;85.0;-4.0;16;-36.0;672;6;719;-39;0
997.0;97.0;155.0;87.0;26;-28.0;658;11;717;-42;-5
958.0;75.0;115.0;25.0;10;-81.0;666;-26;730;-38;6
1060.0;-43.0;-89.0;-97.0;-420;32.0;-571;-586;1938;-23;1370
987.0;-5.0;-108.0;-46.0;-103;-109.0;694;-37;865;-45;123
979.0;22.0;-2.0;23.0;52;-116.0;164;35;935;-13;-25
845.0;32.0;-115.0;-371.0;13;-360.0;749;-5;643;-50;8
966.0;69.0;89.0;2.0;20;-75.0;664;0;722;-39;6
1010.0;41.0;79.0;-26.0;21;-95.0;668;5;716;-39;0
1000.0;66.0;56.0;-47.0;23;-23.0;664;-2;717;-39;-6
1028.0;124.0;71.0;-35.0;16;-205.0;673;-8;717;-37;11
953.0;37.0;-7.0;-169.0;17;-244.0;647;2;739;-40;-4
1025.0;58.0;50.0;-59.0;22;-190.0;662;-4;720;-39;0
1079.0;54.0;38.0;-450.0;22;-46.0;683;10;700;-36;32
1109.0;165.0;6.0;-160.0;12;-82.0;665;12;729;-44;-22
990.0;59.0;85.0;97.0;13;31.0;645;-54;824;-40;93
836.0;-205.0;-543.0;-383.0;16;-359.0;748;6;639;-50;6
973.0;185.0;-143.0;125.0;25;-23.0;673;5;704;-34;0
982.0;99.0;-159.0;122.0;22;56.0;674;0;706;-33;5
1024.0;-46.0;47.0;-74.0;41;-123.0;655;5;714;-55;8
1080.0;-112.0;80.0;-250.0;54;147.0;661;86;698;-37;-121
1025.0;-5.0;70.0;-70.0;6;-155.0;677;21;732;-58;2
532.0;6.0;-24.0;-601.0;728;-334.0;389;-677;536;-61;110
966.0;-49.0;-79.0;72.0;19;-92.0;665;16;720;-44;-3
1001.0;7.0;-62.0;104.0;12;-87.0;671;10;724;-44;-6
963.0;139.0;-34.0;139.0;15;-37.0;650;-49;744;-39;-46
972.0;16.0;103.0;-23.0;17;28.0;667;23;721;-41;-2
982.0;54.0;25.0;2.0;19;-86.0;672;28;717;-39;-54
1063.0;20.0;134.0;-62.0;53;-125.0;688;-18;696;-30;-251
945.0;-187.0;-21.0;-5.0;260;-136.0;430;-23;560;-39;-48
1005.0;-46.0;-159.0;-170.0;15;-131.0;672;1;719;-39;-3
978.0;-27.0;-142.0;-232.0;17;-244.0;664;2;725;-38;1
970.0;-28.0;-152.0;-70.0;18;-132.0;667;-6;721;-38;-1
992.0;-8.0;-142.0;-103.0;18;-111.0;667;-1;721;-39;7
977.0;84.0;-144.0;-54.0;-29;-142.0;683;-140;780;-43;34
988.0;-39.0;-142.0;-18.0;19;-96.0;669;-1;718;-39;4
983.0;-38.0;-140.0;15.0;19;-98.0;674;-4;712;-39;-3
973.0;-349.0;-459.0;187.0;21;-32.0;668;-1;715;-44;2
974.0;-56.0;-144.0;60.0;17;-96.0;675;-6;715;-39;-1
988.0;-49.0;-123.0;52.0;17;-128.0;674;-11;715;-39;-1
994.0;-65.0;-116.0;41.0;17;-131.0;675;-7;714;-39;-3
963.0;-26.0;-112.0;57.0;23;-119.0;669;2;711;-39;-2
968.0;-47.0;-110.0;71.0;20;-85.0;671;-1;714;-39;-1
991.0;-117.0;-200.0;40.0;-5;-31.0;669;-62;756;-41;68
987.0;-33.0;-121.0;42.0;20;-100.0;670;-2;716;-39;0
988.0;-39.0;-139.0;173.0;16;-65.0;665;3;726;-38;-1
1283.0;-30.0;51.0;608.0;-535;-321.0;1276;-451;874;-66;-12
918.0;-92.0;-111.0;-83.0;-1189;-173.0;1959;-312;1295;-37;731
992.0;78.0;-20.0;-429.0;-765;-46.0;1852;1166;972;-32;-237
1037.0;97.0;-63.0;9.0;253;-102.0;588;-538;710;-3;187
999.0;97.0;-3.0;-16.0;37;-105.0;647;-43;713;-44;35
969.0;73.0;-25.0;37.0;63;-28.0;676;-145;676;-32;162
949.0;72.0;23.0;-21.0;30;-12.0;655;-5;714;-45;9
906.0;110.0;75.0;-152.0;19;-242.0;665;11;721;-43;17
845.0;-24.0;94.0;-378.0;16;-351.0;744;2;644;-50;-3
1026.0;51.0;118.0;-215.0;28;-191.0;674;-3;700;-36;21
1003.0;108.0;179.0;-63.0;28;-6.0;645;4;727;-41;3
1103.0;89.0;170.0;1.0;19;-104.0;668;-26;720;-55;-1
989.0;50.0;71.0;18.0;18;1.0;667;0;722;-42;-5
996.0;107.0;100.0;1.0;13;6.0;660;0;733;-42;-8
988.0;53.0;-27.0;-65.0;46;-54.0;626;28;724;-39;42
997.0;-161.0;5.0;40.0;27;54.0;675;-13;737;-29;234
977.0;-70.0;-558.0;141.0;18;-24.0;665;-1;722;-50;7
994.0;-261.0;-306.0;3.0;22;-5.0;654;3;727;-39;-3
970.0;332.0;221.0;77.0;15;-153.0;658;5;733;-41;-6
1000.0;83.0;68.0;-45.0;15;-72.0;663;1;728;-55;-6
975.0;72.0;56.0;-56.0;18;-45.0;662;2;725;-55;-3
1022.0;104.0;59.0;-47.0;18;-88.0;665;7;722;-55;0
997.0;-71.0;-115.0;-48.0;22;17.0;653;6;728;-39;0
989.0;-73.0;-95.0;-33.0;17;7.0;653;2;735;-39;8
989.0;-314.0;-185.0;-10.0;14;9.0;661;-2;732;-45;8
978.0;-52.0;-88.0;-14.0;16;16.0;656;11;734;-39;10
989.0;-77.0;-97.0;-19.0;20;-4.0;650;1;733;-39;6
999.0;-83.0;-108.0;-22.0;23;0.0;650;-1;730;-39;3
985.0;-78.0;-167.0;1.0;21;20.0;650;-1;731;-39;5
981.0;-107.0;-97.0;208.0;95;-61.0;639;-77;668;-39;203
865.0;-43.0;-141.0;70.0;-692;-209.0;2270;-97;903;-24;-1790
989.0;-77.0;-39.0;57.0;32;-121.0;692;0;674;-46;-13
1535.0;-50.0;38.0;739.0;-923;-149.0;1798;371;576;-78;-417
1000.0;-76.0;-62.0;58.0;-39;-187.0;706;1;762;-39;-20
969.0;-49.0;-35.0;71.0;23;-118.0;699;-2;680;-46;-10
981.0;-44.0;-41.0;76.0;14;-128.0;708;2;683;-46;-9
975.0;-23.0;-42.0;99.0;27;-140.0;697;3;677;-46;1
985.0;-6.0;-45.0;79.0;15;-153.0;701;-2;691;-46;6
979.0;-38.0;-43.0;75.0;22;-128.0;698;-2;684;-46;-1
980.0;-33.0;-42.0;42.0;23;-151.0;697;-2;683;-46;-2
990.0;-28.0;-47.0;62.0;17;-157.0;700;-1;689;-46;6
959.0;-36.0;-46.0;72.0;18;-143.0;703;3;685;-46;2
962.0;-27.0;-53.0;70.0;20;-138.0;698;-2;686;-46;0
967.0;-29.0;-46.0;68.0;18;-115.0;699;-1;688;-46;2
