InertialMeasurementUnit BACK accY;InertialMeasurementUnit RUA accZ;Accelerometer RUA^ accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA^ accY;InertialMeasurementUnit LUA accZ;Accelerometer RUA_ accY;InertialMeasurementUnit RLA accX;Accelerometer RWR accY;InertialMeasurementUnit RLA accZ;Accelerometer RUA_ accZ;InertialMeasurementUnit RUA accY
-191.0;63.0;260.0;-1036.0;1049.0;430.0;780.0;-750.0;664.0;437.0;-168.0;234.0
-162.0;67.0;236.0;-804.0;1042.0;338.0;802.0;-591.0;633.0;413.0;64.0;45.0
-51.0;198.0;178.0;-969.0;1147.0;15.0;1011.0;-628.0;678.0;386.0;-230.0;45.0
-113.0;177.0;373.0;-979.0;989.0;179.0;801.0;-650.0;478.0;320.0;0.0;140.0
-410.0;54.0;300.0;-945.0;939.0;229.0;883.0;-219.0;320.0;257.0;-42.0;125.0
-207.0;126.0;439.0;-942.0;1008.0;244.0;660.0;-474.0;446.0;322.0;9.0;144.0
-130.0;106.0;257.0;-901.0;1029.0;270.0;882.0;-669.0;660.0;353.0;35.0;320.0
-144.0;288.0;40.0;-733.0;1168.0;466.0;1283.0;-43.0;736.0;-114.0;74.0;331.0
-127.0;166.0;213.0;-845.0;1087.0;238.0;873.0;-583.0;638.0;380.0;77.0;187.0
19.0;245.0;-38.0;-760.0;1242.0;198.0;1150.0;-602.0;873.0;420.0;168.0;50.0
-70.0;195.0;332.0;-952.0;1174.0;68.0;794.0;-796.0;594.0;385.0;80.0;106.0
-68.0;155.0;252.0;-794.0;1007.0;266.0;895.0;-685.0;691.0;421.0;66.0;142.0
-78.0;164.0;293.0;-851.0;941.0;281.0;958.0;-715.0;596.0;421.0;93.0;213.0
-166.0;218.0;245.0;-950.0;1065.0;262.0;961.0;-774.0;693.0;456.0;-20.0;174.0
-172.0;218.0;253.0;-957.0;1079.0;249.0;969.0;-774.0;704.0;461.0;-9.0;177.0
-58.0;149.0;357.0;-824.0;1102.0;231.0;906.0;-673.0;635.0;514.0;63.0;223.0
-224.0;250.0;180.0;-890.0;865.0;240.0;1089.0;-870.0;481.0;513.0;120.0;-166.0
-223.0;179.0;443.0;-1009.0;986.0;421.0;756.0;-663.0;575.0;401.0;-38.0;158.0
-144.0;97.0;278.0;-928.0;1064.0;292.0;907.0;-741.0;697.0;410.0;85.0;259.0
-214.0;153.0;368.0;-936.0;1040.0;311.0;941.0;-750.0;692.0;440.0;99.0;212.0
-219.0;107.0;356.0;-915.0;1069.0;277.0;904.0;-710.0;684.0;415.0;90.0;255.0
-161.0;205.0;330.0;-949.0;1037.0;228.0;939.0;-755.0;689.0;408.0;109.0;281.0
-165.0;209.0;363.0;-924.0;1058.0;245.0;930.0;-733.0;679.0;446.0;97.0;270.0
-283.0;151.0;476.0;-757.0;1037.0;325.0;645.0;-47.0;493.0;656.0;186.0;534.0
-126.0;136.0;375.0;-920.0;988.0;294.0;819.0;-645.0;488.0;369.0;-23.0;310.0
-66.0;163.0;241.0;-864.0;1043.0;336.0;910.0;-714.0;702.0;511.0;119.0;198.0
-146.0;117.0;385.0;-912.0;1002.0;291.0;852.0;-630.0;564.0;367.0;10.0;306.0
-176.0;165.0;397.0;-988.0;1095.0;321.0;806.0;-725.0;513.0;283.0;127.0;358.0
-122.0;161.0;272.0;-765.0;1004.0;304.0;922.0;-652.0;695.0;449.0;98.0;188.0
-263.0;26.0;122.0;-860.0;861.0;256.0;763.0;-797.0;714.0;361.0;-55.0;135.0
-128.0;271.0;254.0;-939.0;871.0;213.0;1134.0;-901.0;501.0;472.0;209.0;-46.0
-150.0;39.0;101.0;-1072.0;866.0;605.0;1087.0;-983.0;652.0;617.0;99.0;212.0
-258.0;78.0;176.0;-1109.0;989.0;490.0;834.0;-1018.0;725.0;488.0;-6.0;136.0
-53.0;172.0;233.0;-980.0;922.0;254.0;782.0;-951.0;618.0;533.0;90.0;-192.0
-8.0;132.0;325.0;-712.0;987.0;63.0;773.0;-578.0;817.0;392.0;108.0;258.0
-340.0;218.0;385.0;-969.0;1020.0;511.0;860.0;-814.0;401.0;453.0;-234.0;-27.0
-200.0;148.0;696.0;-981.0;771.0;285.0;680.0;-792.0;77.0;474.0;285.0;231.0
-217.0;213.0;306.0;-1036.0;1128.0;391.0;868.0;-756.0;603.0;452.0;19.0;214.0
-25.0;309.0;182.0;-866.0;900.0;349.0;1041.0;-762.0;645.0;557.0;131.0;55.0
-220.0;249.0;-1.0;-1002.0;1001.0;334.0;556.0;-641.0;360.0;569.0;-231.0;-188.0
-111.0;349.0;231.0;-911.0;1006.0;-4.0;835.0;-742.0;517.0;630.0;98.0;2.0
-122.0;337.0;356.0;-852.0;1060.0;120.0;686.0;-418.0;283.0;736.0;118.0;46.0
-187.0;207.0;392.0;-964.0;1003.0;271.0;728.0;-599.0;215.0;583.0;-157.0;109.0
-200.0;207.0;271.0;-986.0;1082.0;285.0;863.0;-694.0;439.0;527.0;-142.0;48.0
-248.0;279.0;389.0;-977.0;1062.0;540.0;968.0;-592.0;462.0;661.0;272.0;351.0
-209.0;197.0;225.0;-991.0;1101.0;303.0;898.0;-695.0;512.0;515.0;-137.0;60.0
-216.0;201.0;150.0;-992.0;1101.0;301.0;886.0;-697.0;593.0;504.0;-124.0;53.0
-101.0;230.0;353.0;-928.0;1104.0;40.0;979.0;-757.0;801.0;728.0;80.0;248.0
-213.0;198.0;175.0;-993.0;1109.0;301.0;885.0;-693.0;632.0;500.0;-98.0;53.0
-11.0;246.0;296.0;-933.0;1031.0;206.0;976.0;-815.0;626.0;514.0;141.0;154.0
73.0;205.0;346.0;-879.0;985.0;26.0;877.0;-759.0;651.0;404.0;150.0;265.0
18.0;268.0;306.0;-921.0;1010.0;171.0;883.0;-722.0;656.0;455.0;97.0;247.0
-2.0;370.0;358.0;-900.0;1024.0;378.0;915.0;-543.0;653.0;575.0;110.0;315.0
-213.0;200.0;149.0;-987.0;1100.0;306.0;890.0;-692.0;620.0;501.0;-113.0;53.0
-79.0;222.0;220.0;-961.0;1094.0;190.0;924.0;-795.0;739.0;501.0;79.0;167.0
-204.0;203.0;177.0;-977.0;1080.0;310.0;888.0;-687.0;622.0;500.0;-96.0;51.0
-11.0;273.0;218.0;-890.0;1137.0;200.0;1168.0;-726.0;490.0;519.0;10.0;200.0
-58.0;158.0;-121.0;-931.0;1166.0;246.0;724.0;-471.0;413.0;476.0;-295.0;-362.0
-202.0;206.0;155.0;-974.0;1078.0;303.0;895.0;-690.0;613.0;496.0;-110.0;52.0
-74.0;148.0;286.0;-910.0;1030.0;152.0;933.0;-767.0;706.0;491.0;76.0;228.0
-60.0;129.0;299.0;-925.0;1033.0;134.0;895.0;-785.0;735.0;482.0;50.0;233.0
-227.0;2.0;-6.0;-1058.0;1122.0;77.0;943.0;-757.0;735.0;416.0;-300.0;31.0
-117.0;211.0;288.0;-824.0;927.0;318.0;754.0;-747.0;636.0;399.0;70.0;108.0
-185.0;167.0;252.0;-940.0;1068.0;256.0;905.0;-624.0;728.0;610.0;-76.0;131.0
-204.0;204.0;148.0;-978.0;1100.0;312.0;872.0;-692.0;602.0;495.0;-115.0;49.0
-202.0;209.0;168.0;-977.0;1087.0;315.0;888.0;-691.0;617.0;494.0;-103.0;47.0
-201.0;209.0;167.0;-978.0;1097.0;324.0;894.0;-694.0;623.0;491.0;-94.0;47.0
