Accelerometer LUA^ accZ;Accelerometer LUA^ accY;Accelerometer LUA_ accZ;Accelerometer LUA_ accY;InertialMeasurementUnit LUA accY;Accelerometer LWR accY;Accelerometer LH accY;Accelerometer RKN^ accY;InertialMeasurementUnit LLA accX;InertialMeasurementUnit LLA accY;InertialMeasurementUnit LUA accX
835.0;218.0;751.0;-736.0;-1270.0;-1248.0;-1078.0;1021.0;1069.0;-628.0;-308.0
848.0;169.0;691.0;-743.0;-1200.0;-1129.0;-1076.0;1033.0;1136.0;-732.0;-332.0
931.0;160.0;699.0;-695.0;-1072.0;-1011.0;-1038.0;1053.0;1202.0;-710.0;-221.0
1017.0;152.0;753.0;-803.0;-932.0;-956.0;-913.0;1025.0;1178.0;-744.0;-149.0
1144.0;169.0;804.0;-1004.0;-1011.0;-889.0;-772.0;1040.0;1100.0;-641.0;-226.0
1219.0;131.0;796.0;-1025.0;-1014.0;-906.0;-1049.0;1036.0;944.0;-710.0;-326.0
1210.0;104.0;926.0;-804.0;-980.0;-1156.0;-1313.0;1006.0;853.0;-709.0;-344.0
1068.0;76.0;927.0;-739.0;-921.0;-1278.0;-1257.0;1037.0;822.0;-620.0;-326.0
1072.0;193.0;861.0;-633.0;-913.0;-1249.0;-1186.0;1033.0;753.0;-547.0;-466.0
1033.0;73.0;952.0;-151.0;-1018.0;-587.0;-658.0;1036.0;668.0;-632.0;-191.0
893.0;32.0;943.0;?;-1013.0;-413.0;-659.0;1035.0;635.0;-664.0;-183.0
1007.0;30.0;912.0;?;-1070.0;-330.0;-628.0;1072.0;560.0;-773.0;-182.0
967.0;95.0;932.0;?;-1091.0;-375.0;-693.0;991.0;441.0;-828.0;-211.0
1005.0;113.0;921.0;?;-1093.0;-413.0;-686.0;1032.0;243.0;-891.0;-264.0
972.0;91.0;931.0;-438.0;-1026.0;-471.0;-801.0;1057.0;66.0;-999.0;-270.0
941.0;53.0;872.0;-464.0;-957.0;-593.0;-810.0;1022.0;58.0;-1026.0;-325.0
892.0;43.0;850.0;-532.0;-929.0;-572.0;-877.0;958.0;106.0;-1001.0;-393.0
850.0;3.0;832.0;-489.0;-925.0;-601.0;-936.0;1076.0;156.0;-999.0;-389.0
746.0;-50.0;768.0;-512.0;-914.0;-646.0;-867.0;1016.0;267.0;-977.0;-441.0
805.0;39.0;758.0;-514.0;-936.0;-668.0;-829.0;1020.0;369.0;-979.0;-407.0
817.0;116.0;714.0;-465.0;-1024.0;-657.0;-801.0;1024.0;401.0;-1008.0;-300.0
863.0;144.0;697.0;-441.0;-991.0;-652.0;-753.0;1050.0;434.0;-1036.0;-366.0
918.0;248.0;652.0;-478.0;-960.0;-636.0;-524.0;1032.0;455.0;-989.0;-463.0
909.0;193.0;692.0;-558.0;-849.0;-588.0;-695.0;1041.0;460.0;-895.0;-513.0
841.0;68.0;629.0;-811.0;-804.0;-591.0;-689.0;1011.0;491.0;-811.0;-453.0
874.0;?;663.0;?;-713.0;-664.0;-719.0;1020.0;473.0;-773.0;-482.0
911.0;190.0;678.0;?;-652.0;-832.0;-581.0;1015.0;456.0;-639.0;-470.0
867.0;244.0;787.0;?;-691.0;-1175.0;-1035.0;1049.0;464.0;-677.0;-433.0
824.0;218.0;877.0;?;-740.0;-1419.0;-1387.0;998.0;513.0;-696.0;-429.0
782.0;256.0;927.0;?;-825.0;-1492.0;-1410.0;1017.0;631.0;-617.0;-480.0
776.0;202.0;925.0;?;-1159.0;-1385.0;-1391.0;1054.0;1013.0;-387.0;-332.0
750.0;196.0;881.0;?;-1420.0;-1207.0;-1329.0;1028.0;1360.0;-432.0;-184.0
