InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit BACK gyroZ
-58.0;51.0;32.0;-20.0;-57.0;-176;26.0;6.0
-92.0;-15.0;20.0;-14.0;-61.0;-176;56.0;-13.0
-55.0;-6.0;42.0;-3.0;-32.0;-171;27.0;-2.0
-130.0;-30.0;2.0;-26.0;-22.0;-176;1.0;-11.0
-85.0;1.0;11.0;-11.0;-56.0;-176;8.0;-6.0
-36.0;-17.0;45.0;-4.0;-13.0;-176;1.0;8.0
-96.0;8.0;3.0;8.0;-69.0;-176;-10.0;-4.0
-54.0;9.0;14.0;-43.0;-31.0;-171;4.0;-15.0
-36.0;0.0;22.0;22.0;-41.0;-171;27.0;-24.0
-45.0;0.0;20.0;-21.0;-37.0;-171;-10.0;-32.0
-89.0;12.0;9.0;-1.0;-56.0;-176;22.0;-34.0
-48.0;-8.0;-3.0;-38.0;-34.0;-176;-5.0;13.0
-64.0;21.0;-4.0;-8.0;-38.0;-171;-13.0;8.0
-62.0;25.0;53.0;8.0;-47.0;-171;16.0;-17.0
-43.0;2.0;40.0;-27.0;-39.0;-171;10.0;-39.0
-38.0;31.0;-9.0;-10.0;-6.0;-171;20.0;-16.0
-60.0;-10.0;37.0;-31.0;-19.0;-176;-22.0;-11.0
-124.0;-64.0;26.0;-60.0;-68.0;177;-123.0;45.0
-59.0;0.0;10.0;25.0;-22.0;-171;23.0;-21.0
-65.0;17.0;21.0;21.0;-27.0;-171;5.0;26.0
-83.0;-32.0;29.0;-29.0;-56.0;-171;14.0;19.0
-73.0;-34.0;33.0;-13.0;-32.0;-171;5.0;-6.0
-50.0;35.0;-25.0;-21.0;-10.0;-171;-18.0;14.0
-82.0;6.0;-33.0;-29.0;-8.0;-171;-16.0;4.0
-16.0;-1.0;-5.0;-35.0;-33.0;-176;-15.0;8.0
-89.0;19.0;31.0;-41.0;-72.0;-174;11.0;-28.0
-57.0;0.0;-6.0;-13.0;0.0;-176;10.0;23.0
-31.0;15.0;21.0;-57.0;-61.0;-174;-21.0;17.0
-71.0;0.0;4.0;20.0;-32.0;-171;28.0;8.0
-50.0;-34.0;-7.0;-4.0;-37.0;-176;8.0;20.0
-57.0;2.0;31.0;4.0;-11.0;-176;31.0;-26.0
-98.0;19.0;36.0;-32.0;-65.0;-174;-6.0;5.0
-82.0;-11.0;-1.0;-16.0;-41.0;-171;16.0;4.0
-64.0;-14.0;14.0;-7.0;-69.0;-171;-1.0;-11.0
-70.0;21.0;38.0;-51.0;-68.0;-174;-11.0;-35.0
-69.0;4.0;-1.0;-5.0;-22.0;-171;-3.0;-19.0
-16.0;1.0;12.0;-22.0;-42.0;-176;-29.0;-18.0
-89.0;27.0;20.0;8.0;-54.0;-171;-8.0;-7.0
-49.0;5.0;1.0;-17.0;-49.0;-176;-11.0;17.0
-42.0;2.0;46.0;-9.0;-2.0;-171;8.0;-6.0
-89.0;0.0;68.0;-16.0;-43.0;-175;-5.0;11.0
-45.0;-28.0;20.0;-47.0;-48.0;-175;8.0;38.0
-56.0;-31.0;-29.0;1.0;-49.0;-176;-7.0;2.0
-40.0;-15.0;23.0;-10.0;-37.0;-175;23.0;6.0
-58.0;4.0;31.0;-14.0;-18.0;-175;20.0;-2.0
-63.0;-16.0;-5.0;20.0;-32.0;-176;-4.0;-4.0
-51.0;10.0;5.0;-20.0;-54.0;-176;-6.0;-4.0
-56.0;2.0;44.0;-42.0;-61.0;-174;21.0;-21.0
-76.0;13.0;50.0;-15.0;-51.0;-174;13.0;-49.0
-55.0;-23.0;42.0;-16.0;-32.0;-176;44.0;-7.0
-23.0;10.0;37.0;-10.0;-33.0;-176;1.0;3.0
-94.0;23.0;30.0;-55.0;-67.0;-174;5.0;-47.0
-64.0;-1.0;-33.0;-42.0;-15.0;-175;-27.0;20.0
-46.0;-1.0;25.0;26.0;-47.0;-175;-14.0;8.0
-56.0;8.0;27.0;-37.0;-41.0;-175;17.0;4.0
-41.0;2.0;29.0;-18.0;-5.0;-175;33.0;-26.0
-21.0;2.0;39.0;-26.0;-18.0;-175;23.0;-7.0
