InertialMeasurementUnit RUA accZ;Accelerometer RUA^ accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA^ accY;Accelerometer RWR accX;Accelerometer RUA_ accY;InertialMeasurementUnit RLA accX;Accelerometer RUA^ accX;Accelerometer RWR accY;InertialMeasurementUnit RLA accZ;Accelerometer RUA_ accZ;InertialMeasurementUnit RUA accY
-35.0;156.0;-994.0;1164.0;135.0;930.0;-606.0;43.0;762.0;213.0;-91.0;234.0
123.0;255.0;-1023.0;1087.0;0.0;1296.0;-701.0;191.0;528.0;420.0;330.0;141.0
145.0;265.0;-724.0;969.0;-285.0;710.0;-640.0;28.0;675.0;333.0;15.0;135.0
164.0;283.0;-912.0;869.0;-278.0;686.0;-846.0;49.0;668.0;371.0;30.0;47.0
-122.0;187.0;-936.0;1059.0;-254.0;996.0;-894.0;76.0;731.0;212.0;-58.0;128.0
45.0;316.0;-816.0;990.0;-297.0;927.0;-696.0;38.0;652.0;355.0;47.0;313.0
69.0;261.0;-885.0;851.0;-304.0;1212.0;-718.0;-53.0;500.0;309.0;170.0;164.0
260.0;182.0;-855.0;1340.0;-455.0;775.0;-799.0;58.0;736.0;383.0;66.0;126.0
498.0;841.0;-497.0;765.0;-1007.0;1367.0;-55.0;104.0;266.0;952.0;117.0;698.0
-65.0;-385.0;-997.0;1117.0;112.0;840.0;-512.0;273.0;1046.0;667.0;-378.0;78.0
34.0;96.0;-990.0;1102.0;-129.0;968.0;-575.0;61.0;782.0;489.0;98.0;281.0
117.0;20.0;-912.0;1095.0;-769.0;987.0;-796.0;-20.0;714.0;445.0;426.0;-23.0
476.0;701.0;-695.0;799.0;-600.0;288.0;143.0;-49.0;-216.0;978.0;364.0;584.0
66.0;149.0;-990.0;1008.0;-354.0;803.0;-874.0;-7.0;609.0;395.0;179.0;152.0
341.0;206.0;-921.0;931.0;-311.0;1280.0;-844.0;-164.0;505.0;541.0;215.0;21.0
246.0;296.0;-933.0;1031.0;-274.0;976.0;-815.0;-101.0;626.0;514.0;141.0;154.0
241.0;351.0;-926.0;1039.0;-277.0;934.0;-781.0;-60.0;625.0;492.0;117.0;199.0
242.0;330.0;-930.0;1012.0;-281.0;911.0;-747.0;-81.0;639.0;473.0;108.0;241.0
268.0;306.0;-921.0;1010.0;-328.0;883.0;-722.0;-122.0;656.0;455.0;97.0;247.0
269.0;283.0;-909.0;1001.0;-316.0;868.0;-708.0;-132.0;664.0;460.0;108.0;232.0
267.0;238.0;-908.0;1020.0;-302.0;859.0;-723.0;-131.0;679.0;490.0;128.0;174.0
255.0;270.0;-916.0;1024.0;-300.0;875.0;-736.0;-106.0;713.0;492.0;130.0;148.0
243.0;250.0;-925.0;1065.0;-349.0;905.0;-742.0;-71.0;768.0;491.0;140.0;162.0
230.0;251.0;-945.0;1072.0;-351.0;915.0;-759.0;-84.0;797.0;490.0;107.0;189.0
222.0;220.0;-961.0;1094.0;-372.0;924.0;-795.0;-128.0;739.0;501.0;79.0;167.0
210.0;297.0;-940.0;1063.0;-316.0;934.0;-786.0;-63.0;766.0;519.0;128.0;227.0
211.0;288.0;-945.0;1029.0;-350.0;943.0;-796.0;-51.0;751.0;498.0;110.0;213.0
220.0;176.0;-946.0;1028.0;-348.0;942.0;-795.0;-95.0;754.0;471.0;79.0;223.0
211.0;238.0;-933.0;1068.0;-388.0;967.0;-813.0;-87.0;629.0;515.0;59.0;169.0
181.0;301.0;-967.0;1096.0;-352.0;980.0;-820.0;-51.0;749.0;577.0;116.0;213.0
170.0;310.0;-976.0;1083.0;-329.0;991.0;-829.0;-37.0;716.0;573.0;102.0;221.0
157.0;330.0;-981.0;1072.0;-345.0;989.0;-832.0;-16.0;744.0;566.0;101.0;237.0
214.0;266.0;-954.0;1046.0;-326.0;978.0;-829.0;-63.0;717.0;484.0;70.0;148.0
199.0;287.0;-942.0;1040.0;-351.0;960.0;-813.0;-57.0;715.0;479.0;81.0;186.0
188.0;126.0;-858.0;921.0;-202.0;937.0;-741.0;39.0;804.0;334.0;52.0;129.0
220.0;428.0;-826.0;1005.0;-417.0;810.0;-702.0;-21.0;605.0;536.0;78.0;209.0
4.0;206.0;-853.0;1021.0;-199.0;895.0;-831.0;84.0;707.0;297.0;-70.0;69.0
228.0;392.0;-866.0;1090.0;-340.0;805.0;-747.0;64.0;762.0;527.0;198.0;235.0
26.0;172.0;-1002.0;1100.0;-208.0;919.0;-581.0;184.0;669.0;417.0;102.0;211.0
-4.0;354.0;-842.0;1019.0;-204.0;832.0;-785.0;54.0;716.0;341.0;-77.0;80.0
149.0;314.0;-667.0;961.0;-313.0;699.0;-558.0;39.0;657.0;318.0;41.0;237.0
169.0;320.0;-872.0;908.0;-261.0;670.0;-814.0;34.0;647.0;386.0;40.0;123.0
7.0;340.0;-820.0;1014.0;-311.0;877.0;-723.0;25.0;714.0;294.0;-60.0;243.0
198.0;218.0;-971.0;1079.0;-371.0;990.0;-851.0;-106.0;731.0;496.0;58.0;132.0
209.0;214.0;-967.0;1062.0;-399.0;981.0;-847.0;-114.0;724.0;490.0;80.0;141.0
237.0;203.0;-938.0;1054.0;-328.0;978.0;-818.0;-143.0;754.0;526.0;103.0;136.0
318.0;99.0;-952.0;1140.0;-434.0;1044.0;-860.0;-148.0;744.0;564.0;112.0;95.0
250.0;252.0;-941.0;1058.0;-311.0;990.0;-825.0;-105.0;676.0;508.0;122.0;106.0
232.0;286.0;-952.0;1035.0;-310.0;980.0;-826.0;-69.0;694.0;503.0;108.0;130.0
89.0;325.0;-948.0;835.0;-347.0;814.0;-727.0;-24.0;480.0;361.0;176.0;174.0
228.0;304.0;-811.0;921.0;-325.0;646.0;-734.0;19.0;680.0;485.0;161.0;12.0
