InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit RLA gyroX
-4.0;0.0;28.0;-47.0;-21.0;-28.0;-17.0;-46.0;-43.0;82.0;14.0;-19.0
-3.0;-25.0;16.0;-87.0;-2.0;42.0;60.0;-33.0;-21.0;33.0;41.0;-23.0
-18.0;-17.0;46.0;-98.0;19.0;31.0;52.0;-34.0;-45.0;37.0;59.0;-27.0
-6.0;-6.0;40.0;-72.0;6.0;32.0;56.0;-33.0;-62.0;69.0;29.0;-40.0
-17.0;-20.0;61.0;-83.0;-10.0;36.0;21.0;-32.0;-51.0;73.0;37.0;-28.0
-3.0;-12.0;63.0;-35.0;-4.0;-9.0;16.0;-22.0;-19.0;74.0;33.0;5.0
-7.0;-1.0;32.0;-64.0;0.0;11.0;53.0;-17.0;-29.0;109.0;-30.0;-3.0
-13.0;-3.0;32.0;-39.0;-27.0;30.0;25.0;-12.0;-25.0;81.0;-14.0;-27.0
0.0;-5.0;58.0;-57.0;2.0;30.0;41.0;-19.0;-53.0;73.0;21.0;-61.0
-5.0;-37.0;44.0;-111.0;-26.0;6.0;-1.0;-30.0;-34.0;43.0;3.0;15.0
1.0;-17.0;75.0;-102.0;-18.0;10.0;48.0;-16.0;-62.0;24.0;38.0;-7.0
-30.0;-7.0;24.0;-83.0;-31.0;26.0;23.0;-52.0;-20.0;53.0;33.0;-2.0
13.0;-20.0;11.0;-47.0;-29.0;24.0;47.0;-20.0;-40.0;27.0;42.0;21.0
0.0;3.0;1.0;-65.0;-7.0;-16.0;21.0;-22.0;-17.0;7.0;14.0;0.0
6.0;-13.0;-5.0;-69.0;17.0;25.0;49.0;-6.0;-21.0;33.0;4.0;-10.0
-1.0;9.0;23.0;-64.0;22.0;20.0;45.0;-5.0;-23.0;63.0;34.0;-38.0
-7.0;-33.0;38.0;-59.0;9.0;11.0;51.0;-17.0;-32.0;61.0;26.0;23.0
-32.0;0.0;46.0;-63.0;-4.0;1.0;48.0;-8.0;-51.0;61.0;-34.0;-10.0
-22.0;-3.0;54.0;-126.0;-7.0;9.0;60.0;-51.0;-45.0;85.0;24.0;2.0
-2.0;-13.0;3.0;-96.0;-19.0;22.0;17.0;-14.0;-61.0;53.0;-16.0;18.0
-7.0;-22.0;8.0;-33.0;-10.0;-26.0;30.0;-20.0;-52.0;54.0;-25.0;24.0
11.0;-33.0;14.0;-35.0;21.0;-18.0;32.0;-27.0;-12.0;54.0;-26.0;-24.0
7.0;0.0;-3.0;-45.0;0.0;25.0;57.0;-13.0;-35.0;39.0;-42.0;-6.0
-26.0;6.0;27.0;-23.0;31.0;-5.0;34.0;10.0;-33.0;43.0;-16.0;-23.0
7.0;-4.0;-1.0;-80.0;27.0;19.0;64.0;-13.0;-37.0;40.0;-43.0;-79.0
17.0;14.0;5.0;-100.0;-12.0;25.0;8.0;5.0;-25.0;39.0;0.0;7.0
-17.0;28.0;-10.0;-52.0;14.0;15.0;25.0;-9.0;-50.0;63.0;0.0;-12.0
-11.0;-20.0;25.0;-61.0;-6.0;61.0;21.0;-28.0;-11.0;53.0;-2.0;-35.0
12.0;-13.0;23.0;-32.0;-3.0;15.0;10.0;-23.0;-21.0;47.0;33.0;24.0
2.0;-4.0;32.0;-48.0;-5.0;-9.0;75.0;-33.0;-38.0;50.0;37.0;-21.0
14.0;-7.0;18.0;-80.0;-12.0;25.0;42.0;-38.0;-42.0;28.0;-28.0;16.0
10.0;-13.0;20.0;-93.0;20.0;19.0;21.0;-9.0;-38.0;40.0;-18.0;-18.0
6.0;-8.0;0.0;-68.0;5.0;16.0;13.0;-33.0;-22.0;60.0;-2.0;26.0
-2.0;-11.0;35.0;-69.0;13.0;11.0;26.0;-36.0;-34.0;17.0;3.0;23.0
14.0;0.0;6.0;-74.0;15.0;8.0;38.0;-23.0;-42.0;32.0;34.0;2.0
-1.0;3.0;-7.0;-72.0;5.0;-1.0;22.0;28.0;-31.0;50.0;11.0;-43.0
-17.0;9.0;-8.0;-63.0;11.0;34.0;51.0;9.0;-44.0;42.0;9.0;-75.0
10.0;-16.0;21.0;-60.0;22.0;40.0;49.0;-21.0;-17.0;48.0;41.0;-62.0
12.0;19.0;-4.0;-59.0;0.0;29.0;49.0;8.0;-23.0;48.0;0.0;-55.0
10.0;3.0;-2.0;-37.0;49.0;17.0;39.0;-12.0;-10.0;33.0;11.0;-22.0
25.0;23.0;14.0;-104.0;28.0;26.0;34.0;-20.0;-51.0;14.0;5.0;-18.0
-5.0;22.0;49.0;-126.0;-13.0;33.0;26.0;-64.0;-76.0;15.0;16.0;-26.0
9.0;32.0;16.0;-76.0;-12.0;-28.0;23.0;-59.0;-87.0;45.0;21.0;-11.0
-7.0;6.0;15.0;-75.0;35.0;-1.0;29.0;-18.0;-10.0;9.0;25.0;-66.0
18.0;-14.0;-15.0;-58.0;2.0;29.0;16.0;-58.0;-23.0;50.0;-41.0;-6.0
13.0;-9.0;69.0;-76.0;-10.0;67.0;13.0;-44.0;-40.0;58.0;13.0;-59.0
24.0;17.0;-7.0;-63.0;-10.0;48.0;16.0;-1.0;-14.0;25.0;9.0;-44.0
-7.0;-46.0;62.0;-72.0;26.0;15.0;85.0;-24.0;-18.0;66.0;-20.0;-20.0
-11.0;-13.0;33.0;-40.0;20.0;3.0;55.0;-42.0;-43.0;101.0;-3.0;-24.0
-2.0;-9.0;13.0;-97.0;1.0;29.0;27.0;-9.0;-39.0;28.0;21.0;-7.0
15.0;-26.0;18.0;-106.0;-4.0;-7.0;31.0;-47.0;-32.0;33.0;60.0;-24.0
19.0;16.0;0.0;-78.0;4.0;-12.0;6.0;-41.0;-47.0;30.0;10.0;-19.0
10.0;8.0;14.0;-112.0;-10.0;-3.0;1.0;-37.0;-48.0;40.0;17.0;14.0
19.0;-25.0;21.0;-94.0;-1.0;20.0;0.0;-26.0;-18.0;53.0;19.0;2.0
-2.0;8.0;-11.0;-94.0;-18.0;28.0;44.0;-30.0;-42.0;64.0;21.0;-32.0
3.0;-9.0;4.0;-82.0;-28.0;14.0;24.0;-27.0;-43.0;29.0;21.0;-28.0
-5.0;-12.0;1.0;-36.0;-30.0;-4.0;1.0;-65.0;-51.0;15.0;1.0;18.0
-8.0;-21.0;0.0;-49.0;-24.0;21.0;-6.0;-33.0;-20.0;44.0;-20.0;-19.0
-10.0;-3.0;32.0;-60.0;-9.0;15.0;18.0;16.0;-39.0;56.0;14.0;12.0
