InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
5;-1;16;662;1;5
23;34;18;662;-34;23
1;1;19;656;-1;1
1;-1;16;658;1;1
3;2;19;656;-2;3
-1;9;22;661;-9;-1
13;-8;18;667;8;13
3;1;16;669;-1;3
-1;4;16;669;-4;-1
1;-9;12;671;9;1
1;3;22;658;-3;1
-10;-11;18;671;11;-10
13;-6;18;659;6;13
2;-9;12;672;9;2
13;-18;20;668;18;13
-2;-7;12;670;7;-2
7;3;19;655;-3;7
3;0;14;657;0;3
-6;-3;17;661;3;-6
8;-8;18;661;8;8
7;2;18;655;-2;7
39;8;7;675;-8;39
-15;4;18;670;-4;-15
13;-19;11;672;19;13
-29;1;17;675;-1;-29
20;-6;14;670;6;20
20;7;18;668;-7;20
15;-15;15;670;15;15
13;-19;12;672;19;13
-1;-7;19;666;7;-1
-6;-4;20;670;4;-6
-2;2;17;669;-2;-2
1;-4;18;671;4;1
-28;14;17;660;-14;-28
-2;6;23;663;-6;-2
8;-8;11;670;8;8
7;1;15;669;-1;7
6;2;16;668;-2;6
0;13;10;676;-13;0
-1;3;20;673;-3;-1
13;8;16;668;-8;13
7;3;20;660;-3;7
-9;-2;20;660;2;-9
-3;0;16;671;0;-3
11;-14;15;671;14;11
8;3;21;666;-3;8
4;1;18;656;-1;4
16;9;13;664;-9;16
19;-8;22;666;8;19
10;13;23;664;-13;10
-1;5;12;666;-5;-1
24;1;22;664;-1;24
21;0;24;662;0;21
3;0;22;669;0;3
269;13;22;662;-13;269
12;2;16;669;-2;12
22;2;17;666;-2;22
21;13;18;669;-13;21
9;11;17;667;-11;9
14;24;18;659;-24;14
-5;9;14;674;-9;-5
14;-9;21;663;9;14
-2;-10;20;664;10;-2
0;-3;18;665;3;0
4;5;15;672;-5;4
2;-7;18;666;7;2
14;2;23;660;-2;14
-3;-12;22;666;12;-3
11;-8;22;662;8;11
14;-10;12;676;10;14
-4;-5;20;681;5;-4
4;-11;21;658;11;4
13;6;22;662;-6;13
14;12;17;667;-12;14
10;4;20;659;-4;10
-3;-29;3;701;29;-3
-2;-1;17;665;1;-2
4;16;15;662;-16;4
11;-11;18;682;11;11
2;3;18;665;-3;2
-21;25;11;750;-25;-21
11;-7;12;673;7;11
-1;-2;14;658;2;-1
9;-9;19;661;9;9
16;-7;19;668;7;16
16;0;18;672;0;16
7;-9;15;660;9;7
21;-2;20;663;2;21
2;-11;16;665;11;2
10;-13;15;667;13;10
14;0;19;659;0;14
11;-10;19;663;10;11
5;-10;21;662;10;5
6;3;21;667;-3;6
4;2;12;660;-2;4
10;-8;16;657;8;10
-2;4;24;663;-4;-2
22;4;20;671;-4;22
4;-1;22;666;1;4
12;0;15;671;0;12
7;14;19;671;-14;7
3;-8;13;658;8;3
12;20;16;675;-20;12
3;-10;14;658;10;3
11;4;21;667;-4;11
-3;-4;17;664;4;-3
10;-11;15;658;11;10
0;1;19;669;-1;0
3;-9;21;664;9;3
2;2;15;659;-2;2
6;-9;14;661;9;6
14;-1;16;656;1;14
-5;0;16;665;0;-5
2;1;17;671;-1;2
6;-11;13;674;11;6
-1;-9;17;659;9;-1
5;11;10;677;-11;5
-1;-8;19;663;8;-1
9;0;12;659;0;9
8;-9;19;666;9;8
10;-10;20;657;10;10
6;-5;14;680;5;6
-4;-7;16;668;7;-4
3;-10;20;658;10;3
16;-7;20;658;7;16
10;3;15;701;-3;10
34;0;20;655;0;34
6;15;19;672;-15;6
4;5;17;658;-5;4
16;2;17;668;-2;16
2136;87;52;656;-87;2136
6;0;16;672;0;6
5;9;13;677;-9;5
19;3;16;681;-3;19
14;1;24;658;-1;14
7;-9;20;674;9;7
3;-9;19;658;9;3
3;3;19;655;-3;3
10;-1;22;673;1;10
7;-8;26;660;8;7
-5;-6;17;676;6;-5
3;-1;17;659;1;3
10;2;14;667;-2;10
-5;-10;20;667;10;-5
3;7;17;662;-7;3
29;-9;17;666;9;29
4;8;16;659;-8;4
-8;-7;17;672;7;-8
21;-7;19;663;7;21
11;-2;16;657;2;11
6;-3;21;661;3;6
-15;0;15;683;0;-15
15;12;22;675;-12;15
-6;-11;19;667;11;-6
13;12;21;673;-12;13
0;-2;19;658;2;0
-8;2;21;673;-2;-8
4;11;21;666;-11;4
