Accelerometer RKN_ accY;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit RUA gyroY;Accelerometer RKN^ accX;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE AngVelNavFrameZ
978.0;-159;0;1338.0;-9;3;-1854.0;171.0;310;67;370;-9
985.0;-159;-3;1228.0;-20;-2;-1179.0;173.0;306;68;375;-20
996.0;-160;-4;638.0;-22;-3;-598.0;180.0;307;63;378;-22
959.0;-159;0;187.0;-25;1;-208.0;171.0;309;69;371;-25
1006.0;-159;10;-88.0;2;-1;242.0;188.0;317;71;369;2
968.0;-159;1;-187.0;4;-2;583.0;211.0;311;66;374;?
996.0;-159;-3;-239.0;-16;1;751.0;215.0;308;65;372;?
979.0;-159;3;-305.0;-9;-1;941.0;186.0;312;68;372;?
975.0;-160;-4;-346.0;-11;-2;1249.0;181.0;305;69;374;?
965.0;-159;-4;162.0;11;-3;-130.0;149.0;308;66;377;?
972.0;-159;4;90.0;-1;-6;-89.0;153.0;316;64;379;?
966.0;-159;6;177.0;6;-2;-198.0;161.0;316;68;373;?
977.0;-159;2;413.0;5;-1;-685.0;161.0;311;71;371;?
976.0;-159;3;663.0;-14;-3;-1218.0;167.0;313;69;374;?
993.0;-160;0;481.0;1;-1;-1598.0;225.0;310;67;374;?
991.0;-159;-2;222.0;29;-1;-2127.0;226.0;?;67;375;?
994.0;-159;3;64.0;11;-7;-2695.0;195.0;?;68;379;?
999.0;-159;2;-30.0;?;-5;-3156.0;201.0;?;64;378;-5
980.0;-159;?;-195.0;?;0;-3397.0;177.0;?;66;373;20
979.0;-159;?;-191.0;?;1;?;199.0;?;69;372;-1
978.0;-160;?;-132.0;?;4;?;180.0;?;67;372;-21
972.0;-159;?;-133.0;?;3;?;153.0;315;70;370;16
988.0;-159;-3;-14.0;?;-1;?;141.0;310;67;377;11
993.0;-159;-3;-41.0;?;2;?;160.0;308;70;373;27
988.0;-159;-2;-133.0;?;3;-3477.0;171.0;308;72;371;32
975.0;-159;-7;-463.0;?;0;-3170.0;172.0;304;68;376;-19
1002.0;-160;-3;-701.0;?;1;-2896.0;194.0;307;72;374;-32
992.0;-159;-2;-790.0;?;-2;-2643.0;185.0;309;67;377;-33
985.0;-159;-2;-425.0;?;3;-2430.0;193.0;307;68;373;-10
995.0;-159;-1;93.0;?;5;-2064.0;214.0;307;71;?;-11
967.0;-159;2;699.0;-52;2;-1677.0;151.0;310;70;?;-52
1002.0;-159;3;964.0;-10;2;-1277.0;144.0;310;69;?;-10
976.0;-160;1;667.0;20;-1;-607.0;161.0;311;66;?;20
993.0;-159;2;240.0;-12;0;11.0;172.0;313;63;?;-12
981.0;-159;-2;-165.0;16;?;586.0;180.0;309;60;?;16
989.0;-159;-1;-228.0;-4;?;869.0;193.0;310;64;?;-4
997.0;-159;8;58.0;-31;?;799.0;146.0;316;72;?;-31
989.0;-159;4;128.0;-24;?;743.0;150.0;314;67;?;-24
985.0;-160;-3;98.0;-33;?;562.0;141.0;309;63;?;-33
968.0;-159;-1;122.0;33;?;462.0;160.0;307;69;369;33
973.0;-159;-2;-27.0;3;?;623.0;161.0;304;73;367;3
1014.0;-159;1;133.0;-1;?;18.0;178.0;312;65;374;-1
993.0;-159;0;165.0;-5;?;-7.0;178.0;311;63;374;-5
979.0;?;-4;95.0;22;?;-2.0;195.0;308;67;378;22
979.0;?;-4;223.0;-1;?;-110.0;199.0;307;68;376;-1
989.0;?;2;305.0;-21;3;-347.0;208.0;313;66;370;-21
979.0;?;4;479.0;-26;0;-734.0;159.0;314;66;371;-26
1001.0;?;-2;357.0;-34;-2;-1144.0;174.0;310;66;375;-34
989.0;?;1;170.0;-8;-3;-1592.0;182.0;312;?;375;-8
972.0;?;0;102.0;?;-1;-2276.0;172.0;309;?;373;8
990.0;?;-6;140.0;?;3;-2723.0;151.0;303;71;372;-21
973.0;?;0;109.0;?;-4;-3095.0;183.0;308;72;376;-27
983.0;?;3;53.0;?;-6;-3300.0;204.0;314;63;380;-2
964.0;?;4;-49.0;-9;2;-3473.0;202.0;312;68;371;-9
975.0;?;-2;-111.0;-7;1;-3681.0;160.0;306;72;372;-7
992.0;?;-8;-118.0;-17;1;-3824.0;203.0;303;64;377;-17
986.0;?;1;-282.0;-51;5;-3766.0;173.0;310;67;370;-51
996.0;-159;4;-369.0;-15;-3;-3661.0;171.0;313;67;376;-15
991.0;-159;1;-382.0;18;-3;-3467.0;200.0;309;69;376;18
987.0;-159;0;-256.0;-10;0;-3175.0;200.0;309;67;374;-10
980.0;-159;2;-137.0;-36;-2;-2853.0;198.0;311;65;377;-36
971.0;-159;5;71.0;-16;2;-2407.0;179.0;312;69;371;?
1002.0;-159;-3;250.0;9;5;-1713.0;197.0;305;67;371;?
945.0;-159;-7;423.0;-15;4;-1171.0;186.0;299;71;372;-15
1017.0;-159;0;593.0;-18;3;-717.0;179.0;307;67;372;-18
993.0;-159;0;466.0;-10;2;-254.0;182.0;310;63;374;-10
977.0;-159;-3;104.0;-8;4;190.0;161.0;306;66;372;-8
966.0;-159;3;-153.0;10;2;447.0;192.0;311;67;372;10
995.0;-159;2;-195.0;1;-3;537.0;189.0;309;70;375;1
1000.0;-159;-2;-158.0;15;0;552.0;181.0;?;67;375;15
976.0;-159;3;-109.0;56;?;584.0;197.0;?;64;370;56
964.0;-159;1;-83.0;33;?;823.0;210.0;?;67;369;33
988.0;-159;-6;628.0;-4;?;-299.0;158.0;?;60;380;-4
980.0;-159;14;872.0;11;?;-471.0;140.0;?;74;372;11
989.0;-159;-2;829.0;-3;?;-670.0;157.0;?;65;376;-3
988.0;-160;-7;706.0;-20;?;-867.0;188.0;?;62;374;-20
987.0;-159;-3;702.0;-41;?;-1174.0;220.0;?;66;374;-41
973.0;-159;-2;904.0;-24;?;-1439.0;220.0;?;69;373;-24
989.0;-159;-6;1236.0;2;?;-1564.0;201.0;?;59;379;2
992.0;-159;0;1385.0;32;4;-1519.0;198.0;?;69;367;32
993.0;-159;-2;1456.0;37;2;-1301.0;165.0;?;70;368;37
992.0;-160;-7;1806.0;19;0;-1219.0;165.0;308;62;375;19
989.0;-159;8;2075.0;79;7;-1058.0;170.0;319;73;360;79
974.0;-159;-2;1747.0;81;-7;-516.0;176.0;319;55;380;81
975.0;-159;25;1616.0;28;45;-124.0;177.0;320;115;302;28
981.0;-159;36;1574.0;40;55;-129.0;166.0;322;141;279;40
970.0;-159;-2;1330.0;49;-1;31.0;156.0;326;52;373;49
989.0;-159;19;940.0;23;28;235.0;183.0;343;53;340;23
1007.0;-159;28;836.0;35;13;92.0;180.0;349;70;343;35
994.0;-159;17;709.0;66;-21;-55.0;166.0;349;57;380;66
983.0;-159;5;517.0;-27;7;-39.0;189.0;328;70;354;-27
994.0;-159;-11;472.0;-26;10;-176.0;175.0;315;64;359;-26
996.0;-159;3;516.0;73;-3;-199.0;151.0;331;57;369;73
977.0;-159;1;352.0;19;-4;-101.0;171.0;328;65;369;19
967.0;-159;-2;196.0;-11;-12;-31.0;160.0;328;58;379;-11
990.0;-159;8;34.0;-24;-11;66.0;175.0;336;60;377;-24
974.0;-159;-3;-90.0;-21;1;37.0;204.0;322;65;368;-21
987.0;-159;-8;-240.0;-20;5;-6.0;211.0;318;59;370;-20
981.0;-159;4;-382.0;-49;1;-78.0;191.0;327;68;367;-49
996.0;-159;0;-481.0;37;-5;-138.0;167.0;323;69;374;37
1000.0;-159;-3;-495.0;79;-10;-166.0;176.0;326;56;384;79
980.0;-159;6;-448.0;65;-14;-94.0;186.0;333;66;382;65
989.0;-159;-5;-305.0;81;-1;-41.0;193.0;322;72;371;81
961.0;-159;7;-167.0;113;-4;11.0;192.0;338;69;370;113
979.0;-159;29;9.0;133;-14;31.0;229.0;362;77;371;133
972.0;-159;8;123.0;67;3;42.0;282.0;345;68;?;67
998.0;-159;1;209.0;-13;4;51.0;306.0;342;63;?;-13
