InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit BACK Quaternion3;Accelerometer RKN_ accZ;InertialMeasurementUnit R-SHOE EuX;Accelerometer RKN_ accX;Accelerometer RUA_ accX;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit RLA accY;Accelerometer RWR accZ;InertialMeasurementUnit L-SHOE EuY
738.0;581.0;-3.0;134;-168.0;246.0;-217.0;265.0;184.0;560.0;-44
837.0;542.0;-357.0;82;-351.0;845.0;-25.0;-76.0;397.0;754.0;-50
837.0;541.0;-365.0;82;-356.0;837.0;-25.0;-76.0;519.0;805.0;-50
839.0;538.0;-384.0;82;-347.0;844.0;-25.0;-78.0;524.0;731.0;-50
839.0;538.0;-373.0;82;-354.0;877.0;-25.0;-78.0;486.0;739.0;-50
840.0;537.0;-354.0;82;-354.0;764.0;-25.0;-77.0;509.0;699.0;-50
840.0;537.0;-372.0;82;-353.0;702.0;-25.0;-78.0;477.0;720.0;-50
841.0;535.0;-353.0;82;-363.0;816.0;-28.0;-77.0;514.0;811.0;-50
839.0;539.0;-383.0;82;-363.0;807.0;-29.0;-73.0;523.0;808.0;-50
839.0;539.0;-363.0;82;-345.0;819.0;-28.0;-74.0;524.0;793.0;-50
839.0;539.0;-364.0;82;-374.0;824.0;-28.0;-74.0;535.0;804.0;-50
839.0;539.0;-374.0;82;-371.0;824.0;-28.0;-74.0;538.0;763.0;-50
839.0;539.0;-385.0;82;-359.0;821.0;-28.0;-74.0;519.0;778.0;-50
839.0;539.0;-360.0;82;-355.0;805.0;-27.0;-76.0;552.0;779.0;-50
836.0;543.0;-365.0;82;-363.0;799.0;-28.0;-76.0;541.0;785.0;-50
835.0;544.0;-406.0;82;-348.0;819.0;-27.0;-78.0;505.0;804.0;-50
834.0;545.0;-382.0;82;-352.0;823.0;-28.0;-77.0;506.0;816.0;-50
834.0;545.0;-376.0;82;-364.0;827.0;-29.0;-76.0;495.0;790.0;-50
834.0;546.0;-362.0;82;-378.0;809.0;-30.0;-75.0;488.0;772.0;-50
834.0;547.0;-361.0;82;-358.0;821.0;-29.0;-73.0;500.0;776.0;-50
834.0;547.0;-369.0;82;-366.0;843.0;-28.0;-72.0;502.0;792.0;-50
834.0;547.0;-374.0;82;-359.0;834.0;-28.0;-70.0;495.0;789.0;-50
834.0;547.0;-370.0;82;-341.0;803.0;-25.0;-67.0;574.0;810.0;-50
835.0;546.0;-369.0;82;-341.0;817.0;-23.0;-66.0;562.0;810.0;-50
837.0;543.0;-374.0;82;-353.0;827.0;-22.0;-65.0;563.0;808.0;-50
838.0;541.0;-364.0;82;-362.0;830.0;-21.0;-63.0;547.0;793.0;-50
840.0;539.0;-353.0;82;-363.0;823.0;-21.0;-60.0;541.0;794.0;-50
841.0;537.0;-363.0;82;-373.0;818.0;-20.0;-59.0;545.0;774.0;-50
843.0;535.0;-364.0;82;-360.0;817.0;-21.0;-58.0;542.0;785.0;-50
843.0;534.0;-386.0;82;-349.0;826.0;-22.0;-56.0;548.0;780.0;-50
843.0;535.0;-391.0;82;-373.0;827.0;-23.0;-54.0;545.0;763.0;-50
843.0;535.0;-380.0;82;-363.0;837.0;-25.0;-52.0;552.0;795.0;-50
843.0;535.0;-369.0;82;-372.0;814.0;-25.0;-51.0;537.0;774.0;-50
843.0;535.0;-362.0;82;-343.0;831.0;-26.0;-50.0;553.0;747.0;-50
843.0;536.0;-366.0;82;-355.0;824.0;-26.0;-51.0;556.0;788.0;-50
842.0;536.0;-377.0;82;-362.0;824.0;-26.0;-52.0;545.0;802.0;-50
842.0;536.0;-359.0;82;-370.0;804.0;-26.0;-51.0;540.0;819.0;-50
842.0;536.0;-357.0;82;-366.0;826.0;-27.0;-52.0;547.0;814.0;-50
843.0;535.0;-370.0;82;-369.0;820.0;-26.0;-52.0;543.0;834.0;-50
842.0;536.0;-388.0;82;-368.0;813.0;-25.0;-54.0;537.0;787.0;-50
842.0;535.0;-373.0;82;-360.0;817.0;-19.0;-63.0;544.0;795.0;-50
842.0;535.0;-393.0;82;-363.0;813.0;-15.0;-67.0;551.0;829.0;-50
841.0;536.0;-384.0;82;-362.0;823.0;-15.0;-69.0;544.0;811.0;-50
841.0;536.0;-372.0;82;-347.0;824.0;-15.0;-70.0;539.0;807.0;-50
841.0;537.0;-366.0;82;-345.0;804.0;-15.0;-71.0;533.0;790.0;-50
840.0;538.0;-373.0;82;-344.0;814.0;-15.0;-72.0;548.0;831.0;-50
839.0;539.0;-382.0;82;-345.0;816.0;-15.0;-73.0;525.0;814.0;-50
832.0;549.0;-375.0;82;-363.0;853.0;-33.0;-76.0;525.0;825.0;-50
833.0;548.0;-385.0;82;-371.0;843.0;-33.0;-76.0;483.0;783.0;-50
834.0;546.0;-376.0;82;-359.0;824.0;-33.0;-75.0;475.0;763.0;-50
836.0;543.0;-373.0;82;-366.0;824.0;-33.0;-74.0;516.0;801.0;-50
837.0;542.0;-371.0;82;-353.0;837.0;-33.0;-72.0;510.0;829.0;-50
837.0;541.0;-382.0;82;-368.0;851.0;-34.0;-70.0;507.0;790.0;-50
838.0;541.0;-374.0;82;-374.0;841.0;-34.0;-69.0;523.0;800.0;-50
838.0;540.0;-382.0;82;-373.0;839.0;-34.0;-68.0;534.0;796.0;-50
838.0;540.0;-365.0;82;-364.0;831.0;-34.0;-67.0;514.0;825.0;-50
839.0;539.0;-373.0;82;-363.0;829.0;-35.0;-67.0;495.0;873.0;-50
839.0;539.0;-382.0;82;-363.0;814.0;-35.0;-67.0;524.0;788.0;-50
839.0;539.0;-376.0;82;-362.0;794.0;-35.0;-66.0;515.0;818.0;-50
839.0;538.0;-386.0;82;-370.0;841.0;-34.0;-66.0;499.0;743.0;-50
840.0;538.0;-370.0;82;-351.0;823.0;-34.0;-66.0;531.0;757.0;-50
839.0;539.0;-363.0;82;-351.0;833.0;-33.0;-65.0;582.0;751.0;-50
839.0;539.0;-383.0;82;-355.0;814.0;-33.0;-65.0;529.0;794.0;-50
838.0;540.0;-375.0;82;-352.0;826.0;-33.0;-64.0;452.0;769.0;-50
837.0;542.0;-373.0;82;-360.0;829.0;-33.0;-64.0;439.0;798.0;-50
836.0;544.0;-365.0;82;-364.0;814.0;-34.0;-63.0;459.0;805.0;-50
797.0;604.0;-385.0;82;-363.0;813.0;-5.0;-7.0;321.0;681.0;-50
797.0;604.0;-382.0;82;-355.0;805.0;-2.0;-6.0;276.0;703.0;-50
803.0;595.0;-374.0;82;-350.0;841.0;12.0;15.0;317.0;762.0;-50
805.0;593.0;-366.0;82;-367.0;807.0;9.0;23.0;259.0;783.0;-50
805.0;593.0;-375.0;82;-362.0;785.0;8.0;26.0;251.0;754.0;-50
959.0;271.0;-159.0;136;-49.0;618.0;-46.0;60.0;743.0;805.0;-39
807.0;589.0;-375.0;82;-374.0;735.0;1.0;41.0;441.0;740.0;-50
808.0;588.0;-378.0;82;-358.0;791.0;0.0;42.0;423.0;719.0;-50
808.0;588.0;-383.0;82;-371.0;797.0;-1.0;42.0;533.0;826.0;-50
808.0;587.0;-395.0;82;-363.0;662.0;-1.0;43.0;263.0;664.0;-50
808.0;587.0;-373.0;82;-359.0;785.0;-2.0;43.0;425.0;691.0;-50
809.0;586.0;-381.0;82;-352.0;803.0;-2.0;43.0;389.0;718.0;-50
951.0;247.0;325.0;120;-164.0;773.0;-103.0;155.0;786.0;942.0;-44
