InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
-159;0;-44;799;310;67;-22;370;22;-44
-159;-3;5;797;306;68;-8;375;8;5
-160;-4;15;801;307;63;6;378;-6;15
-159;0;-21;797;309;69;-14;371;14;-21
-159;10;-17;791;317;71;2;369;-2;-17
-159;1;2;797;311;66;-5;374;5;2
-159;-3;-12;800;308;65;-6;372;6;-12
-159;3;0;796;?;68;28;372;-28;?
-160;-4;25;797;?;69;7;374;-7;?
-159;-4;-7;797;?;66;23;377;-23;?
-159;4;-19;795;?;64;40;379;-40;?
-159;6;-29;793;?;68;18;373;-18;?
-159;2;-22;792;?;71;4;371;-4;?
-159;3;4;793;?;69;-10;374;10;?
-160;0;25;797;?;67;-23;374;23;?
-159;-2;-10;798;?;67;4;375;-4;-10
-159;3;-10;792;?;68;-6;379;6;-10
-159;2;22;796;?;64;-15;378;15;22
-159;0;-2;797;?;66;-22;373;22;-2
-159;-1;-41;795;?;69;-46;372;46;?
-160;1;-45;797;313;67;-34;372;34;?
-159;4;-22;793;315;70;-26;370;26;?
-159;-3;8;795;310;67;-4;377;4;?
-159;-3;19;794;308;70;12;373;-12;?
-159;?;26;793;308;72;-1;371;1;?
-159;?;-5;797;304;68;-30;376;30;-5
-160;?;-25;793;307;72;-35;374;35;-25
-159;?;21;795;309;67;2;377;-2;21
-159;?;-4;797;307;68;-2;373;2;-4
-159;-1;-33;795;307;71;4;369;?;-33
-159;2;-5;794;310;70;-4;372;?;-5
-159;3;6;795;310;69;-7;372;?;6
-160;1;4;797;?;66;64;376;?;4
-159;2;-15;799;313;63;62;376;?;-15
-159;-2;8;804;309;60;1;377;?;8
-159;-1;27;797;310;64;-19;379;?;27
-159;8;-4;789;316;72;-9;373;?;-4
-159;4;23;796;314;67;6;372;?;23
-160;-3;57;801;309;63;-3;?;?;57
-159;-1;1;798;307;69;-13;?;?;1
-159;-2;-28;794;304;73;-17;?;?;-28
-159;1;-32;798;312;65;7;?;?;-32
-159;0;21;800;311;63;18;?;?;21
-159;-4;-23;796;308;67;4;?;?;-23
-160;-4;-67;797;307;68;6;?;?;?
-159;2;-31;799;313;66;-1;?;?;?
-159;4;-18;796;314;66;-15;?;?;?
-159;-2;33;797;310;66;-44;?;?;?
-159;1;45;795;312;67;-50;?;?;?
-159;0;-23;795;309;69;-35;?;35;-23
?;-6;-6;797;303;71;-64;?;64;-6
-159;0;12;791;308;72;-48;376;48;12
-159;3;-9;796;314;63;3;380;-3;-9
-159;4;34;796;312;68;-7;371;7;34
-159;-2;14;793;306;72;-10;372;10;14
?;-8;-36;801;303;64;-7;377;7;-36
?;1;3;799;310;67;-34;370;34;3
?;4;16;795;313;67;9;376;-9;16
?;1;25;793;309;69;35;376;-35;25
?;0;34;797;309;67;-36;374;36;34
-159;2;8;797;311;65;-29;377;29;8
-159;5;6;795;312;69;-8;371;8;6
-159;-3;15;801;305;67;-25;371;25;15
-159;-7;12;797;299;71;36;372;-36;12
-159;0;-19;798;307;67;22;372;-22;-19
-159;0;-19;801;310;63;-5;374;5;-19
-159;-3;-4;800;306;66;17;372;-17;-4
-159;3;?;798;311;67;-28;372;28;8
-159;2;?;793;309;70;-19;375;19;43
-159;-2;34;798;305;67;?;375;-10;34
-159;3;15;802;310;64;?;370;9;15
-159;1;11;800;308;67;?;?;14;11
-159;-6;43;803;?;60;?;380;-8;43
-159;14;33;785;?;74;?;372;29;33
-159;-2;19;798;?;65;?;376;-16;19
-160;-7;?;805;?;62;?;374;-36;45
-159;-3;?;798;?;66;?;374;-26;-5
-159;-2;?;795;?;69;?;373;-28;-13
-159;?;?;804;?;59;?;379;-19;-6
-159;?;?;798;?;69;?;367;-1;21
-159;?;?;796;?;70;?;368;3;27
-160;?;?;803;?;62;?;?;-6;-34
-159;?;?;793;?;73;?;?;-43;-44
-159;?;?;804;319;55;?;?;-59;-117
-159;?;?;769;320;115;?;?;?;-47
-159;?;68;749;322;141;?;?;?;68
-159;?;-27;809;326;52;22;?;?;-27
-159;?;-40;816;343;53;1;?;-1;-40
-159;?;-26;791;349;70;17;?;-17;-26
-159;?;-41;789;349;57;83;?;-83;-41
-159;?;43;794;328;70;-22;?;22;43
-159;-11;53;805;315;64;-48;359;48;53
-159;3;-19;802;331;57;26;369;-26;-19
-159;1;-9;795;328;65;-35;369;35;-9
-159;-2;6;797;328;58;-35;379;35;6
-159;8;14;793;336;60;3;377;-3;14
-159;-3;28;797;322;65;-33;368;33;28
-159;-8;9;805;318;59;-28;370;28;9
-159;4;-6;792;327;?;-26;367;26;-6
-159;0;-40;789;323;?;-35;374;35;-40
-159;-3;-75;798;326;?;-15;384;15;-75
-159;6;-66;784;333;?;-24;382;24;-66
-159;-5;-57;787;322;?;-32;371;32;-57
?;7;-70;784;338;?;-20;370;20;-70
?;29;-56;765;?;?;-1;371;1;-56
?;8;-29;785;?;?;26;365;-26;-29
?;1;-31;791;?;?;-3;369;3;-31
?;7;-34;783;?;?;-11;357;11;-34
?;?;4;785;333;?;9;354;-9;4
?;?;40;780;346;?;-10;372;10;40
?;?;46;785;346;?;-25;371;25;46
?;?;30;795;324;?;-35;372;?;30
?;?;21;799;322;59;-13;377;?;21
?;?;71;794;336;62;28;369;-28;71
?;?;76;786;329;72;30;366;-30;76
?;?;30;790;323;69;27;372;-27;30
?;?;25;799;332;60;?;369;-54;25
?;?;24;800;323;62;?;369;-46;24
?;?;47;795;309;70;?;371;-2;47
?;?;55;795;314;?;?;371;?;55
?;?;44;800;303;?;?;371;?;44
?;?;44;798;313;?;?;372;?;44
?;?;26;801;323;?;?;370;?;26
?;?;4;801;306;?;?;366;34;4
-159;?;-21;783;352;?;?;359;-54;-21
-159;?;33;805;305;?;?;341;2;33
-159;?;40;818;193;?;-117;381;117;40
-159;?;-41;783;289;?;-23;409;23;-41
-159;60;-1;786;375;?;-30;373;30;-1
-159;-19;78;803;294;64;-30;?;30;78
-160;-12;82;795;291;77;53;?;-53;82
-160;11;41;797;310;77;?;?;-28;?
-160;-11;9;800;292;70;?;?;8;?
-160;17;4;799;323;60;?;?;18;?
-160;7;-4;801;312;64;?;?;?;?
-160;-3;-5;793;296;79;?;?;?;?
-160;7;-12;799;309;68;?;?;?;?
-160;2;-12;804;?;61;?;?;?;?
-160;5;9;794;?;72;?;?;?;?
-160;?;-10;797;?;72;?;?;?;?
-160;?;-54;797;308;71;?;?;?;?
-160;?;-36;796;311;72;?;?;?;?
-160;?;11;805;309;65;-2;363;?;?
-160;?;-19;805;312;58;13;375;?;?
-160;?;-47;803;307;63;14;372;?;?
-160;-14;-36;807;303;65;-16;364;?;?
-160;2;-21;799;322;61;-44;374;?;?
-160;1;30;791;318;71;-28;369;?;?
-160;-7;11;797;309;70;-33;365;33;?
-160;5;-14;796;323;64;-40;371;40;?
?;15;19;790;331;68;9;368;-9;?
?;10;-18;789;324;73;36;363;-36;-18
?;3;-49;793;318;72;10;361;-10;-49
?;1;-22;799;319;64;13;368;-13;-22
?;-9;-15;795;307;72;43;368;-43;-15
?;-9;10;797;308;70;22;366;-22;10
?;-3;50;800;314;66;10;367;-10;50
?;-1;35;793;315;72;46;368;-46;35
?;10;6;800;330;59;27;372;-27;6
?;0;16;797;315;70;-9;360;9;16
?;-6;34;794;306;78;20;355;-20;34
?;8;26;797;324;66;32;364;-32;26
?;4;-25;797;318;70;-13;360;13;-25
-160;-4;-36;799;309;72;-44;358;44;-36
-160;-4;3;792;307;79;-31;357;31;3
-160;-2;-9;792;309;76;1;362;-1;-9
-160;4;28;801;322;56;30;379;-30;28
-160;7;66;802;325;54;35;381;-35;66
-160;6;19;804;321;57;38;375;-38;?
-160;6;23;804;321;57;37;376;-37;?
-160;5;40;796;316;68;24;367;-24;?
-160;8;5;802;320;63;38;365;-38;?
-160;-4;-31;804;308;64;23;366;-23;?
-160;?;-17;806;315;58;18;373;-18;?
-160;?;-8;802;317;61;-25;373;25;?
-160;?;-17;798;300;79;-66;351;66;?
-160;?;35;819;333;47;-25;356;25;?
-160;?;30;808;319;53;-159;377;159;?
-160;?;-24;787;301;74;-203;384;203;?
-160;?;-2;786;323;65;-131;389;131;?
-160;?;-10;780;292;77;-44;399;44;?
-160;?;-40;789;293;73;189;391;-189;?
-160;?;23;804;325;62;178;357;-178;23
-160;-8;41;807;300;67;51;358;-51;41
-160;-13;-26;800;296;68;28;375;-28;-26
-160;7;5;794;314;68;3;372;-3;5
-160;-5;55;799;304;68;27;372;-27;55
-160;?;28;799;307;66;13;374;-13;28
-160;?;40;796;307;68;-26;374;26;40
-160;?;30;799;301;68;-6;372;6;30
-160;?;-4;803;304;64;8;371;-8;-4
-160;?;24;796;308;71;7;368;-7;24
-160;?;22;793;310;74;6;366;-6;22
-160;?;-29;804;303;64;-3;371;3;-29
-160;?;?;800;307;66;-7;370;7;-35
-160;?;?;799;307;?;-19;370;19;16
-160;?;?;799;308;?;44;373;-44;-10
-160;?;?;795;306;?;65;379;-65;-48
-160;?;?;801;303;?;-24;378;24;-26
-160;?;-19;798;320;?;-13;365;13;-19
-160;5;16;798;317;?;6;367;-6;16
-160;0;3;800;316;61;-10;375;10;3
-159;1;-71;794;315;68;17;371;-17;-71
-159;-9;-58;795;307;71;-2;370;2;-58
-159;-1;-37;797;318;66;-33;370;33;-37
-159;0;-58;795;322;66;-16;370;16;-58
-159;3;-25;796;328;60;-23;375;23;-25
-159;3;-1;794;328;66;-43;367;43;-1
-159;5;-22;786;330;73;-44;364;44;-22
-159;13;2;788;340;66;-43;369;43;2
-159;3;35;793;329;68;-25;364;25;35
-159;1;?;793;327;69;-23;363;23;35
-159;2;?;796;328;66;-11;364;11;51
-159;-6;?;801;320;62;62;369;-62;79
-159;-1;?;796;322;63;110;374;-110;63
-159;-3;?;793;317;68;68;374;-68;20
-159;-11;?;795;307;69;55;376;-55;23
-159;1;?;792;315;72;74;368;-74;54
-159;4;?;798;319;66;22;366;-22;36
-159;-6;-1;803;310;62;20;372;-20;-1
-159;-1;-5;?;312;69;66;368;-66;-5
-160;-5;-7;?;309;66;53;370;-53;-7
-160;-11;-7;?;303;64;11;371;-11;-7
-160;-3;12;?;304;?;-47;358;47;12
-160;-8;?;?;300;?;-37;366;37;8
-160;1;?;?;313;?;-5;375;5;-22
-160;3;?;?;312;?;-16;366;16;-36
-160;0;?;?;308;?;21;364;-21;-14
-160;2;?;798;309;?;24;364;-24;-12
-160;-32;?;809;278;70;-95;366;95;-89
-159;0;?;789;314;70;-159;377;159;-135
-159;17;?;775;333;74;-78;382;78;-64
-159;-11;?;766;308;82;-28;403;28;-9
?;-2;?;769;319;76;33;404;-33;17
-159;-20;?;811;298;63;108;364;-108;53
-159;-11;18;803;304;68;12;364;-12;18
-159;6;7;787;?;69;-27;378;27;7
-159;-4;36;798;?;65;43;373;-43;36
-159;-1;46;794;?;67;41;376;-41;46
-159;-6;33;799;?;66;36;374;-36;33
-159;-7;-4;799;?;67;13;371;-13;?
-159;-2;12;799;?;65;-5;373;5;?
-159;-3;-9;802;?;62;26;373;-26;?
-159;2;-41;799;311;67;-6;369;6;?
-159;-1;-21;799;307;69;-15;366;15;?
-159;-8;4;799;301;69;57;374;-57;?
-159;-2;26;793;306;?;23;375;-23;?
-159;1;-2;797;309;?;-17;369;17;?
-159;2;18;802;313;?;47;372;-47;?
-159;-3;38;799;306;?;5;372;-5;?
-159;-5;-41;799;305;?;-12;370;12;?
-159;6;-58;805;318;?;47;368;-47;-58
-159;-5;-26;812;309;?;-35;364;35;-26
-159;-9;-43;810;308;?;-44;374;?;-43
-159;10;-40;797;324;?;7;370;?;-40
-159;2;-42;800;315;65;-14;367;?;-42
-159;?;-54;807;312;56;-27;379;?;-54
-159;?;-27;809;320;51;-54;380;?;-27
-159;?;-9;811;305;56;-30;377;?;-9
-159;?;12;786;296;87;11;358;?;12
-159;?;-5;?;296;91;-19;357;?;-5
-159;?;-60;798;300;72;-45;366;?;-60
-159;5;-41;797;311;71;-6;364;?;-41
-159;-2;-26;797;307;69;44;371;?;-26
-159;1;-36;791;?;74;53;370;-53;-36
-159;4;17;799;?;64;25;373;-25;17
-159;5;27;809;?;54;17;373;-17;27
-159;12;4;796;?;69;27;363;-27;4
-159;9;39;789;?;77;2;363;-2;39
-159;7;47;796;?;71;-6;363;6;47
-159;0;24;805;310;61;11;370;-11;24
-159;?;1;805;306;63;-18;370;18;1
-159;?;19;801;306;67;-10;367;10;19
-159;?;17;803;300;66;19;370;-19;17
-159;?;-4;803;299;68;6;370;-6;-4
-159;?;23;801;306;67;15;369;-15;23
?;?;-3;802;305;66;10;368;-10;-3
-159;?;-22;803;304;66;6;366;-6;-22
-159;?;-19;803;302;66;5;369;-5;-19
-159;?;-40;805;298;66;23;369;-23;-40
-159;?;-36;807;303;65;14;364;-14;-36
-159;?;-43;804;301;67;0;366;0;-43
-159;?;-68;?;310;70;46;366;-46;-68
-159;?;-100;?;329;73;-76;346;76;-100
-159;-8;-151;?;?;72;-157;354;157;-151
-159;5;-189;?;?;62;-98;377;98;-189
-159;53;-91;?;?;69;-144;387;144;-91
-158;-10;79;?;?;84;-6;398;6;79
?;-26;76;?;?;67;225;378;-225;76
?;6;1;?;?;58;123;360;-123;1
?;-5;-21;?;?;68;-9;358;9;-21
?;3;-9;?;?;64;22;362;-22;-9
?;8;35;791;?;67;6;380;-6;35
?;1;?;794;?;69;-20;374;20;38
?;0;?;799;?;66;-35;370;35;35
?;1;?;793;309;72;15;370;-15;26
?;-1;?;797;306;71;46;367;-46;-11
?;-2;?;798;307;69;42;370;-42;-39
?;4;?;793;314;69;76;373;-76;-18
-159;4;?;797;317;63;35;377;-35;3
-159;-1;?;804;313;63;38;366;-38;-48
-159;4;?;804;319;62;30;361;?;-3
-159;2;?;801;317;65;-8;363;?;43
-159;1;-23;796;314;71;32;362;?;-23
-159;6;0;799;321;?;28;365;?;0
-159;-7;42;804;305;?;10;360;?;42
-159;-1;7;797;308;?;28;365;?;7
-159;5;16;801;314;?;-17;364;?;16
-159;-5;-2;806;303;?;-42;360;?;-2
-159;-3;-73;801;307;?;?;368;?;-73
-159;-3;-88;805;312;?;?;362;?;-88
-159;2;-68;799;319;?;?;363;-22;-68
-159;6;-22;797;326;?;?;367;18;-22
-159;1;-2;804;325;?;?;367;25;-2
?;4;15;801;327;?;?;364;6;15
?;4;47;801;324;?;?;366;36;47
?;3;36;800;320;?;?;372;9;36
?;8;52;796;323;66;?;366;2;52
-159;?;47;807;320;53;?;379;37;47
-159;?;39;809;322;50;?;381;13;39
-159;?;57;798;310;70;?;364;-50;57
-159;?;23;792;288;82;?;364;-40;23
-159;?;12;787;295;86;?;360;21;12
-159;?;40;790;297;83;?;?;2;40
-159;?;5;796;292;76;35;?;?;5
-159;?;-14;801;297;63;31;?;?;-14
-159;?;23;807;294;61;12;?;?;23
-159;?;24;805;284;72;28;?;?;24
-159;?;14;799;283;75;42;?;?;14
-159;?;13;794;294;81;-16;?;?;13
-159;11;-16;793;301;78;-9;?;?;-16
-159;0;-24;807;299;60;-43;?;?;-24
-159;1;-15;811;301;58;-77;?;?;-15
