InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;Accelerometer RKN_ accZ;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE EuY
-55;66;-32.0;44;-40;-49.0;658;707;-66;-40;-55;44;-37
-13;-15;-53.0;11;11;22.0;656;739;15;11;-13;30;-44
19;-53;20.0;20;-22;-118.0;643;739;53;-22;19;11;-42
-6;-26;10.0;18;-18;-109.0;639;746;26;-18;-6;11;-42
-31;10;12.0;16;-10;-119.0;646;742;-10;-10;-31;11;-42
2;7;4.0;24;-17;-129.0;642;735;-7;-17;2;15;-42
10;31;-17.0;20;-26;-147.0;647;736;-31;-26;10;13;-42
-4;12;19.0;18;-4;-141.0;648;738;-12;-4;-4;10;-42
21;-28;49.0;21;24;-121.0;641;740;28;24;21;7;-42
-1;7;41.0;21;15;-110.0;641;739;-7;15;-1;11;-42
-5;-15;-110.0;18;-13;-174.0;662;725;15;-13;-5;-2;-38
16;-21;94.0;23;-25;-184.0;667;713;21;-25;16;44;-43
-66;27;-52.0;34;35;-134.0;641;718;-27;35;-66;81;-40
-39;-8;131.0;12;-8;-135.0;668;728;8;-8;-39;12;-38
8;22;55.0;22;-15;-118.0;639;741;-22;-15;8;13;-41
17;36;2.0;28;2;-67.0;668;705;-36;2;17;59;-41
11;4;39.0;16;13;-101.0;655;735;-4;13;11;3;-41
6;-4;32.0;20;-15;-116.0;643;739;4;-15;6;0;-41
16;27;-77.0;24;0;-63.0;671;708;-27;0;16;56;-41
-14;22;48.0;20;-13;-90.0;646;737;-22;-13;-14;0;-41
-16;-11;30.0;18;-16;0.0;660;729;11;-16;-16;-35;-40
5;-19;20.0;19;-30;8.0;658;727;19;-30;5;10;-40
28;-15;44.0;22;-28;2.0;657;724;15;-28;28;-6;-40
