InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit LUA Quaternion1;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit LLA Quaternion1
-541.0;-679.0;612.0;-546.0;-823.0;-64.0;-61.0;369.0;428.0;362.0
-589.0;-776.0;740.0;-762.0;-682.0;-233.0;84.0;287.0;92.0;419.0
-584.0;-779.0;756.0;-758.0;-688.0;-232.0;86.0;307.0;102.0;384.0
-580.0;-779.0;774.0;-756.0;-694.0;-230.0;87.0;325.0;118.0;348.0
-580.0;-777.0;787.0;-753.0;-699.0;-225.0;89.0;343.0;134.0;308.0
-582.0;-771.0;793.0;-750.0;-704.0;-220.0;91.0;363.0;150.0;266.0
-588.0;-762.0;792.0;-745.0;-709.0;-215.0;92.0;383.0;168.0;223.0
-593.0;-752.0;787.0;-741.0;-715.0;-209.0;93.0;403.0;184.0;177.0
-492.0;-496.0;526.0;-556.0;-861.0;-107.0;-117.0;477.0;210.0;-135.0
-493.0;-494.0;525.0;-555.0;-861.0;-104.0;-119.0;477.0;212.0;-134.0
-492.0;-495.0;525.0;-553.0;-864.0;-100.0;-120.0;477.0;212.0;-134.0
-489.0;-496.0;525.0;-553.0;-865.0;-98.0;-121.0;475.0;212.0;-135.0
-488.0;-497.0;527.0;-554.0;-868.0;-96.0;-122.0;472.0;210.0;-136.0
-508.0;-543.0;582.0;-574.0;-849.0;-79.0;-87.0;458.0;219.0;-101.0
-589.0;-641.0;584.0;-729.0;-851.0;389.0;-337.0;564.0;491.0;-147.0
-576.0;-734.0;694.0;-769.0;-864.0;-168.0;66.0;397.0;150.0;162.0
-571.0;-733.0;689.0;-764.0;-866.0;-166.0;61.0;404.0;159.0;164.0
-566.0;-731.0;685.0;-760.0;-868.0;-164.0;54.0;411.0;170.0;164.0
-602.0;-585.0;771.0;-602.0;-766.0;-79.0;90.0;565.0;420.0;353.0
-604.0;-575.0;758.0;-598.0;-767.0;-75.0;84.0;564.0;414.0;347.0
-604.0;-557.0;745.0;-593.0;-761.0;-68.0;73.0;560.0;410.0;325.0
-603.0;-548.0;738.0;-593.0;-761.0;-64.0;69.0;557.0;409.0;313.0
-608.0;-542.0;739.0;-595.0;-764.0;-60.0;66.0;554.0;407.0;305.0
-610.0;-537.0;752.0;-598.0;-771.0;-55.0;64.0;548.0;405.0;303.0
-630.0;-711.0;653.0;-727.0;-609.0;-205.0;60.0;207.0;-18.0;564.0
-629.0;-708.0;651.0;-712.0;-629.0;-197.0;53.0;223.0;-7.0;559.0
-494.0;-773.0;586.0;-581.0;-818.0;-205.0;5.0;335.0;200.0;602.0
-254.0;-313.0;153.0;-115.0;-577.0;406.0;-570.0;-79.0;116.0;104.0
-142.0;-284.0;334.0;-23.0;-520.0;134.0;-553.0;61.0;-193.0;-7.0
-432.0;-331.0;602.0;-41.0;-435.0;362.0;-519.0;152.0;210.0;247.0
-501.0;-349.0;663.0;-376.0;-657.0;143.0;-312.0;271.0;177.0;109.0
-504.0;-365.0;666.0;-391.0;-652.0;125.0;-298.0;275.0;165.0;85.0
-506.0;-390.0;663.0;-408.0;-650.0;106.0;-285.0;284.0;159.0;66.0
-510.0;-413.0;656.0;-423.0;-648.0;88.0;-274.0;293.0;153.0;53.0
-510.0;-435.0;648.0;-433.0;-645.0;66.0;-261.0;308.0;146.0;49.0
-414.0;-673.0;483.0;-396.0;-606.0;-41.0;-170.0;457.0;157.0;393.0
-172.0;-311.0;365.0;-44.0;-537.0;135.0;-531.0;68.0;-181.0;6.0
-202.0;-339.0;400.0;-67.0;-550.0;135.0;-509.0;78.0;-167.0;19.0
-235.0;-367.0;436.0;-93.0;-561.0;132.0;-484.0;89.0;-152.0;35.0
