InertialMeasurementUnit LUA magneticY;InertialMeasurementUnit BACK magneticZ;Accelerometer RUA_ accX;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit LLA magneticY;Accelerometer RWR accZ;InertialMeasurementUnit RUA magneticY
-82.0;84.0;455.0;213.0;121.0;548.0;-282.0
116.0;253.0;349.0;156.0;291.0;676.0;-456.0
71.0;225.0;622.0;173.0;303.0;792.0;-278.0
20.0;217.0;326.0;151.0;178.0;641.0;-436.0
235.0;-192.0;530.0;-330.0;-40.0;546.0;-674.0
395.0;-51.0;530.0;-357.0;236.0;820.0;-744.0
252.0;92.0;473.0;-99.0;255.0;786.0;-471.0
255.0;32.0;244.0;-347.0;477.0;494.0;-948.0
436.0;-13.0;686.0;-391.0;158.0;702.0;-774.0
344.0;-84.0;670.0;-389.0;119.0;285.0;-766.0
333.0;131.0;557.0;-79.0;310.0;672.0;-443.0
388.0;153.0;472.0;-72.0;385.0;685.0;-432.0
29.0;199.0;341.0;270.0;365.0;768.0;-396.0
81.0;213.0;327.0;273.0;399.0;701.0;-420.0
129.0;98.0;579.0;-30.0;307.0;862.0;-341.0
-51.0;35.0;231.0;248.0;250.0;696.0;-240.0
67.0;133.0;491.0;-68.0;285.0;797.0;-433.0
47.0;119.0;346.0;-52.0;258.0;795.0;-424.0
17.0;96.0;507.0;-31.0;220.0;750.0;-402.0
1.0;86.0;437.0;-20.0;208.0;835.0;-390.0
-9.0;74.0;517.0;-12.0;201.0;792.0;-376.0
320.0;-21.0;209.0;297.0;413.0;684.0;-245.0
314.0;-2.0;465.0;271.0;390.0;504.0;-246.0
143.0;114.0;281.0;475.0;236.0;733.0;-247.0
95.0;100.0;362.0;484.0;179.0;767.0;-228.0
-128.0;-215.0;154.0;341.0;187.0;496.0;26.0
165.0;169.0;310.0;-35.0;212.0;508.0;-310.0
189.0;185.0;281.0;-49.0;214.0;565.0;-329.0
628.0;556.0;262.0;-60.0;-51.0;144.0;-485.0
198.0;142.0;720.0;123.0;471.0;953.0;-426.0
118.0;63.0;627.0;67.0;434.0;708.0;-442.0
85.0;50.0;335.0;269.0;507.0;648.0;-239.0
41.0;58.0;427.0;255.0;465.0;775.0;-251.0
-2.0;66.0;466.0;241.0;349.0;795.0;-262.0
-43.0;75.0;402.0;225.0;210.0;634.0;-271.0
203.0;287.0;361.0;155.0;401.0;745.0;-481.0
41.0;208.0;640.0;188.0;281.0;886.0;-265.0
148.0;-341.0;138.0;870.0;-23.0;554.0;-125.0
56.0;239.0;529.0;51.0;365.0;488.0;-509.0
129.0;231.0;234.0;71.0;445.0;537.0;-526.0
124.0;232.0;223.0;67.0;440.0;558.0;-527.0
