Accelerometer RKN_ accY;Accelerometer HIP accY;InertialMeasurementUnit L-SHOE Nav_Ay;Accelerometer RKN^ accX;Accelerometer RKN^ accZ;Accelerometer BACK accZ;InertialMeasurementUnit L-SHOE Nav_Ax
978.0;989.0;6;171.0;-1.0;-319.0;3
985.0;935.0;-4;173.0;13.0;-362.0;1
996.0;960.0;?;180.0;7.0;-381.0;-6
959.0;1017.0;?;171.0;15.0;-310.0;-6
1006.0;992.0;?;188.0;1.0;-305.0;?
968.0;969.0;?;211.0;9.0;-370.0;?
996.0;971.0;?;215.0;-5.0;-387.0;?
979.0;1002.0;?;186.0;11.0;-429.0;?
975.0;1005.0;?;181.0;-4.0;-337.0;?
965.0;932.0;?;149.0;-22.0;-106.0;?
972.0;931.0;?;153.0;-42.0;-130.0;?
966.0;961.0;?;161.0;-33.0;-132.0;?
977.0;958.0;?;161.0;-9.0;-159.0;-4
976.0;957.0;?;167.0;-7.0;-124.0;-3
993.0;941.0;-3;225.0;-2.0;-130.0;-6
991.0;937.0;1;226.0;-16.0;-204.0;-4
?;920.0;-3;195.0;-50.0;-106.0;4
?;933.0;-2;201.0;-37.0;-42.0;4
?;965.0;-1;177.0;17.0;-3.0;-2
?;976.0;-6;199.0;?;-64.0;-1
?;955.0;-6;180.0;?;-185.0;-6
?;972.0;-2;153.0;?;-219.0;-8
?;974.0;1;141.0;?;-276.0;?
?;922.0;-2;160.0;?;-329.0;?
?;963.0;-2;171.0;?;-220.0;?
?;972.0;0;172.0;?;-176.0;?
1002.0;964.0;-2;194.0;?;-423.0;?
992.0;968.0;-3;185.0;?;-410.0;?
985.0;995.0;1;193.0;?;-281.0;?
995.0;1019.0;4;214.0;?;-420.0;-2
967.0;958.0;2;151.0;?;-391.0;9
1002.0;964.0;3;144.0;-13.0;-411.0;12
976.0;?;2;161.0;-20.0;-337.0;2
993.0;?;-2;172.0;-22.0;-346.0;-2
?;?;-1;180.0;-10.0;-341.0;-4
?;?;-2;193.0;-30.0;-355.0;-1
?;?;-2;146.0;-48.0;-353.0;0
?;?;2;150.0;-51.0;-366.0;-3
?;?;-1;141.0;-31.0;-409.0;1
?;?;-2;160.0;-40.0;-389.0;-1
?;?;3;161.0;-10.0;-369.0;2
?;?;3;178.0;-1.0;-163.0;-5
?;?;1;178.0;-11.0;-126.0;-6
?;?;3;195.0;-2.0;-117.0;-6
?;?;-1;199.0;26.0;?;-8
?;?;-3;208.0;-13.0;?;3
?;?;4;159.0;2.0;?;1
?;?;2;174.0;-3.0;?;-6
?;?;-3;182.0;-21.0;?;1
?;?;-1;172.0;-10.0;?;0
?;936.0;-5;151.0;21.0;?;0
?;936.0;-3;183.0;38.0;?;4
?;939.0;2;204.0;-5.0;-125.0;-6
?;953.0;2;202.0;-20.0;-116.0;-7
?;947.0;1;160.0;-3.0;-183.0;1
?;925.0;2;203.0;10.0;-270.0;-3
?;940.0;0;173.0;17.0;-289.0;-5
?;960.0;-3;171.0;30.0;?;-2
?;969.0;3;200.0;12.0;?;-3
?;938.0;-3;200.0;10.0;?;1
980.0;990.0;-3;198.0;10.0;?;1
971.0;1014.0;4;179.0;5.0;?;-3
1002.0;955.0;-3;197.0;-10.0;-425.0;1
945.0;970.0;-2;186.0;-2.0;-411.0;5
1017.0;980.0;-5;179.0;8.0;-408.0;4
993.0;950.0;-5;182.0;20.0;-408.0;2
977.0;948.0;-1;161.0;10.0;-362.0;-4
966.0;958.0;-4;192.0;9.0;-383.0;-5
995.0;947.0;0;189.0;3.0;-414.0;0
1000.0;939.0;1;181.0;32.0;-402.0;-3
976.0;975.0;-5;197.0;14.0;-403.0;-3
964.0;994.0;1;210.0;12.0;-373.0;0
988.0;937.0;?;158.0;-13.0;-290.0;2
980.0;928.0;?;140.0;-17.0;-190.0;-3
989.0;959.0;?;157.0;-43.0;-102.0;-3
988.0;965.0;?;188.0;-12.0;-244.0;6
987.0;962.0;?;220.0;0.0;-216.0;1
