Accelerometer RKN_ accY;Accelerometer HIP accY;InertialMeasurementUnit L-SHOE Nav_Ay;Accelerometer RKN^ accX;Accelerometer RKN^ accZ;Accelerometer BACK accZ;InertialMeasurementUnit L-SHOE Nav_Ax
988.0;926.0;2;152.0;198.0;-401.0;-9
607.0;1110.0;-93;243.0;105.0;-460.0;1
1329.0;1297.0;-352;174.0;592.0;-572.0;-109
1004.0;992.0;-46;198.0;368.0;-597.0;28
942.0;936.0;12;267.0;242.0;-717.0;-77
984.0;976.0;310;263.0;419.0;-598.0;42
952.0;926.0;-91;262.0;402.0;-648.0;298
1010.0;908.0;-258;343.0;311.0;-831.0;708
993.0;950.0;-5;182.0;20.0;-408.0;2
982.0;970.0;-5;238.0;72.0;-640.0;6
974.0;965.0;-6;158.0;367.0;-424.0;83
995.0;947.0;0;189.0;3.0;-414.0;0
1000.0;939.0;1;181.0;32.0;-402.0;-3
976.0;975.0;-5;197.0;14.0;-403.0;-3
953.0;864.0;-14;303.0;301.0;-465.0;87
974.0;908.0;-639;114.0;590.0;-454.0;491
979.0;1017.0;-18;212.0;297.0;-647.0;-26
970.0;1003.0;-11;191.0;287.0;-658.0;-32
977.0;1011.0;-11;192.0;265.0;-680.0;-48
961.0;1017.0;-10;199.0;247.0;-670.0;-48
970.0;961.0;1;156.0;22.0;-476.0;3
989.0;994.0;5;183.0;29.0;-497.0;-11
1007.0;966.0;4;180.0;7.0;-580.0;-16
994.0;967.0;30;166.0;40.0;-559.0;49
983.0;960.0;28;189.0;45.0;-570.0;-54
996.0;893.0;342;151.0;40.0;-595.0;343
967.0;983.0;-14;192.0;260.0;-668.0;-47
951.0;963.0;-48;201.0;266.0;-678.0;-60
977.0;948.0;18;222.0;270.0;-721.0;-90
974.0;1042.0;-64;239.0;299.0;-707.0;-62
974.0;932.0;-24;204.0;58.0;-514.0;-31
970.0;1007.0;5;221.0;220.0;-667.0;-1
973.0;996.0;5;236.0;180.0;-662.0;-1
998.0;972.0;-2;272.0;167.0;-684.0;-8
464.0;710.0;-315;389.0;-33.0;-407.0;461
996.0;993.0;-3;257.0;185.0;-690.0;-7
1000.0;986.0;-2;220.0;192.0;-696.0;-7
981.0;985.0;2;225.0;164.0;-694.0;-3
1025.0;985.0;2;223.0;165.0;-687.0;-2
935.0;800.0;-6;184.0;233.0;-465.0;-41
980.0;838.0;-15;86.0;149.0;-382.0;111
1003.0;962.0;-3;241.0;-28.0;-556.0;-12
812.0;747.0;27;370.0;176.0;-487.0;-33
998.0;974.0;-2;275.0;-13.0;-570.0;4
935.0;902.0;43;366.0;349.0;-413.0;13
994.0;861.0;-108;-118.0;155.0;-394.0;-57
998.0;976.0;0;245.0;-16.0;-542.0;3
901.0;1054.0;53;404.0;300.0;-381.0;33
1085.0;922.0;48;149.0;234.0;-571.0;-39
979.0;914.0;35;151.0;98.0;-588.0;-25
985.0;935.0;16;308.0;99.0;-573.0;-2
971.0;920.0;33;194.0;154.0;-585.0;32
968.0;917.0;66;197.0;256.0;-560.0;47
969.0;937.0;31;194.0;206.0;-562.0;35
974.0;934.0;86;168.0;181.0;-545.0;11
984.0;896.0;40;172.0;232.0;-576.0;20
952.0;913.0;19;188.0;257.0;-563.0;27
972.0;925.0;115;221.0;228.0;-557.0;-15
971.0;916.0;-112;192.0;209.0;-545.0;-58
981.0;965.0;-1;257.0;-14.0;-559.0;0
1005.0;954.0;36;155.0;231.0;-738.0;15
978.0;957.0;-1;252.0;0.0;-540.0;1
975.0;1020.0;-9;251.0;-16.0;-766.0;-8
929.0;939.0;94;151.0;181.0;-552.0;34
902.0;926.0;24;143.0;179.0;-576.0;52
989.0;979.0;-1;269.0;0.0;-541.0;1
978.0;994.0;3;261.0;-10.0;-549.0;0
993.0;1066.0;64;262.0;138.0;-652.0;132
970.0;943.0;128;343.0;268.0;-466.0;-21
