InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;Accelerometer HIP accY;Accelerometer RKN^ accZ;Accelerometer LUA^ accX;InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit RUA accX;Accelerometer RUA_ accX;Accelerometer RUA_ accY;InertialMeasurementUnit RUA accY
-15.0;-18.0;21;-8;956.0;126.0;322.0;-24;802;-973.0;292.0;982.0;229.0
211.0;34.0;285;-781;855.0;667.0;208.0;-52;836;-1121.0;119.0;870.0;179.0
81.0;20.0;20;5;975.0;161.0;512.0;-25;806;-963.0;422.0;964.0;250.0
60.0;-93.0;20;5;996.0;139.0;510.0;-25;805;-984.0;382.0;941.0;214.0
676.0;-161.0;22;3;929.0;694.0;343.0;-17;1161;-896.0;174.0;960.0;177.0
1321.0;-66.0;26;84;905.0;260.0;445.0;-35;812;-766.0;590.0;571.0;556.0
42.0;6.0;12;10;918.0;-11.0;390.0;-25;798;-234.0;600.0;-429.0;943.0
-33.0;-36.0;19;9;941.0;103.0;333.0;-24;798;-979.0;328.0;977.0;250.0
271.0;-272.0;21;2;1032.0;168.0;557.0;-28;806;-961.0;519.0;904.0;305.0
-19.0;-14.0;17;5;943.0;-44.0;542.0;-26;797;-980.0;813.0;560.0;171.0
538.0;56.0;206;-763;1297.0;2412.0;403.0;-15;2189;-912.0;66.0;1235.0;159.0
-16.0;36.0;16;1;986.0;128.0;306.0;-24;803;-990.0;280.0;1017.0;222.0
-16.0;42.0;11;-41;987.0;337.0;479.0;-25;807;-980.0;402.0;929.0;199.0
-196.0;164.0;22;-2;926.0;122.0;323.0;-24;797;-981.0;264.0;991.0;188.0
12.0;-23.0;21;-17;956.0;46.0;454.0;-26;796;-980.0;484.0;896.0;56.0
-1261.0;171.0;21;18;914.0;-11.0;379.0;-27;775;-860.0;940.0;371.0;521.0
-533.0;94.0;208;-340;1214.0;-22.0;460.0;-15;737;-962.0;341.0;1028.0;307.0
-23.0;-134.0;12;-9;997.0;111.0;373.0;-23;788;-962.0;309.0;961.0;154.0
-226.0;98.0;19;-33;769.0;1267.0;514.0;-43;803;-1141.0;251.0;1010.0;13.0
-380.0;607.0;2263;2670;1026.0;241.0;145.0;-30;902;-715.0;214.0;808.0;213.0
478.0;-473.0;-13;-2;697.0;-332.0;491.0;-60;656;-1164.0;52.0;982.0;16.0
21.0;7.0;24;-8;928.0;170.0;331.0;-24;796;-967.0;295.0;978.0;233.0
-6.0;-9.0;20;10;919.0;140.0;333.0;-24;803;-957.0;310.0;978.0;248.0
