InertialMeasurementUnit RUA accX;Accelerometer RUA_ accX;InertialMeasurementUnit RUA gyroZ;Accelerometer RUA_ accY;InertialMeasurementUnit RUA accY;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit R-SHOE EuY;Accelerometer RKN^ accZ;Accelerometer LUA_ accY;Accelerometer LH accY;InertialMeasurementUnit BACK gyroX
-978.0;471.0;-6.0;918.0;20.0;88;-26;75.0;834.0;835.0;-26.0
-948.0;310.0;13.0;952.0;181.0;27;-23;78.0;924.0;845.0;-64.0
-976.0;503.0;-7.0;879.0;51.0;88;-26;49.0;828.0;815.0;-36.0
-849.0;333.0;-229.0;1021.0;180.0;52;-27;5.0;900.0;941.0;-46.0
-961.0;339.0;-31.0;961.0;189.0;27;-23;135.0;951.0;896.0;-121.0
-1020.0;364.0;-93.0;871.0;168.0;34;-20;93.0;994.0;1134.0;-122.0
-1038.0;492.0;158.0;899.0;217.0;54;-25;78.0;960.0;1061.0;-183.0
-1053.0;495.0;112.0;961.0;331.0;91;-27;173.0;970.0;1041.0;-37.0
-968.0;370.0;-87.0;891.0;286.0;-15;-29;29.0;987.0;1053.0;82.0
-955.0;273.0;-17.0;997.0;126.0;74;-24;286.0;914.0;1005.0;-61.0
-966.0;150.0;90.0;896.0;147.0;-46;-50;269.0;833.0;928.0;-165.0
-975.0;496.0;-25.0;867.0;60.0;88;-26;33.0;838.0;812.0;-3.0
-975.0;317.0;-279.0;975.0;235.0;75;-24;208.0;990.0;1016.0;-35.0
-975.0;235.0;-98.0;1001.0;148.0;75;-24;208.0;926.0;986.0;-184.0
-953.0;300.0;-34.0;982.0;165.0;75;-24;55.0;932.0;1012.0;-159.0
-1023.0;338.0;21.0;980.0;209.0;22;-35;177.0;953.0;1019.0;-273.0
-1019.0;482.0;256.0;907.0;176.0;37;-40;104.0;978.0;986.0;101.0
-983.0;514.0;99.0;858.0;173.0;44;-39;276.0;990.0;1043.0;28.0
-977.0;249.0;-84.0;1013.0;139.0;74;-23;149.0;952.0;1001.0;122.0
-941.0;263.0;-80.0;957.0;179.0;74;-23;179.0;1001.0;1039.0;255.0
