InertialMeasurementUnit RLA accZ;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit LLA magneticY
450.0;-168;-72.0;38.0;-230.0;-328.0;-65.0;-496.0;286.0
410.0;-170;88.0;165.0;-217.0;-37.0;-3.0;-224.0;423.0
286.0;-172;180.0;217.0;-251.0;-73.0;-65.0;-172.0;309.0
214.0;-86;206.0;260.0;-278.0;-84.0;-112.0;-111.0;159.0
255.0;-172;237.0;98.0;-259.0;-10.0;2.0;-145.0;16.0
269.0;88;208.0;162.0;-295.0;-29.0;-82.0;-141.0;-17.0
535.0;88;168.0;152.0;-285.0;-25.0;-121.0;-195.0;131.0
688.0;152;8.0;140.0;345.0;-112.0;-8.0;-335.0;83.0
455.0;-173;119.0;107.0;299.0;-167.0;-74.0;-292.0;402.0
535.0;-179;89.0;74.0;297.0;-62.0;12.0;-286.0;371.0
543.0;-179;89.0;71.0;299.0;-60.0;23.0;-290.0;321.0
520.0;-179;98.0;88.0;306.0;-71.0;2.0;-287.0;288.0
407.0;-178;165.0;92.0;335.0;-98.0;-16.0;-228.0;440.0
499.0;-178;157.0;86.0;332.0;-83.0;0.0;-235.0;460.0
566.0;-177;123.0;97.0;327.0;-76.0;6.0;-255.0;428.0
549.0;-177;119.0;97.0;326.0;-76.0;10.0;-258.0;424.0
482.0;-177;105.0;78.0;310.0;-82.0;29.0;-275.0;376.0
478.0;-177;105.0;74.0;306.0;-83.0;31.0;-277.0;377.0
545.0;-178;133.0;54.0;299.0;-53.0;30.0;-274.0;435.0
510.0;-177;135.0;54.0;303.0;-49.0;29.0;-273.0;450.0
490.0;-178;135.0;54.0;304.0;-45.0;28.0;-271.0;451.0
479.0;-187;139.0;68.0;318.0;-49.0;21.0;-262.0;431.0
478.0;159;160.0;106.0;344.0;-51.0;-18.0;-245.0;398.0
519.0;-161;182.0;119.0;388.0;-47.0;-3.0;-234.0;411.0
494.0;-179;141.0;76.0;329.0;-33.0;30.0;-267.0;369.0
468.0;-178;118.0;51.0;302.0;-56.0;41.0;-298.0;467.0
338.0;-178;142.0;64.0;340.0;-78.0;29.0;-262.0;467.0
321.0;-178;140.0;59.0;338.0;-81.0;29.0;-261.0;482.0
479.0;-178;143.0;58.0;333.0;-65.0;41.0;-265.0;507.0
484.0;-177;125.0;37.0;301.0;-50.0;68.0;-287.0;390.0
471.0;-177;124.0;18.0;283.0;-45.0;72.0;-292.0;437.0
472.0;-177;123.0;12.0;277.0;-45.0;75.0;-294.0;457.0
505.0;-177;106.0;5.0;271.0;-34.0;67.0;-300.0;538.0
486.0;-176;121.0;22.0;291.0;-46.0;69.0;-288.0;506.0
340.0;-179;120.0;38.0;316.0;-84.0;65.0;-272.0;532.0
447.0;-179;117.0;22.0;308.0;-86.0;52.0;-280.0;610.0
493.0;157;109.0;19.0;307.0;-81.0;108.0;-281.0;519.0
516.0;190;103.0;26.0;303.0;-75.0;104.0;-287.0;482.0
