Accelerometer LH accX;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;Accelerometer BACK accX;Accelerometer LUA_ accZ;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit LLA accY;Accelerometer LUA^ accZ;Accelerometer HIP accZ
336.0;-123.0;2;157.0;390.0;199.0;-307.0;237.0;449.0
376.0;-45.0;-8;347.0;475.0;286.0;-312.0;229.0;385.0
309.0;-250.0;-46;282.0;449.0;232.0;-350.0;181.0;392.0
398.0;-5.0;-40;324.0;448.0;259.0;-363.0;275.0;350.0
337.0;-42.0;34;193.0;322.0;239.0;-264.0;177.0;393.0
339.0;-210.0;32;151.0;522.0;291.0;-489.0;206.0;335.0
342.0;-61.0;75;242.0;296.0;270.0;-293.0;185.0;402.0
391.0;21.0;32;270.0;369.0;260.0;-310.0;214.0;366.0
302.0;-10.0;20;249.0;341.0;294.0;-329.0;224.0;330.0
302.0;12.0;21;255.0;398.0;304.0;-333.0;246.0;269.0
305.0;18.0;12;293.0;381.0;290.0;-358.0;182.0;289.0
371.0;32.0;-10;276.0;383.0;280.0;-324.0;197.0;296.0
352.0;-23.0;-11;283.0;389.0;289.0;-296.0;197.0;288.0
294.0;-58.0;-23;212.0;353.0;300.0;-281.0;127.0;321.0
358.0;-117.0;-26;220.0;301.0;299.0;-303.0;155.0;294.0
377.0;-105.0;0;190.0;342.0;232.0;-292.0;189.0;401.0
384.0;-58.0;-2;197.0;347.0;240.0;-294.0;200.0;390.0
378.0;-125.0;27;327.0;458.0;380.0;-381.0;164.0;382.0
415.0;-200.0;-15;365.0;365.0;358.0;-342.0;142.0;322.0
398.0;6.0;7;304.0;397.0;388.0;-329.0;170.0;375.0
311.0;-3.0;14;308.0;386.0;346.0;-349.0;156.0;392.0
400.0;16.0;32;310.0;408.0;322.0;-312.0;157.0;406.0
398.0;-72.0;20;137.0;408.0;167.0;-304.0;276.0;434.0
365.0;-86.0;21;152.0;379.0;150.0;-344.0;284.0;435.0
336.0;-92.0;1;163.0;377.0;156.0;-349.0;262.0;429.0
337.0;-178.0;17;144.0;378.0;171.0;-336.0;255.0;413.0
316.0;-154.0;23;137.0;381.0;169.0;-327.0;265.0;429.0
386.0;36.0;-10;288.0;415.0;342.0;-347.0;192.0;360.0
359.0;20.0;2;317.0;388.0;322.0;-314.0;195.0;379.0
307.0;3.0;12;327.0;416.0;326.0;-328.0;164.0;389.0
274.0;19.0;47;272.0;385.0;285.0;-380.0;231.0;356.0
302.0;22.0;9;289.0;384.0;278.0;-290.0;191.0;369.0
353.0;-145.0;-10;200.0;421.0;186.0;-331.0;267.0;265.0
387.0;-180.0;-102;208.0;452.0;201.0;-335.0;305.0;346.0
338.0;20.0;3;274.0;386.0;277.0;-284.0;207.0;358.0
307.0;9.0;-42;289.0;387.0;264.0;-318.0;188.0;394.0
305.0;0.0;-6;282.0;397.0;271.0;-331.0;212.0;411.0
316.0;6.0;-5;295.0;380.0;279.0;-328.0;209.0;415.0
322.0;19.0;33;323.0;400.0;264.0;-348.0;196.0;415.0
391.0;8.0;43;301.0;399.0;274.0;-351.0;210.0;449.0
382.0;11.0;23;292.0;388.0;284.0;-356.0;236.0;456.0
225.0;-148.0;-9;210.0;368.0;311.0;-364.0;119.0;274.0
250.0;-110.0;-11;206.0;371.0;278.0;-341.0;255.0;354.0
277.0;-119.0;-31;174.0;383.0;236.0;-284.0;197.0;300.0
307.0;-99.0;-29;163.0;400.0;267.0;-293.0;184.0;327.0
322.0;-166.0;-14;374.0;428.0;302.0;-343.0;168.0;294.0
569.0;-115.0;7;221.0;422.0;253.0;-461.0;244.0;360.0
571.0;-104.0;0;164.0;399.0;275.0;-372.0;188.0;343.0
549.0;-97.0;0;175.0;405.0;280.0;-437.0;215.0;325.0
427.0;-122.0;-24;238.0;442.0;378.0;-349.0;149.0;273.0
343.0;-98.0;-3;175.0;342.0;240.0;-307.0;193.0;450.0
672.0;-286.0;31;164.0;473.0;493.0;-485.0;140.0;442.0
402.0;-54.0;-37;192.0;427.0;160.0;-362.0;304.0;396.0
270.0;-84.0;-62;240.0;374.0;299.0;-338.0;226.0;412.0
307.0;-90.0;-47;171.0;478.0;231.0;-263.0;232.0;356.0
331.0;-186.0;-6;172.0;385.0;307.0;-315.0;234.0;413.0
334.0;-85.0;16;172.0;311.0;239.0;-322.0;214.0;443.0
385.0;-212.0;-32;258.0;405.0;336.0;-523.0;234.0;323.0
337.0;-83.0;1;140.0;355.0;228.0;-326.0;217.0;472.0
343.0;-86.0;-21;165.0;373.0;232.0;-328.0;220.0;440.0
303.0;-89.0;-8;176.0;361.0;237.0;-321.0;239.0;449.0
327.0;-6.0;-33;277.0;416.0;259.0;-422.0;157.0;332.0
329.0;-95.0;1;167.0;363.0;232.0;-326.0;228.0;465.0
350.0;-73.0;27;171.0;365.0;234.0;-338.0;244.0;467.0
335.0;-80.0;11;172.0;376.0;222.0;-326.0;241.0;447.0
350.0;-89.0;-20;165.0;380.0;217.0;-328.0;231.0;473.0
322.0;-90.0;-61;346.0;415.0;310.0;-341.0;196.0;253.0
310.0;-113.0;-31;345.0;408.0;312.0;-330.0;191.0;228.0
362.0;-91.0;-12;153.0;363.0;218.0;-328.0;275.0;460.0
338.0;-101.0;18;154.0;408.0;226.0;-328.0;235.0;463.0
348.0;-23.0;4;166.0;386.0;230.0;-319.0;248.0;464.0
334.0;-56.0;-1;168.0;359.0;231.0;-319.0;234.0;450.0
330.0;-133.0;0;173.0;391.0;221.0;-318.0;247.0;456.0
303.0;-118.0;19;328.0;380.0;278.0;-295.0;120.0;258.0
306.0;-108.0;13;127.0;349.0;175.0;-300.0;214.0;410.0
349.0;-145.0;27;134.0;445.0;201.0;-409.0;225.0;433.0
350.0;-127.0;11;166.0;368.0;172.0;-360.0;301.0;425.0
351.0;-149.0;-8;151.0;419.0;183.0;-348.0;293.0;459.0
347.0;-118.0;17;125.0;379.0;178.0;-350.0;285.0;429.0
380.0;-117.0;26;136.0;379.0;177.0;-360.0;275.0;456.0
368.0;-122.0;27;130.0;388.0;177.0;-350.0;267.0;367.0
362.0;-136.0;11;205.0;379.0;174.0;-355.0;305.0;446.0
316.0;-140.0;0;203.0;375.0;177.0;-356.0;266.0;441.0
334.0;-128.0;1;135.0;354.0;184.0;-325.0;272.0;443.0
271.0;-125.0;-10;187.0;401.0;155.0;-323.0;273.0;395.0
315.0;-99.0;-8;170.0;369.0;168.0;-369.0;266.0;403.0
337.0;-107.0;30;190.0;378.0;139.0;-327.0;286.0;424.0
392.0;-122.0;22;147.0;387.0;154.0;-315.0;280.0;429.0
341.0;-116.0;0;219.0;396.0;148.0;-356.0;278.0;448.0
329.0;-117.0;9;133.0;357.0;171.0;-337.0;205.0;377.0
288.0;-92.0;2;182.0;365.0;175.0;-312.0;247.0;425.0
372.0;-98.0;24;156.0;393.0;200.0;-343.0;257.0;441.0
381.0;-119.0;-16;192.0;369.0;190.0;-341.0;265.0;414.0
347.0;-128.0;-3;132.0;363.0;190.0;-366.0;284.0;393.0
332.0;-116.0;-31;155.0;361.0;187.0;-355.0;294.0;439.0
391.0;-142.0;-18;166.0;393.0;172.0;-305.0;267.0;388.0
392.0;-144.0;2;139.0;387.0;174.0;-357.0;252.0;395.0
397.0;-154.0;-17;111.0;388.0;168.0;-358.0;283.0;399.0
347.0;-115.0;39;118.0;358.0;186.0;-349.0;263.0;394.0
322.0;-119.0;5;133.0;361.0;176.0;-342.0;234.0;381.0
349.0;-148.0;0;149.0;352.0;178.0;-337.0;311.0;412.0
377.0;-129.0;-5;174.0;374.0;169.0;-353.0;259.0;385.0
354.0;-112.0;-30;150.0;370.0;183.0;-319.0;235.0;427.0
352.0;-90.0;28;156.0;361.0;185.0;-308.0;231.0;426.0
393.0;-118.0;29;133.0;320.0;205.0;-339.0;255.0;410.0
352.0;-108.0;-4;135.0;380.0;177.0;-323.0;227.0;413.0
273.0;-101.0;-19;134.0;338.0;189.0;-355.0;200.0;361.0
362.0;-107.0;-13;161.0;346.0;187.0;-328.0;245.0;436.0
331.0;-104.0;-7;132.0;356.0;200.0;-322.0;215.0;428.0
287.0;-113.0;-12;125.0;346.0;178.0;-369.0;214.0;381.0
309.0;-113.0;-10;135.0;350.0;166.0;-372.0;249.0;425.0
362.0;-135.0;4;132.0;402.0;204.0;-300.0;225.0;384.0
387.0;-127.0;11;122.0;390.0;162.0;-281.0;265.0;373.0
316.0;-215.0;-15;219.0;432.0;225.0;-393.0;291.0;442.0
306.0;-58.0;0;209.0;415.0;241.0;-395.0;278.0;466.0
371.0;-118.0;28;165.0;358.0;181.0;-315.0;267.0;466.0
405.0;-186.0;-11;206.0;307.0;222.0;-350.0;257.0;298.0
302.0;-92.0;-41;197.0;364.0;189.0;-332.0;238.0;445.0
311.0;-121.0;-23;200.0;394.0;200.0;-317.0;261.0;393.0
343.0;-109.0;43;183.0;361.0;208.0;-376.0;309.0;415.0
353.0;-102.0;32;197.0;345.0;176.0;-344.0;284.0;404.0
384.0;-225.0;-22;346.0;399.0;350.0;-377.0;248.0;341.0
359.0;-89.0;-13;184.0;377.0;172.0;-364.0;308.0;425.0
347.0;-104.0;-7;158.0;405.0;174.0;-352.0;300.0;425.0
366.0;-109.0;12;184.0;388.0;168.0;-358.0;286.0;418.0
381.0;-100.0;-5;181.0;388.0;162.0;-350.0;275.0;457.0
359.0;-105.0;6;183.0;413.0;169.0;-375.0;303.0;458.0
338.0;-100.0;-9;184.0;371.0;172.0;-377.0;309.0;435.0
285.0;-26.0;-10;252.0;372.0;391.0;-423.0;152.0;354.0
332.0;-100.0;2;168.0;382.0;239.0;-335.0;238.0;438.0
380.0;-118.0;-31;156.0;382.0;198.0;-303.0;254.0;455.0
342.0;-115.0;-4;159.0;363.0;193.0;-303.0;245.0;426.0
331.0;-127.0;-9;156.0;369.0;187.0;-326.0;252.0;455.0
351.0;-110.0;-6;153.0;354.0;195.0;-349.0;262.0;455.0
369.0;-106.0;-3;181.0;379.0;191.0;-341.0;295.0;435.0
337.0;-110.0;-3;173.0;351.0;187.0;-358.0;274.0;433.0
336.0;-116.0;33;182.0;350.0;192.0;-336.0;275.0;434.0
352.0;-137.0;11;172.0;361.0;201.0;-329.0;267.0;425.0
356.0;-187.0;3;155.0;341.0;229.0;-341.0;253.0;447.0
388.0;-105.0;-15;172.0;349.0;173.0;-362.0;266.0;451.0
330.0;-112.0;1;134.0;373.0;191.0;-288.0;233.0;430.0
364.0;-135.0;3;174.0;366.0;205.0;-331.0;245.0;473.0
