InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit LUA Quaternion3;Accelerometer LWR accY;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit RLA Quaternion4;Accelerometer LUA_ accY
202.0;-334.0;947.0;32.0;3.0;239.0;-143.0;-168.0;1056.0
-456.0;-198.0;815.0;-360.0;-176.0;64.0;103.0;-490.0;871.0
141.0;-242.0;916.0;1.0;12.0;161.0;-82.0;-12.0;956.0
283.0;-259.0;933.0;191.0;-329.0;217.0;-123.0;-180.0;1031.0
-114.0;499.0;809.0;17.0;-38.0;-472.0;45.0;846.0;930.0
67.0;-589.0;928.0;229.0;-235.0;546.0;116.0;-923.0;967.0
20.0;-621.0;849.0;-51.0;-34.0;654.0;64.0;-494.0;915.0
15.0;-619.0;860.0;-12.0;33.0;650.0;57.0;-506.0;924.0
264.0;-613.0;895.0;-154.0;-263.0;694.0;34.0;-332.0;974.0
13.0;-477.0;763.0;-31.0;11.0;491.0;109.0;-461.0;889.0
321.0;-388.0;961.0;-184.0;-507.0;442.0;-81.0;-273.0;1020.0
203.0;-334.0;960.0;-16.0;-75.0;240.0;-169.0;-165.0;1000.0
26.0;-621.0;849.0;-203.0;-42.0;646.0;19.0;-510.0;914.0
146.0;-616.0;878.0;-5.0;74.0;692.0;29.0;-223.0;955.0
240.0;-595.0;883.0;-414.0;29.0;670.0;21.0;-274.0;943.0
535.0;-154.0;840.0;48.0;-65.0;189.0;-101.0;-143.0;986.0
72.0;216.0;145.0;-623.0;-937.0;-303.0;-701.0;877.0;363.0
-278.0;-76.0;265.0;-76.0;120.0;39.0;-285.0;-790.0;539.0
-580.0;298.0;813.0;-940.0;-1013.0;-339.0;-170.0;350.0;924.0
54.0;-644.0;-417.0;-32.0;30.0;609.0;119.0;-873.0;-130.0
-202.0;-131.0;833.0;536.0;-537.0;26.0;-175.0;-284.0;867.0
367.0;-35.0;853.0;-456.0;-889.0;191.0;-9.0;19.0;860.0
-73.0;70.0;832.0;-12.0;-17.0;119.0;-438.0;-585.0;943.0
345.0;-288.0;842.0;116.0;105.0;291.0;-123.0;-323.0;990.0
351.0;-392.0;1003.0;-155.0;-21.0;432.0;-114.0;-310.0;1049.0
129.0;-157.0;745.0;-219.0;-359.0;-98.0;-298.0;-118.0;842.0
203.0;-334.0;946.0;15.0;-26.0;239.0;-152.0;-165.0;1032.0
449.0;-63.0;904.0;-86.0;-75.0;188.0;-56.0;-105.0;1125.0
