InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RUA^ accY;Accelerometer LUA^ accX;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RUA accX;InertialMeasurementUnit RUA accY
27;799;-3.0;335.0;-22;?;-569.0;1081.0
27;797;?;268.0;-8;-20;?;1082.0
27;801;176.0;?;6;-22;-263.0;?
27;797;244.0;361.0;-14;-25;-307.0;981.0
27;791;250.0;350.0;2;2;-432.0;962.0
27;797;282.0;342.0;-5;4;-432.0;935.0
27;800;?;?;-6;?;-439.0;888.0
27;796;241.0;193.0;28;?;?;850.0
27;797;211.0;290.0;7;-11;?;?
27;797;114.0;431.0;23;11;?;1015.0
27;?;164.0;299.0;40;-1;-290.0;988.0
27;793;272.0;486.0;18;6;-316.0;971.0
27;?;?;?;?;5;-389.0;997.0
27;793;364.0;322.0;-10;-14;-455.0;972.0
27;797;397.0;379.0;?;?;?;853.0
27;798;?;?;4;29;-484.0;801.0
?;?;354.0;619.0;-6;11;-483.0;851.0
?;796;370.0;?;?;-5;-481.0;848.0
?;797;360.0;792.0;?;20;-489.0;?
27;795;391.0;?;?;-1;-483.0;928.0
?;797;427.0;732.0;?;-21;?;992.0
27;?;405.0;643.0;-26;16;-552.0;?
27;795;450.0;518.0;?;11;?;981.0
27;794;392.0;415.0;?;?;-568.0;917.0
27;793;?;419.0;-1;32;-537.0;867.0
?;797;382.0;413.0;?;-19;-495.0;823.0
27;793;?;?;-35;-32;-530.0;791.0
27;795;354.0;417.0;?;?;-537.0;759.0
27;797;261.0;333.0;-2;?;-517.0;779.0
27;795;?;327.0;4;-11;-398.0;?
27;794;113.0;359.0;-4;-52;-353.0;998.0
27;795;38.0;?;-7;-10;-419.0;1037.0
?;797;131.0;287.0;64;?;-253.0;?
?;799;247.0;309.0;?;-12;?;1046.0
27;804;?;312.0;1;16;-404.0;983.0
27;797;360.0;273.0;-19;-4;-525.0;929.0
27;789;318.0;276.0;-9;-31;-512.0;807.0
27;796;296.0;355.0;?;?;?;?
27;801;218.0;409.0;?;-33;-472.0;770.0
27;798;146.0;471.0;-13;33;-424.0;824.0
27;794;164.0;?;-17;3;-354.0;917.0
27;798;125.0;62.0;?;?;-311.0;?
27;800;147.0;329.0;18;?;-279.0;975.0
?;796;177.0;?;4;22;?;963.0
27;797;209.0;?;6;-1;-330.0;963.0
27;799;262.0;?;?;?;-346.0;964.0
27;796;315.0;352.0;?;-26;-375.0;951.0
?;797;351.0;413.0;-44;-34;-394.0;?
27;795;350.0;491.0;-50;-8;-446.0;815.0
?;?;?;586.0;?;8;-463.0;878.0
?;797;342.0;655.0;-64;?;-458.0;896.0
27;791;353.0;779.0;-48;-27;-473.0;913.0
27;796;?;772.0;3;-2;-462.0;910.0
27;796;397.0;751.0;-7;-9;-468.0;897.0
?;793;418.0;679.0;-10;-7;?;903.0
27;801;?;626.0;-7;-17;-536.0;896.0
?;?;394.0;586.0;-34;-51;-561.0;831.0
?;795;423.0;504.0;9;-15;?;818.0
27;793;406.0;452.0;35;18;?;811.0
27;797;391.0;402.0;?;-10;-539.0;772.0
27;797;304.0;404.0;-29;-36;-517.0;807.0
27;795;?;350.0;?;-16;-471.0;869.0
?;?;190.0;334.0;-25;9;-385.0;971.0
27;797;162.0;352.0;?;-15;-383.0;1097.0
27;798;164.0;316.0;22;-18;-396.0;1166.0
27;801;264.0;293.0;-5;-10;?;1041.0
27;800;327.0;377.0;17;?;-389.0;?
27;?;346.0;375.0;-28;10;-467.0;?
27;793;296.0;370.0;?;1;?;842.0
27;798;271.0;352.0;10;15;-450.0;791.0
?;802;236.0;?;-9;?;-433.0;?
27;800;212.0;489.0;?;?;-431.0;872.0
27;803;404.0;237.0;8;-4;-488.0;880.0
27;785;453.0;?;-29;?;-517.0;763.0
?;798;502.0;?;16;-3;-534.0;580.0
27;805;?;471.0;?;-20;?;471.0
27;798;644.0;527.0;26;?;?;495.0
?;795;566.0;567.0;28;-24;-721.0;613.0
27;804;596.0;553.0;19;2;-798.0;781.0
27;798;736.0;552.0;1;32;-753.0;896.0
27;?;679.0;?;-3;37;-756.0;895.0
27;803;688.0;?;6;?;?;?
?;793;?;?;43;79;-785.0;832.0
27;804;1025.0;293.0;59;81;-776.0;?
?;?;1068.0;194.0;?;28;-890.0;566.0
27;749;?;?;-77;40;?;512.0
27;?;1122.0;?;22;?;-975.0;375.0
27;?;?;488.0;1;23;-958.0;329.0
27;791;1182.0;?;?;35;-977.0;?
27;789;1163.0;331.0;?;?;-995.0;?
27;?;1114.0;705.0;-22;-27;-1019.0;316.0
27;805;?;786.0;?;-26;-994.0;354.0
27;802;1071.0;?;26;73;-947.0;?
?;?;1104.0;?;-35;19;-928.0;248.0
24;797;1140.0;375.0;-35;-11;-930.0;209.0
23;793;1152.0;275.0;?;-24;-973.0;149.0
23;797;1133.0;?;-33;-21;-1017.0;102.0
22;805;?;228.0;-28;-20;-1018.0;?
22;792;1022.0;?;-26;-49;-971.0;69.0
22;789;1049.0;?;-35;37;-943.0;?
21;798;?;365.0;-15;?;-933.0;154.0
20;784;1039.0;?;-24;65;-926.0;199.0
?;787;1012.0;429.0;-32;81;-930.0;241.0
?;?;1010.0;399.0;?;113;-921.0;247.0
18;765;1001.0;354.0;-1;133;-909.0;232.0
