InertialMeasurementUnit BACK accZ;InertialMeasurementUnit LUA accZ;Accelerometer BACK accX;Accelerometer LUA^ accZ;Accelerometer LUA^ accX;Accelerometer HIP accZ
224.0;215.0;240.0;211.0;365.0;298.0
264.0;243.0;184.0;163.0;392.0;311.0
263.0;284.0;214.0;188.0;410.0;366.0
277.0;274.0;162.0;186.0;416.0;339.0
272.0;273.0;182.0;179.0;399.0;341.0
268.0;267.0;183.0;161.0;387.0;337.0
195.0;286.0;260.0;188.0;431.0;337.0
177.0;269.0;246.0;249.0;410.0;355.0
210.0;244.0;221.0;193.0;436.0;383.0
182.0;273.0;221.0;205.0;331.0;363.0
258.0;240.0;220.0;251.0;380.0;372.0
194.0;254.0;226.0;245.0;415.0;328.0
242.0;241.0;189.0;181.0;335.0;311.0
242.0;230.0;196.0;181.0;338.0;317.0
234.0;218.0;207.0;219.0;339.0;350.0
224.0;215.0;222.0;229.0;345.0;337.0
221.0;221.0;173.0;228.0;334.0;359.0
178.0;278.0;170.0;229.0;380.0;366.0
157.0;253.0;195.0;217.0;404.0;359.0
167.0;216.0;187.0;238.0;382.0;370.0
238.0;232.0;212.0;156.0;357.0;342.0
205.0;229.0;172.0;209.0;396.0;284.0
208.0;244.0;145.0;179.0;357.0;366.0
193.0;287.0;215.0;247.0;390.0;395.0
238.0;294.0;231.0;218.0;407.0;303.0
218.0;196.0;233.0;226.0;378.0;330.0
220.0;277.0;274.0;207.0;415.0;358.0
187.0;255.0;272.0;226.0;401.0;365.0
188.0;267.0;258.0;244.0;416.0;372.0
194.0;216.0;219.0;193.0;336.0;364.0
185.0;220.0;211.0;205.0;350.0;362.0
196.0;221.0;203.0;195.0;361.0;387.0
208.0;231.0;211.0;207.0;334.0;392.0
210.0;291.0;206.0;184.0;417.0;319.0
211.0;298.0;211.0;192.0;426.0;284.0
208.0;290.0;225.0;212.0;424.0;301.0
231.0;299.0;220.0;155.0;394.0;294.0
243.0;263.0;245.0;221.0;359.0;330.0
156.0;251.0;180.0;204.0;353.0;354.0
161.0;257.0;215.0;199.0;382.0;372.0
163.0;253.0;231.0;199.0;372.0;378.0
177.0;232.0;230.0;214.0;371.0;373.0
179.0;254.0;212.0;206.0;382.0;382.0
179.0;256.0;211.0;199.0;376.0;404.0
187.0;249.0;211.0;183.0;373.0;387.0
183.0;262.0;201.0;197.0;398.0;386.0
198.0;245.0;189.0;169.0;374.0;365.0
202.0;232.0;190.0;189.0;371.0;401.0
189.0;250.0;186.0;201.0;407.0;384.0
212.0;263.0;217.0;191.0;398.0;296.0
194.0;236.0;200.0;170.0;420.0;284.0
198.0;200.0;172.0;207.0;389.0;392.0
211.0;212.0;143.0;193.0;404.0;349.0
228.0;253.0;166.0;212.0;374.0;350.0
237.0;275.0;154.0;214.0;400.0;363.0
199.0;308.0;219.0;237.0;432.0;305.0
272.0;236.0;174.0;197.0;417.0;300.0
258.0;223.0;178.0;260.0;419.0;361.0
263.0;278.0;206.0;255.0;380.0;354.0
190.0;237.0;240.0;221.0;453.0;341.0
237.0;314.0;225.0;197.0;426.0;364.0
201.0;258.0;241.0;236.0;426.0;338.0
204.0;321.0;235.0;234.0;372.0;332.0
193.0;280.0;221.0;165.0;417.0;336.0
205.0;307.0;205.0;214.0;370.0;304.0
203.0;298.0;210.0;210.0;365.0;302.0
262.0;256.0;193.0;159.0;401.0;380.0
55.0;132.0;355.0;153.0;386.0;295.0
284.0;300.0;245.0;278.0;457.0;409.0
281.0;216.0;289.0;107.0;319.0;251.0
263.0;277.0;113.0;222.0;381.0;334.0
259.0;290.0;139.0;257.0;396.0;379.0
190.0;179.0;219.0;252.0;329.0;111.0
819.0;611.0;381.0;-401.0;518.0;-91.0
248.0;228.0;154.0;145.0;397.0;302.0
367.0;252.0;188.0;210.0;406.0;343.0
285.0;261.0;166.0;187.0;347.0;363.0
163.0;311.0;251.0;207.0;399.0;263.0
405.0;385.0;64.0;109.0;253.0;263.0
248.0;277.0;336.0;154.0;370.0;263.0
344.0;298.0;70.0;205.0;374.0;354.0
276.0;289.0;153.0;200.0;375.0;389.0
32.0;209.0;51.0;159.0;293.0;312.0
291.0;247.0;150.0;122.0;390.0;362.0
288.0;212.0;58.0;28.0;374.0;312.0
449.0;232.0;93.0;9.0;337.0;353.0
276.0;301.0;174.0;123.0;379.0;421.0
95.0;257.0;145.0;248.0;361.0;372.0
97.0;268.0;181.0;242.0;373.0;352.0
94.0;270.0;231.0;234.0;379.0;338.0
39.0;235.0;308.0;265.0;400.0;273.0
92.0;261.0;236.0;236.0;353.0;343.0
89.0;267.0;224.0;234.0;375.0;326.0
92.0;273.0;221.0;215.0;380.0;343.0
337.0;361.0;46.0;38.0;280.0;376.0
89.0;265.0;227.0;206.0;375.0;350.0
277.0;281.0;183.0;121.0;431.0;367.0
285.0;267.0;183.0;120.0;427.0;364.0
294.0;260.0;183.0;130.0;396.0;355.0
91.0;267.0;211.0;235.0;345.0;354.0
86.0;271.0;202.0;255.0;381.0;347.0
292.0;278.0;181.0;168.0;375.0;354.0
94.0;249.0;215.0;203.0;357.0;364.0
161.0;75.0;146.0;179.0;355.0;441.0
203.0;186.0;56.0;215.0;333.0;286.0
88.0;246.0;206.0;205.0;352.0;354.0
292.0;293.0;164.0;179.0;348.0;365.0
297.0;304.0;172.0;136.0;378.0;373.0
291.0;320.0;186.0;138.0;427.0;352.0
287.0;312.0;178.0;162.0;428.0;342.0
302.0;286.0;151.0;66.0;446.0;301.0
94.0;269.0;191.0;220.0;355.0;373.0
106.0;257.0;197.0;216.0;355.0;365.0
104.0;239.0;190.0;204.0;342.0;359.0
93.0;244.0;173.0;224.0;334.0;333.0
135.0;281.0;301.0;334.0;330.0;318.0
221.0;503.0;253.0;252.0;397.0;367.0
82.0;267.0;204.0;249.0;354.0;353.0
291.0;292.0;195.0;152.0;408.0;339.0
287.0;301.0;186.0;155.0;394.0;354.0
284.0;290.0;175.0;135.0;413.0;358.0
281.0;281.0;165.0;157.0;418.0;368.0
321.0;152.0;295.0;174.0;313.0;273.0
151.0;274.0;201.0;275.0;416.0;325.0
95.0;349.0;164.0;207.0;417.0;353.0
222.0;270.0;267.0;294.0;453.0;210.0
74.0;261.0;105.0;220.0;416.0;281.0
84.0;108.0;411.0;407.0;494.0;114.0
311.0;342.0;263.0;197.0;418.0;372.0
98.0;284.0;169.0;179.0;377.0;370.0
116.0;260.0;153.0;143.0;408.0;376.0
115.0;280.0;170.0;176.0;386.0;375.0
268.0;278.0;162.0;160.0;392.0;314.0
387.0;219.0;42.0;72.0;343.0;184.0
212.0;261.0;213.0;187.0;407.0;235.0
222.0;278.0;267.0;230.0;464.0;291.0
270.0;295.0;128.0;181.0;385.0;327.0
262.0;304.0;118.0;162.0;404.0;337.0
388.0;253.0;9.0;119.0;406.0;245.0
188.0;314.0;203.0;222.0;435.0;413.0
182.0;294.0;263.0;263.0;387.0;271.0
185.0;270.0;279.0;134.0;499.0;231.0
196.0;292.0;315.0;229.0;360.0;222.0
118.0;223.0;372.0;242.0;317.0;298.0
91.0;138.0;358.0;336.0;298.0;285.0
174.0;330.0;171.0;186.0;488.0;278.0
124.0;370.0;207.0;188.0;538.0;340.0
120.0;317.0;124.0;214.0;495.0;214.0
212.0;303.0;194.0;186.0;467.0;312.0
