InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
-26.0;1031.0;-98.0;129;205.0;-1;145.0;118.0;-32.0;-106.0;-220.0
79.0;996.0;-113.0;-2;389.0;-25;70.0;65.0;-81.0;-96.0;-266.0
391.0;461.0;-202.0;115;509.0;-6;298.0;-59.0;-130.0;152.0;-355.0
396.0;461.0;-212.0;115;504.0;-6;310.0;-51.0;-122.0;139.0;-354.0
434.0;475.0;-311.0;114;387.0;-8;350.0;27.0;-274.0;39.0;-170.0
428.0;481.0;-312.0;114;386.0;-8;321.0;33.0;-288.0;34.0;-164.0
424.0;487.0;-317.0;113;381.0;-8;309.0;37.0;-293.0;30.0;-165.0
417.0;491.0;-319.0;113;375.0;-8;325.0;44.0;-272.0;25.0;-165.0
478.0;537.0;-370.0;1;564.0;-8;281.0;0.0;46.0;148.0;-128.0
410.0;622.0;-350.0;41;601.0;-1;291.0;87.0;89.0;25.0;-116.0
413.0;490.0;-327.0;113;357.0;-8;358.0;46.0;-247.0;26.0;-175.0
416.0;488.0;-329.0;113;352.0;-8;369.0;45.0;-242.0;25.0;-180.0
418.0;488.0;-329.0;113;348.0;-8;381.0;44.0;-239.0;24.0;-187.0
372.0;618.0;-348.0;42;448.0;-4;326.0;37.0;93.0;134.0;-98.0
335.0;607.0;-367.0;42;373.0;-9;346.0;44.0;85.0;138.0;-88.0
314.0;603.0;-377.0;42;315.0;-9;354.0;57.0;76.0;111.0;-79.0
296.0;597.0;-386.0;44;262.0;-9;366.0;78.0;72.0;80.0;-67.0
362.0;473.0;-266.0;73;446.0;-7;291.0;-63.0;-324.0;160.0;-274.0
374.0;486.0;-274.0;73;422.0;-8;276.0;-58.0;-318.0;158.0;-248.0
378.0;497.0;-290.0;73;446.0;-8;270.0;-45.0;-303.0;153.0;-228.0
375.0;502.0;-310.0;73;419.0;-8;252.0;-7.0;-286.0;109.0;-208.0
379.0;501.0;-319.0;73;401.0;-8;249.0;2.0;-278.0;96.0;-200.0
380.0;502.0;-328.0;73;386.0;-9;247.0;9.0;-270.0;88.0;-195.0
379.0;504.0;-339.0;73;365.0;-9;247.0;21.0;-260.0;76.0;-188.0
377.0;502.0;-344.0;72;352.0;-10;250.0;25.0;-253.0;70.0;-185.0
377.0;501.0;-345.0;73;341.0;-11;252.0;30.0;-248.0;62.0;-183.0
379.0;499.0;-349.0;73;328.0;-11;254.0;35.0;-241.0;55.0;-180.0
379.0;497.0;-353.0;73;315.0;-13;256.0;39.0;-235.0;48.0;-178.0
383.0;494.0;-363.0;72;297.0;-15;258.0;42.0;-230.0;40.0;-179.0
282.0;595.0;-396.0;43;207.0;-9;381.0;105.0;75.0;50.0;-54.0
266.0;593.0;-406.0;43;168.0;-8;393.0;129.0;82.0;23.0;-40.0
261.0;585.0;-424.0;41;125.0;-6;398.0;164.0;95.0;-18.0;-24.0
389.0;491.0;-371.0;72;295.0;-20;259.0;42.0;-222.0;35.0;-183.0
400.0;484.0;-382.0;72;293.0;-26;261.0;40.0;-205.0;25.0;-187.0
419.0;474.0;-404.0;73;299.0;-32;244.0;40.0;-179.0;-1.0;-205.0
-52.0;1015.0;68.0;166;386.0;-33;125.0;173.0;-46.0;-13.0;-207.0
23.0;1118.0;-29.0;120;463.0;-6;126.0;356.0;-59.0;-207.0;-92.0
-102.0;1006.0;31.0;170;267.0;-25;198.0;233.0;-82.0;-82.0;-152.0
-81.0;1154.0;27.0;120;420.0;-10;249.0;407.0;-39.0;-267.0;39.0
431.0;468.0;-415.0;73;301.0;-32;213.0;45.0;-169.0;-24.0;-225.0
399.0;497.0;-397.0;98;168.0;-4;320.0;105.0;-338.0;-177.0;-280.0
461.0;450.0;-329.0;108;302.0;-7;329.0;63.0;-114.0;35.0;-279.0
450.0;457.0;-321.0;108;300.0;-7;320.0;52.0;-132.0;53.0;-264.0
447.0;459.0;-310.0;107;342.0;-8;301.0;42.0;-158.0;74.0;-272.0
