InertialMeasurementUnit BACK accZ;InertialMeasurementUnit LUA magneticZ;Accelerometer RKN^ accZ;InertialMeasurementUnit BACK magneticX;Accelerometer BACK accZ;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit LLA magneticY;Accelerometer HIP accZ
140.0;-132.0;308.0;394.0;-567.0;-95.0;-79.0;119.0
264.0;-376.0;417.0;412.0;-743.0;22.0;-97.0;429.0
227.0;-172.0;279.0;489.0;-554.0;-247.0;-142.0;314.0
135.0;-241.0;235.0;557.0;-492.0;-191.0;59.0;280.0
187.0;447.0;413.0;480.0;-537.0;-263.0;525.0;396.0
202.0;463.0;231.0;437.0;-450.0;-196.0;208.0;363.0
315.0;427.0;-7.0;482.0;-610.0;-312.0;392.0;375.0
274.0;13.0;322.0;536.0;-486.0;-259.0;314.0;228.0
107.0;274.0;161.0;1407.0;-593.0;-203.0;958.0;426.0
120.0;84.0;292.0;890.0;-522.0;71.0;620.0;322.0
73.0;-25.0;196.0;749.0;-564.0;57.0;236.0;417.0
142.0;66.0;457.0;1011.0;-772.0;-59.0;714.0;132.0
307.0;-73.0;41.0;644.0;-482.0;180.0;433.0;271.0
484.0;-197.0;31.0;971.0;-529.0;164.0;536.0;251.0
238.0;80.0;-40.0;770.0;-433.0;456.0;1073.0;331.0
402.0;-229.0;631.0;559.0;-532.0;466.0;576.0;325.0
-9.0;417.0;187.0;483.0;-401.0;-341.0;425.0;457.0
253.0;221.0;-21.0;533.0;-398.0;55.0;619.0;290.0
317.0;-322.0;39.0;431.0;-769.0;-2.0;-185.0;484.0
358.0;-295.0;141.0;437.0;-740.0;124.0;-114.0;342.0
358.0;-348.0;171.0;429.0;-755.0;154.0;-76.0;295.0
374.0;-360.0;133.0;417.0;-713.0;177.0;-65.0;271.0
372.0;-417.0;145.0;455.0;-749.0;256.0;-15.0;293.0
386.0;-533.0;191.0;416.0;-724.0;330.0;-80.0;352.0
368.0;-348.0;158.0;417.0;-695.0;178.0;-56.0;271.0
490.0;-40.0;121.0;548.0;-715.0;171.0;303.0;74.0
366.0;-343.0;111.0;422.0;-690.0;173.0;-56.0;309.0
305.0;-313.0;19.0;295.0;-720.0;202.0;-46.0;187.0
493.0;-49.0;139.0;539.0;-746.0;174.0;303.0;121.0
492.0;-54.0;201.0;531.0;-768.0;177.0;304.0;148.0
487.0;-44.0;170.0;526.0;-784.0;174.0;295.0;150.0
201.0;232.0;863.0;505.0;-637.0;93.0;-18.0;456.0
124.0;-379.0;1924.0;608.0;-693.0;325.0;124.0;235.0
91.0;-70.0;287.0;646.0;-772.0;-78.0;47.0;174.0
483.0;-44.0;220.0;528.0;-751.0;172.0;296.0;147.0
488.0;-23.0;70.0;529.0;-780.0;155.0;312.0;136.0
490.0;-20.0;175.0;530.0;-793.0;152.0;317.0;136.0
497.0;-11.0;225.0;532.0;-804.0;145.0;322.0;130.0
484.0;21.0;315.0;531.0;-813.0;117.0;317.0;165.0
764.0;159.0;215.0;629.0;-925.0;-64.0;671.0;18.0
767.0;-430.0;997.0;753.0;-1033.0;245.0;594.0;-158.0
398.0;99.0;385.0;504.0;-811.0;64.0;303.0;147.0
77.0;-236.0;265.0;623.0;-585.0;54.0;-8.0;289.0
387.0;85.0;885.0;607.0;-776.0;86.0;281.0;405.0
400.0;112.0;397.0;495.0;-805.0;49.0;298.0;110.0
301.0;175.0;454.0;473.0;-804.0;2.0;311.0;262.0
76.0;111.0;1541.0;498.0;-494.0;133.0;627.0;323.0
506.0;220.0;-21.0;603.0;-594.0;-192.0;316.0;126.0
218.0;330.0;120.0;566.0;-483.0;-245.0;444.0;455.0
295.0;252.0;83.0;461.0;-777.0;-58.0;352.0;459.0
299.0;264.0;78.0;460.0;-735.0;-72.0;358.0;468.0
336.0;310.0;59.0;459.0;-712.0;-99.0;483.0;375.0
377.0;-342.0;127.0;418.0;-707.0;164.0;-46.0;261.0
381.0;-344.0;133.0;419.0;-708.0;164.0;-35.0;270.0
391.0;-338.0;130.0;412.0;-675.0;161.0;-9.0;268.0
406.0;-339.0;99.0;414.0;-690.0;162.0;-5.0;284.0
389.0;-387.0;33.0;414.0;-709.0;187.0;-38.0;283.0
361.0;55.0;296.0;548.0;-425.0;136.0;578.0;241.0
475.0;-389.0;-114.0;406.0;-664.0;51.0;121.0;167.0
286.0;26.0;307.0;562.0;-467.0;144.0;567.0;449.0
180.0;13.0;227.0;572.0;-429.0;146.0;564.0;329.0
171.0;-543.0;247.0;521.0;-578.0;97.0;-181.0;334.0
196.0;-399.0;0.0;536.0;-500.0;10.0;-182.0;303.0
58.0;89.0;-40.0;511.0;-389.0;-429.0;536.0;316.0
226.0;287.0;615.0;462.0;-418.0;-500.0;-197.0;296.0
267.0;-46.0;162.0;558.0;-321.0;-251.0;21.0;330.0
247.0;-67.0;269.0;552.0;-290.0;-236.0;40.0;284.0
239.0;-73.0;337.0;551.0;-306.0;-221.0;53.0;272.0
190.0;-89.0;259.0;536.0;-327.0;-188.0;4.0;248.0
151.0;-94.0;295.0;528.0;-376.0;-169.0;-38.0;155.0
338.0;-352.0;285.0;287.0;-731.0;223.0;-58.0;152.0
314.0;334.0;190.0;556.0;-681.0;-225.0;295.0;144.0
137.0;-601.0;338.0;534.0;-510.0;430.0;588.0;415.0
152.0;-427.0;100.0;484.0;-430.0;213.0;378.0;533.0
269.0;-311.0;97.0;456.0;-453.0;131.0;92.0;507.0
300.0;-283.0;130.0;458.0;-474.0;118.0;-1.0;484.0
164.0;-508.0;147.0;489.0;-490.0;157.0;-391.0;387.0
156.0;-164.0;-80.0;696.0;-798.0;145.0;319.0;557.0
328.0;-108.0;200.0;608.0;-428.0;129.0;106.0;453.0
475.0;-137.0;1150.0;701.0;-489.0;177.0;333.0;198.0
97.0;-134.0;195.0;415.0;-736.0;-189.0;-176.0;284.0
86.0;-121.0;300.0;357.0;-807.0;-216.0;-221.0;487.0
162.0;-626.0;402.0;1031.0;-906.0;438.0;598.0;736.0
243.0;-201.0;353.0;774.0;-735.0;48.0;-52.0;229.0
70.0;-212.0;-10.0;658.0;-799.0;1.0;-36.0;551.0
382.0;-280.0;880.0;376.0;-660.0;-73.0;-231.0;344.0
119.0;-783.0;1124.0;219.0;-479.0;388.0;-434.0;396.0
284.0;-257.0;465.0;319.0;-813.0;164.0;-48.0;136.0
212.0;-268.0;-39.0;926.0;-423.0;-24.0;-25.0;463.0
252.0;-314.0;-37.0;834.0;-610.0;324.0;325.0;93.0
146.0;-114.0;-251.0;1103.0;-680.0;-22.0;387.0;380.0
241.0;-64.0;1608.0;1136.0;-450.0;-6.0;428.0;373.0
83.0;28.0;68.0;567.0;-528.0;141.0;590.0;185.0
145.0;93.0;-57.0;433.0;-380.0;255.0;717.0;343.0
365.0;-695.0;-356.0;961.0;-415.0;514.0;86.0;262.0
134.0;241.0;456.0;457.0;-421.0;68.0;730.0;309.0
237.0;-35.0;21.0;471.0;-497.0;320.0;684.0;307.0
172.0;-763.0;104.0;805.0;-517.0;453.0;-11.0;314.0
171.0;-107.0;285.0;426.0;-478.0;-205.0;-149.0;263.0
465.0;252.0;282.0;593.0;-458.0;-206.0;341.0;221.0
496.0;240.0;191.0;599.0;-409.0;-200.0;333.0;203.0
231.0;-609.0;41.0;457.0;-567.0;170.0;-157.0;340.0
495.0;290.0;118.0;598.0;-615.0;-197.0;429.0;60.0
324.0;162.0;68.0;447.0;-650.0;-433.0;-37.0;380.0
228.0;398.0;31.0;517.0;-544.0;-471.0;83.0;487.0
206.0;-386.0;92.0;410.0;-504.0;641.0;442.0;377.0
422.0;380.0;541.0;529.0;-693.0;-324.0;232.0;49.0
245.0;-178.0;98.0;1049.0;-945.0;-89.0;461.0;605.0
290.0;440.0;297.0;477.0;-763.0;-440.0;136.0;68.0
110.0;404.0;44.0;514.0;-688.0;-290.0;382.0;30.0
36.0;103.0;434.0;371.0;-419.0;-165.0;643.0;454.0
184.0;403.0;79.0;459.0;-525.0;-193.0;568.0;405.0
283.0;-673.0;97.0;504.0;-624.0;72.0;-5.0;341.0
420.0;273.0;124.0;435.0;-598.0;-297.0;87.0;41.0
197.0;-633.0;1315.0;745.0;-779.0;399.0;-71.0;306.0
269.0;-611.0;119.0;501.0;-609.0;166.0;-237.0;402.0
305.0;-375.0;761.0;628.0;-569.0;42.0;-216.0;174.0
305.0;-438.0;102.0;482.0;-666.0;94.0;-142.0;264.0
214.0;-403.0;-33.0;710.0;-869.0;216.0;-60.0;276.0
247.0;76.0;206.0;713.0;-580.0;14.0;592.0;88.0
131.0;33.0;868.0;1112.0;-534.0;-50.0;759.0;158.0
210.0;-550.0;61.0;525.0;-469.0;396.0;-147.0;377.0
235.0;-281.0;117.0;763.0;-480.0;-315.0;743.0;376.0
849.0;-209.0;311.0;726.0;-828.0;308.0;555.0;-89.0
104.0;-19.0;192.0;946.0;-685.0;14.0;152.0;188.0
109.0;-532.0;106.0;276.0;-473.0;132.0;-7.0;338.0
270.0;-73.0;-164.0;824.0;-451.0;-169.0;-96.0;299.0
278.0;-249.0;863.0;508.0;-670.0;324.0;181.0;393.0
240.0;-49.0;58.0;1073.0;-463.0;-126.0;301.0;281.0
419.0;335.0;589.0;564.0;-760.0;-189.0;536.0;-1.0
88.0;520.0;132.0;511.0;-429.0;-419.0;556.0;445.0
397.0;446.0;341.0;470.0;-537.0;-205.0;305.0;334.0
259.0;282.0;623.0;459.0;-543.0;-88.0;593.0;340.0
253.0;414.0;20.0;483.0;-594.0;-261.0;501.0;321.0
238.0;-221.0;326.0;477.0;-504.0;-223.0;-254.0;180.0
165.0;9.0;151.0;925.0;-724.0;13.0;158.0;475.0
589.0;462.0;50.0;541.0;-888.0;-259.0;535.0;288.0
415.0;-531.0;-314.0;411.0;-621.0;174.0;-232.0;176.0
165.0;7.0;-48.0;1032.0;-428.0;-93.0;304.0;375.0
131.0;347.0;229.0;549.0;-650.0;-323.0;361.0;409.0
493.0;490.0;259.0;494.0;-735.0;-189.0;481.0;375.0
427.0;-448.0;20.0;445.0;-730.0;253.0;8.0;255.0
67.0;-435.0;-80.0;448.0;-475.0;-45.0;-565.0;470.0
288.0;482.0;1025.0;568.0;-458.0;-502.0;207.0;203.0
192.0;221.0;139.0;494.0;-461.0;141.0;722.0;327.0
495.0;315.0;188.0;588.0;-730.0;-187.0;510.0;-48.0
111.0;80.0;-55.0;499.0;-663.0;-404.0;-279.0;333.0
233.0;-15.0;385.0;561.0;-400.0;-269.0;57.0;306.0
182.0;-707.0;621.0;783.0;-466.0;453.0;-176.0;349.0
221.0;4.0;-10.0;428.0;-404.0;-240.0;-181.0;306.0
485.0;398.0;350.0;578.0;-802.0;-267.0;395.0;157.0
604.0;130.0;251.0;642.0;-695.0;-82.0;347.0;-18.0
481.0;216.0;115.0;598.0;-710.0;-228.0;282.0;179.0
869.0;380.0;166.0;569.0;-1013.0;-231.0;274.0;50.0
177.0;-218.0;257.0;359.0;-717.0;-112.0;-42.0;339.0
280.0;-496.0;30.0;425.0;-763.0;259.0;1.0;257.0
397.0;-644.0;115.0;309.0;-822.0;486.0;87.0;330.0
443.0;233.0;125.0;595.0;-673.0;-241.0;291.0;166.0
41.0;-206.0;339.0;522.0;-609.0;120.0;-20.0;602.0
420.0;260.0;44.0;579.0;-606.0;-284.0;274.0;182.0
352.0;272.0;110.0;555.0;-647.0;-326.0;225.0;187.0
403.0;-470.0;200.0;267.0;-690.0;300.0;-122.0;434.0
380.0;165.0;-189.0;541.0;-646.0;-312.0;83.0;92.0
366.0;-214.0;-266.0;969.0;-463.0;184.0;378.0;283.0
145.0;-236.0;87.0;903.0;-571.0;19.0;185.0;509.0
160.0;-91.0;-706.0;1001.0;-727.0;-109.0;85.0;234.0
116.0;-118.0;21.0;595.0;-560.0;253.0;559.0;435.0
300.0;474.0;-214.0;596.0;-454.0;-409.0;527.0;302.0
224.0;213.0;323.0;441.0;-654.0;-469.0;-142.0;339.0
282.0;269.0;51.0;440.0;-618.0;37.0;582.0;409.0
209.0;-604.0;452.0;371.0;-628.0;431.0;-32.0;354.0
101.0;-648.0;-12.0;564.0;-467.0;488.0;603.0;439.0
289.0;266.0;44.0;443.0;-597.0;37.0;590.0;404.0
257.0;213.0;-46.0;486.0;-544.0;2.0;597.0;703.0
626.0;-700.0;-10.0;77.0;-769.0;479.0;-510.0;-145.0
169.0;21.0;251.0;963.0;-505.0;22.0;420.0;398.0
181.0;375.0;282.0;420.0;-567.0;-487.0;92.0;178.0
74.0;-621.0;438.0;810.0;-381.0;404.0;-177.0;364.0
880.0;-542.0;459.0;-358.0;-846.0;358.0;-641.0;-323.0
67.0;144.0;481.0;369.0;-420.0;237.0;745.0;375.0
270.0;-92.0;824.0;399.0;-462.0;373.0;686.0;411.0
281.0;272.0;46.0;441.0;-610.0;33.0;582.0;408.0
261.0;-555.0;29.0;447.0;-551.0;233.0;-319.0;296.0
166.0;112.0;96.0;428.0;-612.0;-343.0;-175.0;531.0
104.0;116.0;107.0;479.0;-430.0;-339.0;-92.0;444.0
85.0;42.0;228.0;442.0;-366.0;-323.0;63.0;335.0
297.0;264.0;60.0;444.0;-599.0;35.0;595.0;415.0
184.0;-181.0;103.0;395.0;-524.0;-155.0;-401.0;505.0
81.0;43.0;0.0;494.0;-616.0;132.0;607.0;376.0
283.0;274.0;48.0;437.0;-588.0;32.0;584.0;411.0
295.0;266.0;66.0;445.0;-600.0;37.0;600.0;403.0
158.0;50.0;-336.0;509.0;-618.0;221.0;615.0;189.0
282.0;274.0;58.0;439.0;-609.0;33.0;582.0;409.0
288.0;-102.0;415.0;408.0;-485.0;-218.0;-240.0;403.0
293.0;264.0;60.0;444.0;-599.0;40.0;597.0;398.0
123.0;275.0;244.0;448.0;-488.0;-9.0;689.0;439.0
509.0;468.0;111.0;558.0;-692.0;-251.0;528.0;153.0
139.0;34.0;747.0;425.0;-440.0;-269.0;-193.0;251.0
294.0;262.0;57.0;443.0;-605.0;37.0;597.0;391.0
182.0;81.0;-65.0;508.0;-388.0;-455.0;-271.0;356.0
297.0;262.0;45.0;446.0;-601.0;36.0;595.0;393.0
158.0;45.0;-239.0;381.0;-540.0;-236.0;-104.0;260.0
219.0;-388.0;-311.0;359.0;-667.0;56.0;-339.0;425.0
380.0;362.0;-124.0;540.0;-440.0;-509.0;58.0;357.0
301.0;260.0;69.0;445.0;-605.0;38.0;597.0;406.0
300.0;263.0;59.0;445.0;-614.0;37.0;595.0;388.0
299.0;262.0;50.0;446.0;-629.0;37.0;595.0;375.0
302.0;-675.0;-27.0;369.0;-683.0;314.0;-157.0;442.0
168.0;365.0;437.0;468.0;-512.0;-139.0;623.0;472.0
162.0;-190.0;46.0;516.0;-366.0;424.0;557.0;361.0
285.0;280.0;47.0;439.0;-600.0;29.0;581.0;405.0
114.0;-202.0;569.0;517.0;-482.0;463.0;725.0;242.0
256.0;412.0;160.0;505.0;-824.0;-383.0;203.0;407.0
485.0;365.0;142.0;428.0;-620.0;-293.0;180.0;30.0
256.0;-77.0;-144.0;596.0;-564.0;-301.0;-366.0;269.0
221.0;302.0;22.0;491.0;-513.0;-79.0;561.0;367.0
303.0;261.0;81.0;447.0;-622.0;36.0;594.0;388.0
376.0;151.0;-162.0;538.0;-394.0;134.0;636.0;348.0
300.0;263.0;66.0;449.0;-611.0;40.0;599.0;406.0
306.0;297.0;-97.0;654.0;-501.0;-37.0;694.0;328.0
77.0;468.0;-58.0;389.0;-449.0;-181.0;565.0;454.0
305.0;259.0;49.0;451.0;-622.0;41.0;595.0;375.0
412.0;135.0;-148.0;675.0;-593.0;19.0;643.0;202.0
487.0;295.0;214.0;534.0;-719.0;-46.0;606.0;146.0
280.0;279.0;40.0;441.0;-584.0;27.0;580.0;399.0
312.0;310.0;-329.0;455.0;-670.0;-122.0;388.0;419.0
221.0;22.0;-88.0;876.0;-433.0;7.0;130.0;430.0
358.0;-496.0;-78.0;421.0;-741.0;301.0;-59.0;394.0
512.0;6.0;43.0;571.0;-756.0;139.0;368.0;9.0
310.0;258.0;69.0;448.0;-632.0;42.0;599.0;388.0
377.0;-312.0;112.0;434.0;-657.0;111.0;-365.0;349.0
540.0;14.0;-80.0;1191.0;-408.0;76.0;850.0;210.0
193.0;-67.0;73.0;938.0;-545.0;149.0;502.0;441.0
12.0;245.0;-25.0;368.0;-298.0;146.0;746.0;412.0
148.0;-622.0;124.0;1061.0;-603.0;428.0;399.0;421.0
272.0;305.0;47.0;434.0;-584.0;12.0;578.0;395.0
308.0;259.0;69.0;450.0;-622.0;41.0;601.0;394.0
564.0;229.0;-219.0;628.0;-700.0;-27.0;600.0;18.0
317.0;-61.0;-195.0;1106.0;-304.0;-48.0;209.0;272.0
365.0;-647.0;317.0;286.0;-669.0;379.0;-367.0;182.0
71.0;-18.0;510.0;888.0;-464.0;-165.0;49.0;448.0
287.0;267.0;40.0;441.0;-605.0;38.0;587.0;404.0
173.0;-101.0;-487.0;1112.0;-529.0;-49.0;257.0;199.0
98.0;-589.0;58.0;837.0;-424.0;381.0;-88.0;355.0
314.0;-165.0;412.0;908.0;-527.0;164.0;353.0;318.0
282.0;21.0;84.0;1094.0;-621.0;-48.0;366.0;353.0
131.0;543.0;194.0;508.0;-474.0;-485.0;488.0;414.0
302.0;259.0;72.0;447.0;-631.0;43.0;607.0;402.0
175.0;446.0;141.0;520.0;-460.0;-632.0;12.0;352.0
236.0;244.0;-32.0;616.0;-749.0;91.0;694.0;268.0
104.0;581.0;-601.0;564.0;-621.0;-502.0;352.0;337.0
