Accelerometer RUA^ accY;InertialMeasurementUnit RLA accX;Accelerometer RUA_ accX;Accelerometer RUA^ accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA_ accY;InertialMeasurementUnit RUA accY
1120.0;-593.0;389.0;163.0;-842.0;905.0;130.0
870.0;-454.0;928.0;651.0;-957.0;497.0;294.0
1091.0;-753.0;308.0;205.0;-902.0;918.0;149.0
1067.0;-795.0;246.0;391.0;-933.0;926.0;166.0
1026.0;-757.0;257.0;226.0;-905.0;953.0;224.0
1043.0;-714.0;254.0;241.0;-864.0;910.0;198.0
1050.0;-762.0;359.0;276.0;-897.0;869.0;291.0
1052.0;-772.0;374.0;274.0;-885.0;910.0;271.0
1030.0;-804.0;165.0;326.0;-909.0;886.0;157.0
1040.0;-750.0;242.0;316.0;-911.0;870.0;136.0
1083.0;-750.0;282.0;306.0;-932.0;915.0;209.0
1083.0;-802.0;360.0;212.0;-1003.0;972.0;48.0
1045.0;-749.0;425.0;304.0;-995.0;915.0;113.0
1070.0;-798.0;363.0;278.0;-974.0;957.0;160.0
1070.0;-800.0;328.0;276.0;-976.0;972.0;151.0
1079.0;-806.0;328.0;270.0;-981.0;970.0;157.0
1066.0;-806.0;348.0;281.0;-984.0;971.0;160.0
1072.0;-803.0;321.0;273.0;-976.0;978.0;150.0
1071.0;-778.0;367.0;284.0;-975.0;954.0;202.0
1044.0;-779.0;396.0;288.0;-974.0;943.0;219.0
1117.0;-736.0;485.0;266.0;-1059.0;931.0;183.0
1080.0;-778.0;383.0;306.0;-975.0;949.0;205.0
1057.0;-771.0;394.0;323.0;-966.0;925.0;237.0
1037.0;-806.0;357.0;284.0;-974.0;939.0;180.0
1064.0;-741.0;388.0;278.0;-928.0;907.0;259.0
1056.0;-792.0;281.0;251.0;-919.0;931.0;249.0
1090.0;-301.0;689.0;234.0;-919.0;808.0;293.0
1001.0;-717.0;281.0;263.0;-935.0;914.0;182.0
1110.0;-615.0;462.0;298.0;-879.0;859.0;130.0
1029.0;-582.0;612.0;432.0;-938.0;820.0;331.0
1078.0;-709.0;366.0;234.0;-946.0;911.0;276.0
1073.0;-732.0;300.0;265.0;-903.0;858.0;111.0
1082.0;-744.0;368.0;296.0;-989.0;885.0;287.0
1020.0;-735.0;323.0;56.0;-952.0;842.0;297.0
1137.0;-648.0;411.0;269.0;-860.0;835.0;309.0
1087.0;-727.0;452.0;229.0;-962.0;876.0;218.0
1045.0;-704.0;404.0;308.0;-921.0;964.0;231.0
941.0;-778.0;438.0;357.0;-979.0;930.0;235.0
1004.0;-794.0;361.0;263.0;-982.0;934.0;192.0
1076.0;-813.0;385.0;282.0;-981.0;940.0;160.0
1080.0;-811.0;319.0;277.0;-978.0;972.0;195.0
1090.0;-811.0;321.0;256.0;-972.0;968.0;188.0
1070.0;-801.0;330.0;247.0;-980.0;954.0;207.0
1059.0;-802.0;355.0;227.0;-971.0;958.0;185.0
1092.0;-794.0;311.0;221.0;-969.0;960.0;157.0
1108.0;-793.0;337.0;103.0;-995.0;1029.0;168.0
1090.0;-783.0;322.0;237.0;-954.0;970.0;168.0
1077.0;-777.0;303.0;230.0;-946.0;952.0;149.0
1073.0;-785.0;298.0;235.0;-962.0;952.0;167.0
1012.0;-747.0;335.0;330.0;-930.0;911.0;241.0
1065.0;-742.0;320.0;250.0;-925.0;905.0;162.0
1057.0;-807.0;374.0;232.0;-975.0;955.0;196.0
1059.0;-806.0;328.0;268.0;-991.0;946.0;229.0
1070.0;-804.0;367.0;225.0;-983.0;964.0;221.0
1053.0;-797.0;316.0;278.0;-948.0;953.0;214.0
1029.0;-796.0;339.0;288.0;-945.0;943.0;213.0
1068.0;-813.0;328.0;238.0;-933.0;967.0;169.0
1080.0;-801.0;379.0;237.0;-976.0;960.0;222.0
1073.0;-789.0;328.0;213.0;-961.0;968.0;178.0
1096.0;-774.0;339.0;252.0;-958.0;962.0;181.0
