InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Ay
-14;3;176;18;-55.0;-62.0;16;25.0;17;651
-27;17;-158;18;-61.0;-28.0;48;55.0;7;664
-4;5;-158;20;-59.0;-17.0;4;32.0;4;661
-20;-6;-159;15;86.0;58.0;24;21.0;-23;658
-17;6;-158;25;-86.0;33.0;-13;1.0;10;656
27;-1;-158;16;-46.0;0.0;-25;17.0;-22;665
-22;6;-158;16;-57.0;0.0;-26;-9.0;45;665
-4;9;-156;17;-64.0;14.0;-13;54.0;-6;667
-12;26;-159;20;14.0;-102.0;-24;116.0;9;656
0;18;-162;20;-203.0;-107.0;-228;-284.0;773;660
-26;-30;-158;17;-50.0;0.0;12;-15.0;14;664
19;16;-158;20;-37.0;-2.0;14;-18.0;-14;659
19;-19;-159;21;19.0;-6.0;1;-71.0;-3;655
13;3;-162;11;-81.0;-13.0;-4;51.0;-20;667
18;1;-159;18;-59.0;-28.0;23;5.0;49;656
12;8;-162;16;-3.0;-50.0;-15;39.0;-10;654
-16;12;-158;16;-9.0;-78.0;-22;-41.0;-12;669
1;-2;-174;20;-108.0;52.0;22;1.0;-9;663
-6;28;-158;18;-48.0;-2.0;-21;-11.0;5;659
6;1;-162;20;-202.0;-8.0;-14;-23.0;-11;658
210;828;-159;324;-469.0;-190.0;-34;-186.0;-60;82
-19;-15;-134;10;-144.0;-1.0;17;36.0;2;750
14;3;-157;19;-44.0;18.0;-27;0.0;-22;655
-15;-21;-157;20;-72.0;26.0;15;41.0;-10;650
-5;6;-131;11;-43.0;-67.0;-4;33.0;-18;758
-14;20;-157;23;-66.0;18.0;1;27.0;16;647
-6;9;-157;20;-59.0;18.0;15;14.0;-11;651
9;-20;-157;19;-48.0;31.0;-18;-6.0;24;653
-13;6;-157;20;2.0;0.0;15;12.0;4;651
-3;6;-157;20;-17.0;41.0;-14;21.0;-20;650
-9;0;-133;13;-56.0;8.0;20;12.0;9;752
9;14;-157;16;-3.0;33.0;-23;23.0;15;651
12;-21;-157;13;-14.0;-43.0;0;15.0;10;654
-26;-13;-157;17;-34.0;52.0;-10;24.0;-12;652
-26;12;-157;18;-34.0;3.0;12;35.0;-32;646
9;25;-133;15;-39.0;22.0;-16;30.0;16;755
-18;-8;-157;19;-22.0;-2.0;24;0.0;-7;653
-5;2;-158;20;-42.0;7.0;-16;-13.0;-31;661
-31;24;-158;19;-42.0;-39.0;-7;-8.0;-14;660
10;5;-157;15;-1.0;-23.0;15;22.0;-16;655
-1;-5;-158;21;-68.0;-11.0;-11;12.0;17;659
-8;-14;-133;16;-61.0;21.0;20;14.0;12;751
-18;3;-133;9;-47.0;-18.0;-19;18.0;11;756
-38;6;-156;24;21.0;9.0;-546;31.0;2140;657
-1;2;-133;10;-13.0;1.0;16;16.0;-2;757
1;18;-158;20;-12.0;-1.0;19;-9.0;22;661
-10;-6;-158;20;-29.0;-36.0;36;-1.0;-4;661
-22;-19;-156;23;-39.0;38.0;27;-1.0;-6;652
-26;-20;-156;23;-25.0;0.0;26;5.0;4;651
-27;-13;-157;22;-48.0;40.0;22;-1.0;6;653
-22;-9;-133;13;-47.0;10.0;24;0.0;3;754
-912;250;-155;-210;-126.0;-5.0;-412;-297.0;230;822
-5;-10;-157;16;-63.0;-32.0;-44;1.0;-22;656
5;7;-133;16;-58.0;10.0;-11;11.0;7;754
8;4;-133;16;-39.0;19.0;-25;26.0;-15;754
-29;4;-156;14;-33.0;-16.0;-34;27.0;-12;657
10;16;-156;21;-12.0;-26.0;-25;14.0;-5;652
8;1;-133;18;-43.0;18.0;-25;0.0;44;752
8;-13;-157;16;-27.0;-32.0;-12;-7.0;9;656
511;-264;-175;123;474.0;160.0;32;-96.0;16;615
-6;22;-157;18;-14.0;-17.0;-24;23.0;-22;656
-12;20;-158;25;-17.0;0.0;5;-15.0;19;657
-4;3;-162;22;-31.0;24.0;-1;-1.0;-26;658
-15;-24;-162;27;-59.0;-1.0;44;10.0;-33;655
-8;4;-162;19;-3.0;20.0;-7;1.0;-2;656
9;-8;-162;22;-32.0;59.0;15;24.0;19;658
-18;86;-35;97;479.0;929.0;2372;594.0;168;671
-21;6;-162;20;-40.0;42.0;7;11.0;17;655
-3;2;-162;15;10.0;11.0;44;17.0;2;659
-18;-6;-162;17;-10.0;16.0;-17;-6.0;11;653
-5;14;-133;15;35.0;39.0;6;22.0;-11;754
4;-13;-162;17;-38.0;-24.0;-15;11.0;-17;658
-1;4;-133;12;-28.0;21.0;-26;19.0;3;755
25;6;-162;16;-59.0;20.0;0;14.0;-44;661
-9;7;-159;17;-156.0;-81.0;-9;62.0;-33;662
14;24;-175;17;-12.0;-37.0;10;4.0;17;671
18;19;-159;18;-86.0;-60.0;0;96.0;5;653
-17;-30;-163;19;-12.0;5.0;4;-3.0;-13;652
-28;2;-159;24;-47.0;47.0;-15;-38.0;0;650
10;14;-163;20;-56.0;-16.0;32;26.0;-10;650
-24;18;-174;16;-64.0;49.0;19;6.0;8;668
-58;57;-122;11;-130.0;-331.0;1297;522.0;1559;725
-15;14;-174;14;-80.0;-12.0;37;57.0;4;672
2;-20;-174;21;-26.0;14.0;18;60.0;9;666
-24;11;-174;18;-31.0;46.0;9;29.0;-10;669
-16;5;-174;14;-16.0;-5.0;2;40.0;-12;671
-15;10;-174;13;-45.0;62.0;-6;-9.0;3;671
3;-4;-174;22;-16.0;42.0;-12;28.0;10;661
13;-18;-174;20;-37.0;12.0;-17;23.0;-24;668
14;27;-174;11;-24.0;18.0;3;4.0;1;675
-4;-2;-174;13;-28.0;35.0;-15;-15.0;1;673
-19;7;-158;15;40.0;243.0;106;-24.0;-458;650
9;18;-162;23;4.0;-39.0;5;-7.0;25;659
20;13;-159;21;-74.0;-143.0;-3;60.0;21;658
-15;13;-153;17;-89.0;-28.0;21;31.0;7;662
-28;3;-154;21;17.0;18.0;10;36.0;-6;662
-16;35;-153;23;-54.0;14.0;8;28.0;14;661
-7;2;-166;15;-41.0;51.0;63;-15.0;16;673
-4;1;-153;17;3.0;2.0;29;10.0;7;672
-26;-21;-153;19;-19.0;0.0;22;5.0;-10;675
-25;-20;-153;18;-33.0;0.0;-30;3.0;-2;675
-25;-21;-153;18;-60.0;22.0;-38;3.0;0;675
-24;-20;-153;18;-70.0;36.0;-34;9.0;-1;674
-5;12;-156;14;-27.0;-35.0;4;35.0;-33;670
444;226;-153;-40;25.0;166.0;4;141.0;-25;702
-7;2;-156;20;-43.0;-3.0;22;33.0;17;662
-12;23;-156;23;-34.0;29.0;-1;55.0;-32;661
-16;-20;-156;23;-35.0;-8.0;-14;0.0;-46;657
-26;37;-156;20;-47.0;-15.0;2;0.0;-17;658
-18;20;-159;21;-116.0;-22.0;22;106.0;20;653
-137;-262;-153;0;-1587.0;-1250.0;-976;992.0;3178;687
14;-35;-158;17;-562.0;-191.0;-949;217.0;1188;669
-26;24;-167;18;-67.0;3.0;16;0.0;33;659
-1;-29;-132;17;-44.0;-139.0;9;-19.0;51;751
18;-8;-159;16;-78.0;5.0;-5;54.0;-8;655
-2;4;-132;19;-74.0;-7.0;-36;30.0;13;754
-13;15;-159;21;-54.0;-16.0;-26;18.0;10;653
2;-8;-159;19;3.0;14.0;21;41.0;-7;654
2065;-1212;-177;296;-902.0;-896.0;-18;-29.0;12;606
22;-10;-159;22;-4.0;25.0;-7;36.0;-8;652
969;136;-159;11;247.0;413.0;-36;-30.0;-54;682
-10;6;-163;20;49.0;163.0;1;12.0;33;656
6;-18;-159;20;-78.0;7.0;-24;23.0;11;656
-7;-15;-159;22;-14.0;-11.0;-16;25.0;19;654
1;10;-159;19;-24.0;-10.0;20;-30.0;-9;655
198;-397;-156;-54;-219.0;383.0;-53;-437.0;90;706
10;33;-159;22;-24.0;-3.0;-18;9.0;-10;653
-25;23;-167;18;-82.0;-24.0;-7;34.0;46;659
5;-16;-159;20;-56.0;-3.0;29;35.0;-36;657
5;24;-159;21;-52.0;10.0;-28;21.0;-7;653
-28;-3;-126;13;-332.0;267.0;466;-95.0;354;667
-66;-26;-170;75;-233.0;-179.0;-776;538.0;584;636
-16;-4;-162;18;-69.0;-123.0;-21;27.0;-29;661
15;13;-152;20;-87.0;-51.0;196;48.0;1056;652
9;-16;-159;21;-69.0;-3.0;4;68.0;-14;651
-124;-81;-160;8;-23.0;-150.0;30;-3.0;-31;197
10;-30;-159;8;-65.0;-38.0;-23;47.0;-20;668
20;2;-159;18;-16.0;37.0;-4;54.0;-11;656
-31;-9;-161;20;-77.0;-116.0;29;81.0;26;675
22;-2;-159;23;-39.0;12.0;-7;31.0;-2;652
-15;21;-148;25;-360.0;482.0;-94;238.0;685;688
0;-8;-159;18;-94.0;-49.0;14;-34.0;-11;660
-7;17;-160;18;-43.0;14.0;-18;28.0;0;659
