Accelerometer RKN_ accX;InertialMeasurementUnit R-SHOE AngVelNavFrameX;Accelerometer BACK accX;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;Accelerometer LUA^ accX;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE Compass;Accelerometer LH accZ;InertialMeasurementUnit LLA accZ;Accelerometer LUA_ accX;InertialMeasurementUnit R-SHOE Body_Ax
17.0;-18;407.0;171;-18;400.0;-82;-5;16;127.0;-90.0;51.0;300
-218.0;-56;412.0;-175;-56;439.0;-79;2;61;153.0;-24.0;42.0;296
-145.0;2;342.0;-169;2;301.0;2;53;100;-13.0;68.0;22.0;278
98.0;-27;105.0;174;-27;420.0;-1;-18;104;-190.0;-467.0;-396.0;267
-186.0;-24;172.0;-176;-24;383.0;-111;4;5;0.0;62.0;72.0;428
-130.0;26;111.0;-178;26;419.0;-7;-6;27;287.0;8.0;-188.0;308
-68.0;29;265.0;-176;29;430.0;-112;-1;7;90.0;40.0;76.0;427
-287.0;62;303.0;-170;62;345.0;-2;24;101;1.0;96.0;107.0;210
-160.0;11;253.0;-176;11;451.0;-113;-1;11;101.0;133.0;101.0;448
-127.0;-15;77.0;-178;-15;309.0;-7;-2;27;18.0;48.0;17.0;313
-109.0;31;193.0;190;31;314.0;-76;107;17;78.0;-113.0;17.0;259
-119.0;-45;-134.0;147;-45;377.0;-1;11;82;-83.0;-584.0;130.0;310
-154.0;-29;-1.0;-127;-29;317.0;-77;-1;101;182.0;-85.0;51.0;267
-81.0;4;107.0;-173;4;186.0;-3;-156;116;-25.0;-108.0;31.0;225
-238.0;-19;127.0;-187;-19;383.0;1;753;156;-648.0;-119.0;-343.0;277
-109.0;11;140.0;-177;11;434.0;-76;-22;133;133.0;-54.0;4.0;300
-51.0;-112;269.0;-172;-112;650.0;25;-24;-164;123.0;107.0;74.0;-167
-67.0;513;301.0;-177;513;482.0;-13;-29;16;35.0;185.0;73.0;391
-121.0;-4;62.0;-178;-4;377.0;-7;-4;27;79.0;21.0;-168.0;306
-26.0;-1306;224.0;-171;-1306;378.0;-7;42;86;53.0;60.0;163.0;240
-70.0;42;489.0;-177;42;432.0;-76;1;112;185.0;-122.0;8.0;263
-69.0;-660;428.0;-174;-660;592.0;-68;5;120;-9.0;28.0;9.0;-13
-100.0;-34;452.0;-177;-34;419.0;-76;-6;127;214.0;-120.0;-37.0;272
-195.0;194;267.0;-181;194;525.0;-96;-44;-52;-27.0;82.0;144.0;47
-69.0;259;281.0;-176;259;430.0;-14;1;16;-27.0;26.0;241.0;368
-83.0;11;481.0;-177;11;388.0;-76;2;132;200.0;-108.0;-42.0;270
-143.0;-184;219.0;96;-184;352.0;-1;365;102;558.0;-87.0;210.0;1210
