InertialMeasurementUnit LUA gyroY;Accelerometer LUA_ accX;InertialMeasurementUnit BACK accY;InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit LLA accZ;Accelerometer LUA^ accX;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit R-SHOE Compass;Accelerometer RKN^ accZ;Accelerometer BACK accX
-1604.0;-63.0;-89.0;272.0;-237.0;-255.0;335.0;27;-223.0;74;-7;-1.0;48.0
-1284.0;-85.0;-191.0;244.0;-192.0;-99.0;268.0;27;-291.0;74;-7;13.0;51.0
-917.0;-126.0;-349.0;?;-167.0;3.0;261.0;27;-461.0;74;-7;7.0;92.0
-355.0;-80.0;-153.0;206.0;-151.0;-19.0;361.0;27;-499.0;74;?;15.0;65.0
197.0;-67.0;-176.0;?;-151.0;-146.0;?;27;-380.0;74;-7;1.0;118.0
709.0;-266.0;-203.0;212.0;-164.0;?;342.0;27;-197.0;74;-7;9.0;?
901.0;-429.0;-194.0;226.0;-180.0;-18.0;271.0;27;-97.0;74;-7;-5.0;116.0
1086.0;-533.0;-201.0;242.0;?;?;193.0;27;-159.0;74;-7;11.0;60.0
1281.0;-528.0;-261.0;268.0;-223.0;-99.0;290.0;27;-151.0;74;-7;-4.0;-14.0
-71.0;764.0;-197.0;452.0;-215.0;458.0;431.0;27;-93.0;74;-7;-22.0;237.0
-67.0;711.0;-198.0;443.0;-229.0;492.0;299.0;27;-70.0;74;-7;-42.0;235.0
-174.0;628.0;-223.0;446.0;-231.0;519.0;486.0;27;63.0;74;-7;-33.0;234.0
-442.0;468.0;-228.0;460.0;-234.0;568.0;399.0;27;219.0;74;-7;-9.0;227.0
-796.0;?;-217.0;479.0;-255.0;739.0;322.0;27;397.0;74;-7;-7.0;223.0
-1451.0;277.0;-198.0;504.0;-284.0;879.0;379.0;27;516.0;?;-7;-2.0;133.0
-2131.0;183.0;-192.0;526.0;-324.0;949.0;471.0;27;506.0;74;-7;-16.0;?
-2665.0;?;-208.0;556.0;-364.0;951.0;619.0;27;344.0;74;-7;?;77.0
-3173.0;80.0;-190.0;586.0;-396.0;860.0;708.0;27;228.0;74;-7;-37.0;192.0
-3516.0;23.0;-197.0;614.0;-428.0;630.0;792.0;27;27.0;74;?;17.0;160.0
-3548.0;-48.0;-173.0;629.0;-458.0;329.0;860.0;27;-39.0;74;-7;15.0;128.0
-3714.0;-120.0;-267.0;635.0;-487.0;219.0;732.0;27;-15.0;74;-7;-18.0;136.0
-3683.0;-115.0;-236.0;630.0;-496.0;?;643.0;27;-25.0;74;-7;?;121.0
-3795.0;-148.0;-210.0;610.0;-489.0;113.0;?;27;-41.0;74;-7;-23.0;82.0
-3895.0;-191.0;-258.0;583.0;-478.0;41.0;?;?;-98.0;74;-7;-38.0;31.0
-3784.0;-188.0;-196.0;547.0;-458.0;8.0;419.0;27;-167.0;74;-7;-40.0;111.0
-3552.0;-166.0;-211.0;?;-435.0;-51.0;413.0;27;-230.0;74;-7;-10.0;89.0
-3223.0;-139.0;-163.0;447.0;-403.0;-197.0;380.0;27;-228.0;74;-7;-22.0;105.0
-3009.0;-48.0;-135.0;400.0;-361.0;-153.0;417.0;27;-178.0;74;-7;-30.0;-110.0
?;-35.0;-185.0;345.0;?;-161.0;333.0;27;-171.0;74;-7;-15.0;-21.0
-2670.0;61.0;-274.0;303.0;-260.0;-189.0;327.0;27;-197.0;74;-7;-14.0;40.0
-2424.0;124.0;-123.0;266.0;-212.0;-417.0;?;27;-224.0;74;-7;-16.0;38.0
-1638.0;158.0;-156.0;236.0;-175.0;-335.0;312.0;27;-371.0;74;-7;-13.0;16.0
-798.0;115.0;-249.0;222.0;-149.0;?;287.0;27;-524.0;74;-7;-20.0;48.0
-142.0;17.0;-216.0;215.0;-138.0;48.0;309.0;27;-463.0;74;-7;-22.0;77.0
265.0;-112.0;-166.0;214.0;-143.0;97.0;312.0;27;?;?;-7;-10.0;71.0
722.0;-228.0;-178.0;218.0;-155.0;246.0;273.0;27;-103.0;74;-7;-30.0;-44.0
802.0;-339.0;-225.0;226.0;-171.0;258.0;276.0;27;120.0;74;-7;-48.0;-68.0
678.0;-422.0;-226.0;237.0;-187.0;225.0;355.0;27;205.0;74;-7;-51.0;6.0
576.0;-411.0;?;249.0;-199.0;149.0;409.0;27;145.0;74;?;-31.0;28.0
764.0;-295.0;-83.0;259.0;-209.0;67.0;471.0;27;-101.0;74;-7;-40.0;28.0
1223.0;-268.0;-117.0;271.0;-217.0;-78.0;554.0;27;-324.0;74;-7;-10.0;26.0
-204.0;608.0;-198.0;481.0;-270.0;385.0;62.0;27;-30.0;74;-7;-1.0;230.0
-111.0;641.0;-200.0;474.0;-277.0;371.0;329.0;27;-85.0;?;-7;-11.0;244.0
-139.0;637.0;-195.0;474.0;-278.0;431.0;?;27;-40.0;74;-7;-2.0;227.0
-328.0;576.0;-187.0;482.0;-273.0;515.0;431.0;27;58.0;74;?;26.0;187.0
-540.0;480.0;-204.0;488.0;-279.0;572.0;?;27;148.0;74;-7;-13.0;222.0
-890.0;448.0;-218.0;503.0;-291.0;678.0;352.0;27;283.0;74;-7;2.0;166.0
-1355.0;364.0;-176.0;517.0;-316.0;724.0;413.0;?;?;74;-7;-3.0;144.0
?;?;-178.0;535.0;-338.0;784.0;491.0;27;409.0;74;-7;-21.0;215.0
-2452.0;139.0;-181.0;562.0;-363.0;851.0;586.0;27;374.0;74;-7;-10.0;261.0
-2991.0;46.0;-187.0;594.0;-400.0;791.0;655.0;27;300.0;74;-7;21.0;77.0
-3456.0;-34.0;-208.0;?;?;638.0;779.0;27;216.0;74;-7;38.0;172.0
-3827.0;-146.0;-212.0;639.0;?;537.0;772.0;27;148.0;74;-7;-5.0;114.0
-4085.0;?;-230.0;651.0;-494.0;416.0;751.0;27;72.0;74;-7;-20.0;147.0
-4220.0;-209.0;-229.0;653.0;-506.0;311.0;679.0;27;-14.0;74;-7;-3.0;102.0
-4270.0;-247.0;-231.0;643.0;-509.0;155.0;626.0;27;-80.0;74;-7;10.0;101.0
-4235.0;-182.0;-221.0;614.0;-499.0;2.0;?;27;-131.0;74;-7;17.0;63.0
-3999.0;-171.0;-197.0;567.0;-478.0;-117.0;?;27;-191.0;74;-7;30.0;9.0
-3752.0;-149.0;-204.0;517.0;-447.0;-237.0;452.0;27;-217.0;74;-7;12.0;?
-3432.0;-110.0;?;465.0;-404.0;-347.0;402.0;27;-238.0;74;-7;10.0;-67.0
-3104.0;-43.0;-165.0;403.0;-355.0;-287.0;404.0;27;-265.0;74;-7;10.0;11.0
-2766.0;?;?;344.0;-300.0;-298.0;350.0;27;-266.0;74;-7;5.0;37.0
-2417.0;?;-144.0;282.0;-243.0;-458.0;334.0;27;-167.0;74;-7;-10.0;?
-1776.0;?;-136.0;239.0;-197.0;-408.0;352.0;27;-222.0;74;-7;?;28.0
-1026.0;51.0;-240.0;212.0;-163.0;-52.0;316.0;27;-357.0;74;-7;8.0;51.0
-620.0;-87.0;-255.0;192.0;-143.0;-63.0;293.0;27;-344.0;74;-7;20.0;45.0
-116.0;-168.0;-199.0;182.0;-139.0;21.0;377.0;27;-286.0;74;-7;10.0;62.0
299.0;-237.0;-191.0;185.0;-143.0;68.0;375.0;27;?;74;-7;9.0;38.0
542.0;-359.0;-187.0;195.0;-155.0;124.0;370.0;27;77.0;74;-7;3.0;48.0
678.0;-459.0;-193.0;204.0;-168.0;212.0;352.0;27;62.0;74;-7;32.0;53.0
815.0;-512.0;-187.0;221.0;-184.0;81.0;?;27;?;74;-7;14.0;59.0
1239.0;?;-166.0;237.0;-203.0;-54.0;489.0;27;-284.0;74;-7;12.0;92.0
-529.0;8.0;-175.0;416.0;-176.0;476.0;237.0;27;161.0;74;-7;-13.0;144.0
-847.0;-59.0;-180.0;419.0;-181.0;?;364.0;27;278.0;74;-7;-17.0;208.0
-1305.0;-152.0;-182.0;425.0;-183.0;389.0;507.0;27;356.0;74;-7;-43.0;238.0
-1731.0;44.0;-129.0;429.0;-187.0;354.0;471.0;27;335.0;74;-7;-12.0;138.0
-2071.0;-175.0;-170.0;423.0;-182.0;311.0;527.0;27;292.0;74;-7;0.0;144.0
-2274.0;-203.0;?;408.0;-172.0;218.0;567.0;27;191.0;74;-7;0.0;139.0
-2369.0;-282.0;-142.0;377.0;-161.0;48.0;553.0;27;69.0;74;-7;20.0;167.0
-2205.0;-326.0;-204.0;327.0;-144.0;-14.0;552.0;27;-156.0;74;-7;7.0;136.0
-1850.0;8.0;-179.0;255.0;-122.0;-128.0;532.0;27;?;74;?;2.0;?
-1470.0;?;-194.0;?;-93.0;-342.0;470.0;27;-295.0;74;-7;10.0;89.0
-1199.0;316.0;-190.0;99.0;?;-605.0;395.0;27;-126.0;74;-7;8.0;142.0
-976.0;212.0;-158.0;48.0;-30.0;-770.0;293.0;27;52.0;74;-7;-29.0;78.0
-575.0;113.0;-143.0;22.0;?;-563.0;194.0;27;14.0;74;-7;-42.0;77.0
-129.0;-9.0;-200.0;-12.0;?;-500.0;357.0;27;87.0;74;?;-1.0;106.0
-192.0;-41.0;-153.0;-51.0;102.0;-507.0;361.0;27;367.0;74;-8;?;81.0
-457.0;-45.0;-125.0;-77.0;149.0;-394.0;488.0;27;582.0;74;-8;29.0;93.0
-644.0;-76.0;-172.0;-113.0;194.0;-233.0;249.0;27;571.0;74;-8;7.0;163.0
-775.0;-53.0;-142.0;-148.0;229.0;-26.0;331.0;27;381.0;?;-8;?;141.0
-704.0;2.0;-124.0;-173.0;263.0;11.0;705.0;27;203.0;74;-8;45.0;111.0
-505.0;84.0;-142.0;-180.0;287.0;-30.0;786.0;27;100.0;74;-8;29.0;81.0
-196.0;117.0;-156.0;-181.0;300.0;-43.0;640.0;27;41.0;74;-8;40.0;63.0
143.0;107.0;-101.0;-166.0;?;-14.0;448.0;26;40.0;74;-8;20.0;61.0
346.0;97.0;-75.0;-144.0;313.0;20.0;375.0;24;93.0;74;-8;31.0;82.0
488.0;44.0;-69.0;-126.0;318.0;20.0;275.0;23;123.0;?;-8;51.0;64.0
551.0;-28.0;-64.0;-114.0;314.0;16.0;245.0;23;182.0;74;-8;58.0;33.0
572.0;-80.0;?;-111.0;308.0;11.0;228.0;22;229.0;74;-8;63.0;0.0
547.0;-73.0;-57.0;-115.0;301.0;4.0;242.0;22;?;74;-8;64.0;-17.0
525.0;-68.0;-30.0;-122.0;294.0;4.0;?;22;241.0;74;-8;45.0;-26.0
446.0;-68.0;-11.0;-135.0;285.0;-16.0;365.0;21;206.0;74;-8;?;-30.0
413.0;-66.0;10.0;-143.0;280.0;-23.0;412.0;?;179.0;74;-8;105.0;-28.0
449.0;-46.0;17.0;-146.0;274.0;-48.0;429.0;19;150.0;74;-8;143.0;-38.0
?;-42.0;18.0;-142.0;268.0;-64.0;399.0;19;171.0;74;-8;179.0;-20.0
375.0;-50.0;21.0;-135.0;?;-63.0;354.0;18;185.0;73;-8;283.0;20.0
352.0;-46.0;19.0;-119.0;264.0;-56.0;309.0;18;191.0;73;-8;355.0;?
278.0;-50.0;15.0;-103.0;260.0;-40.0;305.0;18;179.0;73;-8;474.0;88.0
211.0;-26.0;-13.0;-88.0;261.0;-36.0;301.0;18;180.0;73;-8;446.0;95.0
139.0;23.0;-37.0;-74.0;262.0;-37.0;321.0;17;181.0;73;-8;581.0;48.0
51.0;67.0;-79.0;-63.0;264.0;-29.0;306.0;17;190.0;73;-8;53.0;11.0
-40.0;58.0;-92.0;-52.0;269.0;-19.0;313.0;17;191.0;73;-8;-32.0;55.0
-67.0;59.0;-61.0;-39.0;273.0;0.0;323.0;16;185.0;73;-8;-151.0;?
-73.0;70.0;0.0;-30.0;275.0;16.0;333.0;17;162.0;73;-8;3.0;63.0
-95.0;76.0;?;-27.0;280.0;15.0;334.0;17;162.0;73;-8;59.0;47.0
-147.0;50.0;-65.0;-19.0;?;5.0;343.0;17;188.0;73;-8;172.0;27.0
-220.0;22.0;-58.0;-20.0;288.0;6.0;340.0;17;226.0;74;-8;217.0;44.0
-283.0;5.0;-50.0;-19.0;291.0;16.0;329.0;17;230.0;74;-8;312.0;42.0
-326.0;?;-32.0;-12.0;294.0;21.0;340.0;?;228.0;74;-8;335.0;29.0
-392.0;-40.0;-26.0;-15.0;295.0;7.0;331.0;16;207.0;74;-7;286.0;20.0
-385.0;-56.0;-28.0;-18.0;296.0;?;332.0;16;185.0;74;-7;142.0;?
-349.0;-9.0;-26.0;-21.0;297.0;-26.0;338.0;16;?;74;-7;?;49.0
-287.0;14.0;-27.0;-22.0;297.0;-21.0;345.0;15;168.0;74;-7;374.0;69.0
-213.0;64.0;-31.0;-26.0;299.0;-29.0;381.0;15;170.0;74;-7;232.0;89.0
-120.0;-90.0;-38.0;-20.0;296.0;-34.0;?;?;164.0;74;?;285.0;126.0
-41.0;-213.0;-59.0;?;296.0;-52.0;323.0;15;180.0;74;-7;277.0;100.0
-54.0;94.0;-72.0;-4.0;292.0;-80.0;333.0;15;186.0;74;-7;278.0;56.0
102.0;310.0;-97.0;16.0;293.0;-17.0;305.0;15;118.0;74;-7;228.0;224.0
248.0;224.0;-112.0;27.0;290.0;-51.0;314.0;15;?;?;-7;285.0;?
234.0;75.0;-21.0;40.0;287.0;-44.0;269.0;15;161.0;75;-7;352.0;338.0
706.0;-42.0;-111.0;41.0;281.0;-81.0;249.0;15;-47.0;75;-7;?;143.0
794.0;-29.0;-508.0;56.0;276.0;-129.0;326.0;15;139.0;75;-7;341.0;122.0
866.0;-32.0;-334.0;75.0;270.0;-170.0;295.0;15;363.0;75;-7;312.0;80.0
1007.0;6.0;?;76.0;263.0;-30.0;277.0;15;?;?;-7;259.0;69.0
702.0;3.0;-120.0;67.0;251.0;171.0;292.0;15;429.0;75;-7;229.0;59.0
287.0;28.0;?;55.0;240.0;184.0;512.0;15;155.0;75;-7;262.0;48.0
199.0;29.0;-69.0;33.0;232.0;88.0;670.0;15;27.0;75;?;253.0;67.0
245.0;14.0;-58.0;?;227.0;?;529.0;15;19.0;75;-7;309.0;58.0
320.0;-13.0;-66.0;9.0;229.0;67.0;279.0;15;99.0;75;-7;265.0;70.0
275.0;-6.0;-72.0;6.0;236.0;94.0;258.0;15;152.0;75;-7;391.0;88.0
99.0;-35.0;-64.0;7.0;?;93.0;252.0;15;164.0;?;-7;327.0;97.0
-17.0;-46.0;-69.0;14.0;244.0;71.0;261.0;15;143.0;75;-7;425.0;93.0
-108.0;-58.0;-83.0;17.0;248.0;29.0;267.0;15;137.0;75;-7;179.0;86.0
-214.0;-39.0;-95.0;13.0;256.0;-7.0;284.0;15;138.0;75;-7;349.0;104.0
-285.0;-46.0;-97.0;6.0;263.0;-24.0;295.0;15;153.0;74;?;-994.0;96.0
-337.0;-19.0;-92.0;1.0;268.0;-28.0;304.0;15;131.0;74;-7;100.0;84.0
-364.0;-27.0;-100.0;-7.0;275.0;-36.0;304.0;15;109.0;74;-8;0.0;86.0
-338.0;8.0;-97.0;-7.0;276.0;-64.0;303.0;15;?;74;-7;?;97.0
-325.0;2.0;-92.0;-7.0;278.0;-72.0;291.0;15;99.0;74;-8;-18.0;124.0
-261.0;-10.0;-85.0;-15.0;278.0;-78.0;267.0;15;103.0;74;-7;135.0;110.0
-249.0;8.0;-90.0;-16.0;281.0;-76.0;259.0;14;109.0;74;-7;355.0;88.0
-211.0;3.0;-105.0;-20.0;281.0;-87.0;?;14;113.0;74;-7;298.0;68.0
-244.0;13.0;-115.0;-25.0;285.0;-83.0;?;14;?;74;-7;200.0;67.0
-191.0;41.0;-89.0;-31.0;286.0;-56.0;261.0;14;157.0;?;-7;220.0;66.0
-137.0;25.0;-74.0;-33.0;290.0;-38.0;272.0;14;152.0;74;-7;207.0;70.0
-115.0;?;-60.0;-38.0;294.0;-21.0;300.0;14;134.0;75;-7;225.0;74.0
-90.0;-16.0;-62.0;-41.0;298.0;-7.0;313.0;14;126.0;75;-7;220.0;70.0
