InertialMeasurementUnit LUA magneticY;InertialMeasurementUnit BACK magneticZ;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RUA magneticY
156.0;294.0;101.0;511.0;-558.0;464.0;-408.0
128.0;291.0;-99.0;451.0;-503.0;347.0;-446.0
128.0;296.0;-3.0;448.0;-409.0;348.0;-419.0
129.0;294.0;3.0;447.0;-403.0;351.0;-415.0
132.0;295.0;5.0;447.0;-401.0;352.0;-414.0
131.0;294.0;0.0;446.0;-409.0;352.0;-414.0
131.0;291.0;5.0;448.0;-401.0;351.0;-409.0
128.0;291.0;7.0;449.0;-402.0;350.0;-409.0
126.0;289.0;7.0;445.0;-399.0;347.0;-405.0
126.0;289.0;22.0;448.0;-388.0;346.0;-399.0
123.0;288.0;48.0;447.0;-369.0;342.0;-386.0
121.0;288.0;65.0;448.0;-355.0;340.0;-378.0
596.0;454.0;185.0;506.0;-523.0;528.0;-536.0
122.0;286.0;94.0;450.0;-321.0;338.0;-357.0
119.0;285.0;109.0;451.0;-306.0;339.0;-349.0
316.0;459.0;182.0;350.0;-334.0;385.0;-300.0
117.0;282.0;123.0;448.0;-275.0;337.0;-333.0
275.0;201.0;-17.0;541.0;-92.0;535.0;-340.0
106.0;270.0;124.0;445.0;-277.0;331.0;-328.0
760.0;403.0;265.0;409.0;-161.0;489.0;-406.0
323.0;-195.0;828.0;459.0;2.0;212.0;-25.0
582.0;226.0;321.0;378.0;-197.0;425.0;-358.0
100.0;265.0;125.0;447.0;-291.0;326.0;-328.0
99.0;263.0;132.0;446.0;-291.0;323.0;-322.0
96.0;262.0;139.0;447.0;-284.0;320.0;-317.0
95.0;263.0;143.0;445.0;-278.0;317.0;-315.0
89.0;260.0;147.0;444.0;-272.0;316.0;-317.0
87.0;258.0;148.0;446.0;-262.0;313.0;-314.0
81.0;252.0;152.0;447.0;-263.0;305.0;-306.0
78.0;252.0;164.0;445.0;-268.0;302.0;-298.0
79.0;251.0;170.0;446.0;-269.0;302.0;-300.0
78.0;253.0;169.0;447.0;-266.0;307.0;-299.0
78.0;249.0;170.0;446.0;-263.0;304.0;-300.0
79.0;248.0;168.0;447.0;-262.0;307.0;-299.0
333.0;-34.0;492.0;893.0;-613.0;464.0;-344.0
166.0;112.0;517.0;975.0;-814.0;247.0;-497.0
31.0;-90.0;899.0;1111.0;-762.0;112.0;-304.0
114.0;-452.0;1026.0;843.0;-260.0;123.0;123.0
310.0;-238.0;737.0;798.0;-247.0;229.0;-102.0
-42.0;-185.0;451.0;476.0;-118.0;-179.0;43.0
-386.0;-186.0;393.0;476.0;-573.0;-244.0;-32.0
-77.0;-428.0;988.0;929.0;-475.0;-111.0;32.0
