Accelerometer LUA^ accZ;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit BACK accZ;InertialMeasurementUnit LUA accY;InertialMeasurementUnit BACK accX;Accelerometer BACK accZ;Accelerometer HIP accZ;Accelerometer HIP accX;Accelerometer BACK accY
205.0;-102.0;241.0;-166.0;-918.0;-597.0;343.0;-9.0;743.0
204.0;-1.0;205.0;-202.0;-953.0;-530.0;432.0;12.0;829.0
291.0;88.0;192.0;-390.0;-867.0;-461.0;327.0;-108.0;914.0
201.0;31.0;207.0;-203.0;-949.0;-531.0;440.0;5.0;809.0
275.0;-247.0;90.0;-90.0;-956.0;-566.0;464.0;148.0;678.0
211.0;45.0;206.0;-196.0;-948.0;-529.0;414.0;1.0;810.0
304.0;-59.0;233.0;-199.0;-951.0;-532.0;243.0;11.0;869.0
209.0;7.0;206.0;-204.0;-954.0;-528.0;415.0;-10.0;821.0
239.0;58.0;155.0;-347.0;-982.0;-740.0;388.0;-275.0;644.0
196.0;-40.0;149.0;-277.0;-979.0;-638.0;379.0;-80.0;701.0
182.0;-137.0;270.0;-147.0;-915.0;-541.0;299.0;-111.0;859.0
149.0;14.0;69.0;-186.0;-947.0;-445.0;60.0;-145.0;774.0
164.0;-100.0;304.0;-159.0;-883.0;-502.0;298.0;-130.0;861.0
311.0;100.0;243.0;-268.0;-1006.0;-580.0;364.0;-29.0;848.0
188.0;-30.0;301.0;-162.0;-915.0;-517.0;317.0;-125.0;838.0
112.0;6.0;246.0;-118.0;-962.0;-509.0;326.0;-76.0;860.0
107.0;18.0;237.0;-143.0;-952.0;-497.0;307.0;-99.0;859.0
207.0;-8.0;209.0;-201.0;-955.0;-518.0;405.0;-10.0;814.0
181.0;19.0;242.0;-163.0;-942.0;-489.0;311.0;-84.0;879.0
181.0;39.0;242.0;-183.0;-937.0;-487.0;317.0;-90.0;887.0
375.0;-198.0;194.0;-237.0;-1225.0;-864.0;71.0;-544.0;565.0
202.0;-34.0;231.0;-269.0;-967.0;-577.0;281.0;-110.0;681.0
69.0;79.0;235.0;-335.0;-871.0;-625.0;463.0;-104.0;798.0
212.0;7.0;209.0;-213.0;-943.0;-537.0;411.0;3.0;830.0
230.0;49.0;209.0;-220.0;-957.0;-452.0;365.0;0.0;901.0
239.0;110.0;171.0;-136.0;-975.0;-389.0;401.0;-4.0;922.0
206.0;122.0;164.0;-150.0;-985.0;-423.0;396.0;-23.0;923.0
188.0;13.0;213.0;-206.0;-950.0;-543.0;394.0;-8.0;821.0
214.0;1.0;215.0;-198.0;-947.0;-538.0;393.0;-2.0;818.0
52.0;-3.0;119.0;-260.0;-953.0;-512.0;363.0;-196.0;702.0
202.0;8.0;219.0;-204.0;-945.0;-520.0;409.0;3.0;819.0
222.0;-40.0;88.0;-202.0;-888.0;-614.0;415.0;-30.0;566.0
217.0;66.0;157.0;-228.0;-971.0;-495.0;359.0;-49.0;875.0
258.0;162.0;144.0;-256.0;-989.0;-459.0;367.0;17.0;913.0
282.0;85.0;63.0;-426.0;-928.0;-384.0;377.0;3.0;920.0
145.0;-206.0;386.0;-128.0;-871.0;-629.0;194.0;-51.0;751.0
345.0;18.0;180.0;-308.0;-967.0;-503.0;376.0;-36.0;874.0
714.0;-247.0;312.0;-684.0;-953.0;-756.0;571.0;-40.0;675.0
205.0;116.0;211.0;-226.0;-1072.0;-593.0;368.0;-100.0;718.0
319.0;-86.0;253.0;-345.0;-934.0;-697.0;342.0;5.0;761.0
186.0;42.0;176.0;-170.0;-977.0;-624.0;350.0;-48.0;748.0
238.0;2.0;158.0;-206.0;-981.0;-508.0;357.0;9.0;853.0
66.0;521.0;329.0;-178.0;-905.0;-460.0;84.0;-30.0;803.0
254.0;-125.0;243.0;-47.0;-926.0;-878.0;402.0;-31.0;1059.0
190.0;-13.0;221.0;-200.0;-942.0;-521.0;388.0;-15.0;819.0
97.0;78.0;129.0;-281.0;-1170.0;-399.0;425.0;-119.0;790.0
203.0;6.0;220.0;-200.0;-944.0;-540.0;400.0;-14.0;810.0
132.0;-26.0;58.0;-328.0;-1023.0;-467.0;413.0;-82.0;875.0
103.0;-26.0;21.0;-341.0;-923.0;-560.0;353.0;-331.0;709.0
312.0;5.0;123.0;-248.0;-896.0;-491.0;324.0;-51.0;784.0
245.0;-102.0;156.0;-227.0;-862.0;-438.0;415.0;-76.0;753.0
-62.0;112.0;403.0;241.0;-928.0;-420.0;155.0;-49.0;670.0
151.0;-38.0;230.0;-161.0;-966.0;-581.0;303.0;-116.0;779.0
373.0;-100.0;124.0;-323.0;-1009.0;-619.0;263.0;-125.0;701.0
198.0;-3.0;222.0;-209.0;-947.0;-547.0;375.0;-9.0;816.0
213.0;11.0;223.0;-214.0;-940.0;-533.0;385.0;0.0;810.0
266.0;-31.0;365.0;-217.0;-995.0;-633.0;340.0;-122.0;828.0
215.0;-11.0;224.0;-214.0;-944.0;-542.0;384.0;-1.0;808.0
165.0;-233.0;212.0;-184.0;-946.0;-570.0;332.0;22.0;817.0
207.0;1.0;223.0;-199.0;-948.0;-535.0;374.0;-23.0;812.0
212.0;16.0;219.0;-193.0;-943.0;-542.0;386.0;-7.0;808.0
191.0;-21.0;209.0;-161.0;-940.0;-569.0;369.0;-12.0;810.0
187.0;-22.0;218.0;-180.0;-946.0;-550.0;371.0;-12.0;809.0
446.0;-138.0;589.0;-399.0;-834.0;-888.0;288.0;-277.0;519.0
266.0;-103.0;65.0;-387.0;-810.0;-925.0;341.0;21.0;969.0
183.0;-189.0;234.0;-144.0;-1002.0;-560.0;369.0;-73.0;791.0
174.0;-12.0;218.0;-184.0;-941.0;-548.0;352.0;-20.0;810.0
42.0;-175.0;244.0;142.0;-900.0;-593.0;394.0;-127.0;844.0
218.0;-60.0;255.0;-159.0;-945.0;-537.0;394.0;-51.0;843.0
212.0;3.0;208.0;-198.0;-949.0;-527.0;419.0;16.0;838.0
267.0;-72.0;234.0;-194.0;-965.0;-545.0;421.0;-171.0;817.0
271.0;-4.0;237.0;-225.0;-963.0;-568.0;411.0;-148.0;842.0
226.0;93.0;227.0;-130.0;-956.0;-540.0;384.0;-136.0;847.0
204.0;-16.0;223.0;-228.0;-955.0;-544.0;422.0;-72.0;843.0
215.0;108.0;233.0;-214.0;-967.0;-531.0;385.0;-84.0;865.0
236.0;-58.0;201.0;-238.0;-926.0;-582.0;338.0;1.0;824.0
153.0;180.0;230.0;-1.0;-930.0;-391.0;382.0;-57.0;944.0
234.0;-25.0;204.0;-166.0;-935.0;-550.0;332.0;6.0;852.0
