InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
-127.0;-266.0;42.0;-268.0;107.0;45.0;-215.0
-36.0;-303.0;-33.0;-333.0;161.0;120.0;-310.0
-385.0;-630.0;-67.0;-459.0;290.0;196.0;-155.0
-54.0;-327.0;0.0;-235.0;117.0;85.0;-200.0
-170.0;-446.0;99.0;-178.0;6.0;-166.0;-206.0
-53.0;-298.0;54.0;-264.0;85.0;30.0;-274.0
-186.0;-411.0;-36.0;-396.0;210.0;187.0;-301.0
321.0;395.0;-62.0;256.0;-47.0;-31.0;128.0
101.0;-176.0;13.0;-229.0;93.0;37.0;-85.0
241.0;232.0;503.0;187.0;-498.0;-549.0;358.0
-42.0;-279.0;121.0;-248.0;55.0;-4.0;-235.0
-60.0;-225.0;94.0;-241.0;69.0;-13.0;-169.0
-81.0;-236.0;76.0;-247.0;79.0;7.0;-181.0
54.0;-217.0;-29.0;-284.0;225.0;49.0;-184.0
-52.0;-299.0;20.0;-385.0;230.0;24.0;-287.0
-354.0;-586.0;-156.0;-612.0;681.0;332.0;-527.0
-99.0;-380.0;58.0;-236.0;60.0;42.0;-271.0
155.0;-79.0;313.0;124.0;-292.0;-206.0;39.0
-50.0;-336.0;-45.0;-260.0;199.0;78.0;-246.0
-238.0;-459.0;-195.0;-635.0;630.0;272.0;-380.0
29.0;-188.0;128.0;-65.0;-71.0;-68.0;-100.0
58.0;-272.0;37.0;-283.0;125.0;39.0;-222.0
-341.0;-201.0;60.0;-206.0;109.0;-105.0;-434.0
-242.0;-277.0;21.0;-285.0;128.0;66.0;-278.0
-155.0;-265.0;38.0;-277.0;115.0;15.0;-251.0
-564.0;-506.0;259.0;-731.0;547.0;-269.0;184.0
-36.0;-310.0;495.0;-728.0;283.0;-301.0;-222.0
-260.0;-608.0;653.0;-605.0;-59.0;-605.0;-451.0
-157.0;-310.0;110.0;-262.0;76.0;-84.0;-279.0
-101.0;-294.0;94.0;-263.0;80.0;-50.0;-271.0
-312.0;-380.0;32.0;-271.0;52.0;92.0;-155.0
-383.0;-389.0;-78.0;-340.0;206.0;158.0;-232.0
-198.0;-57.0;152.0;-339.0;-27.0;-57.0;-82.0
-217.0;-448.0;23.0;-330.0;165.0;-91.0;-142.0
-70.0;-240.0;62.0;-257.0;92.0;22.0;-173.0
-31.0;-233.0;47.0;-271.0;73.0;61.0;-172.0
-63.0;-240.0;59.0;-263.0;98.0;23.0;-174.0
-73.0;-244.0;54.0;-268.0;102.0;24.0;-177.0
-84.0;-245.0;56.0;-268.0;102.0;23.0;-180.0
-86.0;-246.0;56.0;-268.0;102.0;23.0;-179.0
-287.0;-427.0;-169.0;-530.0;396.0;186.0;-370.0
-79.0;-266.0;38.0;-265.0;106.0;18.0;-166.0
-85.0;-246.0;54.0;-262.0;97.0;25.0;-182.0
-87.0;-245.0;55.0;-260.0;95.0;25.0;-181.0
-73.0;-241.0;55.0;-258.0;92.0;25.0;-178.0
-69.0;-239.0;56.0;-256.0;91.0;25.0;-178.0
-80.0;-243.0;56.0;-254.0;89.0;26.0;-182.0
-143.0;-347.0;0.0;-536.0;235.0;15.0;-21.0
-279.0;-353.0;-67.0;-672.0;389.0;78.0;-263.0
20.0;-246.0;79.0;-391.0;180.0;-2.0;-166.0
96.0;-152.0;212.0;-295.0;26.0;-184.0;-69.0
135.0;-77.0;199.0;-62.0;-129.0;-118.0;9.0
-37.0;-248.0;51.0;-259.0;96.0;0.0;-156.0
3.0;-233.0;68.0;-240.0;75.0;-12.0;-117.0
-91.0;-246.0;56.0;-252.0;88.0;25.0;-184.0
-79.0;-244.0;58.0;-251.0;86.0;24.0;-182.0
-81.0;-244.0;58.0;-251.0;85.0;23.0;-184.0
-90.0;-246.0;59.0;-251.0;85.0;22.0;-186.0
-87.0;-245.0;60.0;-251.0;84.0;19.0;-185.0
-86.0;-244.0;61.0;-251.0;85.0;18.0;-185.0
-230.0;-186.0;191.0;-422.0;149.0;-238.0;125.0
-71.0;-308.0;98.0;-167.0;2.0;-11.0;-283.0
476.0;562.0;570.0;610.0;-817.0;-672.0;716.0
-107.0;-249.0;61.0;-252.0;85.0;17.0;-189.0
-106.0;-251.0;62.0;-252.0;85.0;17.0;-187.0
-379.0;-162.0;244.0;-62.0;-174.0;-256.0;-143.0
-293.0;-564.0;82.0;-310.0;86.0;75.0;151.0
-109.0;-254.0;60.0;-253.0;87.0;18.0;-183.0
-161.0;-383.0;24.0;-351.0;155.0;121.0;-256.0
-109.0;-258.0;60.0;-253.0;88.0;19.0;-185.0
-297.0;-336.0;-73.0;-276.0;60.0;145.0;-213.0
-142.0;-354.0;43.0;-324.0;119.0;98.0;-232.0
-46.0;-316.0;22.0;-306.0;124.0;69.0;-288.0
-117.0;-257.0;60.0;-254.0;88.0;20.0;-183.0
-183.0;-277.0;40.0;-238.0;44.0;9.0;-195.0
-125.0;-254.0;60.0;-253.0;87.0;18.0;-186.0
-103.0;-253.0;60.0;-254.0;88.0;20.0;-178.0
-97.0;-254.0;60.0;-254.0;88.0;20.0;-180.0
-109.0;-256.0;61.0;-254.0;88.0;20.0;-182.0
-146.0;-275.0;62.0;-225.0;71.0;12.0;-142.0
-96.0;-254.0;62.0;-253.0;86.0;18.0;-175.0
-98.0;-255.0;62.0;-252.0;86.0;17.0;-177.0
31.0;-332.0;206.0;-121.0;-89.0;-112.0;211.0
-133.0;-340.0;89.0;-191.0;-3.0;13.0;92.0
-118.0;-301.0;217.0;-59.0;-172.0;-196.0;42.0
-93.0;-252.0;63.0;-253.0;86.0;18.0;-179.0
-69.0;-347.0;63.0;-297.0;100.0;58.0;-241.0
-304.0;-462.0;-163.0;-494.0;406.0;325.0;-540.0
-438.0;-368.0;-47.0;-382.0;238.0;130.0;-352.0
-102.0;-257.0;63.0;-254.0;87.0;18.0;-183.0
-81.0;-338.0;88.0;-289.0;87.0;2.0;-239.0
-114.0;-257.0;60.0;-257.0;91.0;24.0;-194.0
-114.0;-258.0;55.0;-260.0;96.0;29.0;-196.0
202.0;465.0;148.0;493.0;-340.0;-251.0;417.0
-240.0;-231.0;-605.0;-294.0;559.0;611.0;-496.0
