InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit BACK gyroZ
-235.0;1321;4;-1622;815.0;-367.0;-250.0;252;-1622;1321;-235.0;104.0
-229.0;-217;-599;-857;942.0;46.0;-370.0;256;-857;-217;24.0;306.0
-112.0;13;3;-18;198.0;-64.0;-68.0;303;-18;13;-12.0;18.0
-37.0;5;2;3;-6.0;2.0;13.0;280;3;5;-2.0;-9.0
31.0;270;0;-202;52.0;-19.0;86.0;272;-202;270;-122.0;63.0
-83.0;4;0;4;71.0;-54.0;-38.0;270;4;4;-24.0;5.0
-42.0;8;8;28;318.0;-230.0;-65.0;255;28;8;-304.0;24.0
-60.0;5;-1;-4;38.0;-3.0;-59.0;292;-4;5;-17.0;-10.0
-132.0;-17;4;-6;1.0;-69.0;-81.0;281;-6;-17;-40.0;25.0
-505.0;2678;-67;-2345;229.0;-378.0;-460.0;270;-2345;2678;-896.0;280.0
584.0;-1478;-84;1923;-46.0;63.0;582.0;246;1923;-1478;659.0;-138.0
-59.0;4;1;-6;49.0;8.0;-23.0;270;-6;4;0.0;-5.0
-109.0;31;50;-10;-19.0;-89.0;-83.0;438;-10;31;-132.0;9.0
6.0;-11;7;-20;23.0;-21.0;18.0;252;-20;-11;-104.0;-25.0
82.0;-25;-4;-13;-106.0;38.0;91.0;262;-13;-25;92.0;-127.0
-85.0;-51;0;2;40.0;-12.0;-7.0;293;2;-51;1.0;2.0
-72.0;-12;2;-5;33.0;-37.0;-42.0;289;-5;-12;16.0;-10.0
-548.0;-85;-1193;14;-485.0;-105.0;-319.0;514;14;-85;127.0;-311.0
245.0;-2545;100;-600;-187.0;345.0;385.0;389;-600;-2545;315.0;-240.0
-134.0;17;-298;-28;18.0;-35.0;236.0;285;-28;17;-58.0;324.0
-237.0;12;0;-7;68.0;-202.0;-253.0;341;-7;12;-160.0;25.0
-192.0;10;-1;24;79.0;-77.0;-212.0;277;24;10;25.0;23.0
-5.0;9;-4;-14;232.0;12.0;47.0;286;-14;9;-315.0;43.0
-103.0;-47;-2;-21;58.0;-30.0;-55.0;256;-21;-47;60.0;-2.0
-86.0;6;7;-24;-13.0;-15.0;-63.0;253;-24;6;66.0;2.0
-98.0;-8;4;3;52.0;-34.0;-45.0;277;3;-8;59.0;-3.0
-100.0;34;5;-6;27.0;-64.0;-66.0;309;-6;34;-47.0;12.0
159.0;-801;5;-991;-162.0;284.0;203.0;263;-991;-801;264.0;-1.0
-358.0;61;-14;-20;288.0;63.0;415.0;256;-20;61;309.0;-353.0
-55.0;-1;1;17;42.0;-16.0;-32.0;219;17;-1;44.0;-7.0
-30.0;-32;0;-13;-157.0;-13.0;-17.0;223;-13;-32;396.0;-31.0
82.0;-16;-2;17;371.0;36.0;102.0;278;17;-16;165.0;-54.0
101.0;-9;3;18;1489.0;103.0;28.0;214;18;-9;98.0;-19.0
-178.0;858;42;-804;-10.0;-267.0;-112.0;331;-804;858;-180.0;-71.0
484.0;11;0;-14;59.0;-103.0;-11.0;220;-14;11;-2.0;17.0
112.0;4576;57;-582;-202.0;-434.0;24.0;246;-582;4576;-114.0;198.0
-43.0;-10;-2;9;146.0;-28.0;-38.0;214;9;-10;74.0;-6.0
295.0;2;7;-16;-80.0;295.0;324.0;281;-16;2;307.0;-36.0
1820.0;-628;-125;2065;-511.0;529.0;1454.0;253;2065;-628;655.0;-175.0
1414.0;-7;7;-26;-8.0;34.0;52.0;215;-26;-7;-6.0;-74.0
399.0;1118;122;-1330;-462.0;382.0;183.0;255;-1330;1118;301.0;-129.0
-57.0;-28;8;28;-535.0;76.0;11.0;250;28;-28;-302.0;-15.0
45.0;6;6;16;-25.0;-207.0;-77.0;158;16;6;-113.0;-13.0
-742.0;-14;-2;-18;-49.0;2.0;-59.0;216;-18;-14;103.0;-19.0
418.0;-1879;-286;-2675;-781.0;507.0;135.0;260;-2675;-1879;947.0;-5.0
412.0;-39;59;35;92.0;330.0;512.0;190;35;-39;-257.0;-102.0
-175.0;-7;-7;-35;-1982.0;-225.0;-154.0;258;-35;-7;-263.0;-82.0
-101.0;-17;28;90;-374.0;62.0;280.0;257;90;-17;232.0;-117.0
-98.0;22;3;-5;94.0;-14.0;-47.0;223;-5;22;32.0;-26.0
-1332.0;-71;-1686;-87;1103.0;-527.0;-1296.0;357;-87;-71;-780.0;438.0
-50.0;-35;-1;-6;29.0;-23.0;-28.0;216;-6;-35;12.0;20.0
-2238.0;-1;4;-26;145.0;94.0;-131.0;283;-26;-1;118.0;88.0
-123.0;-29;3;10;-426.0;-263.0;-81.0;224;10;-29;-1051.0;16.0
-90.0;136;1007;-74;-515.0;13.0;24.0;117;-74;136;375.0;-443.0
-369.0;-17;296;-689;-775.0;285.0;-286.0;-757;-689;-17;-10.0;104.0
121.0;1606;76;-2765;-617.0;278.0;293.0;133;-2765;1606;290.0;-232.0
-264.0;14;-3;-8;-346.0;-46.0;-262.0;306;-8;14;68.0;74.0
-19.0;-15;10;-28;61.0;96.0;109.0;275;-28;-15;-16.0;-69.0
-39.0;-9;-58;-7;223.0;46.0;77.0;475;-7;-9;-110.0;51.0
-73.0;14;3;-22;-188.0;-157.0;-99.0;218;-22;14;-601.0;76.0
-766.0;61;740;-36;-207.0;-349.0;-796.0;-115;-36;61;-392.0;-206.0
-68.0;-20;4;5;-16.0;16.0;-30.0;220;5;-20;-2.0;4.0
-62.0;-9;-1;5;50.0;-11.0;-30.0;217;5;-9;34.0;-26.0
124.0;24;0;0;25.0;14.0;-36.0;214;0;24;-4.0;-11.0
-212.0;29;-3;-5;602.0;-121.0;-221.0;279;-5;29;354.0;15.0
11.0;-1;-8;-6;-115.0;169.0;92.0;306;-6;-1;177.0;13.0
-160.0;-7;-4;3;591.0;-151.0;16.0;245;3;-7;-959.0;181.0
-207.0;-6;-5;-26;-564.0;103.0;-135.0;267;-26;-6;566.0;-62.0
5.0;-29;2;-6;48.0;-28.0;58.0;279;-6;-29;37.0;-31.0
-112.0;-17;5;4;49.0;-18.0;-64.0;286;4;-17;-235.0;56.0
98.0;-385;1302;-554;-151.0;449.0;75.0;1794;-554;-385;443.0;-6.0
-90.0;17;1;2;14.0;-9.0;-34.0;222;2;17;-3.0;-4.0
-112.0;-1;0;-21;1.0;-37.0;-48.0;219;-21;-1;17.0;0.0
122.0;-8;1;-2;99.0;3.0;-65.0;265;-2;-8;36.0;140.0
-409.0;-1092;-179;-444;345.0;-164.0;-506.0;326;-444;-1092;-345.0;225.0
-142.0;-20;0;20;-46.0;-40.0;24.0;217;20;-20;-15.0;-28.0
594.0;-2971;-66;1387;-305.0;356.0;233.0;234;1387;-2971;346.0;94.0
-54.0;31;5;-10;46.0;-26.0;-5.0;221;-10;31;1.0;-4.0
-78.0;-3;5;27;-12.0;-12.0;-34.0;220;27;-3;22.0;17.0
699.0;-1296;-13;-1017;-495.0;565.0;886.0;115;-1017;-1296;1027.0;-227.0
-1530.0;301;-64;2126;72.0;-1145.0;-1341.0;234;2126;301;-991.0;726.0
-942.0;-257;-186;-1301;-220.0;-152.0;-758.0;292;-1301;-257;-199.0;248.0
-445.0;18;-84;-6;402.0;-168.0;-239.0;254;-6;18;-545.0;98.0
12.0;-17;-9;17;-93.0;129.0;166.0;269;17;-17;1182.0;-217.0
-529.0;-4;-5;-7;-217.0;-494.0;-427.0;305;-7;-4;-238.0;91.0
-57.0;-30;-5;10;34.0;4.0;-20.0;220;10;-30;0.0;-24.0
1440.0;27;3;-22;-208.0;982.0;1217.0;268;-22;27;561.0;-239.0
-27.0;-1;-4;18;46.0;7.0;-41.0;219;18;-1;37.0;4.0
-2.0;-38;-411;39;-129.0;246.0;126.0;-526;39;-38;165.0;-174.0
15.0;5;122;-51;30.0;38.0;29.0;606;-51;5;88.0;60.0
-243.0;4;35;-30;994.0;-591.0;-563.0;340;-30;4;-639.0;182.0
-1530.0;15;-21;-18;694.0;-1048.0;-1380.0;369;-18;15;-1448.0;343.0
-234.0;1729;3;2435;137.0;-738.0;-243.0;233;2435;1729;-96.0;177.0
-91.0;-6;-2;4;-131.0;-22.0;-33.0;215;4;-6;-51.0;-14.0
108.0;-22;-1;4;-104.0;-29.0;42.0;217;4;-22;129.0;-60.0
177.0;10;42;3;782.0;111.0;10.0;301;3;10;-120.0;74.0
135.0;-4;-1;-8;-123.0;2.0;123.0;214;-8;-4;10.0;-2.0
-148.0;-60;-33;14;49.0;92.0;-67.0;264;14;-60;272.0;-58.0
603.0;3;39;-20;-845.0;600.0;649.0;271;-20;3;928.0;-147.0
-38.0;-14;0;14;-335.0;35.0;-63.0;302;14;-14;122.0;-25.0
