InertialMeasurementUnit RUA accX;Accelerometer RUA_ accY;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit RLA accX;Accelerometer RUA_ accX;Accelerometer RKN^ accX;Accelerometer RKN^ accZ;InertialMeasurementUnit LLA magneticZ;InertialMeasurementUnit LUA accX;InertialMeasurementUnit RUA accY;Accelerometer RWR accX;Accelerometer RUA^ accX
-947.0;990.0;571.0;-855.0;251.0;242.0;396.0;-184.0;-738.0;-265.0;135.0;49.0
-976.0;830.0;46.0;-675.0;625.0;207.0;111.0;432.0;-870.0;35.0;162.0;164.0
-1009.0;706.0;229.0;-877.0;195.0;265.0;85.0;-79.0;-838.0;56.0;-230.0;314.0
-994.0;1005.0;51.0;-905.0;78.0;226.0;283.0;-20.0;-838.0;22.0;-83.0;188.0
-887.0;1018.0;-111.0;-888.0;106.0;222.0;392.0;-207.0;-734.0;-397.0;8.0;-63.0
-1000.0;1009.0;-55.0;-938.0;183.0;222.0;444.0;5.0;-842.0;-88.0;-220.0;69.0
-966.0;1030.0;-270.0;-878.0;140.0;189.0;324.0;23.0;-905.0;10.0;-79.0;181.0
-939.0;1050.0;-334.0;-794.0;206.0;297.0;577.0;-176.0;-942.0;11.0;-352.0;-17.0
-976.0;961.0;-19.0;-799.0;287.0;603.0;694.0;113.0;-847.0;5.0;-73.0;6.0
-1104.0;1215.0;-819.0;-962.0;244.0;567.0;588.0;-3.0;-1172.0;372.0;-211.0;226.0
-1061.0;942.0;99.0;-927.0;134.0;247.0;419.0;129.0;-817.0;123.0;-90.0;89.0
-990.0;664.0;692.0;-350.0;636.0;251.0;88.0;461.0;-901.0;138.0;-63.0;75.0
-929.0;868.0;-74.0;-740.0;305.0;53.0;313.0;-198.0;-876.0;-129.0;-261.0;-121.0
-1032.0;1047.0;-1014.0;-872.0;172.0;386.0;508.0;110.0;-794.0;-64.0;-174.0;-243.0
-821.0;1433.0;159.0;-619.0;183.0;176.0;554.0;150.0;-809.0;235.0;-454.0;-253.0
-784.0;978.0;378.0;-703.0;190.0;325.0;337.0;132.0;-838.0;35.0;-521.0;-79.0
-992.0;1119.0;244.0;-897.0;40.0;1338.0;1047.0;-8.0;-874.0;144.0;-460.0;-280.0
-990.0;1063.0;-187.0;-838.0;181.0;254.0;-8.0;243.0;-971.0;244.0;-314.0;54.0
-998.0;1081.0;147.0;-739.0;262.0;273.0;17.0;239.0;-983.0;376.0;-476.0;132.0
-905.0;944.0;-225.0;-788.0;94.0;117.0;258.0;139.0;-643.0;126.0;-141.0;107.0
-982.0;886.0;831.0;-808.0;293.0;263.0;50.0;464.0;-681.0;-17.0;-121.0;137.0
-976.0;962.0;417.0;-863.0;146.0;-299.0;-163.0;53.0;-803.0;79.0;-214.0;122.0
-1067.0;1112.0;65.0;-992.0;48.0;277.0;134.0;135.0;-1016.0;104.0;-243.0;47.0
-925.0;1039.0;20.0;-784.0;27.0;384.0;84.0;243.0;-915.0;68.0;-226.0;-75.0
-1060.0;858.0;104.0;-911.0;496.0;232.0;100.0;204.0;-928.0;-214.0;-275.0;-63.0
-923.0;925.0;-289.0;-350.0;326.0;174.0;229.0;141.0;-978.0;-17.0;-289.0;20.0
-718.0;879.0;269.0;-579.0;330.0;230.0;68.0;539.0;-795.0;-387.0;-40.0;-157.0
-989.0;827.0;-204.0;-661.0;543.0;349.0;210.0;130.0;-983.0;-156.0;171.0;-28.0
-1024.0;834.0;1340.0;-784.0;538.0;185.0;232.0;161.0;-966.0;63.0;54.0;229.0
-980.0;825.0;-122.0;-428.0;508.0;358.0;231.0;-349.0;-855.0;433.0;-104.0;353.0
-921.0;800.0;-107.0;-508.0;561.0;382.0;261.0;-348.0;-840.0;217.0;-133.0;354.0
-850.0;724.0;485.0;-541.0;494.0;338.0;149.0;-642.0;-905.0;111.0;-177.0;185.0
-980.0;558.0;20.0;-182.0;816.0;213.0;-19.0;-382.0;-818.0;179.0;37.0;263.0
-966.0;685.0;118.0;-477.0;764.0;354.0;185.0;-357.0;-834.0;342.0;-127.0;253.0
-1073.0;830.0;-149.0;-488.0;684.0;341.0;188.0;-325.0;-868.0;7.0;313.0;268.0
-964.0;898.0;202.0;-366.0;439.0;311.0;368.0;-332.0;-859.0;268.0;-82.0;294.0
-908.0;834.0;-43.0;-661.0;322.0;-56.0;871.0;-576.0;-802.0;243.0;-346.0;102.0
-632.0;185.0;2.0;234.0;907.0;492.0;851.0;-610.0;-736.0;607.0;-412.0;-58.0
-659.0;-130.0;-3.0;518.0;832.0;457.0;891.0;-568.0;-607.0;687.0;-168.0;91.0
-1066.0;875.0;-71.0;-732.0;438.0;278.0;94.0;379.0;-819.0;2.0;45.0;243.0
-833.0;853.0;46.0;-688.0;209.0;412.0;238.0;193.0;-949.0;227.0;-463.0;68.0
-852.0;925.0;170.0;-727.0;183.0;258.0;103.0;189.0;-990.0;191.0;-400.0;80.0
-1066.0;1105.0;-609.0;-937.0;-127.0;1394.0;328.0;-324.0;-992.0;205.0;-304.0;-90.0
-966.0;841.0;-103.0;-693.0;521.0;167.0;284.0;380.0;-843.0;333.0;-199.0;-158.0
-924.0;701.0;380.0;-371.0;718.0;280.0;580.0;570.0;-846.0;403.0;-419.0;26.0
-984.0;773.0;198.0;-677.0;516.0;218.0;390.0;383.0;-805.0;337.0;-47.0;84.0
-1036.0;792.0;-29.0;-712.0;615.0;361.0;118.0;528.0;-821.0;286.0;-181.0;192.0
-1050.0;754.0;-45.0;-735.0;652.0;306.0;94.0;413.0;-769.0;196.0;-46.0;121.0
-606.0;1232.0;348.0;-516.0;76.0;329.0;137.0;-78.0;-947.0;277.0;-303.0;97.0
-825.0;923.0;-286.0;-786.0;75.0;-170.0;26.0;29.0;-1044.0;18.0;-531.0;-307.0
-838.0;1118.0;-447.0;-688.0;185.0;511.0;25.0;-132.0;-916.0;273.0;-291.0;-1.0
-816.0;765.0;-247.0;-517.0;465.0;309.0;195.0;743.0;-721.0;195.0;430.0;501.0
-1046.0;947.0;93.0;-620.0;407.0;283.0;128.0;444.0;-768.0;108.0;-137.0;112.0
-1054.0;1062.0;133.0;-917.0;185.0;-3.0;413.0;713.0;-883.0;-130.0;25.0;127.0
-1043.0;938.0;28.0;-625.0;504.0;121.0;94.0;431.0;-903.0;174.0;-121.0;110.0
-880.0;548.0;382.0;-672.0;570.0;499.0;873.0;-55.0;-984.0;308.0;-36.0;390.0
-873.0;1209.0;-204.0;-721.0;324.0;209.0;133.0;64.0;-1097.0;213.0;-301.0;-100.0
-889.0;867.0;384.0;-819.0;151.0;241.0;69.0;84.0;-904.0;51.0;-364.0;-93.0
-913.0;835.0;658.0;-900.0;200.0;290.0;42.0;-92.0;-929.0;-136.0;-375.0;-111.0
-926.0;931.0;39.0;-774.0;175.0;219.0;-7.0;-136.0;-1058.0;131.0;-379.0;-271.0
-1307.0;1102.0;169.0;-1235.0;5.0;66.0;-254.0;-300.0;-1181.0;121.0;-242.0;109.0
-1250.0;1151.0;-655.0;-1125.0;48.0;540.0;-723.0;-3.0;-1210.0;155.0;-371.0;-206.0
-885.0;1099.0;295.0;-693.0;135.0;185.0;156.0;82.0;-1009.0;292.0;-49.0;193.0
-1104.0;596.0;-249.0;-283.0;460.0;-17.0;898.0;495.0;-1289.0;205.0;249.0;187.0
-958.0;949.0;186.0;-871.0;110.0;339.0;168.0;24.0;-941.0;12.0;-411.0;-97.0
-943.0;716.0;-22.0;-461.0;620.0;347.0;221.0;305.0;-955.0;-373.0;15.0;40.0
-965.0;614.0;-78.0;-304.0;720.0;333.0;327.0;99.0;-960.0;-146.0;2.0;217.0
-1002.0;599.0;107.0;-388.0;785.0;277.0;397.0;62.0;-934.0;-116.0;-89.0;201.0
-1055.0;447.0;76.0;-27.0;873.0;265.0;139.0;-196.0;-898.0;-59.0;-10.0;12.0
-978.0;604.0;-9.0;-254.0;773.0;281.0;387.0;187.0;-945.0;-87.0;-143.0;218.0
-1063.0;1188.0;-260.0;-935.0;237.0;-15.0;-222.0;-321.0;-758.0;106.0;-356.0;-64.0
-886.0;1016.0;241.0;-723.0;306.0;237.0;-13.0;-148.0;-1002.0;131.0;-429.0;-56.0
-998.0;603.0;-13.0;-276.0;793.0;268.0;410.0;54.0;-921.0;-27.0;-102.0;170.0
-792.0;249.0;-212.0;-3.0;832.0;-35.0;746.0;280.0;-957.0;391.0;-603.0;-208.0
-855.0;-151.0;27.0;550.0;940.0;441.0;890.0;-616.0;-584.0;485.0;-88.0;189.0
-993.0;698.0;-123.0;-279.0;824.0;269.0;406.0;65.0;-940.0;68.0;-11.0;40.0
-874.0;665.0;-37.0;-276.0;918.0;431.0;230.0;560.0;-983.0;140.0;405.0;361.0
-985.0;770.0;-111.0;-264.0;680.0;261.0;386.0;84.0;-942.0;86.0;42.0;71.0
-992.0;566.0;-127.0;-257.0;834.0;264.0;382.0;63.0;-943.0;46.0;-171.0;103.0
-962.0;906.0;173.0;-753.0;323.0;270.0;89.0;503.0;-1030.0;344.0;-366.0;-42.0
-941.0;990.0;62.0;-825.0;229.0;224.0;252.0;574.0;-983.0;106.0;-311.0;-105.0
-935.0;946.0;-91.0;-704.0;385.0;232.0;108.0;496.0;-946.0;364.0;-455.0;-62.0
-965.0;886.0;-128.0;-702.0;260.0;248.0;89.0;480.0;-917.0;222.0;-461.0;-74.0
-968.0;988.0;-591.0;-833.0;327.0;216.0;162.0;548.0;-953.0;228.0;-411.0;-62.0
-1015.0;952.0;-670.0;-657.0;552.0;223.0;-9.0;433.0;-941.0;107.0;261.0;163.0
-1025.0;1017.0;-188.0;-642.0;306.0;320.0;154.0;452.0;-794.0;224.0;-117.0;139.0
-939.0;989.0;34.0;-592.0;548.0;344.0;157.0;404.0;-778.0;310.0;164.0;56.0
-1019.0;907.0;284.0;-618.0;482.0;198.0;104.0;314.0;-822.0;176.0;-195.0;123.0
-1001.0;897.0;223.0;-603.0;502.0;222.0;214.0;314.0;-826.0;160.0;-12.0;113.0
-890.0;909.0;25.0;-762.0;168.0;147.0;588.0;577.0;-931.0;116.0;-338.0;-56.0
-993.0;895.0;162.0;-590.0;547.0;161.0;152.0;311.0;-826.0;172.0;-89.0;92.0
