InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
674.0;367.0;-296.0;529.0;86.0;-583.0;-448.0
666.0;?;-301.0;550.0;76.0;-583.0;-469.0
663.0;378.0;-296.0;575.0;68.0;-578.0;?
669.0;380.0;-294.0;585.0;66.0;-582.0;?
678.0;382.0;-294.0;587.0;72.0;-596.0;?
686.0;383.0;-294.0;?;81.0;-611.0;-459.0
692.0;384.0;-294.0;567.0;94.0;-620.0;-445.0
699.0;385.0;-292.0;?;110.0;-627.0;?
704.0;383.0;-287.0;524.0;127.0;-635.0;?
302.0;390.0;-249.0;-196.0;700.0;-246.0;251.0
304.0;390.0;-251.0;-196.0;702.0;-246.0;251.0
307.0;391.0;-252.0;-192.0;705.0;-246.0;?
313.0;391.0;-254.0;-188.0;710.0;-245.0;247.0
322.0;392.0;-254.0;-180.0;715.0;-244.0;238.0
335.0;393.0;-254.0;-173.0;717.0;-245.0;222.0
355.0;394.0;-253.0;-164.0;711.0;-252.0;195.0
382.0;392.0;-250.0;-150.0;?;-268.0;161.0
415.0;393.0;-250.0;-127.0;674.0;-292.0;?
449.0;396.0;-252.0;?;641.0;?;67.0
483.0;397.0;-255.0;-52.0;600.0;-355.0;14.0
518.0;398.0;-256.0;-2.0;554.0;-382.0;-41.0
547.0;401.0;?;?;503.0;-408.0;-96.0
570.0;402.0;-267.0;106.0;451.0;-430.0;-148.0
?;403.0;-273.0;173.0;400.0;-449.0;-199.0
607.0;403.0;-279.0;245.0;349.0;-465.0;-246.0
619.0;?;-283.0;316.0;296.0;-482.0;?
630.0;400.0;-286.0;379.0;243.0;-502.0;-329.0
639.0;?;?;427.0;193.0;-521.0;-370.0
648.0;393.0;-291.0;471.0;153.0;-539.0;-410.0
653.0;385.0;?;510.0;124.0;-557.0;?
656.0;377.0;-286.0;539.0;?;-573.0;-472.0
649.0;371.0;-284.0;563.0;?;-583.0;-492.0
641.0;372.0;-283.0;?;88.0;-586.0;-500.0
637.0;374.0;-284.0;592.0;88.0;-587.0;-496.0
640.0;375.0;-285.0;?;92.0;-592.0;-486.0
?;376.0;-287.0;581.0;99.0;-599.0;-472.0
653.0;377.0;-287.0;?;110.0;?;-461.0
655.0;375.0;-285.0;?;121.0;-613.0;-450.0
657.0;371.0;-283.0;549.0;130.0;-618.0;-442.0
664.0;367.0;-281.0;536.0;?;-621.0;-434.0
674.0;365.0;-279.0;519.0;?;-630.0;-421.0
271.0;369.0;-246.0;-212.0;?;-262.0;243.0
273.0;369.0;-248.0;-215.0;690.0;-263.0;243.0
276.0;370.0;-249.0;-216.0;694.0;-262.0;243.0
281.0;371.0;-251.0;-208.0;698.0;-263.0;243.0
290.0;371.0;-251.0;-203.0;701.0;-264.0;241.0
301.0;?;-250.0;-201.0;705.0;-267.0;236.0
316.0;373.0;-249.0;-199.0;706.0;-273.0;223.0
337.0;373.0;?;?;702.0;?;?
363.0;373.0;-244.0;-172.0;691.0;-288.0;171.0
395.0;374.0;-241.0;-154.0;674.0;-304.0;134.0
429.0;?;-237.0;-116.0;649.0;?;?
463.0;375.0;-236.0;-73.0;614.0;-344.0;46.0
494.0;376.0;-237.0;-13.0;572.0;-364.0;-3.0
524.0;378.0;-240.0;48.0;524.0;-384.0;-55.0
549.0;381.0;-248.0;118.0;472.0;-406.0;-110.0
570.0;383.0;-256.0;193.0;413.0;-428.0;-166.0
?;?;-265.0;267.0;352.0;-452.0;-220.0
606.0;?;-273.0;329.0;291.0;-477.0;-272.0
621.0;381.0;-277.0;386.0;234.0;-501.0;-321.0
636.0;377.0;?;?;181.0;-527.0;-366.0
648.0;?;-279.0;473.0;136.0;-552.0;-407.0
653.0;?;-275.0;510.0;102.0;-575.0;-440.0
649.0;?;-274.0;533.0;78.0;-589.0;-464.0
?;362.0;-274.0;548.0;63.0;-595.0;-479.0
638.0;366.0;?;562.0;57.0;-595.0;-483.0
640.0;?;-276.0;576.0;58.0;-595.0;-478.0
?;370.0;-277.0;569.0;63.0;-599.0;-470.0
649.0;371.0;-278.0;563.0;73.0;-604.0;-461.0
?;?;-279.0;562.0;85.0;-605.0;?
