InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
215.0;-447.0;474.0;18.0;419.0;-173.0;6.0
-63.0;-405.0;220.0;343.0;218.0;209.0;-248.0
31.0;-352.0;327.0;418.0;-117.0;97.0;-450.0
4.0;-418.0;318.0;289.0;180.0;108.0;-233.0
41.0;-406.0;289.0;295.0;260.0;31.0;-185.0
123.0;-364.0;350.0;290.0;260.0;-128.0;-192.0
560.0;-559.0;794.0;-117.0;838.0;-756.0;654.0
-207.0;-132.0;166.0;336.0;311.0;141.0;-355.0
-213.0;-133.0;171.0;321.0;277.0;134.0;-353.0
405.0;-544.0;618.0;-175.0;531.0;-318.0;143.0
94.0;-299.0;241.0;173.0;66.0;-25.0;-351.0
-538.0;-560.0;821.0;-333.0;-777.0;578.0;-575.0
-216.0;-122.0;164.0;409.0;312.0;151.0;-365.0
16.0;-215.0;92.0;304.0;474.0;-27.0;-303.0
268.0;473.0;-541.0;-47.0;344.0;-175.0;-50.0
-83.0;-81.0;41.0;-37.0;534.0;28.0;-120.0
-16.0;-175.0;121.0;213.0;404.0;-8.0;-308.0
-82.0;-317.0;188.0;281.0;399.0;-10.0;-258.0
79.0;-380.0;269.0;425.0;913.0;75.0;146.0
-15.0;-232.0;136.0;522.0;490.0;82.0;-373.0
-120.0;-129.0;33.0;526.0;465.0;136.0;-312.0
87.0;337.0;-324.0;434.0;142.0;11.0;-263.0
-191.0;-215.0;68.0;513.0;514.0;269.0;-180.0
-338.0;-131.0;109.0;666.0;148.0;430.0;-447.0
167.0;-414.0;404.0;666.0;326.0;-104.0;-121.0
335.0;-9.0;114.0;682.0;252.0;-496.0;589.0
-125.0;-177.0;222.0;535.0;392.0;242.0;-272.0
81.0;-195.0;103.0;512.0;-68.0;-206.0;343.0
-119.0;-176.0;105.0;499.0;370.0;152.0;-116.0
108.0;-270.0;211.0;387.0;191.0;-52.0;-151.0
50.0;-283.0;262.0;411.0;183.0;13.0;-234.0
-140.0;-160.0;46.0;591.0;-68.0;288.0;-466.0
118.0;-353.0;335.0;205.0;145.0;-106.0;-220.0
330.0;-52.0;941.0;-430.0;758.0;-687.0;601.0
31.0;-271.0;188.0;-200.0;131.0;67.0;-258.0
76.0;-333.0;268.0;64.0;245.0;-30.0;-155.0
-540.0;-364.0;715.0;-31.0;-801.0;651.0;-687.0
-162.0;-140.0;182.0;361.0;300.0;88.0;-351.0
-172.0;-79.0;-49.0;595.0;8.0;239.0;-563.0
22.0;339.0;-267.0;556.0;33.0;120.0;-255.0
-152.0;-81.0;209.0;333.0;321.0;118.0;-456.0
-196.0;-150.0;108.0;388.0;289.0;226.0;-195.0
-140.0;-418.0;413.0;309.0;-510.0;47.0;-8.0
-313.0;-76.0;-107.0;309.0;159.0;407.0;-529.0
-219.0;-83.0;32.0;591.0;415.0;258.0;-396.0
-514.0;544.0;-815.0;-321.0;-802.0;604.0;-601.0
-298.0;-212.0;947.0;-592.0;-737.0;558.0;-589.0
144.0;216.0;-117.0;550.0;-88.0;-239.0;345.0
-239.0;33.0;-220.0;177.0;136.0;371.0;-568.0
42.0;-312.0;275.0;1060.0;120.0;-11.0;-247.0
-181.0;-67.0;180.0;308.0;379.0;166.0;-430.0
389.0;-250.0;150.0;627.0;163.0;-204.0;-8.0
81.0;-357.0;332.0;661.0;172.0;-26.0;-188.0
61.0;-171.0;74.0;681.0;-45.0;-61.0;-303.0
-64.0;405.0;-328.0;241.0;-431.0;-15.0;46.0
-78.0;-231.0;178.0;521.0;128.0;157.0;-232.0
18.0;-276.0;278.0;682.0;-39.0;-123.0;316.0
15.0;-372.0;296.0;614.0;222.0;97.0;-183.0
-164.0;10.0;-60.0;213.0;406.0;391.0;-442.0
-145.0;36.0;139.0;353.0;350.0;195.0;-381.0
0.0;19.0;96.0;504.0;113.0;89.0;-551.0
-50.0;-42.0;123.0;467.0;334.0;96.0;-329.0
-55.0;-26.0;221.0;373.0;307.0;97.0;-319.0
-35.0;-68.0;238.0;370.0;312.0;73.0;-288.0
556.0;543.0;-730.0;-124.0;820.0;-654.0;738.0
-169.0;2.0;-29.0;-52.0;677.0;334.0;-270.0
-147.0;16.0;-29.0;-110.0;616.0;339.0;-347.0
-159.0;-2.0;42.0;-39.0;488.0;324.0;-376.0
18.0;-198.0;255.0;380.0;339.0;15.0;-225.0
-80.0;-261.0;255.0;469.0;425.0;105.0;-206.0
60.0;-367.0;280.0;331.0;636.0;19.0;-184.0
147.0;-422.0;403.0;407.0;345.0;-53.0;-26.0
-147.0;-15.0;-37.0;-236.0;406.0;228.0;-457.0
-130.0;-7.0;-56.0;-118.0;421.0;340.0;-487.0
-205.0;-35.0;-70.0;-12.0;433.0;272.0;-458.0
-151.0;-29.0;-67.0;-132.0;136.0;254.0;-575.0
-160.0;6.0;-41.0;-50.0;124.0;331.0;-479.0
216.0;-477.0;465.0;121.0;630.0;-172.0;145.0
-573.0;356.0;-632.0;318.0;-670.0;676.0;-735.0
-16.0;-301.0;178.0;487.0;301.0;130.0;-275.0
-512.0;-401.0;636.0;243.0;-727.0;634.0;-745.0
-110.0;-220.0;80.0;577.0;126.0;209.0;-327.0
18.0;-251.0;175.0;365.0;208.0;137.0;-290.0
33.0;-254.0;191.0;314.0;207.0;117.0;-288.0
37.0;-260.0;198.0;301.0;201.0;101.0;-297.0
38.0;-260.0;201.0;304.0;202.0;89.0;-299.0
35.0;-344.0;232.0;374.0;351.0;29.0;-241.0
32.0;-266.0;257.0;441.0;257.0;41.0;-463.0
-40.0;-311.0;155.0;505.0;91.0;134.0;-337.0
-605.0;-453.0;821.0;-126.0;-775.0;735.0;-677.0
-298.0;13.0;-169.0;654.0;-311.0;488.0;-664.0
-30.0;-233.0;174.0;278.0;241.0;134.0;-226.0
57.0;-262.0;216.0;254.0;311.0;-16.0;-161.0
190.0;-437.0;409.0;150.0;330.0;-69.0;-64.0
579.0;453.0;-673.0;394.0;761.0;-691.0;741.0
61.0;-365.0;276.0;303.0;700.0;-6.0;-104.0
71.0;-294.0;299.0;263.0;315.0;-31.0;-313.0
-212.0;-103.0;155.0;326.0;320.0;134.0;-397.0
-70.0;-209.0;76.0;601.0;755.0;201.0;-153.0
-210.0;-102.0;153.0;380.0;324.0;130.0;-400.0
