Accelerometer LUA_ accZ;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit RLA accY;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA accY;InertialMeasurementUnit LLA Quaternion1;Accelerometer RUA_ accZ
223.0;424.0;793.0;357.0;566.0;5.0;-802.0;-351.0;377.0;-72.0
369.0;2.0;270.0;239.0;704.0;-276.0;-683.0;-330.0;-82.0;89.0
267.0;-17.0;-213.0;681.0;-274.0;464.0;56.0;-165.0;643.0;-6.0
388.0;-11.0;76.0;388.0;-251.0;369.0;85.0;-341.0;687.0;33.0
550.0;17.0;-562.0;567.0;-512.0;422.0;439.0;-518.0;441.0;-107.0
408.0;-253.0;-111.0;606.0;-277.0;424.0;114.0;-348.0;719.0;19.0
743.0;52.0;-416.0;775.0;442.0;111.0;-791.0;-659.0;320.0;-109.0
385.0;62.0;222.0;320.0;405.0;-423.0;-237.0;-270.0;-635.0;31.0
392.0;-571.0;-638.0;726.0;-540.0;-68.0;427.0;-266.0;471.0;193.0
377.0;-118.0;932.0;183.0;658.0;39.0;-810.0;-285.0;318.0;66.0
396.0;-42.0;18.0;283.0;-371.0;500.0;168.0;-287.0;615.0;45.0
371.0;47.0;7.0;310.0;-342.0;498.0;144.0;-344.0;620.0;60.0
440.0;217.0;177.0;510.0;-238.0;395.0;75.0;-345.0;700.0;-79.0
379.0;-17.0;8.0;304.0;-338.0;499.0;142.0;-371.0;625.0;37.0
340.0;2.0;14.0;293.0;-334.0;498.0;139.0;-373.0;632.0;40.0
354.0;-74.0;5.0;278.0;-347.0;498.0;158.0;-374.0;624.0;57.0
352.0;29.0;94.0;190.0;-336.0;525.0;164.0;-268.0;614.0;90.0
371.0;-69.0;168.0;556.0;-241.0;382.0;77.0;-329.0;700.0;-97.0
366.0;-33.0;956.0;489.0;-457.0;-473.0;713.0;-246.0;-536.0;9.0
409.0;0.0;-2.0;294.0;-344.0;490.0;141.0;-364.0;627.0;49.0
436.0;-27.0;32.0;251.0;-352.0;503.0;167.0;-421.0;628.0;23.0
387.0;-2.0;0.0;316.0;-356.0;491.0;155.0;-345.0;625.0;61.0
387.0;-10.0;-1.0;327.0;-359.0;492.0;160.0;-352.0;622.0;58.0
369.0;115.0;-130.0;548.0;-318.0;440.0;124.0;-357.0;640.0;25.0
377.0;-16.0;2.0;322.0;-351.0;495.0;150.0;-364.0;625.0;47.0
965.0;-19.0;-553.0;546.0;-625.0;-131.0;688.0;-938.0;-437.0;302.0
