InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit RLA gyroX;Accelerometer HIP accZ;Accelerometer LWR accZ
-1604.0;687.0;-255.0;-223.0;-809.0;1544.0;313.0;-431.0;319.0;?
-1284.0;532.0;-99.0;-291.0;-394.0;1513.0;286.0;-235.0;339.0;388.0
-917.0;352.0;3.0;-461.0;-134.0;1276.0;?;-361.0;347.0;330.0
-355.0;216.0;?;-499.0;-309.0;520.0;259.0;-238.0;286.0;343.0
197.0;99.0;-146.0;-380.0;-176.0;-52.0;257.0;330.0;316.0;323.0
709.0;54.0;-65.0;-197.0;62.0;-319.0;264.0;456.0;288.0;257.0
901.0;?;-18.0;-97.0;302.0;-401.0;266.0;726.0;?;370.0
1086.0;?;-37.0;-159.0;455.0;-487.0;265.0;832.0;294.0;419.0
1281.0;110.0;-99.0;-151.0;574.0;-435.0;265.0;951.0;303.0;466.0
-71.0;?;458.0;-93.0;-99.0;134.0;-547.0;-49.0;402.0;841.0
-67.0;?;?;-70.0;-187.0;135.0;-555.0;?;416.0;1051.0
-174.0;-90.0;519.0;63.0;-249.0;220.0;-551.0;-252.0;390.0;1285.0
-442.0;-256.0;?;219.0;-200.0;368.0;-541.0;?;386.0;1256.0
-796.0;-351.0;739.0;397.0;-276.0;552.0;-528.0;-1234.0;384.0;1213.0
-1451.0;-404.0;879.0;516.0;-463.0;670.0;-509.0;-1419.0;428.0;1098.0
-2131.0;-349.0;949.0;506.0;-881.0;765.0;?;-1847.0;419.0;?
-2665.0;-343.0;?;344.0;-1519.0;907.0;-446.0;-2518.0;430.0;987.0
-3173.0;-294.0;860.0;228.0;-2177.0;1062.0;?;-2854.0;411.0;897.0
-3516.0;-261.0;630.0;27.0;-2750.0;1251.0;-338.0;?;364.0;706.0
-3548.0;-176.0;329.0;-39.0;-3016.0;1382.0;-270.0;-3443.0;396.0;688.0
-3714.0;-212.0;219.0;-15.0;-2774.0;1338.0;-194.0;-3445.0;425.0;620.0
-3683.0;-248.0;214.0;-25.0;?;1193.0;-125.0;-3451.0;399.0;635.0
-3795.0;-270.0;113.0;-41.0;-2536.0;?;?;-3601.0;?;534.0
-3895.0;-124.0;41.0;-98.0;-2431.0;1454.0;11.0;-3656.0;372.0;453.0
-3784.0;111.0;8.0;-167.0;-2343.0;1581.0;78.0;-3709.0;344.0;473.0
-3552.0;396.0;-51.0;-230.0;-2434.0;1624.0;149.0;-3560.0;351.0;356.0
-3223.0;?;-197.0;-228.0;-2431.0;1616.0;209.0;-3295.0;374.0;184.0
-3009.0;1123.0;-153.0;-178.0;-2237.0;1634.0;263.0;-2649.0;346.0;?
?;1363.0;-161.0;-171.0;-2101.0;1522.0;295.0;-1536.0;299.0;14.0
-2670.0;1557.0;-189.0;-197.0;?;1504.0;?;-936.0;?;319.0
?;1560.0;-417.0;?;-1496.0;1711.0;303.0;-1008.0;340.0;671.0
-1638.0;1122.0;-335.0;-371.0;-425.0;1864.0;290.0;-981.0;?;783.0
-798.0;749.0;-8.0;-524.0;-67.0;1726.0;279.0;-606.0;?;796.0
?;407.0;?;-463.0;41.0;1123.0;270.0;118.0;334.0;681.0
265.0;182.0;97.0;-298.0;115.0;?;269.0;480.0;371.0;517.0
722.0;?;?;-103.0;-4.0;-308.0;?;666.0;375.0;335.0
802.0;-74.0;258.0;?;-25.0;?;266.0;919.0;302.0;317.0
678.0;-184.0;225.0;205.0;147.0;-589.0;260.0;747.0;321.0;339.0
576.0;-208.0;?;145.0;?;-449.0;254.0;339.0;338.0;251.0
764.0;-193.0;67.0;-101.0;358.0;-411.0;250.0;463.0;316.0;207.0
1223.0;-65.0;?;-324.0;323.0;-583.0;241.0;774.0;?;233.0
-204.0;88.0;385.0;-30.0;-175.0;101.0;-530.0;32.0;418.0;?
-111.0;70.0;371.0;-85.0;-177.0;121.0;-535.0;-8.0;406.0;802.0
-139.0;59.0;431.0;-40.0;-148.0;91.0;-538.0;29.0;413.0;999.0
-328.0;-121.0;515.0;?;-160.0;197.0;-533.0;-206.0;?;1117.0
?;?;572.0;148.0;-237.0;335.0;-526.0;-581.0;425.0;1066.0
-890.0;-429.0;678.0;283.0;-356.0;503.0;-515.0;-1032.0;422.0;1127.0
?;-448.0;724.0;367.0;-582.0;?;?;-1111.0;?;1078.0
-1877.0;-465.0;784.0;409.0;-818.0;?;-482.0;-1445.0;448.0;1026.0
-2452.0;-495.0;851.0;374.0;-1197.0;946.0;-449.0;-2011.0;428.0;?
-2991.0;-496.0;791.0;300.0;-1744.0;1171.0;-408.0;-2514.0;426.0;1062.0
-3456.0;-481.0;?;216.0;-2151.0;1403.0;-354.0;-2872.0;?;1019.0
-3827.0;?;537.0;148.0;-2383.0;1663.0;-290.0;-3138.0;416.0;931.0
-4085.0;?;416.0;72.0;-2586.0;1812.0;-225.0;?;413.0;811.0
-4220.0;-254.0;311.0;-14.0;?;1883.0;-154.0;-3494.0;388.0;677.0
-4270.0;-61.0;155.0;-80.0;-2943.0;1769.0;-85.0;-3543.0;396.0;492.0
-4235.0;232.0;2.0;-131.0;-3035.0;1741.0;?;-3691.0;356.0;400.0
-3999.0;443.0;-117.0;?;-3049.0;1663.0;71.0;-3602.0;377.0;306.0
-3752.0;786.0;-237.0;-217.0;-3048.0;?;135.0;-3312.0;379.0;193.0
-3432.0;1123.0;-347.0;-238.0;-2913.0;1562.0;187.0;-2889.0;381.0;-68.0
-3104.0;1426.0;-287.0;?;-2744.0;1483.0;226.0;-2560.0;378.0;111.0
?;1573.0;-298.0;-266.0;-2612.0;1460.0;250.0;-2046.0;334.0;334.0
-2417.0;1600.0;-458.0;-167.0;-2063.0;1578.0;?;-1266.0;385.0;518.0
-1776.0;1040.0;-408.0;-222.0;?;1734.0;259.0;-884.0;338.0;689.0
-1026.0;750.0;-52.0;?;-400.0;1620.0;255.0;-751.0;339.0;548.0
-620.0;434.0;-63.0;-344.0;-180.0;1128.0;245.0;?;355.0;514.0
-116.0;220.0;21.0;-286.0;38.0;418.0;241.0;165.0;368.0;?
299.0;84.0;68.0;-118.0;49.0;-185.0;234.0;346.0;354.0;332.0
542.0;-124.0;124.0;77.0;283.0;-385.0;239.0;575.0;?;342.0
678.0;-223.0;212.0;?;419.0;?;243.0;469.0;348.0;321.0
815.0;-258.0;81.0;-89.0;385.0;?;243.0;?;327.0;305.0
1239.0;-64.0;?;-284.0;400.0;-585.0;241.0;750.0;349.0;288.0
-529.0;121.0;476.0;161.0;-260.0;515.0;-555.0;?;395.0;529.0
-847.0;231.0;432.0;278.0;-401.0;834.0;-555.0;-535.0;428.0;512.0
-1305.0;478.0;389.0;356.0;-555.0;1348.0;-554.0;-648.0;?;?
-1731.0;888.0;354.0;335.0;-726.0;1942.0;-553.0;-564.0;415.0;261.0
-2071.0;1348.0;311.0;292.0;-1057.0;2513.0;?;-382.0;410.0;329.0
-2274.0;1932.0;218.0;191.0;-1520.0;3152.0;-557.0;-237.0;411.0;530.0
-2369.0;?;48.0;69.0;-1971.0;4040.0;-570.0;44.0;420.0;638.0
-2205.0;2892.0;?;-156.0;-2498.0;5050.0;-591.0;407.0;404.0;666.0
-1850.0;3069.0;-128.0;-283.0;-3268.0;5857.0;-620.0;560.0;?;808.0
-1470.0;3251.0;-342.0;-295.0;-3777.0;6278.0;-650.0;656.0;391.0;?
-1199.0;3286.0;?;-126.0;-3834.0;6430.0;-678.0;276.0;418.0;?
-976.0;3115.0;-770.0;52.0;-3434.0;6524.0;-708.0;?;407.0;717.0
?;2530.0;-563.0;14.0;-3249.0;6268.0;?;-787.0;395.0;895.0
-129.0;2714.0;-500.0;87.0;-3568.0;5497.0;-761.0;-152.0;426.0;?
?;2646.0;-507.0;367.0;-3091.0;?;-788.0;295.0;389.0;889.0
-457.0;2336.0;-394.0;582.0;-2130.0;?;-809.0;?;365.0;794.0
